Date,High,Low,Open,Close,adjust,Volume
2012-01-03,7.7,7.7,7.7,7.7,2.11,20
2012-01-04,7.0,7.0,7.0,7.0,2.11,0
2012-01-05,7.3,7.3,7.3,7.3,2.2,500
2012-01-06,7.6,7.6,7.6,7.6,2.29,500
2012-01-09,7.9,7.3,7.9,7.3,2.2,260
2012-01-10,7.5,7.5,7.5,7.5,2.26,50
2012-01-11,7.8,7.8,7.8,7.8,2.35,500
2012-01-12,7.6,7.6,7.6,7.6,2.29,3000
2012-01-13,7.9,7.9,7.9,7.9,2.38,100
2012-01-16,8.1,8.1,8.1,8.1,2.44,10
2012-01-17,7.7,7.7,7.7,7.7,2.32,20
2012-01-18,7.4,7.4,7.4,7.4,2.23,500
2012-01-19,7.4,7.1,7.4,7.1,2.14,1810
2012-01-20,6.8,6.8,6.8,6.8,2.05,200
2012-01-30,7.1,7.1,7.1,7.1,2.14,10
2012-01-31,7.4,7.4,7.4,7.4,2.23,70
2012-02-01,7.7,7.1,7.1,7.7,2.32,110
2012-02-02,8.0,8.0,8.0,8.0,2.41,30
2012-02-03,8.4,7.6,8.4,7.6,2.29,20
2012-02-06,7.3,7.3,7.3,7.3,2.2,20
2012-02-07,7.6,7.0,7.6,7.0,2.11,190
2012-02-08,7.3,7.0,7.3,7.0,2.11,30
2012-02-09,6.7,6.7,6.7,6.7,2.02,20
2012-02-10,7.0,6.7,7.0,7.0,2.11,3110
2012-02-13,7.3,6.8,7.3,6.8,2.05,80
2012-02-14,7.1,7.1,7.1,7.1,2.14,10
2012-02-15,7.0,7.0,7.0,7.0,2.11,2500
2012-02-16,7.0,7.0,7.0,7.0,2.11,10
2012-02-17,7.3,7.3,7.3,7.3,2.2,800
2012-02-20,7.6,7.3,7.6,7.3,2.2,20
2012-02-21,7.6,7.1,7.1,7.6,2.29,1110
2012-02-22,7.6,7.6,7.6,7.6,2.29,0
2012-02-23,7.3,7.3,7.3,7.3,2.2,1120
2012-02-24,7.5,7.3,7.3,7.5,2.26,20780
2012-02-27,7.6,7.3,7.5,7.6,2.29,12300
2012-02-28,7.8,7.6,7.8,7.6,2.29,5100
2012-02-29,7.6,7.3,7.3,7.6,2.29,3710
2012-03-01,7.9,7.6,7.9,7.9,2.38,19890
2012-03-02,8.2,8.2,8.2,8.2,2.47,4020
2012-03-05,8.6,8.6,8.6,8.6,2.59,3710
2012-03-06,9.0,8.6,9.0,8.7,2.62,9930
2012-03-07,9.0,8.7,9.0,8.7,2.62,4310
2012-03-08,8.8,8.3,8.5,8.6,2.59,9310
2012-03-09,8.7,8.6,8.6,8.6,2.59,2380
2012-03-12,8.6,8.2,8.5,8.2,2.47,25510
2012-03-13,8.6,8.4,8.4,8.6,2.59,5250
2012-03-14,8.7,8.7,8.7,8.7,2.62,3000
2012-03-15,9.0,8.6,8.6,9.0,2.71,7510
2012-03-16,9.0,8.8,8.9,9.0,2.71,2050
2012-03-19,9.4,8.6,8.8,9.4,2.83,3110
2012-03-20,9.0,9.0,9.0,9.0,2.71,2000
2012-03-21,9.1,8.6,8.6,8.7,2.62,11330
2012-03-22,8.8,8.6,8.7,8.8,2.65,8300
2012-03-23,9.2,8.8,8.8,9.0,2.71,28320
2012-03-26,9.1,8.8,9.1,9.0,2.71,20870
2012-03-27,9.4,8.7,9.4,8.8,2.65,25540
2012-03-28,9.2,9.0,9.2,9.0,2.71,1540
2012-03-29,9.1,9.0,9.1,9.0,2.71,5020
