Date,High,Low,Open,Close,adjust,Volume
2012-01-03,17.1,15.6,17.1,17.1,9.6,615160
2012-01-04,17.9,16.3,17.1,17.9,10.05,1139890
2012-01-05,16.6,15.2,15.3,16.6,10.49,1083240
2012-01-06,17.3,15.8,16.6,17.2,10.87,882430
2012-01-09,17.8,16.4,16.5,17.8,11.25,1155700
2012-01-10,18.5,17.0,17.4,18.5,11.69,1386770
2012-01-11,19.0,17.6,18.5,18.9,11.94,1145550
2012-01-12,19.5,18.0,18.9,19.5,12.32,1016750
2012-01-13,19.9,18.6,19.5,19.9,12.57,761990
2012-01-16,19.9,19.0,19.1,19.0,12.0,49000
2012-01-17,18.1,18.1,18.1,18.1,11.44,45210
2012-01-18,17.2,17.2,17.2,17.2,10.87,49930
2012-01-19,17.2,16.4,16.4,17.1,10.8,1492600
2012-01-20,17.8,16.3,17.0,17.8,11.25,2290180
2012-01-30,18.4,17.0,18.1,18.3,11.56,937500
2012-01-31,18.9,17.4,18.3,18.6,11.75,480120
2012-02-01,18.7,17.7,18.5,17.7,11.18,657100
2012-02-02,17.5,16.9,16.9,16.9,10.68,1350390
2012-02-03,17.4,16.2,16.5,16.2,10.23,2497380
2012-02-06,16.9,16.1,16.5,16.7,10.55,145920
2012-02-07,17.3,17.0,17.0,17.3,10.93,241650
2012-02-08,17.5,16.6,17.2,16.6,10.49,966660
2012-02-09,17.1,16.6,16.6,17.0,10.74,542230
2012-02-10,17.1,16.8,17.0,17.0,10.74,532710
2012-02-13,17.2,17.0,17.0,17.1,10.8,332160
2012-02-14,17.3,17.1,17.1,17.2,10.87,314240
2012-02-15,18.0,17.7,18.0,18.0,11.37,609240
2012-02-16,18.8,18.0,18.4,18.0,11.37,407190
2012-02-17,18.3,18.0,18.0,18.3,11.56,194460
2012-02-20,18.9,18.4,18.5,18.6,11.75,153170
2012-02-21,18.7,17.8,18.7,18.0,11.37,295900
2012-02-22,18.1,17.8,18.0,18.0,11.37,342430
2012-02-23,18.1,17.8,18.0,18.1,11.44,304760
2012-02-24,18.3,18.0,18.1,18.1,11.44,244870
2012-02-27,18.2,17.8,18.1,18.1,11.44,84560
2012-02-28,19.0,18.3,18.3,19.0,12.0,427080
2012-02-29,19.9,19.2,19.6,19.9,12.57,301120
2012-03-01,20.8,20.8,20.8,20.8,13.14,249430
2012-03-02,21.8,21.8,21.8,21.8,13.77,283390
2012-03-05,22.8,22.8,22.8,22.8,14.4,134270
2012-03-06,23.9,21.8,23.9,22.4,14.15,990100
2012-03-07,22.4,21.3,22.0,22.0,13.9,486440
2012-03-08,22.0,20.9,21.2,20.9,13.2,261860
2012-03-09,21.9,20.4,20.4,21.9,13.84,291360
2012-03-12,22.9,22.1,22.4,22.5,14.22,914350
2012-03-13,23.6,22.8,22.9,23.6,14.91,368230
2012-03-14,24.7,23.6,24.5,24.6,15.54,461730
2012-03-15,24.9,23.4,24.6,24.0,15.16,294380
2012-03-16,24.6,23.8,24.2,24.6,15.54,222120
2012-03-19,25.8,24.6,24.7,25.8,16.3,199970
2012-03-20,27.0,26.0,26.7,27.0,17.06,52320
2012-03-21,28.3,28.0,28.1,28.3,17.88,76180
2012-03-22,29.7,28.3,28.3,29.1,18.38,405890
