Date,High,Low,Open,Close,adjust,Volume
2012-01-03,27.0,26.7,27.0,26.8,6.18,76310
2012-01-04,26.9,25.9,26.9,26.4,6.09,90210
2012-01-05,26.4,25.1,26.4,26.1,6.02,56480
2012-01-06,25.9,25.0,25.5,25.1,5.79,79030
2012-01-09,25.1,23.9,25.1,24.9,5.74,74960
2012-01-10,25.0,24.5,24.9,25.0,5.76,163250
2012-01-11,25.5,24.8,25.5,25.0,5.76,78980
2012-01-12,24.9,23.9,24.8,24.8,5.72,150840
2012-01-13,24.8,23.9,24.0,24.7,5.69,132750
2012-01-16,24.8,24.0,24.0,24.8,5.72,60950
2012-01-17,26.0,24.8,24.8,25.6,5.9,236300
2012-01-18,26.4,25.6,26.0,26.0,5.99,235500
2012-01-19,27.2,26.1,26.1,27.0,6.22,180890
2012-01-20,28.3,27.5,27.7,28.3,6.52,1036737
2012-01-30,29.5,28.6,29.0,29.5,6.8,200870
2012-01-31,30.7,29.8,30.7,30.5,7.03,264510
2012-02-01,30.4,29.0,29.0,30.2,6.96,355810
2012-02-02,31.4,30.4,30.5,31.4,7.24,450092
2012-02-03,32.9,31.6,32.0,32.9,7.58,535200
2012-02-06,32.9,31.4,31.4,32.5,7.49,341640
2012-02-07,32.5,31.2,32.0,32.0,7.38,105390
2012-02-08,32.5,31.5,32.0,32.1,7.4,564170
2012-02-09,32.4,31.6,32.1,32.1,7.4,124750
2012-02-10,32.2,31.4,32.2,32.0,7.38,421070
2012-02-13,32.0,31.2,32.0,31.6,7.28,98450
2012-02-14,32.5,31.1,32.0,32.5,7.49,206560
2012-02-15,32.5,32.0,32.5,32.4,7.47,89100
2012-02-16,32.4,31.5,31.5,32.4,7.47,104400
2012-02-17,33.2,32.1,32.4,33.0,7.61,124760
2012-02-20,34.0,33.0,33.0,34.0,7.84,342810
2012-02-21,35.0,33.6,34.0,34.0,7.84,344680
2012-02-22,35.0,33.0,33.0,35.0,8.07,128540
2012-02-23,35.4,34.6,35.0,35.4,8.16,172640
2012-02-24,37.0,36.6,36.7,37.0,8.53,575080
2012-02-27,37.5,36.2,37.0,37.5,8.65,319540
2012-02-28,37.8,36.6,37.5,37.4,8.62,161100
2012-02-29,37.0,35.6,37.0,35.6,8.21,156920
2012-03-01,35.6,34.5,35.6,35.6,8.21,106480
2012-03-02,36.0,35.0,35.0,35.5,8.18,207730
2012-03-05,37.2,36.3,36.5,37.2,8.58,430850
2012-03-06,38.0,37.0,37.5,37.1,8.55,200500
2012-03-07,37.4,36.0,37.1,37.4,8.62,387660
2012-03-08,37.4,36.5,37.4,36.6,8.72,180140
2012-03-09,36.9,36.0,36.8,36.7,8.74,66470
2012-03-12,36.0,35.0,35.8,36.0,8.57,191730
2012-03-13,36.4,35.1,35.1,36.4,8.67,89120
2012-03-14,36.9,35.6,36.0,36.9,8.79,251520
2012-03-15,38.5,36.4,36.9,38.5,9.17,242160
2012-03-16,40.4,38.6,40.4,40.4,9.62,223150
2012-03-19,40.4,39.5,39.5,40.2,9.57,68760
2012-03-20,40.3,40.0,40.2,40.2,9.57,190410
2012-03-21,40.9,39.6,40.9,40.3,9.6,331070
2012-03-22,40.5,39.4,39.4,40.3,9.6,93570
2012-03-23,40.4,39.7,40.4,40.2,9.57,188960
2012-03-26,40.2,39.5,39.5,40.2,9.57,171610
2012-03-27,40.2,39.5,39.5,40.0,9.53,141400
2012-03-28,40.0,39.3,40.0,40.0,9.53,72450
2012-03-29,40.0,38.2,40.0,38.2,9.1,91370
2012-03-30,39.7,38.4,39.7,39.6,9.43,94820
2012-04-03,40.0,39.1,39.1,40.0,9.53,84570
2012-04-04,40.2,39.7,40.2,40.0,9.53,191560
2012-04-05,40.5,39.5,40.0,40.5,9.65,102030
2012-04-06,42.0,40.5,42.0,41.0,9.77,90990
2012-04-09,41.5,40.6,41.0,41.5,9.88,190630
2012-04-10,41.6,40.8,40.8,41.6,9.91,912050
2012-04-11,43.4,41.5,43.4,41.8,9.96,495250
2012-04-12,42.0,41.7,41.8,42.0,10.0,1188090
2012-04-13,42.8,41.6,42.8,42.0,10.0,132830
2012-04-16,42.1,41.5,42.0,42.1,10.03,806170
2012-04-17,44.0,41.8,42.1,44.0,10.48,477560
2012-04-18,44.2,42.9,44.0,43.4,10.34,130180
2012-04-19,43.0,42.0,42.4,42.5,10.12,1185700
2012-04-20,42.9,40.5,42.9,42.0,10.0,127980
2012-04-23,42.5,41.5,42.5,42.0,10.0,121160
2012-04-24,42.4,40.2,42.0,42.4,10.1,2338390
2012-04-25,43.4,42.5,43.0,43.0,10.24,66620
2012-04-26,43.0,42.0,42.0,42.9,10.22,231240
2012-04-27,44.5,42.1,43.0,44.5,10.6,115150
2012-05-02,45.0,44.5,44.9,45.0,10.72,79940
2012-05-03,47.2,44.0,45.0,47.0,11.19,113340
2012-05-04,48.0,46.6,46.6,47.5,11.31,102500
2012-05-07,49.1,47.5,49.1,47.9,11.41,131500
2012-05-08,47.0,46.5,47.0,46.9,11.17,112910
2012-05-09,47.0,44.8,46.9,46.9,11.17,169530
2012-05-10,46.7,45.9,45.9,46.7,11.12,72910
2012-05-11,46.8,46.0,46.8,46.7,11.12,77590
2012-05-14,46.7,45.1,46.7,46.0,10.96,57650
2012-05-15,44.0,43.7,43.8,43.7,10.41,40060
2012-05-16,43.7,41.6,43.7,43.6,10.38,284830
2012-05-17,43.6,41.5,43.6,43.5,10.36,124920
2012-05-18,42.6,41.4,41.4,41.4,9.86,66390
2012-05-21,40.4,39.4,39.5,39.4,9.38,329060
2012-05-22,39.5,38.8,39.4,39.5,9.41,137160
2012-05-23,40.0,38.0,38.0,39.2,9.34,34450
2012-05-24,39.2,38.0,39.0,39.1,9.31,55590
2012-05-25,39.5,38.0,38.0,39.5,9.41,85240
2012-05-28,40.0,39.0,40.0,39.3,9.36,64290
2012-05-29,39.3,38.5,38.5,39.3,9.36,68120
2012-05-30,39.7,39.0,39.7,39.5,9.41,76800
2012-05-31,39.4,38.7,38.8,39.0,9.29,58290
2012-06-01,39.0,37.1,39.0,37.1,8.84,110660
2012-06-04,38.2,35.3,35.3,37.0,8.81,261270
2012-06-05,37.9,35.6,37.0,37.0,8.81,93450
2012-06-06,37.6,36.1,37.0,37.6,8.96,139820
2012-06-07,39.3,37.8,39.3,39.0,9.29,168110
2012-06-08,39.5,38.5,39.0,39.3,9.36,56620
2012-06-11,40.0,39.0,39.3,39.9,9.5,118460
2012-06-12,39.7,38.5,39.0,39.4,9.38,140000
2012-06-13,39.5,38.6,39.5,39.3,9.36,139410
2012-06-14,39.3,38.6,39.3,39.3,9.36,141750
2012-06-15,41.0,39.1,39.5,41.0,9.77,557560
2012-06-18,41.8,40.6,40.6,40.9,9.74,305630
2012-06-19,40.9,38.9,40.9,40.8,9.72,141390
2012-06-20,40.8,39.5,40.8,40.7,9.69,61020
2012-06-21,40.5,39.0,39.0,40.4,9.62,110580
2012-06-22,40.5,38.8,40.4,40.1,9.55,64790
2012-06-25,39.9,39.0,39.0,39.5,9.41,187980
2012-06-26,39.7,39.5,39.5,39.7,9.46,172000
2012-06-27,39.8,39.6,39.8,39.8,9.48,175610
2012-06-28,40.2,39.2,39.2,40.2,9.57,332890
2012-06-29,41.9,40.2,41.9,41.0,9.77,151650
2012-07-02,41.8,41.0,41.8,41.7,9.93,52850
2012-07-03,41.7,41.0,41.7,41.4,9.86,63100
2012-07-04,41.9,40.0,41.4,41.4,9.86,65990
2012-07-05,41.4,40.1,41.4,41.0,9.77,109220
2012-07-06,41.5,40.5,41.5,41.5,9.88,68000
2012-07-09,40.9,39.5,40.5,40.0,9.53,96070
2012-07-10,40.0,38.8,38.8,40.0,9.53,1686550
2012-07-11,41.5,39.0,39.0,40.2,9.57,45670
2012-07-12,40.2,39.3,40.2,40.2,9.57,62650
2012-07-13,40.2,39.8,40.2,40.1,9.55,61060
2012-07-16,40.1,39.8,40.1,40.0,9.53,90340
2012-07-17,40.0,39.2,39.2,40.0,9.53,115370
2012-07-18,40.0,39.6,40.0,39.9,9.5,81440
2012-07-19,39.9,39.5,39.9,39.9,9.5,125610
2012-07-20,41.7,40.0,41.0,40.0,9.53,192120
2012-07-23,40.0,39.0,40.0,40.0,9.53,57320
2012-07-24,39.9,38.9,39.5,39.9,9.5,68560
2012-07-25,39.8,38.0,39.0,38.5,9.45,63990
2012-07-26,38.9,37.5,38.9,38.5,9.45,54830
2012-07-27,38.7,38.1,38.6,38.7,9.5,36350
2012-07-30,38.4,36.8,36.8,38.3,9.41,212180
2012-07-31,38.5,37.7,37.7,38.5,9.45,141120
2012-08-01,38.5,37.9,38.5,38.1,9.36,41550
2012-08-02,38.4,38.0,38.4,38.3,9.41,46440
2012-08-03,38.5,38.0,38.3,38.5,9.45,1056700
2012-08-06,38.8,38.0,38.5,38.6,9.48,158165
2012-08-07,38.8,38.5,38.8,38.7,9.5,102400
2012-08-08,38.8,38.5,38.7,38.8,9.53,57870
2012-08-09,38.8,38.6,38.8,38.7,9.5,139090
2012-08-10,38.7,37.9,38.7,37.9,9.31,78020
2012-08-13,38.0,37.8,37.9,38.0,9.33,82140
2012-08-14,38.0,37.7,38.0,38.0,9.33,115980
2012-08-15,38.0,37.7,38.0,37.9,9.31,57140
2012-08-16,38.2,37.6,37.9,37.9,9.31,66930
2012-08-17,38.2,37.5,37.5,38.2,9.38,83400
2012-08-20,39.2,38.2,38.5,39.1,9.6,206800
2012-08-21,38.8,37.2,38.5,37.4,9.18,173150
2012-08-22,38.5,37.5,37.5,38.3,9.41,210930
2012-08-23,38.6,36.4,38.6,38.0,9.33,80970
2012-08-24,38.3,36.4,36.6,38.0,9.33,84530
2012-08-27,38.0,36.5,38.0,37.0,9.09,161560
2012-08-28,37.9,37.0,37.8,37.9,9.31,132410
2012-08-29,32.5,30.4,30.4,32.3,9.52,56020
2012-08-30,33.0,32.2,32.9,32.9,9.7,289260
2012-08-31,32.8,32.0,32.8,32.0,9.43,63090
2012-09-04,32.0,31.4,32.0,31.4,9.25,97920
2012-09-05,31.4,30.4,31.4,30.5,8.99,72280
2012-09-06,30.1,29.0,30.1,29.3,8.63,146270
2012-09-07,29.5,27.9,29.5,27.9,8.22,142000
2012-09-10,27.1,26.6,26.8,27.0,7.96,246260
2012-09-11,27.2,26.2,27.0,27.0,7.96,161130
2012-09-12,28.0,26.3,27.0,28.0,8.25,60720
2012-09-13,28.5,27.4,27.5,28.0,8.25,114650
2012-09-14,28.5,27.8,28.5,28.0,8.25,309810
2012-09-17,28.0,27.0,28.0,27.0,7.96,73800
2012-09-18,26.9,26.2,26.5,26.7,7.87,69570
2012-09-19,26.5,25.4,26.0,25.4,7.49,151260
2012-09-20,26.6,24.2,24.3,26.6,7.84,494790
2012-09-21,27.9,25.3,27.7,25.3,7.46,1202420
2012-09-24,26.5,26.3,26.4,26.5,7.81,1063980
2012-09-25,27.8,27.7,27.8,27.8,8.19,581190
2012-09-26,28.3,27.4,27.8,27.8,8.19,224890
2012-09-27,29.0,27.9,29.0,28.5,8.4,521940
2012-09-28,28.5,27.8,28.4,28.0,8.25,1096870
2012-10-01,28.0,27.2,28.0,27.5,8.1,271650
2012-10-02,27.7,27.3,27.5,27.4,8.07,95010
2012-10-03,27.8,27.4,27.5,27.5,8.1,103490
2012-10-04,27.6,27.0,27.5,27.4,8.07,399930
2012-10-05,28.7,27.6,28.0,28.7,8.46,627400
2012-10-08,30.1,29.4,29.4,30.1,8.87,200510
2012-10-09,31.6,31.4,31.4,31.6,9.31,223740
2012-10-10,32.6,31.6,32.0,32.3,9.52,195690
2012-10-11,32.4,31.9,32.3,31.9,9.4,283460
2012-10-12,32.2,31.9,31.9,32.1,9.46,405109
2012-10-15,32.2,32.0,32.1,32.1,9.46,298480
2012-10-16,33.0,32.1,32.2,33.0,9.73,404260
2012-10-17,33.0,32.5,32.8,32.8,9.67,510170
2012-10-18,33.3,32.8,32.8,33.2,9.78,105520
2012-10-19,34.7,33.2,34.6,34.0,10.02,259690
2012-10-22,33.5,32.5,33.5,32.7,9.64,498360
2012-10-23,34.0,31.6,34.0,33.0,9.73,85780
2012-10-24,33.0,32.3,33.0,32.6,9.61,110060
2012-10-25,32.6,32.0,32.0,32.5,9.58,276970
2012-10-26,32.5,31.6,31.6,32.5,9.58,255040
2012-10-29,32.9,32.0,32.1,32.5,9.58,710650
2012-10-30,33.0,32.4,33.0,32.4,9.55,113750
2012-10-31,32.2,31.2,32.0,31.9,9.4,98980
2012-11-01,33.0,31.6,33.0,32.0,9.43,70930
2012-11-02,32.3,30.6,31.0,32.2,9.49,114090
2012-11-05,32.3,32.0,32.2,32.3,9.52,1059720
2012-11-06,32.3,31.9,32.0,31.9,9.4,420160
2012-11-07,32.3,31.8,31.8,32.1,9.46,327870
2012-11-08,33.7,32.5,32.5,33.7,9.93,545690
2012-11-09,35.3,35.1,35.2,35.3,10.4,640400
2012-11-12,36.8,34.6,34.6,35.0,10.31,1067490
2012-11-13,35.4,34.5,34.5,35.4,10.43,293940
2012-11-14,36.3,35.0,35.0,35.5,10.46,459520
2012-11-15,36.3,35.6,36.3,36.1,10.64,1821710
2012-11-16,37.3,36.0,36.1,37.3,10.99,301900
2012-11-19,38.8,36.9,37.0,38.6,11.38,1819396
2012-11-20,40.5,38.6,38.9,40.5,11.94,1186870
2012-11-21,42.5,38.5,41.0,40.9,12.05,2608134
2012-11-22,40.5,38.9,40.0,40.5,11.94,189840
2012-11-23,40.1,38.6,39.9,39.9,11.76,2165306
2012-11-26,40.3,38.6,40.3,40.0,11.79,117550
2012-11-27,39.8,39.0,39.0,39.0,11.49,2544269
2012-11-28,40.6,39.0,39.5,40.0,11.79,950200
2012-11-29,40.2,39.0,39.1,40.0,11.79,57940
2012-11-30,40.0,38.9,40.0,39.5,11.64,127140
2012-12-03,39.8,39.2,39.8,39.2,11.55,83930
2012-12-04,39.8,39.0,39.7,39.2,11.55,140910
2012-12-05,40.0,39.2,40.0,39.6,11.67,111490
2012-12-06,39.8,39.0,39.8,39.6,11.67,46950
2012-12-07,39.6,39.0,39.6,39.3,11.58,75720
2012-12-10,39.4,38.8,39.0,39.3,11.58,70240
2012-12-11,39.3,38.5,38.5,38.5,11.35,145760
2012-12-12,39.5,38.5,39.0,39.0,11.49,75000
2012-12-13,39.3,38.3,39.0,39.3,11.58,85290
2012-12-14,39.4,38.6,39.4,39.3,11.58,321310
2012-12-17,39.4,38.8,38.8,39.3,11.58,13630
2012-12-18,39.3,38.5,38.7,39.2,11.55,191290
2012-12-19,39.2,38.0,38.0,39.2,11.55,65130
2012-12-20,39.2,38.1,39.2,39.0,11.49,44500
2012-12-21,39.0,37.2,38.2,39.0,11.49,143350
2012-12-24,39.0,37.9,38.0,38.9,11.46,15850
2012-12-25,39.0,38.1,38.9,38.8,11.43,23000
2012-12-26,38.8,38.2,38.8,38.8,11.43,35940
2012-12-27,39.8,38.0,38.7,39.8,11.73,72330
2012-12-28,40.0,38.5,39.6,40.0,11.79,107500
2013-01-02,41.0,38.8,38.8,41.0,12.08,38380
2013-01-03,40.3,39.5,40.0,40.3,11.88,48040
2013-01-04,40.5,39.5,40.3,40.5,11.94,31860
2013-01-07,40.9,40.0,40.5,40.9,12.05,494830
2013-01-08,40.9,40.0,40.5,40.9,12.05,52880
2013-01-09,42.9,40.5,40.9,42.2,12.44,164260
2013-01-10,42.3,41.0,42.2,42.3,12.47,325090
2013-01-11,43.6,42.0,43.6,42.5,12.52,58490
2013-01-14,44.6,42.0,42.8,44.6,13.14,188230
2013-01-15,47.5,45.0,47.5,46.5,13.7,88890
2013-01-16,47.9,46.6,47.5,47.9,14.12,77310
2013-01-17,48.0,46.1,47.9,47.3,13.94,120370
2013-01-18,47.2,46.6,46.7,46.6,13.73,76280
2013-01-21,47.0,44.0,47.0,44.0,12.97,2487368
2013-01-22,45.0,42.5,42.5,44.2,13.03,328400
2013-01-23,45.0,43.3,43.3,44.3,13.06,23610
2013-01-24,44.9,44.0,44.9,44.8,13.2,24230
2013-01-25,46.0,44.1,44.1,45.8,13.5,174700
2013-01-28,47.0,46.2,47.0,46.3,13.64,25670
2013-01-29,46.4,45.3,46.4,46.0,13.56,127190
2013-01-30,45.8,44.6,45.8,45.5,13.41,91940
2013-01-31,45.6,44.2,45.5,45.6,13.44,75590
2013-02-01,45.6,44.1,45.6,45.5,13.41,28050
2013-02-04,45.5,44.8,45.0,45.4,13.38,27440
2013-02-05,45.5,44.6,44.6,45.2,13.32,19630
2013-02-06,45.6,44.9,44.9,45.5,13.41,56340
2013-02-07,45.1,44.9,44.9,45.1,13.29,14690
2013-02-08,46.0,45.2,45.5,46.0,13.56,379180
2013-02-18,49.1,46.2,47.0,46.5,13.7,246240
2013-02-19,46.8,46.0,46.8,46.5,13.7,23420
2013-02-20,46.5,44.9,44.9,46.2,13.62,159510
2013-02-21,46.0,45.0,45.5,46.0,13.56,64780
2013-02-22,46.7,43.9,46.5,46.5,13.7,191170
2013-02-25,49.6,47.0,47.0,49.6,14.62,197120
2013-02-26,51.0,49.0,50.0,49.1,14.47,247060
2013-02-27,49.1,47.6,49.1,48.9,14.71,66600
2013-02-28,49.0,48.2,48.9,48.6,14.62,50360
2013-03-01,48.8,48.5,48.6,48.6,14.62,118480
2013-03-04,48.6,47.4,48.6,48.1,14.47,63090
2013-03-05,48.1,47.1,48.1,47.5,14.29,56050
2013-03-06,48.0,47.5,47.5,48.0,14.44,9580
2013-03-07,47.9,47.0,47.2,47.0,14.14,77290
2013-03-08,48.0,47.9,47.9,47.9,14.41,164070
2013-03-11,49.1,47.5,47.7,48.0,14.44,23180
2013-03-12,48.3,47.2,48.0,48.0,14.44,207170
2013-03-13,49.3,47.9,49.3,48.5,14.59,166720
2013-03-14,48.5,47.5,47.5,48.4,14.56,321990
2013-03-15,48.5,48.0,48.5,48.3,14.53,29950
2013-03-18,49.0,47.6,47.8,47.7,14.35,37100
2013-03-19,47.9,47.0,47.9,47.5,14.29,223260
2013-03-20,47.5,47.0,47.0,47.4,14.26,6090970
2013-03-21,48.0,46.7,48.0,47.8,14.38,7056602
2013-03-22,47.9,46.1,47.1,47.0,14.14,102720
2013-03-25,47.2,46.3,46.3,47.2,14.2,8100
2013-03-26,48.0,46.6,47.5,47.2,14.2,10900
2013-03-27,47.2,46.5,47.0,47.2,14.2,75270
2013-03-28,47.2,46.2,47.2,47.1,14.17,158680
2013-03-29,47.4,46.6,47.4,47.2,14.2,79700
2013-04-01,47.5,47.1,47.5,47.5,14.29,28670
2013-04-02,49.5,47.3,47.5,49.4,14.86,187360
2013-04-03,49.5,48.0,48.6,49.5,14.89,127150
2013-04-04,49.5,48.6,49.4,49.5,14.89,169160
2013-04-05,49.8,48.0,49.5,48.0,14.44,72140
2013-04-08,48.4,47.1,48.3,48.4,14.56,74950
2013-04-09,49.0,47.7,48.0,48.5,14.59,234870
2013-04-10,48.8,48.0,48.0,48.5,14.59,239280
2013-04-11,48.8,48.4,48.5,48.8,14.68,426540
