Date,High,Low,Open,Close,adjust,Volume
2012-01-03,3.1,3.0,3.0,3.1,2.42,21940
2012-01-04,3.2,3.0,3.1,3.1,2.42,83650
2012-01-05,3.1,3.0,3.1,3.1,2.42,70460
2012-01-06,3.1,3.0,3.1,3.1,2.42,81640
2012-01-09,3.1,3.0,3.0,3.1,2.42,60910
2012-01-10,3.2,3.2,3.2,3.2,2.5,93870
2012-01-11,3.3,3.2,3.3,3.3,2.57,86410
2012-01-12,3.3,3.2,3.3,3.2,2.5,16540
2012-01-13,3.2,3.1,3.1,3.1,2.42,151170
2012-01-16,3.2,3.1,3.1,3.2,2.5,46480
2012-01-17,3.2,3.1,3.2,3.2,2.5,22330
2012-01-18,3.2,3.1,3.2,3.2,2.5,11820
2012-01-19,3.3,3.2,3.2,3.3,2.57,191480
2012-01-20,3.4,3.3,3.3,3.4,2.65,82400
2012-01-30,3.5,3.3,3.4,3.5,2.73,28430
2012-01-31,3.4,3.4,3.4,3.4,2.65,39780
2012-02-01,3.3,3.3,3.3,3.3,2.57,2100
2012-02-02,3.3,3.2,3.2,3.2,2.5,492270
2012-02-03,3.3,3.1,3.3,3.2,2.5,219660
2012-02-06,3.3,3.1,3.1,3.3,2.57,156190
2012-02-07,3.4,3.2,3.3,3.3,2.57,110820
2012-02-08,3.4,3.3,3.3,3.3,2.57,116240
2012-02-09,3.3,3.2,3.2,3.2,2.5,110110
2012-02-10,3.2,3.1,3.2,3.1,2.42,85940
2012-02-13,3.1,3.0,3.0,3.0,2.34,58200
2012-02-14,3.1,3.0,3.1,3.1,2.42,70400
2012-02-15,3.1,3.1,3.1,3.1,2.42,13510
2012-02-16,3.1,3.0,3.1,3.0,2.34,30620
2012-02-17,3.1,3.1,3.1,3.1,2.42,48690
2012-02-20,3.2,3.1,3.2,3.2,2.5,121640
2012-02-21,3.2,3.1,3.2,3.1,2.42,146130
2012-02-22,3.2,3.0,3.1,3.2,2.5,161960
2012-02-23,3.3,3.1,3.2,3.3,2.57,319020
2012-02-24,3.4,3.3,3.4,3.3,2.57,192080
2012-02-27,3.4,3.3,3.3,3.4,2.65,175260
2012-02-28,3.5,3.3,3.5,3.4,2.65,385640
2012-02-29,3.4,3.3,3.4,3.4,2.65,341770
2012-03-01,3.4,3.3,3.4,3.4,2.65,108950
2012-03-02,3.5,3.3,3.3,3.5,2.73,383120
2012-03-05,3.6,3.6,3.6,3.6,2.81,169170
2012-03-06,3.7,3.5,3.7,3.7,2.88,934940
2012-03-07,3.8,3.6,3.8,3.8,2.96,630400
2012-03-08,3.8,3.7,3.7,3.7,2.88,294130
2012-03-09,3.7,3.6,3.7,3.6,2.81,162290
2012-03-12,3.6,3.5,3.6,3.5,2.73,97530
2012-03-13,3.5,3.4,3.5,3.4,2.65,393000
2012-03-14,3.5,3.3,3.4,3.3,2.57,410240
2012-03-15,3.4,3.2,3.3,3.4,2.65,250680
2012-03-16,3.5,3.4,3.5,3.5,2.73,343180
2012-03-19,3.6,3.4,3.4,3.5,2.73,240190
2012-03-20,3.6,3.4,3.5,3.5,2.73,197020
2012-03-21,3.6,3.5,3.6,3.6,2.81,607490
2012-03-22,3.7,3.5,3.6,3.5,2.73,255260
2012-03-23,3.6,3.5,3.5,3.6,2.81,663950
2012-03-26,3.7,3.6,3.7,3.7,2.88,576270
2012-03-27,3.8,3.7,3.8,3.8,2.96,829890
2012-03-28,3.9,3.7,3.8,3.7,2.88,504660
2012-03-29,3.8,3.6,3.7,3.6,2.81,332980
2012-03-30,3.6,3.5,3.6,3.5,2.73,331270
2012-04-03,3.6,3.4,3.5,3.5,2.73,515980
2012-04-04,3.6,3.4,3.5,3.4,2.65,252500
2012-04-05,3.5,3.4,3.4,3.5,2.73,117130
2012-04-06,3.6,3.4,3.5,3.6,2.81,189980
2012-04-09,3.6,3.5,3.5,3.5,2.73,254300
2012-04-10,3.6,3.5,3.5,3.5,2.73,289020
2012-04-11,3.6,3.5,3.6,3.6,2.81,351260
2012-04-12,3.7,3.6,3.6,3.6,2.81,362660
2012-04-13,3.7,3.6,3.6,3.6,2.81,496200
2012-04-16,3.7,3.6,3.6,3.7,2.88,497870
2012-04-17,3.8,3.8,3.8,3.8,2.96,322120
2012-04-18,3.9,3.9,3.9,3.9,3.04,69550
2012-04-19,4.0,4.0,4.0,4.0,3.12,75790
2012-04-20,4.2,3.9,4.2,4.0,3.12,1609000
2012-04-23,4.1,3.9,4.0,4.0,3.12,443680
2012-04-24,4.1,3.9,4.0,4.1,3.2,217250
2012-04-25,4.3,4.1,4.2,4.3,3.35,681770
2012-04-26,4.5,4.3,4.4,4.5,3.51,1038000
2012-04-27,4.7,4.7,4.7,4.7,3.66,254030
2012-05-02,4.9,4.9,4.9,4.9,3.82,1660190
2012-05-03,5.1,5.1,5.1,5.1,3.98,431400
2012-05-04,5.3,5.3,5.3,5.3,4.13,56190
2012-05-07,5.5,5.5,5.5,5.5,4.29,56620
2012-05-08,5.7,5.7,5.7,5.7,4.44,90050
2012-05-09,5.9,5.9,5.9,5.9,4.6,160210
2012-05-10,6.1,6.0,6.1,6.1,4.76,2483920
2012-05-11,6.4,5.9,6.2,6.0,4.68,2263180
2012-05-14,6.2,5.7,6.0,5.7,4.44,787450
2012-05-15,5.9,5.5,5.5,5.6,4.37,636900
2012-05-16,5.8,5.4,5.6,5.6,4.37,1226800
2012-05-17,5.8,5.6,5.6,5.8,4.52,842360
2012-05-18,6.0,5.6,5.8,5.9,4.6,775800
2012-05-21,6.1,6.0,6.0,6.1,4.76,429770
2012-05-22,6.1,5.8,5.9,5.8,4.52,465620
2012-05-23,5.6,5.6,5.6,5.6,4.37,17870
2012-05-24,5.4,5.4,5.4,5.4,4.21,8710
2012-05-25,5.6,5.2,5.2,5.2,4.05,1430840
2012-05-28,5.3,5.0,5.3,5.0,3.9,811580
2012-05-29,5.0,4.8,5.0,4.9,3.82,353970
2012-05-30,5.1,5.0,5.0,5.1,3.98,88070
2012-05-31,5.2,4.9,5.1,5.0,3.9,505690
2012-06-01,5.2,5.2,5.2,5.2,4.05,640730
2012-06-04,5.4,5.1,5.4,5.4,4.21,511200
2012-06-05,5.6,5.3,5.5,5.4,4.21,369900
2012-06-06,5.5,5.3,5.4,5.4,4.21,265820
2012-06-07,5.6,5.3,5.4,5.6,4.37,842520
2012-06-08,5.8,5.4,5.7,5.4,4.21,486470
2012-06-11,5.5,5.2,5.4,5.3,4.13,315920
2012-06-12,5.2,5.0,5.0,5.2,4.3,479700
2012-06-13,5.3,5.0,5.3,5.1,4.22,233100
2012-06-14,5.2,5.0,5.1,5.0,4.13,152050
2012-06-15,5.2,4.9,5.1,4.9,4.05,217070
2012-06-18,5.1,4.9,5.0,5.0,4.13,245890
2012-06-19,5.1,4.8,5.1,4.8,3.97,269100
2012-06-20,4.9,4.8,4.8,4.9,4.05,167770
2012-06-21,4.9,4.7,4.9,4.7,3.88,291710
2012-06-22,4.7,4.5,4.6,4.5,3.72,524100
2012-06-25,4.6,4.3,4.4,4.3,3.55,396220
2012-06-26,4.2,4.1,4.2,4.1,3.39,440590
2012-06-27,4.2,3.9,4.2,3.9,3.22,527320
2012-06-28,3.9,3.8,3.8,3.9,3.22,428950
2012-06-29,4.0,3.9,3.9,4.0,3.31,322710
2012-07-02,4.0,3.8,4.0,3.8,3.14,196840
2012-07-03,3.8,3.7,3.7,3.7,3.06,267340
2012-07-04,3.7,3.6,3.7,3.6,2.98,462490
2012-07-05,3.7,3.5,3.6,3.7,3.06,148850
2012-07-06,3.8,3.8,3.8,3.8,3.14,30170
2012-07-09,3.9,3.9,3.9,3.9,3.22,59760
2012-07-10,4.0,3.8,3.9,3.8,3.14,419990
2012-07-11,3.8,3.7,3.8,3.8,3.14,422050
2012-07-12,3.9,3.8,3.8,3.9,3.22,126020
2012-07-13,4.0,3.9,3.9,4.0,3.31,299080
2012-07-16,4.2,4.0,4.1,4.1,3.39,653700
2012-07-17,4.3,4.0,4.0,4.3,3.55,292450
2012-07-18,4.3,4.1,4.2,4.2,3.47,367420
2012-07-19,4.4,4.1,4.2,4.4,3.64,726200
2012-07-20,4.6,4.3,4.4,4.3,3.55,721430
2012-07-23,4.4,4.1,4.2,4.4,3.64,514180
2012-07-24,4.3,4.2,4.3,4.2,3.47,225260
2012-07-25,4.2,4.0,4.0,4.0,3.31,532900
