Date,High,Low,Open,Close,adjust,Volume
2012-01-03,7.2,6.9,7.1,6.9,1.35,13190
2012-01-04,7.1,6.9,6.9,7.1,1.39,28930
2012-01-05,7.1,7.0,7.0,7.0,1.37,22800
2012-01-06,6.1,5.7,5.8,6.0,1.37,37170
2012-01-09,5.9,5.7,5.8,5.9,1.34,10950
2012-01-10,5.9,5.7,5.9,5.9,1.34,38630
2012-01-11,6.0,5.7,6.0,5.7,1.3,12700
2012-01-12,5.9,5.6,5.8,5.9,1.34,8450
2012-01-13,5.9,5.7,5.7,5.9,1.34,8720
2012-01-16,6.0,5.8,5.9,5.8,1.32,16330
2012-01-17,5.8,5.7,5.7,5.8,1.32,5880
2012-01-18,5.9,5.8,5.8,5.9,1.34,2450
2012-01-19,6.1,5.9,5.9,6.1,1.39,12800
2012-01-20,6.4,6.1,6.2,6.2,1.41,18060
2012-01-30,6.4,6.2,6.4,6.3,1.44,11900
2012-01-31,6.5,6.2,6.3,6.5,1.48,30070
2012-02-01,6.5,6.2,6.5,6.4,1.46,28130
2012-02-02,6.7,6.5,6.5,6.7,1.53,18300
2012-02-03,6.7,6.5,6.7,6.6,1.5,39210
2012-02-06,6.5,6.4,6.4,6.4,1.46,35810
2012-02-07,6.4,6.4,6.4,6.4,1.46,19570
2012-02-08,6.6,6.4,6.5,6.6,1.5,41330
2012-02-09,6.5,6.5,6.5,6.5,1.48,10350
2012-02-10,6.6,6.5,6.5,6.6,1.5,38340
2012-02-13,6.7,6.5,6.5,6.6,1.5,51710
2012-02-14,6.7,6.6,6.6,6.6,1.5,7980
2012-02-15,6.7,6.6,6.7,6.7,1.53,16570
2012-02-16,6.7,6.6,6.6,6.7,1.53,490
2012-02-17,6.7,6.5,6.7,6.7,1.53,17100
2012-02-20,6.9,6.4,6.4,6.9,1.57,24840
2012-02-21,7.1,6.9,7.1,7.0,1.59,34730
2012-02-22,7.2,7.0,7.0,7.2,1.64,23730
2012-02-23,7.3,7.0,7.0,7.3,1.66,10400
2012-02-24,7.4,7.2,7.2,7.3,1.66,26200
2012-02-27,7.5,7.2,7.3,7.5,1.71,66020
2012-02-28,7.5,7.2,7.5,7.2,1.64,30750
2012-02-29,7.4,7.1,7.2,7.1,1.62,5610
2012-03-01,7.2,7.1,7.2,7.2,1.64,18910
2012-03-02,7.3,7.1,7.3,7.2,1.64,59660
2012-03-05,7.5,7.4,7.5,7.5,1.71,49710
2012-03-06,7.8,7.4,7.7,7.6,1.73,47300
2012-03-07,7.5,7.3,7.4,7.5,1.71,126140
2012-03-08,7.3,7.2,7.3,7.2,1.64,74920
2012-03-09,7.2,7.0,7.1,7.2,1.64,37530
2012-03-12,7.2,7.0,7.2,7.0,1.59,25740
2012-03-13,7.3,7.1,7.2,7.2,1.64,36210
2012-03-14,7.3,7.1,7.2,7.3,1.66,14640
2012-03-15,7.5,7.1,7.1,7.5,1.71,30870
2012-03-16,7.6,7.5,7.6,7.5,1.71,45720
2012-03-19,7.5,7.2,7.5,7.3,1.66,80410
2012-03-20,7.4,7.3,7.3,7.4,1.69,8610
2012-03-21,7.6,7.4,7.4,7.4,1.69,80480
2012-03-22,7.5,7.4,7.5,7.5,1.71,40610
2012-03-23,7.7,7.5,7.5,7.6,1.73,106910
2012-03-26,7.9,7.6,7.7,7.9,1.8,215010
2012-03-27,8.2,7.9,8.2,8.0,1.82,141820
2012-03-28,8.0,7.8,8.0,7.8,1.78,55070
2012-03-29,8.0,7.8,8.0,7.8,1.78,122470
2012-03-30,7.9,7.7,7.8,7.7,1.75,70360
2012-04-03,7.9,7.6,7.7,7.8,1.78,128530
2012-04-04,7.9,7.7,7.8,7.9,1.8,34170
2012-04-05,7.9,7.6,7.7,7.9,1.8,18150
2012-04-06,7.9,7.7,7.9,7.9,1.8,58150
2012-04-09,8.0,7.8,7.9,7.9,1.8,95000
2012-04-10,8.0,7.8,7.8,7.8,1.78,55160
2012-04-11,8.1,7.9,8.0,8.0,1.82,106180
2012-04-12,8.4,8.0,8.0,8.4,1.91,165130
2012-04-13,8.5,8.3,8.5,8.4,1.91,28260
2012-04-16,8.7,8.2,8.3,8.6,1.96,75200
2012-04-17,9.0,8.6,8.8,8.7,1.98,116410
2012-04-18,8.7,8.5,8.7,8.5,1.94,149220
2012-04-19,8.6,8.2,8.5,8.3,1.89,95680
2012-04-20,8.6,8.3,8.5,8.4,1.91,23410
2012-04-23,8.7,8.4,8.7,8.6,1.96,23990
2012-04-24,9.0,8.7,8.7,9.0,2.05,127540
2012-04-25,9.4,9.4,9.4,9.4,2.14,13100
2012-04-26,9.8,9.8,9.8,9.8,2.23,3550
2012-04-27,10.2,10.1,10.2,10.2,2.32,231760
2012-05-02,10.7,10.5,10.7,10.5,2.39,374880
2012-05-03,10.9,10.2,10.3,10.4,2.37,117790
2012-05-04,10.7,10.0,10.4,10.0,2.28,100260
2012-05-07,10.5,10.3,10.4,10.5,2.39,158510
2012-05-08,11.0,10.3,10.5,10.4,2.37,171480
2012-05-09,10.4,10.0,10.4,10.2,2.32,76280
2012-05-10,10.4,10.0,10.2,10.0,2.28,127160
2012-05-11,10.2,9.8,10.1,9.8,2.23,78940
2012-05-14,9.8,9.4,9.6,9.4,2.14,76680
2012-05-15,9.6,9.0,9.0,9.0,2.05,66830
2012-05-16,9.2,8.7,8.8,8.9,2.03,26880
2012-05-17,9.3,8.6,8.6,8.9,2.03,33160
2012-05-18,9.1,8.8,9.1,8.8,2.0,68750
2012-05-21,9.2,9.1,9.1,9.2,2.1,36100
2012-05-22,9.6,9.3,9.6,9.6,2.19,26860
2012-05-23,9.7,9.3,9.4,9.4,2.14,47460
2012-05-24,9.4,9.1,9.3,9.4,2.14,46770
2012-05-25,9.7,9.4,9.4,9.7,2.21,16070
2012-05-28,10.0,9.5,10.0,9.8,2.23,14310
2012-05-29,9.7,9.4,9.7,9.5,2.16,34930
2012-05-30,9.9,9.3,9.3,9.6,2.19,34130
2012-05-31,9.7,9.4,9.5,9.5,2.16,34950
2012-06-01,9.7,9.4,9.5,9.4,2.14,15490
2012-06-04,9.6,9.2,9.4,9.2,2.1,4880
2012-06-05,9.5,9.2,9.4,9.4,2.14,35000
2012-06-06,9.6,9.5,9.6,9.5,2.16,27990
2012-06-07,9.9,9.6,9.7,9.8,2.23,37200
2012-06-08,10.0,9.7,9.9,9.7,2.21,28210
2012-06-11,9.8,9.6,9.6,9.6,2.19,13020
2012-06-12,9.6,9.5,9.5,9.5,2.16,27090
2012-06-13,9.5,9.4,9.4,9.5,2.16,8560
2012-06-14,9.6,9.4,9.5,9.4,2.14,35010
2012-06-15,9.6,9.4,9.4,9.4,2.14,8740
2012-06-18,9.7,9.4,9.4,9.6,2.19,7160
2012-06-19,9.8,9.5,9.5,9.5,2.16,18280
2012-06-20,9.6,9.5,9.5,9.5,2.16,16110
2012-06-21,9.5,9.5,9.5,9.5,2.16,20000
2012-06-22,9.5,9.5,9.5,9.5,2.16,31060
2012-06-25,9.6,9.5,9.5,9.5,2.16,20010
2012-06-26,9.4,9.4,9.4,9.4,2.14,19470
2012-06-27,9.6,9.4,9.6,9.5,2.16,12310
2012-06-28,9.5,9.1,9.5,9.2,2.1,43200
2012-06-29,9.4,9.1,9.4,9.1,2.07,6050
2012-07-02,9.4,8.7,9.4,8.7,1.98,24570
2012-07-03,9.0,8.7,8.8,8.7,1.98,48240
2012-07-04,8.9,8.6,8.9,8.6,1.96,24200
2012-07-05,8.8,8.7,8.8,8.7,1.98,19990
2012-07-06,9.0,8.7,8.9,8.8,2.0,13260
2012-07-09,8.8,8.7,8.8,8.7,1.98,24610
2012-07-10,8.7,8.7,8.7,8.7,1.98,1410
2012-07-11,8.8,8.8,8.8,8.8,2.0,1000
2012-07-12,9.1,8.7,9.0,8.7,1.98,25130
2012-07-13,9.1,8.8,9.0,8.8,2.0,20110
2012-07-16,9.1,9.0,9.1,9.0,2.05,25160
2012-07-17,9.2,9.2,9.2,9.2,2.1,15010
2012-07-18,9.3,9.1,9.2,9.1,2.07,5790
2012-07-19,9.3,9.0,9.0,9.2,2.1,12220
2012-07-20,9.4,9.1,9.2,9.2,2.1,19300
2012-07-23,9.4,9.2,9.2,9.2,2.1,3590
2012-07-24,9.4,9.2,9.3,9.2,2.1,10920
2012-07-25,9.2,9.2,9.2,9.2,2.1,5000
2012-07-26,9.3,9.2,9.2,9.3,2.12,28310
2012-07-27,9.4,9.2,9.4,9.4,2.14,3020
2012-07-30,9.4,9.2,9.4,9.2,2.1,5570
2012-07-31,9.3,9.2,9.2,9.3,2.12,55990
2012-08-01,9.3,9.2,9.2,9.2,2.1,54310
2012-08-02,9.4,9.2,9.2,9.2,2.1,8980
2012-08-03,9.2,9.2,9.2,9.2,2.1,3000
2012-08-06,9.4,9.2,9.4,9.2,2.1,7030
2012-08-07,9.4,9.2,9.2,9.2,2.1,10160
