Date,High,Low,Open,Close,adjust,Volume
2015-08-12,16.8,16.8,16.8,16.8,7.52,1197100
2015-08-13,17.4,15.7,15.7,16.8,7.52,1032160
2015-08-14,16.8,15.7,16.8,15.7,7.03,43220
2015-08-17,15.7,14.7,14.8,14.7,6.58,233640
2015-08-18,14.5,13.7,13.9,14.1,6.31,192470
2015-08-19,13.8,13.2,13.4,13.2,5.91,199870
2015-08-20,13.0,12.3,12.8,12.8,5.73,559440
2015-08-21,13.5,12.0,13.2,12.8,5.73,186130
2015-08-24,12.4,12.0,12.4,12.0,5.37,129560
2015-08-25,12.0,11.2,12.0,11.6,5.19,256450
2015-08-26,12.2,11.1,11.1,11.7,5.24,146730
2015-08-27,12.5,11.9,12.2,12.0,5.37,84660
2015-08-28,12.3,11.7,12.0,11.9,5.33,139320
2015-08-31,12.2,11.7,11.9,11.9,5.33,161890
2015-09-01,12.7,11.7,11.7,12.4,5.55,220520
2015-09-03,13.0,12.1,12.1,12.4,5.55,1022380
2015-09-04,13.2,12.2,12.8,13.2,5.91,2061900
2015-09-07,14.0,13.5,13.7,13.8,6.18,416610
2015-09-08,14.3,13.4,13.6,14.3,6.4,319070
2015-09-09,14.3,13.7,14.3,13.8,6.18,441160
2015-09-10,14.2,13.5,13.6,13.5,6.04,496090
2015-09-11,14.4,13.2,13.6,14.3,6.4,2194520
2015-09-14,14.4,13.8,14.4,14.0,6.27,397890
2015-09-15,14.0,13.6,13.6,13.9,6.22,388850
2015-09-16,14.0,13.8,13.9,13.9,6.22,309730
2015-09-17,14.5,14.0,14.0,14.2,6.35,613460
2015-09-18,15.0,14.4,14.6,15.0,6.71,942230
2015-09-21,15.0,14.7,14.9,14.9,6.67,416000
2015-09-22,15.5,14.9,14.9,15.5,6.94,904780
2015-09-23,15.8,15.2,15.2,15.8,7.07,623070
2015-09-24,15.6,15.2,15.6,15.3,6.85,1198320
2015-09-25,15.2,14.8,14.9,15.1,6.76,561830
2015-09-28,14.9,14.4,14.9,14.4,6.44,1059650
2015-09-29,14.7,14.0,14.3,14.4,6.44,439480
2015-09-30,14.8,14.0,14.5,14.0,6.27,2968690
2015-10-01,14.9,14.4,14.4,14.5,6.49,5753160
2015-10-02,14.8,14.6,14.8,14.7,6.58,375940
2015-10-05,15.0,14.5,14.7,15.0,6.71,482710
2015-10-06,15.4,14.9,15.2,15.2,6.8,5459820
2015-10-07,15.4,15.1,15.4,15.2,6.8,946050
2015-10-08,15.6,15.3,15.3,15.4,6.89,500050
2015-10-09,15.7,15.3,15.5,15.3,6.85,546060
2015-10-12,15.4,14.9,15.4,15.1,6.76,3873380
2015-10-13,15.2,14.7,15.0,14.7,6.58,487570
2015-10-14,15.0,14.7,14.9,14.9,6.67,275170
2015-10-15,15.2,14.8,14.9,15.0,6.71,327270
2015-10-16,15.2,15.0,15.1,15.1,6.76,633950
2015-10-19,15.1,14.9,15.1,14.9,6.67,205130
2015-10-20,14.9,14.5,14.9,14.8,6.62,451490
2015-10-21,15.0,14.7,14.8,15.0,6.71,505920
2015-10-22,15.2,14.6,15.0,15.2,6.8,336560
2015-10-23,15.6,15.0,15.2,15.6,6.98,1831390
2015-10-26,15.9,15.4,15.9,15.6,6.98,782880
2015-10-27,15.6,15.4,15.6,15.6,6.98,382930
2015-10-28,15.7,15.3,15.7,15.5,6.94,857450
2015-10-29,16.5,15.4,15.5,16.5,7.38,440130
2015-10-30,16.4,15.9,16.2,16.2,7.25,551100
2015-11-02,16.8,16.2,16.2,16.6,7.43,2631200
2015-11-03,17.0,16.3,16.5,17.0,7.61,1062440
2015-11-04,17.2,16.9,17.0,17.2,7.7,614030
2015-11-05,17.3,16.8,17.1,16.9,7.56,791260
2015-11-06,16.9,16.3,16.9,16.3,7.29,1209300
2015-11-09,16.6,16.1,16.3,16.4,7.34,1479620
2015-11-10,16.4,15.3,16.4,15.3,6.85,1522750
2015-11-11,14.8,14.3,14.3,14.3,6.4,1572850
2015-11-12,13.3,13.3,13.3,13.3,5.95,522890
2015-11-13,13.9,13.3,13.3,13.5,6.04,1974690
2015-11-16,13.5,12.6,13.3,12.6,5.64,1218710
2015-11-17,12.6,12.0,12.6,12.5,5.59,1266280
2015-11-18,13.3,12.4,12.5,13.3,5.95,555960
2015-11-19,13.3,12.8,13.3,12.8,5.73,549330
2015-11-20,13.2,12.6,12.6,13.0,5.82,494330
2015-11-23,13.3,12.8,13.1,12.9,5.77,444150
2015-11-24,12.9,12.5,12.8,12.6,5.64,429220
2015-11-25,12.8,12.3,12.6,12.7,5.68,543060
2015-11-26,12.9,12.5,12.9,12.5,5.59,457560
2015-11-27,12.6,12.3,12.4,12.3,5.5,262720
2015-11-30,12.3,11.5,12.3,11.6,5.19,573440
2015-12-01,11.8,11.5,11.6,11.6,5.19,254760
2015-12-02,11.9,11.7,11.7,11.7,5.24,163680
2015-12-03,12.3,11.7,11.8,12.3,5.5,654820
2015-12-04,12.4,11.9,12.2,12.4,5.55,196860
2015-12-07,12.4,11.9,12.4,12.2,5.46,207600
2015-12-08,12.4,11.9,11.9,12.4,5.55,319500
2015-12-09,12.4,12.0,12.4,12.0,5.37,493610
2015-12-10,12.0,11.6,11.8,11.6,5.19,494240
2015-12-11,12.0,11.7,12.0,11.7,5.24,88660
2015-12-14,12.0,11.7,11.8,11.8,5.28,237430
2015-12-15,12.0,11.7,11.8,11.9,5.33,221780
2015-12-16,12.5,11.8,11.9,12.5,5.59,345490
2015-12-17,12.4,12.2,12.4,12.3,5.5,217390
2015-12-18,12.2,12.0,12.2,12.1,5.41,168680
2015-12-21,12.2,11.9,12.1,11.9,5.33,220510
2015-12-22,12.0,11.7,11.9,11.8,5.28,246230
2015-12-23,12.0,11.7,11.9,11.7,5.24,315140
2015-12-24,11.9,11.7,11.8,11.9,5.33,265170
2015-12-25,11.9,11.6,11.6,11.8,5.28,65530
2015-12-28,11.9,11.3,11.9,11.6,5.19,356170
2015-12-29,11.5,11.3,11.3,11.5,5.15,217280
2015-12-30,11.6,11.4,11.5,11.5,5.15,157000
2015-12-31,11.7,11.3,11.7,11.7,5.24,227410
2016-01-04,11.7,11.5,11.5,11.5,5.15,70520
2016-01-05,11.5,11.4,11.4,11.4,5.1,219970
2016-01-06,11.6,11.3,11.4,11.4,5.1,164510
2016-01-07,11.3,10.7,11.3,10.7,4.79,412620
2016-01-08,10.4,10.0,10.2,10.0,4.48,1410490
2016-01-11,10.3,9.7,9.7,9.9,4.43,333200
2016-01-12,10.4,9.9,10.0,10.4,4.65,326230
2016-01-13,10.7,10.2,10.6,10.2,4.56,403970
2016-01-14,10.3,10.0,10.0,10.3,4.61,202720
2016-01-15,10.3,10.1,10.3,10.1,4.52,174530
2016-01-18,9.8,9.4,9.7,9.4,4.21,559870
2016-01-19,9.5,9.1,9.4,9.5,4.25,115610
2016-01-20,9.8,9.2,9.7,9.7,4.34,668290
2016-01-21,10.3,9.6,9.6,9.6,4.3,497930
2016-01-22,10.0,9.6,10.0,9.9,4.43,676250
2016-01-25,10.5,10.0,10.0,10.5,4.7,394310
2016-01-26,11.2,10.2,10.4,10.9,4.88,982120
2016-01-27,11.4,11.1,11.3,11.3,5.06,720220
2016-01-28,11.4,11.1,11.2,11.2,5.01,282920
2016-01-29,11.5,11.2,11.3,11.4,5.1,309410
2016-02-01,11.6,10.9,11.6,10.9,4.88,561270
2016-02-02,10.9,10.7,10.8,10.7,4.79,349970
2016-02-03,11.2,10.5,10.7,11.2,5.01,206090
2016-02-04,11.2,10.9,11.2,11.0,4.92,56470
2016-02-05,11.0,10.6,10.9,11.0,4.92,262900
2016-02-15,10.8,10.5,10.8,10.7,4.79,246040
2016-02-16,11.0,10.6,10.9,10.9,4.88,380600
2016-02-17,10.9,10.6,10.9,10.7,4.79,139500
2016-02-18,11.4,10.7,10.8,11.3,5.06,884340
2016-02-19,11.6,11.0,11.4,11.0,4.92,477360
2016-02-22,11.4,11.0,11.0,11.1,4.97,393850
2016-02-23,11.2,10.9,11.2,10.9,4.88,642670
2016-02-24,11.1,10.7,10.9,10.9,4.88,323940
2016-02-25,11.5,11.0,11.1,11.1,4.97,528460
2016-02-26,11.3,11.1,11.3,11.2,5.01,105880
2016-02-29,11.3,10.9,11.2,10.9,4.88,355190
2016-03-01,11.2,10.9,10.9,10.9,4.88,356840
2016-03-02,11.3,10.9,10.9,11.2,5.01,407880
2016-03-03,11.4,11.0,11.0,11.0,4.92,403380
2016-03-04,11.1,10.9,11.0,10.9,4.88,216500
2016-03-07,11.0,10.7,10.7,10.7,4.79,360620
2016-03-08,11.0,10.7,11.0,10.7,4.79,218320
2016-03-09,11.2,10.7,10.9,10.9,4.88,397970
2016-03-10,11.0,10.8,10.9,10.9,4.88,188590
2016-03-11,11.2,10.8,11.0,11.2,5.01,603910
2016-03-14,11.3,11.0,11.2,11.3,5.06,397160
2016-03-15,11.4,10.9,11.4,10.9,4.88,302610
2016-03-16,11.1,10.9,11.0,10.9,4.88,201870
2016-03-17,11.1,10.9,10.9,10.9,4.88,196510
2016-03-18,11.0,10.8,10.9,10.8,4.83,212250
2016-03-21,11.0,10.6,10.8,10.6,4.74,377680
2016-03-22,10.7,10.4,10.6,10.7,4.79,393890
2016-03-23,11.2,10.8,10.8,11.1,4.97,628280
2016-03-24,11.1,10.7,11.0,10.7,4.79,226850
2016-03-25,10.5,10.0,10.4,10.0,4.48,572730
2016-03-28,9.8,9.3,9.6,9.3,4.16,719720
2016-03-29,9.1,8.7,9.0,8.7,3.89,1600120
2016-03-30,9.3,8.6,8.6,9.3,4.16,485920
2016-03-31,9.4,8.7,9.2,8.8,3.94,196990
2016-04-01,8.7,8.2,8.5,8.3,3.71,363880
2016-04-04,8.6,8.3,8.4,8.3,3.71,127650
2016-04-05,8.8,8.4,8.4,8.8,3.94,300940
2016-04-06,9.2,8.6,9.1,8.6,3.85,581530
2016-04-07,8.8,8.6,8.8,8.7,3.89,135650
2016-04-08,8.9,8.6,8.8,8.6,3.85,460600
2016-04-11,9.0,8.7,8.8,8.8,3.94,230780
2016-04-12,8.9,8.5,8.9,8.5,3.8,309970
2016-04-13,8.5,8.4,8.5,8.5,3.8,89350
2016-04-14,8.9,8.5,8.5,8.8,3.94,302500
2016-04-15,8.8,8.6,8.8,8.6,3.85,116610
2016-04-19,8.7,8.5,8.6,8.6,3.85,203010
2016-04-20,8.6,8.3,8.5,8.3,3.71,203040
2016-04-21,7.9,7.8,7.9,7.8,3.49,1961160
2016-04-22,8.3,7.6,7.6,8.3,3.71,604750
2016-04-25,8.8,8.3,8.4,8.8,3.94,11533033
2016-04-26,9.4,8.8,8.8,9.4,4.21,603680
2016-04-27,9.8,9.3,9.7,9.4,4.21,473880
2016-04-28,9.9,9.2,9.4,9.7,4.34,753780
2016-04-29,9.7,9.5,9.5,9.5,4.25,196090
2016-05-04,10.1,9.3,9.5,10.1,4.52,483830
2016-05-05,10.4,10.0,10.3,10.2,4.56,737190
2016-05-06,10.2,9.7,10.2,10.0,4.48,439510
2016-05-09,10.0,9.8,10.0,9.8,4.39,306260
2016-05-10,9.8,9.3,9.6,9.8,4.39,286230
2016-05-11,10.0,9.6,9.8,10.0,4.48,229770
2016-05-12,10.4,9.8,10.2,10.1,4.52,519330
2016-05-13,10.2,9.8,10.0,10.0,4.48,113360
2016-05-16,10.0,9.6,9.6,9.7,4.34,123480
2016-05-17,9.9,9.6,9.7,9.9,4.43,302560
2016-05-18,9.9,9.7,9.9,9.9,4.43,214810
2016-05-19,10.5,9.7,10.0,10.5,4.7,1531310
2016-05-20,10.8,10.6,10.7,10.6,4.74,408870
2016-05-23,10.8,10.5,10.7,10.7,4.79,324990
2016-05-24,11.4,10.4,10.6,11.4,5.1,1549160
2016-05-25,12.1,11.5,11.8,11.8,5.28,956890
2016-05-26,11.8,11.4,11.8,11.5,5.15,881110
2016-05-27,12.3,11.4,11.5,12.1,5.41,997560
2016-05-30,12.5,12.1,12.4,12.3,5.5,1520270
2016-05-31,12.2,11.8,12.1,11.8,5.28,1271740
2016-06-01,12.2,11.7,11.9,12.0,5.37,1446330
2016-06-02,12.1,11.9,11.9,11.9,5.33,624780
2016-06-03,12.7,11.7,12.0,12.5,5.59,2184510
2016-06-06,12.5,11.7,12.5,12.3,5.5,1376690
2016-06-07,12.5,11.9,12.5,11.9,5.33,805840
2016-06-08,12.0,11.7,11.9,11.8,5.28,480680
