Date,High,Low,Open,Close,adjust,Volume
2012-01-03,6.7,6.7,6.7,6.7,4.31,0
2012-01-04,6.4,6.4,6.4,6.4,4.11,10
2012-01-05,6.7,6.7,6.7,6.7,4.31,10
2012-01-06,6.8,6.4,6.7,6.4,4.11,10740
2012-01-09,6.6,6.6,6.6,6.6,4.24,2100
2012-01-10,6.7,6.3,6.6,6.3,4.05,1750
2012-01-11,6.6,6.0,6.0,6.6,4.24,14710
2012-01-12,6.7,6.3,6.7,6.3,4.05,2260
2012-01-13,6.6,6.0,6.0,6.6,4.24,8010
2012-01-16,6.3,6.3,6.3,6.3,4.05,10700
2012-01-17,6.5,6.0,6.3,6.0,3.86,3020
2012-01-18,6.1,5.7,5.7,6.0,3.86,10790
2012-01-19,6.3,5.7,6.0,6.3,4.05,12250
2012-01-20,6.5,6.5,6.5,6.5,4.18,3050
2012-01-30,6.2,6.2,6.2,6.2,3.98,510
2012-01-31,6.4,6.4,6.4,6.4,4.11,3110
2012-02-01,6.5,6.5,6.5,6.5,4.18,3010
2012-02-02,6.7,6.7,6.7,6.7,4.31,2040
2012-02-03,7.0,6.4,6.9,6.4,4.11,490
2012-02-06,6.5,6.1,6.5,6.5,4.18,5610
2012-02-07,6.7,6.2,6.7,6.2,3.98,50
2012-02-08,6.4,6.2,6.4,6.4,4.11,320
2012-02-09,6.6,6.4,6.4,6.4,4.11,320
2012-02-10,6.7,6.2,6.7,6.2,3.98,230
2012-02-13,6.3,5.9,6.1,5.9,3.79,2330
2012-02-14,6.1,6.1,6.1,6.1,3.92,230
2012-02-15,6.4,6.4,6.4,6.4,4.11,1010
2012-02-16,6.5,6.2,6.2,6.4,4.11,3170
2012-02-17,6.4,6.4,6.4,6.4,4.11,1110
2012-02-20,6.5,6.5,6.5,6.5,4.18,1020
2012-02-21,6.8,6.2,6.5,6.2,3.98,1740
2012-02-22,6.3,5.9,5.9,5.9,3.79,3160
2012-02-23,6.1,5.9,6.1,6.1,3.92,9330
2012-02-24,6.4,6.3,6.4,6.3,4.05,220
2012-02-27,6.5,6.2,6.5,6.4,4.11,16090
2012-02-28,6.6,6.2,6.6,6.3,4.05,16460
2012-02-29,6.6,6.1,6.4,6.1,3.92,12300
2012-03-01,6.4,6.0,6.3,6.4,4.11,16380
2012-03-02,6.5,6.4,6.4,6.5,4.18,17840
2012-03-05,6.8,6.6,6.8,6.8,4.37,67610
2012-03-06,7.1,6.6,7.1,6.8,4.37,36850
2012-03-07,6.9,6.5,6.9,6.8,4.37,10250
2012-03-08,7.0,6.5,6.8,6.5,4.18,7590
2012-03-09,6.5,6.2,6.5,6.2,3.98,15200
2012-03-12,6.5,6.2,6.5,6.3,4.05,6900
2012-03-13,6.5,6.1,6.5,6.3,4.05,15230
2012-03-14,6.3,6.0,6.3,6.0,3.86,12590
2012-03-15,6.2,5.7,6.0,6.1,3.92,11840
2012-03-16,6.2,5.9,6.2,6.0,3.86,150640
2012-03-19,6.1,6.0,6.0,6.0,3.86,19500
2012-03-20,6.0,5.8,6.0,6.0,3.86,17730
2012-03-21,6.0,5.7,6.0,5.7,3.66,233690
2012-03-22,5.9,5.8,5.8,5.9,3.79,178460
2012-03-23,6.1,6.1,6.1,6.1,3.92,36470
2012-03-26,6.4,6.4,6.4,6.4,4.11,5700
2012-03-27,6.7,6.7,6.7,6.7,4.31,91220
2012-03-28,6.7,6.4,6.7,6.5,4.18,311610
2012-03-29,6.7,6.2,6.7,6.5,4.18,64900
2012-03-30,6.5,6.2,6.2,6.2,3.98,24720
2012-04-03,6.4,6.0,6.2,6.4,4.11,5460
2012-04-04,6.3,6.1,6.2,6.1,3.92,44360
2012-04-05,6.1,5.8,5.8,6.0,3.86,89370
2012-04-06,6.2,5.9,6.1,5.9,3.79,31230
2012-04-09,6.1,5.8,6.1,5.9,3.79,59040
2012-04-10,6.1,5.9,6.0,5.9,3.79,68160
2012-04-11,6.1,6.1,6.1,6.1,3.92,40970
2012-04-12,6.4,6.4,6.4,6.4,4.11,5960
2012-04-13,6.7,6.5,6.7,6.7,4.31,341750
2012-04-16,7.0,6.7,7.0,7.0,4.5,215760
2012-04-17,7.3,7.3,7.3,7.3,4.69,29010
2012-04-18,7.6,7.6,7.6,7.6,4.88,29230
2012-04-19,7.6,7.3,7.6,7.3,4.69,208530
2012-04-20,7.3,7.0,7.0,7.0,4.5,213990
2012-04-23,7.1,6.9,6.9,7.0,4.5,51430
2012-04-24,7.2,6.8,7.2,7.0,4.5,61410
2012-04-25,7.3,7.1,7.2,7.2,4.63,63340
2012-04-26,7.4,6.9,7.4,6.9,4.43,83630
2012-04-27,7.0,6.8,6.9,7.0,4.5,138460
2012-05-02,7.1,6.9,7.0,7.0,4.5,70890
2012-05-03,7.1,6.8,7.1,6.9,4.43,66770
2012-05-04,7.2,6.9,6.9,7.2,4.63,205840
2012-05-07,7.5,7.2,7.3,7.5,4.82,92870
