Date,High,Low,Open,Close,adjust,Volume
2012-01-03,9.3,8.6,9.3,9.3,4.66,1150
2012-01-04,9.4,9.3,9.3,9.4,4.71,210
2012-01-05,9.4,9.4,9.4,9.4,4.71,100
2012-01-06,9.6,9.6,9.6,9.6,4.81,50
2012-01-09,10.0,9.2,10.0,9.2,4.61,1380
2012-01-10,9.2,8.8,8.8,9.0,4.51,1310
2012-01-11,9.0,9.0,9.0,9.0,4.51,150
2012-01-12,9.0,9.0,9.0,9.0,4.51,20
2012-01-13,9.4,8.8,9.4,9.0,4.51,130
2012-01-16,9.0,8.9,9.0,8.9,4.46,2500
2012-01-17,8.7,8.7,8.7,8.7,4.36,30
2012-01-18,8.7,8.7,8.7,8.7,4.36,0
2012-01-19,9.0,9.0,9.0,9.0,4.51,450
2012-01-20,8.6,8.6,8.6,8.6,4.31,5610
2012-01-30,8.6,8.6,8.6,8.6,4.31,0
2012-01-31,9.0,8.2,9.0,8.6,4.31,6220
2012-02-01,8.6,8.6,8.6,8.6,4.31,2500
2012-02-02,8.6,8.4,8.6,8.6,4.31,9210
2012-02-03,8.8,8.6,8.6,8.8,4.41,1440
2012-02-06,9.0,9.0,9.0,9.0,4.51,10
2012-02-07,9.3,9.2,9.2,9.3,4.66,100
2012-02-08,9.3,8.9,8.9,9.3,4.66,5210
2012-02-09,9.2,8.9,8.9,8.9,4.46,700
2012-02-10,9.2,8.5,9.2,8.6,4.31,3210
2012-02-13,9.0,8.4,9.0,8.4,4.21,610
2012-02-14,8.8,8.6,8.8,8.8,4.41,330
2012-02-15,9.2,9.2,9.2,9.2,4.61,10
2012-02-16,9.2,9.0,9.0,9.2,4.61,300
2012-02-17,9.3,9.3,9.3,9.3,4.66,200
2012-02-20,9.3,8.9,9.3,8.9,4.46,2650
2012-02-21,9.0,8.9,9.0,9.0,4.51,310
2012-02-22,9.0,8.9,8.9,9.0,4.51,200
2012-02-23,9.0,9.0,9.0,9.0,4.51,100
2012-02-24,9.3,8.7,8.8,9.3,4.66,2350
2012-02-27,9.6,9.4,9.6,9.5,4.76,1410
2012-02-28,9.7,9.5,9.7,9.7,4.86,510
2012-02-29,9.7,9.7,9.7,9.7,4.86,10
2012-03-01,9.7,9.7,9.7,9.7,4.86,0
2012-03-02,10.0,9.9,10.0,10.0,5.01,280
2012-03-05,10.0,9.5,10.0,10.0,5.01,2150
2012-03-06,10.0,9.5,10.0,10.0,5.01,4310
2012-03-07,10.0,9.5,9.7,9.9,4.96,4120
2012-03-08,9.5,9.5,9.5,9.5,4.76,2700
2012-03-09,9.5,9.1,9.5,9.5,4.76,1440
2012-03-12,9.9,9.1,9.1,9.1,4.56,14490
2012-03-13,9.2,8.7,9.2,9.2,4.61,2560
2012-03-14,9.6,8.8,8.9,9.5,4.76,5950
2012-03-15,9.7,9.6,9.6,9.7,4.86,970
2012-03-16,9.8,9.7,9.8,9.7,4.86,130
2012-03-19,9.7,9.3,9.7,9.3,4.66,3310
2012-03-20,9.5,9.0,9.0,9.5,4.76,1650
2012-03-21,9.5,9.3,9.5,9.5,4.76,1920
2012-03-22,9.7,9.1,9.5,9.5,4.76,4710
2012-03-23,9.6,9.1,9.5,9.6,4.81,3500
2012-03-26,9.7,9.6,9.7,9.7,4.86,140
2012-03-27,9.7,9.3,9.7,9.6,4.81,80
2012-03-28,10.0,9.5,9.5,10.0,5.01,2350
2012-03-29,9.8,9.6,9.6,9.7,4.86,1770
2012-03-30,9.8,9.8,9.8,9.8,4.91,100
2012-04-03,9.8,9.4,9.8,9.4,4.71,50
2012-04-04,9.5,9.0,9.0,9.4,4.71,2700
2012-04-05,9.7,9.0,9.0,9.7,4.86,2270
2012-04-06,9.4,9.3,9.4,9.4,4.71,1700
2012-04-09,9.3,9.0,9.0,9.3,4.66,2820
2012-04-10,9.4,8.9,8.9,9.4,4.71,810
2012-04-11,9.7,9.7,9.7,9.7,4.86,30
2012-04-12,9.7,9.3,9.7,9.3,4.66,180
2012-04-13,9.7,9.1,9.7,9.5,4.76,1350
2012-04-16,9.8,9.1,9.6,9.4,4.71,2790
2012-04-17,9.7,9.3,9.6,9.6,4.81,14420
2012-04-18,9.9,9.4,9.5,9.4,4.71,12750
2012-04-19,9.7,9.1,9.1,9.7,4.86,4700
2012-04-20,9.8,9.6,9.6,9.8,4.91,4430
2012-04-23,10.0,9.4,9.8,9.4,4.71,4770
2012-04-24,9.7,9.4,9.4,9.4,4.71,6430
2012-04-25,9.8,9.4,9.5,9.8,4.91,5120
2012-04-26,10.2,9.5,10.0,10.2,5.11,24000
2012-04-27,10.7,10.7,10.7,10.7,5.36,46570
2012-05-02,11.2,11.2,11.2,11.2,5.61,21020
2012-05-03,11.7,11.2,11.4,11.6,5.81,4280
2012-05-04,11.7,11.1,11.6,11.1,5.56,13940
2012-05-07,11.6,11.6,11.6,11.6,5.81,15110
2012-05-08,12.1,12.1,12.1,12.1,6.06,30150
2012-05-09,12.7,12.2,12.7,12.7,6.36,15440
2012-05-10,13.3,12.2,13.3,13.0,6.51,8210
2012-05-11,13.4,12.4,13.0,12.4,6.21,18300
2012-05-14,13.0,11.8,13.0,12.6,6.31,12590
2012-05-15,12.5,12.0,12.0,12.5,6.26,11470
2012-05-16,13.0,11.9,12.5,11.9,5.96,3810
2012-05-17,12.0,11.4,12.0,11.4,5.71,6260
2012-05-18,11.6,10.9,11.0,11.5,5.76,1720
2012-05-21,12.0,11.1,12.0,11.8,5.91,6220
2012-05-22,12.0,11.3,12.0,11.9,5.96,8250
2012-05-23,11.9,11.4,11.9,11.8,5.91,1910
2012-05-24,11.7,11.3,11.7,11.3,5.66,3020
2012-05-25,11.8,10.8,11.5,11.8,5.91,5510
2012-05-28,11.8,11.8,11.8,11.8,5.91,2140
2012-05-29,11.8,11.8,11.8,11.8,5.91,10
2012-05-30,11.8,11.4,11.8,11.8,5.91,1030
2012-05-31,11.8,11.3,11.8,11.7,5.86,1150
2012-06-01,11.7,11.3,11.7,11.6,5.81,630
2012-06-04,11.5,11.5,11.5,11.5,5.76,100
2012-06-05,11.6,11.4,11.6,11.4,5.71,170
2012-06-06,11.5,11.4,11.5,11.4,5.71,290
2012-06-07,11.4,10.9,11.4,11.4,5.71,6450
2012-06-08,11.4,10.9,11.2,11.4,5.71,7260
2012-06-11,11.4,10.9,11.4,11.4,5.71,2020
2012-06-12,11.9,10.9,10.9,11.9,5.96,5010
2012-06-13,11.8,11.4,11.4,11.8,5.91,1410
2012-06-14,11.9,11.3,11.8,11.7,5.86,1550
2012-06-15,12.0,11.7,11.7,12.0,6.01,2620
2012-06-18,12.0,12.0,12.0,12.0,6.01,30
2012-06-19,11.8,11.5,11.5,11.5,5.76,60
2012-06-20,11.8,11.8,11.8,11.8,5.91,30
2012-06-21,11.7,11.3,11.7,11.7,5.86,8710
2012-06-22,11.7,11.2,11.7,11.7,5.86,2420
2012-06-25,11.7,11.2,11.7,11.2,5.61,1350
2012-06-26,11.2,10.7,11.2,11.2,5.61,760
2012-06-27,11.2,10.7,11.2,11.2,5.61,1680
2012-06-28,11.0,10.7,10.7,11.0,5.51,1270
2012-06-29,11.0,10.5,10.5,11.0,5.51,1340
2012-07-02,11.0,10.5,11.0,10.9,5.46,6140
2012-07-03,10.9,10.4,10.9,10.4,5.21,3690
2012-07-04,10.8,10.5,10.5,10.8,5.41,50
2012-07-05,10.7,10.3,10.3,10.3,5.16,2630
2012-07-06,10.8,10.6,10.6,10.8,5.41,100
2012-07-09,10.5,10.5,10.5,10.5,5.26,20
2012-07-10,11.0,10.0,11.0,10.0,5.01,1560
2012-07-11,10.5,10.0,10.0,10.5,5.26,1220
2012-07-12,11.0,10.5,11.0,10.5,5.26,210
2012-07-13,10.9,10.0,10.5,10.0,5.01,2430
2012-07-16,10.5,9.5,10.5,9.5,4.76,1110
2012-07-17,9.9,9.1,9.1,9.1,4.56,5940
2012-07-18,9.5,9.3,9.5,9.5,4.76,6880
2012-07-19,9.9,9.5,9.9,9.9,4.96,680
2012-07-20,10.3,9.8,9.9,9.8,4.91,610
2012-07-23,10.2,10.2,10.2,10.2,5.11,2500
2012-07-24,10.7,10.7,10.7,10.7,5.36,1330
2012-07-25,11.2,11.2,11.2,11.2,5.61,31220
2012-07-26,11.7,11.5,11.7,11.7,5.86,37370
2012-07-27,12.1,11.2,12.1,11.2,5.61,11970
2012-07-30,11.7,10.7,11.7,10.7,5.36,6640
2012-07-31,11.2,10.7,10.7,10.7,5.36,4870
2012-08-01,11.2,10.6,11.0,10.7,5.36,4990
2012-08-02,11.0,10.7,11.0,11.0,5.51,700
2012-08-03,11.0,10.6,10.6,11.0,5.51,6250
2012-08-06,11.4,10.6,11.0,10.7,5.36,9070
2012-08-07,11.0,10.7,10.7,10.7,5.36,3130
2012-08-08,11.0,10.7,11.0,11.0,5.51,7630
2012-08-09,11.1,10.9,11.1,10.9,5.46,4410
2012-08-10,11.0,10.5,11.0,10.5,5.26,1510
2012-08-13,11.0,10.3,10.8,10.5,5.26,6150
2012-08-14,10.9,10.6,10.9,10.6,5.31,2460
2012-08-15,10.9,10.6,10.6,10.7,5.36,720
2012-08-16,11.0,10.6,11.0,10.6,5.31,520
2012-08-17,10.8,10.7,10.8,10.7,5.36,1430
2012-08-20,11.0,10.7,10.8,10.8,5.41,5580
2012-08-21,10.7,10.3,10.7,10.3,5.16,22860
2012-08-22,10.6,9.8,10.0,9.8,4.91,1040
2012-08-23,10.2,9.4,10.0,9.5,4.76,4900
2012-08-24,9.9,9.3,9.9,9.3,4.66,6530
2012-08-27,9.7,9.4,9.7,9.4,4.71,10470
2012-08-28,9.8,9.1,9.8,9.1,4.56,1140
2012-08-29,9.5,9.5,9.5,9.5,4.76,90
2012-08-30,9.9,9.6,9.9,9.6,4.81,60
2012-08-31,10.0,10.0,10.0,10.0,5.01,2020
2012-09-04,10.4,10.0,10.4,10.0,5.01,830
2012-09-05,10.4,9.5,10.4,9.5,4.76,3810
2012-09-06,9.9,9.2,9.9,9.2,4.61,1120
2012-09-07,9.5,9.2,9.5,9.2,4.61,3730
2012-09-10,9.5,8.8,9.5,8.8,4.41,1420
2012-09-11,9.2,8.8,8.8,9.2,4.61,9480
2012-09-12,9.5,8.9,9.5,8.9,4.46,1110
2012-09-13,9.3,9.0,9.2,9.0,4.51,2110
2012-09-14,9.4,9.1,9.4,9.1,4.56,31680
2012-09-17,9.5,8.9,9.5,9.1,4.56,2060
2012-09-18,9.4,9.1,9.4,9.1,4.56,1270
2012-09-19,9.4,8.7,9.4,8.7,4.36,3000
2012-09-20,9.1,8.7,8.7,9.0,4.51,1230
2012-09-21,9.3,9.2,9.2,9.3,4.66,1100
2012-09-24,9.7,9.2,9.7,9.2,4.61,510
2012-09-25,9.6,9.5,9.5,9.6,4.81,5020
2012-09-26,10.0,9.5,9.6,9.5,4.76,420
2012-09-27,9.6,9.1,9.5,9.2,4.61,1740
2012-09-28,9.6,8.8,9.6,8.8,4.41,1570
2012-10-01,9.0,8.7,9.0,8.7,4.36,3520
2012-10-02,8.8,8.8,8.8,8.8,4.41,1100
