Date,High,Low,Open,Close,adjust,Volume
2012-01-03,5.2,5.2,5.2,5.2,2.4,40
2012-01-04,5.0,5.0,5.0,5.0,2.3,30
2012-01-05,4.8,4.8,4.8,4.8,2.21,50
2012-01-06,4.6,4.6,4.6,4.6,2.12,2130
2012-01-09,4.4,4.4,4.4,4.4,2.03,4150
2012-01-10,4.4,4.2,4.2,4.2,1.94,30510
2012-01-11,4.4,4.0,4.0,4.4,2.03,210
2012-01-12,4.4,4.2,4.2,4.2,1.94,13650
2012-01-13,4.3,4.0,4.0,4.0,1.84,12780
2012-01-16,3.9,3.8,3.9,3.8,1.75,11520
2012-01-17,3.8,3.8,3.8,3.8,1.75,1990
2012-01-18,3.8,3.8,3.8,3.8,1.75,0
2012-01-19,3.9,3.9,3.9,3.9,1.8,90
2012-01-20,4.0,3.8,4.0,4.0,1.84,30
2012-01-30,4.2,4.2,4.2,4.2,1.94,100
2012-01-31,4.4,4.4,4.4,4.4,2.03,1070
2012-02-01,4.6,4.6,4.6,4.6,2.12,14300
2012-02-02,4.8,4.8,4.8,4.8,2.21,6520
2012-02-03,5.0,4.8,5.0,4.8,2.21,23580
2012-02-06,5.0,5.0,5.0,5.0,2.3,300
2012-02-07,5.2,5.0,5.0,5.2,2.4,5020
2012-02-08,5.2,5.2,5.2,5.2,2.4,1010
2012-02-09,5.2,5.2,5.2,5.2,2.4,1000
2012-02-10,5.1,5.1,5.1,5.1,2.35,10
2012-02-13,5.1,4.9,4.9,5.1,2.35,1110
2012-02-14,4.9,4.9,4.9,4.9,2.26,1000
2012-02-15,5.1,5.1,5.1,5.1,2.35,10
2012-02-16,5.1,5.1,5.1,5.1,2.35,0
2012-02-17,5.0,4.9,5.0,4.9,2.26,3310
2012-02-20,5.0,4.7,4.7,4.9,2.26,21400
2012-02-21,5.1,4.7,5.0,4.7,2.17,27920
2012-02-22,4.9,4.8,4.8,4.9,2.26,200
2012-02-23,5.1,5.0,5.0,5.1,2.35,5370
2012-02-24,5.2,5.0,5.0,5.0,2.3,1010
2012-02-27,5.2,4.9,4.9,5.2,2.4,5930
2012-02-28,5.0,5.0,5.0,5.0,2.3,12020
2012-02-29,4.9,4.8,4.8,4.9,2.26,45060
2012-03-01,5.0,4.8,4.8,4.9,2.26,191620
2012-03-02,5.1,4.9,4.9,5.1,2.35,5920
2012-03-05,5.3,5.0,5.1,5.3,2.44,62790
2012-03-06,5.4,5.1,5.3,5.3,2.44,26410
2012-03-07,5.1,5.1,5.1,5.1,2.35,65440
2012-03-08,5.1,4.9,5.0,5.0,2.3,22630
2012-03-09,5.1,4.8,5.1,4.8,2.21,13120
2012-03-12,4.9,4.6,4.9,4.8,2.21,90230
2012-03-13,4.8,4.6,4.8,4.8,2.21,62490
2012-03-14,5.0,4.9,4.9,5.0,2.3,21150
2012-03-15,5.2,5.1,5.1,5.2,2.4,12810
2012-03-16,5.4,5.4,5.4,5.4,2.49,30460
2012-03-19,5.5,5.2,5.2,5.2,2.4,77000
2012-03-20,5.4,5.3,5.4,5.4,2.49,77260
2012-03-21,5.6,5.6,5.6,5.6,2.58,50560
2012-03-22,5.8,5.7,5.8,5.8,2.67,156520
2012-03-23,6.0,6.0,6.0,6.0,2.77,20620
2012-03-26,6.3,6.2,6.3,6.3,2.9,161580
2012-03-27,6.3,6.0,6.3,6.3,2.9,92870
2012-03-28,6.0,6.0,6.0,6.0,2.77,117440
2012-03-29,6.0,5.7,6.0,5.7,2.63,31270
2012-03-30,5.9,5.7,5.8,5.8,2.67,37790
2012-04-03,6.0,5.8,5.8,6.0,2.77,82320
2012-04-04,5.2,5.1,5.2,5.1,2.66,35220
2012-04-05,5.2,5.0,5.1,5.1,2.66,18620
2012-04-06,5.2,5.0,5.2,5.1,2.66,18890
2012-04-09,5.0,4.9,4.9,5.0,2.61,44890
2012-04-10,5.2,4.9,5.1,5.2,2.71,31710
2012-04-11,5.4,5.1,5.1,5.4,2.82,13440
2012-04-12,5.5,5.3,5.4,5.5,2.87,33950
2012-04-13,5.5,5.3,5.3,5.4,2.82,33760
2012-04-16,5.6,5.6,5.6,5.6,2.92,34380
2012-04-17,5.8,5.8,5.8,5.8,3.03,6640
2012-04-18,6.0,6.0,6.0,6.0,3.13,60480
2012-04-19,6.3,5.7,6.3,6.1,3.18,62730
2012-04-20,6.3,6.0,6.2,6.2,3.24,40380
2012-04-23,6.4,6.1,6.4,6.2,3.24,20430
2012-04-24,6.2,5.9,5.9,6.2,3.24,22860
2012-04-25,6.3,6.1,6.1,6.3,3.29,25300
2012-04-26,6.4,6.2,6.4,6.4,3.34,22400
2012-04-27,6.4,6.3,6.4,6.3,3.29,47850
2012-05-02,6.3,6.0,6.3,6.0,3.13,22020
2012-05-03,6.3,6.1,6.1,6.3,3.29,49180
2012-05-04,6.6,6.5,6.5,6.6,3.44,82670
2012-05-07,6.9,6.9,6.9,6.9,3.6,17480
2012-05-08,7.2,7.2,7.2,7.2,3.76,45370
2012-05-09,7.5,7.2,7.4,7.3,3.81,88140
2012-05-10,7.5,7.3,7.4,7.5,3.91,43160
2012-05-11,7.7,7.2,7.7,7.4,3.86,36510
2012-05-14,7.2,7.1,7.1,7.1,3.71,24510
2012-05-15,6.8,6.8,6.8,6.8,3.55,25230
2012-05-16,6.8,6.5,6.5,6.5,3.39,54690
2012-05-17,6.8,6.5,6.5,6.8,3.55,12560
2012-05-18,6.8,6.5,6.7,6.5,3.39,19030
2012-05-21,6.6,6.2,6.5,6.2,3.24,102190
2012-05-22,6.4,5.9,6.0,6.4,3.34,110520
2012-05-23,6.5,6.2,6.5,6.4,3.34,1710
2012-05-24,6.5,6.2,6.3,6.5,3.39,30500
2012-05-25,6.5,6.2,6.5,6.3,3.29,52770
2012-05-28,6.4,6.1,6.4,6.3,3.29,28660
2012-05-29,6.3,6.0,6.0,6.3,3.29,23270
2012-05-30,6.2,6.0,6.2,6.0,3.13,4010
2012-05-31,6.0,5.7,6.0,5.8,3.03,12500
2012-06-01,5.8,5.6,5.8,5.8,3.03,3890
2012-06-04,5.8,5.8,5.8,5.8,3.03,210
2012-06-05,5.8,5.6,5.8,5.6,2.92,21680
2012-06-06,5.8,5.4,5.4,5.4,2.82,76520
2012-06-07,5.6,5.4,5.4,5.6,2.92,28220
2012-06-08,5.7,5.4,5.7,5.5,2.87,129220
2012-06-11,5.7,5.5,5.7,5.7,2.97,2030
2012-06-12,5.7,5.5,5.5,5.5,2.87,7240
2012-06-13,5.7,5.3,5.4,5.7,2.97,33440
2012-06-14,5.5,5.5,5.5,5.5,2.87,6260
2012-06-15,5.5,5.3,5.3,5.3,2.77,5910
2012-06-18,5.4,5.2,5.3,5.4,2.82,53550
2012-06-19,5.5,5.4,5.5,5.4,2.82,210
2012-06-20,5.4,5.4,5.4,5.4,2.82,200
2012-06-21,5.3,5.3,5.3,5.3,2.77,10
2012-06-22,5.3,5.1,5.3,5.3,2.77,9430
2012-06-25,5.2,5.1,5.1,5.1,2.66,4310
2012-06-26,5.0,4.9,4.9,4.9,2.56,4430
2012-06-27,5.0,4.7,5.0,4.7,2.45,2060
2012-06-28,4.7,4.5,4.5,4.5,2.35,13240
2012-06-29,4.7,4.5,4.5,4.7,2.45,6400
2012-07-02,4.7,4.5,4.7,4.7,2.45,7650
2012-07-03,4.5,4.5,4.5,4.5,2.35,9670
2012-07-04,4.6,4.4,4.5,4.6,2.4,50
2012-07-05,4.4,4.4,4.4,4.4,2.3,13770
2012-07-06,4.5,4.4,4.5,4.5,2.35,5230
2012-07-09,4.6,4.3,4.6,4.3,2.24,8410
2012-07-10,4.5,4.1,4.5,4.5,2.35,13380
2012-07-11,4.6,4.3,4.6,4.3,2.24,1300
2012-07-12,4.4,4.4,4.4,4.4,2.3,10
2012-07-13,4.6,4.5,4.5,4.6,2.4,13430
2012-07-16,4.8,4.4,4.4,4.7,2.45,15060
2012-07-17,4.7,4.7,4.7,4.7,2.45,50
2012-07-18,4.6,4.5,4.5,4.6,2.4,18520
2012-07-19,4.8,4.4,4.7,4.8,2.51,30010
2012-07-20,4.9,4.6,4.9,4.8,2.51,9230
2012-07-23,4.8,4.6,4.6,4.8,2.51,20040
2012-07-24,4.9,4.6,4.9,4.6,2.4,570
2012-07-25,4.6,4.4,4.5,4.4,2.3,29960
2012-07-26,4.6,4.3,4.6,4.4,2.3,20770
2012-07-27,4.6,4.2,4.6,4.5,2.35,14520
2012-07-30,4.7,4.5,4.5,4.6,2.4,8030
2012-07-31,4.5,4.4,4.5,4.4,2.3,4000
2012-08-01,4.4,4.3,4.3,4.4,2.3,19010
2012-08-02,4.5,4.2,4.5,4.3,2.24,10500
2012-08-03,4.5,4.4,4.4,4.5,2.35,25030
2012-08-06,4.6,4.5,4.6,4.5,2.35,10470
2012-08-07,4.5,4.5,4.5,4.5,2.35,8200
2012-08-08,4.5,4.4,4.5,4.5,2.35,6330
2012-08-09,4.4,4.3,4.3,4.4,2.46,9280
2012-08-10,4.4,4.2,4.3,4.2,2.35,13110
2012-08-13,4.3,4.1,4.1,4.1,2.29,20690
2012-08-14,4.1,4.0,4.1,4.1,2.29,18860
2012-08-15,4.2,4.1,4.2,4.1,2.29,10920
2012-08-16,4.0,4.0,4.0,4.0,2.24,4000
2012-08-17,4.2,4.0,4.1,4.0,2.24,10130
2012-08-20,4.2,4.1,4.2,4.1,2.29,2450
2012-08-21,4.2,3.9,4.2,3.9,2.18,69270
2012-08-22,4.0,4.0,4.0,4.0,2.24,19240
2012-08-23,4.0,3.8,4.0,3.8,2.12,26460
2012-08-24,3.9,3.9,3.9,3.9,2.18,7510
2012-08-27,4.0,3.9,4.0,4.0,2.24,12480
2012-08-28,4.1,4.1,4.1,4.1,2.29,6000
2012-08-29,4.1,4.1,4.1,4.1,2.29,11500
2012-08-30,4.3,4.2,4.3,4.2,2.35,17500
2012-08-31,4.1,4.0,4.1,4.0,2.24,4600
2012-09-04,4.2,4.0,4.2,4.1,2.29,6010
2012-09-05,4.3,3.9,4.3,3.9,2.18,16040
2012-09-06,4.0,4.0,4.0,4.0,2.24,42110
2012-09-07,4.2,3.8,4.2,3.8,2.12,5300
2012-09-10,3.9,3.7,3.9,3.7,2.07,32420
2012-09-11,3.8,3.7,3.8,3.7,2.07,9010
2012-09-12,3.8,3.7,3.8,3.8,2.12,15480
2012-09-13,3.9,3.9,3.9,3.9,2.18,240
2012-09-14,4.0,3.9,3.9,4.0,2.24,5490
2012-09-17,4.0,3.8,4.0,3.8,2.12,110
2012-09-18,3.9,3.9,3.9,3.9,2.18,2610
2012-09-19,3.9,3.8,3.9,3.8,2.12,5910
2012-09-20,3.8,3.7,3.8,3.7,2.07,7050
2012-09-21,3.8,3.8,3.8,3.8,2.12,100
2012-09-24,3.9,3.9,3.9,3.9,2.18,1200
2012-09-25,3.9,3.8,3.9,3.9,2.18,11950
2012-09-26,3.9,3.9,3.9,3.9,2.18,1410
2012-09-27,3.9,3.9,3.9,3.9,2.18,500
2012-09-28,4.0,3.8,3.9,4.0,2.24,1000
2012-10-01,4.0,3.8,3.9,4.0,2.24,4060
2012-10-02,4.0,3.8,3.9,4.0,2.24,3560
2012-10-03,4.0,3.8,3.9,4.0,2.24,3050
2012-10-04,4.0,3.8,3.9,4.0,2.24,2050
2012-10-05,3.8,3.8,3.8,3.8,2.12,100
2012-10-08,3.9,3.7,3.9,3.7,2.07,3560
2012-10-09,3.8,3.8,3.8,3.8,2.12,10
2012-10-10,3.8,3.7,3.7,3.8,2.12,3260
2012-10-11,3.9,3.8,3.8,3.9,2.18,2410
2012-10-12,3.9,3.9,3.9,3.9,2.18,0
2012-10-15,3.9,3.8,3.8,3.9,2.18,3700
2012-10-16,4.0,3.8,3.8,4.0,2.24,3110
2012-10-17,4.0,4.0,4.0,4.0,2.24,0
2012-10-18,4.0,4.0,4.0,4.0,2.24,10
2012-10-19,4.0,3.8,3.8,4.0,2.24,1050
2012-10-22,4.0,3.9,3.9,4.0,2.24,860
2012-10-23,4.0,3.8,3.9,4.0,2.24,5000
2012-10-24,4.0,3.8,3.8,3.9,2.18,6700
2012-10-25,4.0,4.0,4.0,4.0,2.24,10
2012-10-26,3.9,3.9,3.9,3.9,2.18,10
2012-10-29,4.0,3.8,4.0,3.8,2.12,510
2012-10-30,3.8,3.8,3.8,3.8,2.12,1540
2012-10-31,3.8,3.8,3.8,3.8,2.12,2000
2012-11-01,3.9,3.8,3.8,3.9,2.18,1050
2012-11-02,3.8,3.8,3.8,3.8,2.12,1520
2012-11-05,3.9,3.7,3.8,3.9,2.18,6530
2012-11-06,3.9,3.8,3.9,3.8,2.12,710
2012-11-07,3.8,3.8,3.8,3.8,2.12,10
2012-11-08,3.8,3.7,3.8,3.7,2.07,1480
2012-11-09,3.7,3.6,3.6,3.6,2.01,1300
2012-11-12,3.7,3.5,3.7,3.5,1.96,1720
2012-11-13,3.6,3.4,3.6,3.4,1.9,5150
2012-11-14,3.5,3.3,3.5,3.3,1.85,2460
2012-11-15,3.4,3.2,3.3,3.4,1.9,4500
2012-11-16,3.5,3.3,3.5,3.3,1.85,70
2012-11-19,3.4,3.2,3.4,3.2,1.79,3520
2012-11-20,3.2,3.2,3.2,3.2,1.79,8510
2012-11-21,3.2,3.2,3.2,3.2,1.79,20
2012-11-22,3.1,3.1,3.1,3.1,1.73,3000
2012-11-23,3.1,3.1,3.1,3.1,1.73,8020
2012-11-26,3.1,3.1,3.1,3.1,1.73,570
2012-11-27,3.2,3.1,3.1,3.2,1.79,190
2012-11-28,3.3,3.1,3.1,3.2,1.79,1130
2012-11-29,3.3,3.2,3.2,3.3,1.85,3390
2012-11-30,3.4,3.3,3.4,3.3,1.85,630
2012-12-03,3.4,3.2,3.2,3.4,1.9,3960
2012-12-04,3.4,3.4,3.4,3.4,1.9,0
2012-12-05,3.4,3.3,3.4,3.4,1.9,3110
2012-12-06,3.4,3.4,3.4,3.4,1.9,2000
2012-12-07,3.5,3.3,3.5,3.4,1.9,2330
2012-12-10,3.5,3.3,3.3,3.5,1.96,20640
2012-12-11,3.6,3.6,3.6,3.6,2.01,10
2012-12-12,3.6,3.5,3.5,3.5,1.96,970
2012-12-13,3.6,3.5,3.5,3.6,2.01,500
2012-12-14,3.6,3.5,3.6,3.6,2.01,50
2012-12-17,3.6,3.5,3.5,3.5,1.96,3160
2012-12-18,3.5,3.4,3.5,3.4,1.9,1020
2012-12-19,3.5,3.3,3.3,3.5,1.96,7840
2012-12-20,3.6,3.5,3.5,3.6,2.01,770
2012-12-21,3.7,3.7,3.7,3.7,2.07,40
2012-12-24,3.6,3.6,3.6,3.6,2.01,10
2012-12-25,3.7,3.5,3.5,3.7,2.07,180
2012-12-26,3.8,3.6,3.6,3.8,2.12,15570
2012-12-27,3.9,3.8,3.8,3.9,2.18,26000
2012-12-28,4.0,3.8,3.9,4.0,2.24,13310
2013-01-02,4.2,3.8,3.9,3.9,2.18,22610
2013-01-03,4.0,3.8,3.9,4.0,2.24,9360
2013-01-04,4.0,3.9,3.9,4.0,2.24,5170
2013-01-07,4.2,4.0,4.2,4.0,2.24,3130
2013-01-08,4.1,4.0,4.1,4.0,2.24,17010
2013-01-09,4.1,4.0,4.1,4.1,2.29,23360
2013-01-10,4.0,3.9,4.0,4.0,2.24,14940
2013-01-11,4.1,3.9,4.1,4.1,2.29,9140
2013-01-14,4.1,4.0,4.1,4.0,2.24,28030
2013-01-15,4.1,4.0,4.0,4.1,2.29,16050
2013-01-16,4.2,4.0,4.2,4.2,2.35,15150
