Date,High,Low,Open,Close,adjust,Volume
2012-01-03,2.4,2.4,2.4,2.4,1.06,2210
2012-01-04,2.5,2.5,2.5,2.5,1.11,3000
2012-01-05,2.5,2.5,2.5,2.5,1.11,16060
2012-01-06,2.6,2.6,2.6,2.6,1.15,5100
2012-01-09,2.5,2.5,2.5,2.5,1.11,1030
2012-01-10,2.5,2.5,2.5,2.5,1.11,4400
2012-01-11,2.4,2.4,2.4,2.4,1.06,1280
2012-01-12,2.3,2.3,2.3,2.3,1.02,110
2012-01-13,2.3,2.3,2.3,2.3,1.02,6890
2012-01-16,2.4,2.4,2.4,2.4,1.06,11000
2012-01-17,2.3,2.3,2.3,2.3,1.02,9340
2012-01-18,2.4,2.4,2.4,2.4,1.06,1000
2012-01-19,2.5,2.5,2.5,2.5,1.11,2200
2012-01-20,2.6,2.6,2.6,2.6,1.15,1000
2012-01-30,2.7,2.7,2.7,2.7,1.2,2010
2012-01-31,2.6,2.6,2.6,2.6,1.15,2010
2012-02-01,2.5,2.5,2.5,2.5,1.11,2500
2012-02-02,2.4,2.4,2.4,2.4,1.06,6010
2012-02-03,2.3,2.3,2.3,2.3,1.02,26010
2012-02-06,2.2,2.2,2.2,2.2,0.97,59850
2012-02-07,2.3,2.3,2.3,2.3,1.02,8050
2012-02-08,2.4,2.4,2.4,2.4,1.06,10140
2012-02-09,2.5,2.5,2.5,2.5,1.11,27400
2012-02-10,2.5,2.5,2.5,2.5,1.11,40960
2012-02-13,2.4,2.4,2.4,2.4,1.06,2130
2012-02-14,2.5,2.5,2.5,2.5,1.11,56030
2012-02-15,2.6,2.6,2.6,2.6,1.15,33400
2012-02-16,2.7,2.7,2.7,2.7,1.2,7590
2012-02-17,2.8,2.8,2.8,2.8,1.24,91970
2012-02-20,2.9,2.9,2.9,2.9,1.29,3510
2012-02-21,2.8,2.8,2.8,2.8,1.24,93970
2012-02-22,2.7,2.7,2.7,2.7,1.2,7510
2012-02-23,2.6,2.6,2.6,2.6,1.15,11050
2012-02-24,2.5,2.5,2.5,2.5,1.11,700
2012-02-27,2.4,2.4,2.4,2.4,1.06,126310
2012-02-28,2.5,2.5,2.5,2.5,1.11,27600
2012-02-29,2.6,2.6,2.6,2.6,1.15,123700
2012-03-01,2.7,2.7,2.7,2.7,1.2,29650
2012-03-02,2.8,2.8,2.8,2.8,1.24,19570
2012-03-05,2.9,2.9,2.9,2.9,1.29,10510
2012-03-06,3.0,3.0,3.0,3.0,1.33,249320
2012-03-07,3.1,3.1,3.1,3.1,1.37,39170
2012-03-08,3.0,3.0,3.0,3.0,1.33,16700
2012-03-09,2.9,2.9,2.9,2.9,1.29,5080
2012-03-12,2.8,2.8,2.8,2.8,1.24,50050
2012-03-13,2.8,2.8,2.8,2.8,1.24,27350
2012-03-14,2.7,2.7,2.7,2.7,1.2,51300
2012-03-15,2.7,2.7,2.7,2.7,1.2,53800
2012-03-16,2.6,2.6,2.6,2.6,1.15,35390
2012-03-19,2.5,2.5,2.5,2.5,1.11,59330
2012-03-20,2.6,2.6,2.6,2.6,1.15,11040
2012-03-21,2.7,2.7,2.7,2.7,1.2,11280
2012-03-22,2.8,2.8,2.8,2.8,1.24,86060
2012-03-23,2.9,2.9,2.9,2.9,1.29,17450
