Date,High,Low,Open,Close,adjust,Volume
2018-11-28,54.0,52.0,52.0,54.0,25.57,365510
2018-11-29,57.7,56.0,57.7,56.0,26.51,96040
2018-11-30,56.2,54.8,56.2,54.9,25.99,141060
2018-12-03,54.7,51.2,54.7,52.5,24.86,233640
2018-12-04,53.1,52.4,53.0,52.6,24.9,135900
2018-12-05,52.7,48.95,52.6,50.3,23.82,266020
2018-12-06,50.3,49.0,50.3,50.0,23.67,107370
2018-12-07,51.0,50.0,51.0,50.3,23.82,44440
2018-12-10,50.5,48.9,50.3,50.2,23.77,94800
2018-12-11,48.5,44.0,48.5,45.1,23.2,47340
2018-12-12,46.0,42.0,44.2,42.8,22.02,134820
2018-12-13,43.0,41.5,42.8,42.0,21.61,182210
2018-12-14,42.0,39.2,41.15,39.8,20.48,97990
2018-12-17,41.3,39.0,39.8,40.2,20.68,29230
2018-12-18,42.5,39.2,39.2,42.45,21.84,33710
2018-12-19,42.5,41.95,42.5,42.0,21.61,18460
2018-12-20,41.9,40.3,40.9,41.45,21.32,53070
2018-12-21,42.0,39.25,41.65,41.85,21.53,30740
2018-12-24,42.5,40.6,40.6,41.5,21.35,19500
2018-12-25,41.0,39.6,41.0,40.0,20.58,36630
2018-12-26,41.0,40.0,40.0,41.0,21.09,18260
2018-12-27,41.5,40.3,41.5,41.0,21.09,30790
2018-12-28,41.45,40.1,41.0,41.0,21.09,26780
2019-01-02,41.35,40.9,41.0,41.0,21.09,19350
2019-01-03,41.3,40.0,41.1,41.0,21.09,46390
2019-01-04,41.35,40.3,40.3,41.0,21.09,30470
2019-01-07,41.0,40.5,41.0,40.8,20.99,10200
2019-01-08,41.35,41.0,41.35,41.0,21.09,22560
2019-01-09,41.0,40.7,41.0,40.85,21.02,42850
2019-01-10,41.0,40.8,41.0,40.8,20.99,14810
2019-01-11,40.8,40.5,40.8,40.7,20.94,18390
2019-01-14,43.4,40.8,40.85,43.0,22.12,98700
2019-01-15,46.0,42.1,42.1,45.8,23.56,117520
2019-01-16,47.5,45.5,46.0,46.0,23.67,36510
2019-01-17,46.0,44.8,46.0,44.8,23.05,33940
2019-01-18,44.6,43.1,44.6,44.3,22.79,18750
2019-01-21,45.3,44.2,44.5,45.3,23.31,16110
2019-01-22,45.85,44.0,44.0,45.5,23.41,118490
2019-01-23,45.8,45.0,45.8,45.45,23.38,48220
2019-01-24,45.5,44.4,45.45,45.0,23.15,31970
2019-01-25,45.05,44.7,45.05,45.0,23.15,38220
2019-01-28,46.95,44.8,44.8,46.9,24.13,92430
2019-01-29,49.3,46.1,46.3,48.1,24.75,75160
2019-01-30,49.0,47.9,48.0,48.0,24.69,52900
2019-01-31,48.1,47.5,48.0,48.0,24.69,26410
2019-02-01,49.5,48.1,48.1,48.75,25.08,24390
2019-02-11,49.9,48.2,49.0,49.5,25.47,20300
2019-02-12,50.6,49.5,49.5,50.1,25.77,87140
2019-02-13,52.0,50.1,50.2,51.6,26.55,47830
2019-02-14,52.3,51.0,51.4,51.2,26.34,35200
2019-02-15,51.5,50.8,51.2,50.8,26.14,74280
2019-02-18,53.7,50.8,51.0,53.7,27.63,138180
2019-02-19,54.3,53.2,53.7,53.6,27.58,42270
2019-02-20,53.7,53.0,53.6,53.4,27.47,23830
2019-02-21,53.5,52.6,53.4,53.0,27.27,78340
2019-02-22,52.9,52.0,52.8,52.6,27.06,52280
2019-02-25,53.0,51.7,52.5,53.0,27.27,210950
2019-02-26,54.3,53.1,53.2,54.3,27.94,146270
2019-02-27,54.7,54.3,54.3,54.4,27.99,82440
2019-02-28,54.4,53.1,53.1,53.9,27.73,66120
2019-03-01,57.0,52.7,52.7,55.1,28.35,119120
2019-03-04,56.0,55.0,56.0,55.4,28.5,43470
2019-03-05,55.4,53.1,54.6,53.1,27.32,49960
2019-03-06,53.9,51.5,53.4,53.8,27.68,109700
2019-03-07,53.8,51.9,53.8,52.0,26.75,46990
2019-03-08,53.3,52.0,52.0,53.0,27.27,64090
2019-03-11,53.0,51.8,53.0,52.9,27.22,22300
2019-03-12,54.8,53.9,54.3,54.2,27.88,129880
2019-03-13,54.6,53.5,54.4,53.7,27.63,25680
2019-03-14,54.0,53.5,53.7,53.5,27.52,11320
2019-03-15,53.6,52.6,53.1,52.8,27.16,39930
2019-03-18,53.8,52.5,52.5,53.4,27.47,79540
2019-03-19,53.7,50.9,53.6,53.0,27.27,77290
2019-03-20,53.0,51.4,53.0,52.8,27.16,15480
2019-03-21,53.0,51.5,52.8,51.5,26.5,50160
2019-03-22,52.0,50.7,51.6,51.1,26.29,66190
2019-03-25,51.7,50.6,50.6,50.7,26.08,35870
2019-03-26,51.6,50.2,50.2,51.6,26.55,17130
2019-03-27,51.8,51.0,51.8,51.7,26.6,25360
2019-03-28,52.0,51.5,51.7,52.0,26.75,19170
2019-03-29,51.8,51.0,51.8,51.0,26.24,13710
2019-04-01,51.5,50.6,50.6,50.6,26.03,18150
2019-04-02,52.0,50.5,51.6,51.0,26.24,41120
2019-04-03,52.9,51.2,51.8,52.9,27.22,121610
2019-04-04,53.5,52.8,53.0,53.0,27.27,95960
2019-04-05,54.5,53.0,53.0,54.5,28.04,425970
2019-04-08,54.8,54.0,54.8,54.7,28.14,122410
2019-04-09,54.8,54.0,54.1,54.0,27.78,138850
2019-04-10,56.8,53.2,53.9,56.8,29.22,1075690
2019-04-11,57.9,56.0,56.8,57.0,29.32,209810
2019-04-12,60.8,56.9,56.9,60.5,31.13,434420
2019-04-16,60.5,58.5,59.5,60.1,30.92,200400
2019-04-17,62.0,60.1,60.7,60.7,31.23,141720
2019-04-18,62.0,58.0,60.0,60.0,30.87,182580
2019-04-19,60.8,59.2,59.2,60.8,31.28,80940
2019-04-22,60.8,58.1,60.8,59.0,30.35,119820
2019-04-23,60.4,58.9,59.0,60.4,31.07,125930
2019-04-24,62.0,59.7,59.7,61.8,31.79,161730
2019-04-25,62.0,60.6,60.6,60.9,31.33,43010
2019-04-26,61.5,60.4,60.4,60.5,31.13,65800
2019-05-02,63.0,59.7,61.0,61.2,31.49,91170
2019-05-03,62.5,61.0,61.0,61.5,31.64,125400
2019-05-06,62.0,60.6,61.0,61.6,31.69,49750
