Date,High,Low,Open,Close,adjust,Volume
2012-01-03,30.0,30.0,30.0,30.0,3.59,40
2012-01-04,30.0,30.0,30.0,30.0,3.59,0
2012-01-05,30.0,28.5,28.5,30.0,3.59,2440
2012-01-06,29.0,29.0,29.0,29.0,3.47,3790
2012-01-09,29.5,29.5,29.5,29.5,3.53,20
2012-01-10,30.0,30.0,30.0,30.0,3.59,10
2012-01-11,29.0,29.0,29.0,29.0,3.47,5120
2012-01-12,29.0,29.0,29.0,29.0,3.47,5000
2012-01-13,28.5,28.5,28.5,28.5,3.41,730
2012-01-16,29.5,29.5,29.5,29.5,3.53,400
2012-01-17,29.5,29.5,29.5,29.5,3.53,1490
2012-01-18,30.9,30.0,30.0,30.9,3.69,6140
2012-01-19,31.7,30.8,30.9,31.7,3.79,7220
2012-01-20,33.0,33.0,33.0,33.0,3.94,10
2012-01-30,34.0,34.0,34.0,34.0,4.06,20
2012-01-31,35.0,35.0,35.0,35.0,4.18,10
2012-02-01,33.3,33.3,33.3,33.3,3.98,560
2012-02-02,33.9,33.9,33.9,33.9,4.05,10
2012-02-03,34.9,32.3,32.3,34.9,4.17,110
2012-02-06,36.3,36.3,36.3,36.3,4.34,10
2012-02-07,35.0,34.7,35.0,34.7,4.15,890
2012-02-08,35.4,33.5,34.7,35.4,4.23,120
2012-02-09,36.0,35.0,35.4,36.0,4.3,6020
2012-02-10,35.0,34.6,34.7,34.6,4.14,5250
2012-02-13,35.0,33.0,33.1,35.0,4.18,4150
2012-02-14,35.0,34.8,35.0,34.8,4.16,3020
2012-02-15,34.8,34.0,34.8,34.0,4.06,3000
2012-02-16,34.0,34.0,34.0,34.0,4.06,2000
2012-02-17,34.5,34.0,34.0,34.5,4.12,5350
2012-02-20,34.5,34.0,34.5,34.0,4.06,3240
2012-02-21,34.2,34.0,34.0,34.2,4.09,3200
2012-02-22,34.0,33.8,34.0,33.8,4.04,2000
2012-02-23,34.0,33.7,33.7,34.0,4.06,2810
2012-02-24,34.5,34.0,34.0,34.1,4.08,15600
2012-02-27,35.0,34.2,35.0,35.0,4.18,560
2012-02-28,36.0,35.4,35.4,36.0,4.3,3120
2012-02-29,36.0,36.0,36.0,36.0,4.3,0
2012-03-01,35.5,35.0,35.5,35.0,4.18,1520
2012-03-02,35.0,34.0,34.0,35.0,4.18,1190
2012-03-05,36.6,36.0,36.3,36.6,4.38,2500
2012-03-06,37.0,35.0,36.0,37.0,4.42,700
2012-03-07,38.5,35.2,35.2,38.5,4.6,610
2012-03-08,39.0,36.6,36.6,39.0,4.66,310
2012-03-09,38.0,37.1,37.1,38.0,4.54,120
2012-03-12,38.2,36.1,38.1,38.2,4.57,220
2012-03-13,38.7,36.3,36.3,38.0,4.54,180
2012-03-14,39.6,36.1,39.6,36.1,4.32,210
2012-03-15,36.9,35.0,35.0,36.9,4.41,250
2012-03-16,35.1,35.1,35.1,35.1,4.2,250
2012-03-19,36.5,34.0,34.0,36.5,4.36,700
2012-03-20,36.5,36.0,36.0,36.5,4.36,2510
2012-03-21,37.8,37.8,37.8,37.8,4.52,10
2012-03-22,37.8,36.7,36.7,37.8,4.52,260
2012-03-23,37.7,37.0,37.0,37.7,4.51,1080
2012-03-26,37.8,37.2,37.2,37.8,4.52,4050
