Date,High,Low,Open,Close,adjust,Volume
2012-01-03,3.3,3.0,3.3,3.3,1.24,16500
2012-01-04,3.3,2.8,3.0,3.3,1.24,12000
2012-01-05,3.0,3.0,3.0,3.0,1.13,0
2012-01-06,3.3,3.0,3.1,3.3,1.24,2900
2012-01-09,3.4,3.4,3.4,3.4,1.28,1100
2012-01-10,3.4,3.4,3.4,3.4,1.28,0
2012-01-11,3.5,3.4,3.4,3.5,1.31,3000
2012-01-12,3.4,3.4,3.4,3.4,1.28,100
2012-01-13,3.4,3.2,3.2,3.3,1.24,8500
2012-01-16,3.5,3.4,3.4,3.5,1.31,3400
2012-01-17,3.6,3.5,3.5,3.6,1.35,7300
2012-01-18,3.6,3.6,3.6,3.6,1.35,1000
2012-01-19,3.6,3.6,3.6,3.6,1.35,0
2012-01-20,3.6,3.6,3.6,3.6,1.35,0
2012-01-30,3.9,3.5,3.5,3.9,1.46,600
2012-01-31,3.9,3.9,3.9,3.9,1.46,6400
2012-02-01,4.2,3.7,3.7,4.1,1.54,2300
2012-02-02,4.4,4.4,4.4,4.4,1.65,800
2012-02-03,4.8,4.4,4.8,4.4,1.65,3600
2012-02-06,4.5,4.5,4.5,4.5,1.69,1400
2012-02-07,4.8,4.5,4.6,4.8,1.8,2800
2012-02-08,4.9,4.9,4.9,4.9,1.84,100
2012-02-09,5.3,5.3,5.3,5.3,1.99,100
2012-02-10,5.8,5.8,5.8,5.8,2.18,100
2012-02-13,5.3,5.3,5.3,5.3,1.99,100
2012-02-14,5.3,4.8,5.3,4.8,1.8,1400
2012-02-15,5.3,5.3,5.3,5.3,1.99,100
2012-02-16,5.8,4.8,5.8,4.8,1.8,1300
2012-02-17,5.2,5.2,5.2,5.2,1.95,100
2012-02-20,5.7,4.7,5.7,5.4,2.03,300
2012-02-21,5.8,4.9,5.8,5.0,1.88,1200
2012-02-22,5.6,5.6,5.6,5.6,2.1,100
2012-02-23,5.5,5.3,5.5,5.3,1.99,400
2012-02-24,5.0,4.9,5.0,4.9,1.84,1400
2012-02-27,4.6,4.6,4.6,4.6,1.73,100
2012-02-28,4.6,4.5,4.6,4.5,1.69,2300
2012-02-29,4.5,4.5,4.5,4.5,1.69,0
2012-03-01,4.5,4.5,4.5,4.5,1.69,100
2012-03-02,4.9,4.3,4.9,4.9,1.84,8500
2012-03-05,5.3,5.2,5.2,5.3,1.99,1200
2012-03-06,5.2,4.8,5.2,4.8,1.8,4000
2012-03-07,4.6,4.5,4.5,4.6,1.73,3300
