Date,High,Low,Open,Close,adjust,Volume
2012-01-03,15.5,15.5,15.5,15.5,3.7,10
2012-01-04,15.6,15.6,15.6,15.6,3.72,500
2012-01-05,16.2,15.7,15.9,16.2,3.87,1590
2012-01-06,16.2,15.5,16.2,15.5,3.7,360
2012-01-09,16.2,16.2,16.2,16.2,3.87,20
2012-01-10,17.0,16.2,16.2,17.0,4.06,150
2012-01-11,17.8,17.0,17.0,17.8,4.25,13170
2012-01-12,18.6,17.8,17.8,18.6,4.44,6200
2012-01-13,19.4,18.0,18.5,18.6,4.44,2610
2012-01-16,18.6,17.9,18.6,17.9,4.27,6020
2012-01-17,18.0,18.0,18.0,18.0,4.29,5040
2012-01-18,18.9,18.8,18.9,18.9,4.51,680
2012-01-19,19.0,18.1,19.0,18.1,4.32,2830
2012-01-20,19.0,18.0,19.0,18.0,4.29,12960
2012-01-30,18.9,18.0,18.0,18.9,4.51,730
2012-01-31,19.7,19.0,19.0,19.7,4.7,210
2012-02-01,19.7,18.8,19.7,18.8,4.49,7390
2012-02-02,19.0,18.6,19.0,18.6,4.44,1120
2012-02-03,19.5,18.6,18.6,18.6,4.44,2150
2012-02-06,19.1,19.0,19.0,19.0,4.53,2440
2012-02-07,18.4,18.4,18.4,18.4,4.39,10
2012-02-08,19.2,18.6,19.2,18.6,4.44,410
2012-02-09,19.5,18.5,19.5,18.5,4.41,30
2012-02-10,19.0,18.9,19.0,18.9,4.51,3140
2012-02-13,19.8,19.0,19.8,19.0,4.53,360
2012-02-14,19.5,19.3,19.3,19.5,4.65,30
2012-02-15,20.4,20.0,20.0,20.0,4.77,1870
2012-02-16,20.1,20.0,20.1,20.0,4.77,350
2012-02-17,21.0,21.0,21.0,21.0,5.01,1280
2012-02-20,22.0,22.0,22.0,22.0,5.25,4110
2012-02-21,22.0,22.0,22.0,22.0,5.25,130
2012-02-22,22.0,22.0,22.0,22.0,5.25,10
2012-02-23,22.0,20.9,22.0,21.8,5.2,1050
2012-02-24,21.8,21.5,21.8,21.8,5.2,1760
2012-02-27,20.8,20.8,20.8,20.8,4.96,2140
2012-02-28,20.1,19.8,20.1,19.8,4.72,4700
2012-02-29,19.8,18.9,19.8,18.9,4.51,4590
2012-03-01,19.0,18.9,19.0,18.9,4.51,4100
2012-03-02,19.0,19.0,19.0,19.0,4.53,5030
2012-03-05,19.9,19.0,19.0,19.9,4.75,50570
2012-03-06,20.8,19.9,20.8,19.9,4.75,3710
2012-03-07,19.9,19.0,19.9,19.0,4.53,25390
2012-03-08,18.2,18.1,18.2,18.1,4.32,34610
2012-03-09,18.9,18.9,18.9,18.9,4.51,15350
2012-03-12,19.0,19.0,19.0,19.0,4.53,4590
2012-03-13,19.0,18.5,19.0,18.5,4.41,2150
2012-03-14,18.5,17.6,18.5,17.6,4.2,32310
2012-03-15,18.2,17.3,17.6,17.3,4.13,3660
2012-03-16,18.1,18.0,18.1,18.1,4.32,3230
