Date,High,Low,Open,Close,adjust,Volume
2016-11-16,43.2,41.5,43.2,43.0,14.47,862130
2016-11-17,46.0,43.8,44.0,46.0,15.48,1133425
2016-11-18,49.2,48.9,49.2,49.05,16.51,1068000
2016-11-21,49.0,45.65,49.0,45.65,15.36,607680
2016-11-22,46.1,43.1,44.0,43.5,14.64,465470
2016-11-23,43.5,40.5,43.0,40.5,13.63,2309890
2016-11-24,39.0,37.7,38.2,37.7,12.69,913610
2016-11-25,37.0,35.1,35.8,37.0,12.45,1551697
2016-11-28,38.0,34.6,37.0,36.0,12.12,238470
2016-11-29,37.2,36.0,36.0,36.1,12.15,179150
2016-11-30,36.65,36.0,36.0,36.5,12.29,395960
2016-12-01,37.8,36.45,36.45,37.2,12.52,275910
2016-12-02,37.6,36.9,37.2,37.0,12.45,299530
2016-12-05,37.1,36.4,37.0,36.6,12.32,406860
2016-12-06,36.8,36.1,36.4,36.8,12.39,295940
2016-12-07,37.2,36.2,36.2,37.0,12.45,244120
2016-12-08,37.45,36.6,37.1,36.6,12.32,103490
2016-12-09,37.0,36.4,36.6,36.6,12.32,169510
2016-12-12,36.5,36.2,36.3,36.3,12.22,368030
2016-12-13,36.6,36.2,36.2,36.35,12.23,267040
2016-12-14,38.2,36.35,36.4,37.65,12.67,378320
2016-12-15,37.9,37.0,37.9,37.5,12.62,141460
2016-12-16,37.5,36.8,37.5,37.0,12.45,273060
2016-12-19,37.35,36.75,37.35,37.05,12.47,416210
2016-12-20,37.45,36.95,37.45,37.0,12.45,198430
2016-12-21,37.2,36.9,37.0,36.95,12.44,157890
2016-12-22,37.05,36.85,36.9,36.95,12.44,244740
2016-12-23,37.0,36.5,36.85,36.95,12.44,215720
2016-12-26,36.95,36.55,36.95,36.9,12.42,1465200
2016-12-27,36.9,36.6,36.6,36.9,12.42,162930
2016-12-28,36.9,36.4,36.9,36.85,12.4,310890
2016-12-29,36.8,36.2,36.5,36.4,12.25,277820
2016-12-30,36.7,36.0,36.5,36.0,12.12,92090
2017-01-03,36.3,35.0,36.0,36.0,12.12,136180
2017-01-04,36.8,35.5,36.0,36.7,12.35,148230
2017-01-05,36.7,36.1,36.3,36.5,12.29,24630
2017-01-06,36.5,36.0,36.1,36.4,12.25,44520
2017-01-09,36.4,35.9,36.4,35.9,12.08,49080
2017-01-10,36.2,35.5,35.8,35.8,12.05,150940
2017-01-11,36.4,35.8,35.8,36.1,12.15,274730
2017-01-12,36.35,36.0,36.2,36.35,12.23,111900
2017-01-13,36.35,35.9,36.0,36.2,12.18,160790
2017-01-16,36.2,35.0,36.2,35.0,11.78,91380
2017-01-17,35.7,35.0,35.1,35.5,11.95,59720
2017-01-18,36.0,35.0,36.0,35.1,11.81,62300
2017-01-19,35.7,34.95,35.6,35.6,11.98,130150
2017-01-20,36.0,35.2,35.5,36.0,12.12,160040
2017-01-23,36.1,35.5,35.8,36.0,12.12,60460
2017-01-24,36.0,35.2,35.5,35.2,11.85,23470
2017-01-25,35.8,35.1,35.2,35.7,12.02,10780
2017-02-02,36.1,35.6,35.6,36.0,12.12,59260
2017-02-03,36.2,35.9,36.0,36.2,12.18,136920
2017-02-06,36.2,35.7,36.2,36.0,12.12,43430
2017-02-07,36.0,35.8,36.0,36.0,12.12,107220
2017-02-08,36.0,35.5,36.0,35.95,12.1,74850
2017-02-09,35.8,35.4,35.7,35.7,12.02,16720
2017-02-10,35.8,35.0,35.7,35.2,11.85,88090
2017-02-13,36.05,35.0,35.5,36.0,12.12,436900
2017-02-14,35.8,35.5,35.8,35.5,11.95,9420
2017-02-15,35.9,35.3,35.4,35.6,11.98,40470
2017-02-16,35.6,35.25,35.3,35.25,11.86,48850
2017-02-17,36.0,35.0,35.45,35.7,12.02,180280
2017-02-20,35.9,35.35,35.4,35.7,12.02,20890
2017-02-21,36.5,35.1,35.5,36.25,12.2,233940
2017-02-22,36.5,35.4,36.5,36.0,12.12,157790
2017-02-23,36.1,35.6,35.6,35.8,12.05,116850
2017-02-24,35.8,35.4,35.8,35.5,11.95,104280
2017-02-27,35.5,35.25,35.4,35.4,11.91,103270
2017-02-28,37.0,35.4,35.4,36.8,12.39,435860
2017-03-01,39.0,36.4,36.4,38.0,12.79,406210
2017-03-02,38.5,37.5,38.4,37.6,12.66,192790
2017-03-03,37.7,37.2,37.6,37.6,12.66,156670
2017-03-06,38.9,37.2,37.4,37.8,12.72,349680
2017-03-07,39.8,37.8,37.8,39.5,13.29,576330
2017-03-08,40.9,39.3,39.5,39.45,13.28,460880
2017-03-09,39.6,38.6,39.5,39.45,13.28,102190
2017-03-10,39.45,38.7,38.7,38.7,13.03,177600
2017-03-13,39.3,38.4,38.4,39.2,13.19,170050
2017-03-14,39.2,38.7,38.7,39.0,13.13,202310
2017-03-15,39.8,38.9,39.2,39.5,13.29,429050
2017-03-16,41.5,39.5,39.6,41.4,13.93,854720
2017-03-17,42.25,41.05,41.5,41.4,13.93,706310
2017-03-20,41.5,40.8,40.8,41.5,13.97,274500
2017-03-21,42.3,41.0,41.5,41.65,14.02,639220
2017-03-22,42.1,40.5,42.0,40.5,13.63,310870
2017-03-23,41.8,40.4,40.5,40.6,13.67,290880
2017-03-24,40.6,39.0,40.2,39.5,13.29,269730
2017-03-27,39.5,39.0,39.5,39.1,13.16,216720
2017-03-28,40.5,39.1,39.1,39.9,13.43,209750
2017-03-29,40.0,39.0,40.0,39.2,13.19,234780
2017-03-30,39.8,39.0,39.0,39.8,13.4,161270
2017-03-31,39.8,38.2,39.8,38.3,12.89,347900
2017-04-03,38.9,37.6,37.6,38.0,12.79,163620
2017-04-04,39.2,37.8,38.0,39.1,13.16,71230
2017-04-05,39.5,38.4,39.5,39.0,13.13,26800
2017-04-07,39.0,38.0,38.8,39.0,13.13,58630
2017-04-10,39.0,38.0,39.0,38.0,12.79,365390
2017-04-11,38.6,37.8,37.8,38.6,12.99,137560
2017-04-12,38.5,37.7,37.85,37.7,12.69,101670
2017-04-13,38.5,37.0,38.0,37.0,12.45,194080
2017-04-14,38.8,36.5,37.6,36.5,12.29,70980
2017-04-17,38.0,36.1,38.0,36.6,12.32,49340
2017-04-18,37.0,36.5,37.0,36.6,12.32,25140
