Date,High,Low,Open,Close,adjust,Volume
2012-01-03,12.0,11.6,11.9,11.7,3.55,132040
2012-01-04,11.8,11.5,11.6,11.5,3.49,79470
2012-01-05,11.5,11.3,11.5,11.3,3.42,56230
2012-01-06,11.3,11.1,11.3,11.2,3.39,29010
2012-01-09,11.3,11.2,11.2,11.2,3.39,173230
2012-01-10,11.7,11.1,11.4,11.7,3.55,276950
2012-01-11,11.7,11.4,11.7,11.4,3.45,86720
2012-01-12,11.7,11.3,11.5,11.4,3.45,145140
2012-01-13,11.5,11.4,11.5,11.4,3.45,103720
2012-01-16,11.7,11.4,11.4,11.5,3.49,238510
2012-01-17,11.5,11.4,11.4,11.4,3.45,138640
2012-01-18,11.6,11.2,11.6,11.4,3.45,115790
2012-01-19,11.8,11.4,11.4,11.8,3.58,206190
2012-01-20,11.9,11.5,11.5,11.8,3.58,349620
2012-01-30,11.9,11.6,11.8,11.9,3.61,120940
2012-01-31,12.3,11.9,12.0,12.0,3.64,425200
2012-02-01,12.1,11.8,12.0,12.0,3.64,180220
2012-02-02,12.5,12.1,12.2,12.4,3.76,361680
2012-02-03,12.6,11.9,12.5,11.9,3.61,593580
2012-02-06,12.0,11.7,11.9,11.9,3.61,246620
2012-02-07,12.1,11.8,11.9,11.9,3.61,600100
2012-02-08,12.4,12.0,12.0,12.4,3.76,1099660
2012-02-09,12.6,12.3,12.3,12.3,3.73,462320
2012-02-10,12.4,12.0,12.2,12.0,3.64,514310
2012-02-13,11.9,11.7,11.9,11.8,3.58,178140
2012-02-14,12.0,11.7,11.7,12.0,3.64,284970
2012-02-15,12.0,11.7,11.9,11.9,3.61,238720
2012-02-16,12.0,11.7,11.9,11.8,3.58,315840
2012-02-17,12.2,11.9,11.9,12.2,3.7,198500
2012-02-20,12.7,12.3,12.4,12.6,3.82,571410
2012-02-21,12.8,12.2,12.8,12.3,3.73,437120
2012-02-22,12.6,12.2,12.2,12.6,3.82,404690
2012-02-23,13.2,12.5,12.7,13.2,4.0,1232940
2012-02-24,13.8,13.4,13.5,13.7,4.15,1709710
2012-02-27,14.1,13.6,13.8,14.1,4.27,551840
2012-02-28,14.0,13.4,14.0,13.4,4.06,440490
2012-02-29,13.6,13.0,13.0,13.5,4.09,769360
2012-03-01,13.7,13.3,13.6,13.4,4.06,455310
2012-03-02,13.8,13.4,13.4,13.5,4.09,983290
2012-03-05,14.1,14.0,14.1,14.1,4.27,535600
2012-03-06,14.6,13.5,14.6,13.6,4.12,841850
2012-03-07,13.7,13.1,13.6,13.7,4.15,585900
2012-03-08,13.7,13.1,13.4,13.1,3.97,602570
2012-03-09,13.4,12.8,13.0,13.3,4.03,441280
2012-03-12,13.4,12.8,13.2,12.8,3.88,466220
2012-03-13,13.4,12.8,12.8,13.1,3.97,267840
