Date,High,Low,Open,Close,adjust,Volume
2012-01-03,30.0,29.0,29.0,30.0,7.61,5020
2012-01-04,29.9,29.8,29.8,29.9,7.58,15010
2012-01-05,30.0,29.0,30.0,30.0,7.61,5400
2012-01-06,29.5,29.0,29.0,29.0,7.36,1740
2012-01-09,30.0,27.6,30.0,29.3,7.43,40190
2012-01-10,30.0,29.5,30.0,29.5,7.48,96970
2012-01-11,29.8,28.9,29.8,29.5,7.48,84290
2012-01-12,30.0,29.5,29.9,29.9,7.58,98360
2012-01-13,30.0,29.8,29.9,29.8,7.56,59810
2012-01-16,29.8,29.3,29.8,29.6,7.51,65000
2012-01-17,29.8,29.0,29.8,29.4,7.46,68840
2012-01-18,29.8,29.1,29.8,29.5,7.48,86310
2012-01-19,30.4,29.4,29.5,30.4,7.71,85130
2012-01-20,30.5,29.5,30.2,29.8,7.56,99060
2012-01-30,31.2,29.8,30.0,30.9,7.84,66080
2012-01-31,32.4,31.4,31.5,31.5,7.99,71800
2012-02-01,33.0,31.5,33.0,31.5,7.99,5260
2012-02-02,33.0,31.0,31.0,33.0,8.37,43500
2012-02-03,34.6,33.0,34.5,33.0,8.37,24610
2012-02-06,33.8,32.0,33.8,32.0,8.12,102010
2012-02-07,33.6,30.6,30.6,32.0,8.12,43850
2012-02-08,33.0,32.0,33.0,32.9,8.35,28760
2012-02-09,34.4,33.0,34.4,33.8,8.57,43540
2012-02-10,34.9,33.0,33.0,33.8,8.57,116950
2012-02-13,33.8,32.5,32.5,32.5,8.24,12390
2012-02-14,33.6,33.0,33.0,33.6,8.52,96080
2012-02-15,34.5,33.2,34.5,33.8,8.57,143770
2012-02-16,33.8,33.6,33.7,33.7,8.55,57240
2012-02-17,33.8,33.5,33.7,33.8,8.57,42030
2012-02-20,33.8,33.3,33.8,33.8,8.57,114060
2012-02-21,33.8,33.6,33.8,33.7,8.55,19600
2012-02-22,33.8,33.6,33.6,33.8,8.57,6480
2012-02-23,33.7,33.5,33.7,33.6,8.52,21370
2012-02-24,33.6,33.4,33.6,33.6,8.52,87020
2012-02-27,33.6,33.1,33.6,33.5,8.5,13500
2012-02-28,33.5,33.2,33.5,33.4,8.47,5030
2012-02-29,33.5,33.2,33.3,33.2,8.42,45850
2012-03-01,33.1,32.5,33.0,32.8,8.32,21490
2012-03-02,32.8,32.4,32.8,32.8,8.32,12340
2012-03-05,34.4,32.9,33.6,34.4,8.73,182070
2012-03-06,35.0,32.9,35.0,33.0,8.37,16940
2012-03-07,33.5,32.0,33.0,32.5,8.24,14480
2012-03-08,32.9,32.0,32.9,32.2,8.17,106020
2012-03-09,32.2,31.5,32.2,32.0,8.12,94670
2012-03-12,32.0,31.0,31.0,31.0,7.86,450110
2012-03-13,32.0,31.0,32.0,31.0,7.86,14940
2012-03-14,31.8,30.9,31.0,31.1,7.89,48550
2012-03-15,31.6,30.6,30.6,31.6,8.02,7860
2012-03-16,32.4,31.0,31.0,32.0,8.12,29490
2012-03-19,32.0,31.5,31.9,32.0,8.12,2370
2012-03-20,32.0,31.2,31.2,32.0,8.12,4020
2012-03-21,32.2,31.0,32.0,32.0,8.12,24570
2012-03-22,32.3,31.5,31.5,32.0,8.12,41780
2012-03-23,32.0,31.6,32.0,32.0,8.12,39540
2012-03-26,32.5,31.5,32.0,32.5,8.24,33230
2012-03-27,32.5,31.6,32.5,32.4,8.22,23710
2012-03-28,32.0,31.6,32.0,31.7,8.04,19600
2012-03-29,31.6,31.5,31.6,31.5,7.99,9220
2012-03-30,31.5,31.0,31.5,31.4,7.97,308980
2012-04-03,32.9,31.0,31.5,32.0,8.12,170
2012-04-04,32.0,31.5,31.5,32.0,8.12,2020
2012-04-05,31.9,31.0,31.0,31.4,7.97,13140
2012-04-06,32.0,31.1,32.0,31.1,7.89,12410
2012-04-09,32.0,30.7,30.9,31.0,7.86,10520
2012-04-10,31.5,31.4,31.5,31.5,7.99,2370
2012-04-11,32.0,31.4,31.5,32.0,8.12,62970
2012-04-12,32.5,31.5,32.2,32.0,8.12,7830
2012-04-13,32.1,31.7,32.1,32.0,8.12,31730
2012-04-16,33.2,32.0,32.0,32.6,8.27,88570
2012-04-17,34.2,32.6,32.6,34.2,8.68,98460
2012-04-18,35.9,34.7,35.9,35.9,9.11,116850
2012-04-19,35.8,34.7,35.6,35.0,8.88,12240
2012-04-20,35.0,33.3,33.5,33.3,8.45,61230
2012-04-23,34.0,32.6,33.1,32.6,8.27,27000
2012-04-24,33.8,32.7,33.8,33.4,8.47,50550
2012-04-25,35.0,34.5,34.6,35.0,8.88,87310
2012-04-26,35.9,34.2,35.9,35.8,9.08,23080
2012-04-27,37.0,35.1,35.8,36.5,9.26,71590
2012-05-02,37.5,36.0,37.5,36.0,9.13,5220
2012-05-03,36.5,34.6,34.6,36.1,9.16,6560
2012-05-04,37.1,35.0,35.0,36.1,9.16,65260
2012-05-07,37.0,36.0,37.0,37.0,9.39,77810
2012-05-08,37.8,37.0,37.8,37.4,9.49,52970
2012-05-09,37.9,36.1,37.9,37.4,9.49,13900
2012-05-10,37.4,35.9,35.9,36.8,9.33,8680
2012-05-11,36.4,35.1,36.2,36.0,9.13,36200
2012-05-14,36.5,34.2,36.5,35.7,9.06,27420
2012-05-15,35.0,34.0,34.2,34.0,8.62,17970
2012-05-16,35.0,33.1,35.0,34.5,8.75,4500
2012-05-17,35.9,34.0,35.9,34.0,8.62,9910
2012-05-18,34.2,33.1,33.3,33.8,8.57,46500
2012-05-21,35.4,33.1,34.2,35.4,8.98,34000
2012-05-22,35.2,34.0,34.1,35.0,8.88,19610
2012-05-23,35.0,34.1,34.1,35.0,8.88,600
2012-05-24,35.1,33.5,34.9,33.5,8.5,41970
2012-05-25,35.0,33.5,33.5,34.9,8.85,19640
2012-05-28,35.0,34.0,35.0,35.0,8.88,15030
2012-05-29,35.0,33.6,34.0,34.8,8.83,630
2012-05-30,35.0,34.8,35.0,34.8,8.83,2240
2012-05-31,36.0,36.0,36.0,36.0,9.13,10
2012-06-01,34.8,34.2,34.3,34.2,8.68,11480
