Date,High,Low,Open,Close,adjust,Volume
2012-01-03,6.8,6.5,6.5,6.6,2.19,2040
2012-01-04,6.5,6.5,6.5,6.5,2.16,890
2012-01-05,6.5,6.5,6.5,6.5,2.16,0
2012-01-06,6.7,6.7,6.7,6.7,2.23,1030
2012-01-09,7.0,7.0,7.0,7.0,2.33,2240
2012-01-10,7.0,7.0,7.0,7.0,2.33,500
2012-01-11,7.0,6.9,7.0,6.9,2.29,14760
2012-01-12,6.9,6.8,6.9,6.8,2.26,10210
2012-01-13,7.1,6.9,6.9,6.9,2.29,9010
2012-01-16,7.2,7.2,7.2,7.2,2.39,40
2012-01-17,7.5,6.9,6.9,7.5,2.49,3010
2012-01-18,7.3,7.3,7.3,7.3,2.43,10
2012-01-19,7.6,7.6,7.6,7.6,2.53,10
2012-01-20,7.9,7.8,7.9,7.8,2.59,9990
2012-01-30,8.0,7.9,8.0,8.0,2.66,3100
2012-01-31,8.2,8.0,8.2,8.0,2.66,2910
2012-02-01,8.2,8.2,8.2,8.2,2.73,60
2012-02-02,8.4,8.3,8.3,8.4,2.79,310
2012-02-03,8.5,8.4,8.5,8.4,2.79,1220
2012-02-06,8.0,8.0,8.0,8.0,2.66,10
2012-02-07,8.4,8.2,8.4,8.2,2.73,520
2012-02-08,8.2,8.0,8.2,8.0,2.66,1580
2012-02-09,8.0,7.9,8.0,7.9,2.63,4520
2012-02-10,8.0,7.8,8.0,7.8,2.59,17010
2012-02-13,7.7,7.7,7.7,7.7,2.56,20
2012-02-14,8.0,7.8,7.8,8.0,2.66,1100
2012-02-15,7.8,7.7,7.7,7.7,2.56,9510
2012-02-16,7.6,7.6,7.6,7.6,2.53,2520
2012-02-17,7.8,7.7,7.7,7.8,2.59,3170
2012-02-20,8.0,7.7,8.0,7.7,2.56,5150
2012-02-21,7.9,7.7,7.8,7.9,2.63,5210
2012-02-22,8.0,7.9,7.9,8.0,2.66,5900
2012-02-23,8.2,8.1,8.1,8.2,2.73,5060
2012-02-24,8.1,8.0,8.1,8.0,2.66,14840
2012-02-27,8.0,7.8,8.0,7.8,2.59,1800
2012-02-28,8.0,7.8,8.0,7.8,2.59,10290
2012-02-29,7.7,7.7,7.7,7.7,2.56,3300
2012-03-01,8.0,7.8,8.0,7.9,2.63,3210
2012-03-02,8.0,7.7,7.7,7.8,2.59,15610
2012-03-05,8.1,7.8,7.8,8.1,2.69,78670
2012-03-06,8.5,8.1,8.1,8.1,2.69,56290
2012-03-07,8.2,8.0,8.1,8.1,2.69,58310
2012-03-08,8.1,8.0,8.1,8.0,2.66,36490
2012-03-09,8.2,8.0,8.2,8.0,2.66,37720
2012-03-12,8.3,7.9,8.0,8.0,2.66,33660
2012-03-13,8.1,7.9,8.0,8.1,2.69,14700
2012-03-14,8.1,8.0,8.0,8.1,2.69,24780
2012-03-15,8.3,8.1,8.1,8.3,2.76,36970
2012-03-16,8.4,7.9,8.3,8.4,2.79,1550
2012-03-19,8.4,8.0,8.4,8.0,2.66,7870
2012-03-20,8.1,8.0,8.1,8.0,2.66,9360
2012-03-21,8.4,8.1,8.1,8.4,2.79,34690
2012-03-22,8.8,8.4,8.8,8.5,2.83,9390
2012-03-23,8.9,8.9,8.9,8.9,2.96,35000
2012-03-26,9.3,9.3,9.3,9.3,3.09,3910
2012-03-27,9.7,9.3,9.7,9.3,3.09,71580
2012-03-28,9.5,9.2,9.3,9.2,3.06,23660
2012-03-29,9.5,9.1,9.3,9.1,3.03,28950
2012-03-30,9.3,9.1,9.3,9.2,3.06,27050
2012-04-03,8.1,7.8,8.0,8.1,3.14,16900
2012-04-04,8.2,7.7,8.2,7.7,2.98,1470
2012-04-05,8.0,7.5,7.6,7.8,3.02,10750
2012-04-06,8.0,7.7,8.0,7.9,3.06,2120
2012-04-09,8.0,7.6,7.7,7.6,2.94,19180
2012-04-10,7.8,7.4,7.4,7.8,3.02,5230
2012-04-11,8.0,7.6,7.6,8.0,3.1,29780
2012-04-12,8.0,7.7,8.0,7.7,2.98,6150
2012-04-13,8.0,7.8,7.9,7.8,3.02,59020
2012-04-16,7.9,7.7,7.9,7.9,3.06,11400
2012-04-17,8.2,7.8,8.0,8.2,3.18,79920
2012-04-18,8.3,8.1,8.3,8.1,3.14,9570
2012-04-19,8.3,8.0,8.3,8.1,3.14,12640
2012-04-20,8.0,7.8,8.0,7.9,3.06,7010
