Date,High,Low,Open,Close,adjust,Volume
2012-01-03,5.7,5.7,5.7,5.7,1.71,0
2012-01-04,5.7,5.7,5.7,5.7,1.71,3400
2012-01-05,5.4,5.4,5.4,5.4,1.62,2500
2012-01-06,5.7,5.4,5.4,5.7,1.71,600
2012-01-09,5.7,5.7,5.7,5.7,1.71,0
2012-01-10,5.7,5.4,5.4,5.4,1.62,2000
2012-01-11,5.6,5.5,5.6,5.5,1.65,300
2012-01-12,5.5,5.5,5.5,5.5,1.65,0
2012-01-13,5.5,5.5,5.5,5.5,1.65,0
2012-01-16,5.5,5.5,5.5,5.5,1.65,0
2012-01-17,5.2,5.2,5.2,5.2,1.56,500
2012-01-18,5.4,5.4,5.4,5.4,1.62,100
2012-01-19,5.4,5.4,5.4,5.4,1.62,0
2012-01-20,5.4,5.4,5.4,5.4,1.62,0
2012-01-30,5.4,5.4,5.4,5.4,1.62,0
2012-01-31,5.7,5.7,5.7,5.7,1.71,100
2012-02-01,5.7,5.7,5.7,5.7,1.71,0
2012-02-02,6.0,5.6,6.0,5.6,1.68,1500
2012-02-03,5.9,5.9,5.9,5.9,1.77,100
2012-02-06,5.9,5.9,5.9,5.9,1.77,100
2012-02-07,6.1,6.1,6.1,6.1,1.83,200
2012-02-08,6.1,6.1,6.1,6.1,1.83,0
2012-02-09,6.0,5.7,5.7,6.0,1.8,300
2012-02-10,5.9,5.5,5.9,5.5,1.65,200
2012-02-13,6.0,5.4,6.0,5.4,1.62,700
2012-02-14,5.8,5.2,5.2,5.8,1.74,1100
2012-02-15,5.4,5.1,5.1,5.4,1.62,6800
2012-02-16,5.5,5.5,5.5,5.5,1.65,100
2012-02-17,5.5,5.5,5.5,5.5,1.65,200
2012-02-20,5.7,5.7,5.7,5.7,1.71,2600
2012-02-21,5.6,5.4,5.4,5.6,1.68,1500
2012-02-22,5.8,5.8,5.8,5.8,1.74,100
2012-02-23,6.2,5.4,6.2,5.5,1.65,9800
2012-02-24,5.8,5.3,5.8,5.3,1.59,7200
2012-02-27,5.8,5.6,5.7,5.8,1.74,6900
2012-02-28,6.0,6.0,6.0,6.0,1.8,1300
2012-02-29,6.4,6.2,6.4,6.2,1.86,4100
2012-03-01,6.6,6.2,6.2,6.6,1.98,200
2012-03-02,6.6,6.5,6.5,6.6,1.98,5400
2012-03-05,7.0,6.4,6.9,7.0,2.1,110900
2012-03-06,7.0,6.3,7.0,6.3,1.89,13900
