Date,High,Low,Open,Close,adjust,Volume
2012-01-03,7.6,7.4,7.6,7.6,5.72,2100
2012-01-04,7.5,7.3,7.4,7.5,5.65,3890
2012-01-05,7.5,7.5,7.5,7.5,5.65,100
2012-01-06,7.5,7.2,7.5,7.2,5.42,1160
2012-01-09,7.5,7.0,7.5,7.4,5.57,430
2012-01-10,7.4,7.4,7.4,7.4,5.57,10
2012-01-11,7.5,7.2,7.5,7.2,5.42,3100
2012-01-12,7.5,6.9,7.5,6.9,5.2,7100
2012-01-13,7.2,7.0,7.1,7.1,5.35,13910
2012-01-16,7.0,6.9,7.0,7.0,5.27,3320
2012-01-17,7.3,7.0,7.0,7.0,5.27,4830
2012-01-18,7.0,7.0,7.0,7.0,5.27,3870
2012-01-19,7.3,7.2,7.2,7.3,5.5,5030
2012-01-20,7.3,7.1,7.1,7.1,5.35,5410
2012-01-30,7.3,7.3,7.3,7.3,5.5,10
2012-01-31,7.5,7.3,7.3,7.3,5.5,4230
2012-02-01,7.3,7.0,7.3,7.0,5.27,1100
2012-02-02,7.3,7.2,7.2,7.2,5.42,2850
2012-02-03,7.3,7.0,7.0,7.0,5.27,27590
2012-02-06,7.1,7.0,7.0,7.0,5.27,2010
2012-02-07,7.1,6.9,7.1,7.1,5.35,2550
2012-02-08,7.1,7.0,7.1,7.0,5.27,6850
2012-02-09,7.1,6.8,7.0,7.0,5.27,7890
2012-02-10,7.0,6.8,7.0,6.8,5.12,9050
2012-02-13,7.1,6.7,7.0,6.9,5.2,4400
2012-02-14,7.2,6.8,6.8,7.2,5.42,8740
2012-02-15,7.3,7.1,7.3,7.1,5.35,12560
2012-02-16,7.3,7.0,7.3,7.0,5.27,10850
2012-02-17,7.1,6.8,7.0,7.1,5.35,23750
2012-02-20,7.1,6.9,7.1,7.0,5.27,12550
2012-02-21,7.1,7.0,7.0,7.0,5.27,910
2012-02-22,7.3,7.0,7.0,7.1,5.35,8520
2012-02-23,7.4,7.3,7.4,7.3,5.5,21700
2012-02-24,7.5,7.3,7.5,7.4,5.57,17060
2012-02-27,7.7,7.4,7.6,7.7,5.8,171190
2012-02-28,8.0,7.7,8.0,7.7,5.8,280820
2012-02-29,7.7,7.5,7.5,7.7,5.8,8140
2012-03-01,7.8,7.5,7.7,7.5,5.65,2920
2012-03-02,7.8,7.5,7.5,7.7,5.8,18080
2012-03-05,8.0,7.9,7.9,8.0,6.02,30600
2012-03-06,8.4,7.7,8.4,7.7,5.8,23830
2012-03-07,7.9,7.6,7.6,7.8,5.87,11550
2012-03-08,7.9,7.5,7.9,7.5,5.65,7680
2012-03-09,7.6,7.2,7.6,7.2,5.42,10030
2012-03-12,7.4,6.9,7.4,7.3,5.5,6970
2012-03-13,7.6,7.3,7.3,7.3,5.5,5190
2012-03-14,7.6,7.4,7.5,7.4,5.57,1230
2012-03-15,7.5,7.4,7.4,7.5,5.65,5930
2012-03-16,7.5,7.3,7.5,7.4,5.57,11060
2012-03-19,7.4,7.1,7.1,7.4,5.57,7850
