Date,High,Low,Open,Close,adjust,Volume
2012-01-03,5.4,5.3,5.4,5.4,1.48,1180
2012-01-04,5.5,5.4,5.5,5.5,1.51,1090
2012-01-05,5.5,5.3,5.5,5.3,1.46,210
2012-01-06,5.5,5.2,5.2,5.3,1.46,1780
2012-01-09,5.4,5.4,5.4,5.4,1.48,10
2012-01-10,5.5,5.4,5.5,5.4,1.48,40
2012-01-11,5.4,5.3,5.4,5.4,1.48,2370
2012-01-12,5.5,5.3,5.3,5.5,1.51,410
2012-01-13,5.5,5.3,5.5,5.3,1.46,380
2012-01-16,5.5,5.4,5.4,5.5,1.51,1650
2012-01-17,5.5,5.4,5.4,5.5,1.51,540
2012-01-18,5.7,5.5,5.5,5.7,1.57,4220
2012-01-19,5.7,5.7,5.7,5.7,1.57,410
2012-01-20,5.8,5.5,5.7,5.5,1.51,1060
2012-01-30,5.7,5.6,5.7,5.7,1.57,1110
2012-01-31,5.9,5.8,5.8,5.8,1.59,6070
2012-02-01,5.8,5.6,5.8,5.6,1.54,780
2012-02-02,5.8,5.7,5.7,5.8,1.59,3370
2012-02-03,5.9,5.7,5.9,5.7,1.57,9930
2012-02-06,5.8,5.6,5.8,5.7,1.57,8050
2012-02-07,5.8,5.7,5.8,5.8,1.59,340
2012-02-08,5.8,5.7,5.8,5.7,1.57,1950
2012-02-09,5.9,5.6,5.6,5.7,1.57,21590
2012-02-10,5.8,5.6,5.6,5.8,1.59,240
2012-02-13,5.9,5.6,5.9,5.6,1.54,2180
2012-02-14,5.8,5.5,5.5,5.8,1.59,1730
2012-02-15,5.8,5.7,5.7,5.8,1.59,1330
2012-02-16,5.8,5.6,5.8,5.6,1.54,210
2012-02-17,5.7,5.5,5.7,5.5,1.51,6430
2012-02-20,5.7,5.7,5.7,5.7,1.57,4370
2012-02-21,5.7,5.7,5.7,5.7,1.57,2460
2012-02-22,5.8,5.8,5.8,5.8,1.59,7400
2012-02-23,5.9,5.7,5.9,5.8,1.59,3740
2012-02-24,5.9,5.7,5.8,5.7,1.57,9090
2012-02-27,5.9,5.8,5.9,5.9,1.62,18740
2012-02-28,5.9,5.8,5.8,5.9,1.62,8550
2012-02-29,6.0,5.8,5.8,6.0,1.65,3180
2012-03-01,5.9,5.8,5.9,5.8,1.59,5600
2012-03-02,6.0,5.9,6.0,6.0,1.65,19620
2012-03-05,6.3,6.3,6.3,6.3,1.73,12880
2012-03-06,6.6,6.2,6.6,6.3,1.73,22250
2012-03-07,6.3,6.2,6.3,6.2,1.7,5090
2012-03-08,6.2,5.9,6.2,5.9,1.62,11840
2012-03-09,6.1,5.8,6.1,6.1,1.68,1720
2012-03-12,6.1,5.8,6.1,5.9,1.62,7670
2012-03-13,6.1,5.8,5.8,6.1,1.68,3500
2012-03-14,6.2,6.2,6.2,6.2,1.7,1660
2012-03-15,6.3,5.9,5.9,6.2,1.7,1090
2012-03-16,6.3,6.1,6.3,6.1,1.68,1970
2012-03-19,6.3,5.9,6.1,6.2,1.7,20540
2012-03-20,6.2,6.0,6.2,6.2,1.7,2280
2012-03-21,6.3,6.1,6.1,6.3,1.73,8930
2012-03-22,6.3,6.1,6.3,6.2,1.7,8080
2012-03-23,6.5,6.3,6.3,6.4,1.76,29210
2012-03-26,6.7,6.5,6.6,6.7,1.84,53370
2012-03-27,7.0,6.5,7.0,6.8,1.87,6320
2012-03-28,7.1,6.6,7.0,6.9,1.9,17320
2012-03-29,7.0,6.6,7.0,6.6,1.81,10330
2012-03-30,6.7,6.5,6.6,6.7,1.84,700
2012-04-03,6.8,6.4,6.4,6.7,1.84,5210
2012-04-04,6.7,6.5,6.7,6.5,1.79,4340
2012-04-05,6.7,6.5,6.5,6.6,1.81,14060
2012-04-06,6.7,6.5,6.5,6.5,1.79,2930
2012-04-09,6.7,6.5,6.6,6.7,1.84,8350
2012-04-10,6.7,6.5,6.5,6.7,1.84,480
2012-04-11,6.7,6.6,6.7,6.7,1.84,15280
2012-04-12,6.8,6.6,6.8,6.7,1.84,26040
2012-04-13,6.8,6.6,6.8,6.7,1.84,32340
2012-04-16,6.8,6.6,6.7,6.8,1.87,16310
2012-04-17,6.9,6.7,6.9,6.9,1.9,32680
2012-04-18,7.1,6.9,6.9,7.0,1.92,17610
2012-04-19,7.1,6.9,7.1,6.9,1.9,43470
