Date,High,Low,Open,Close,adjust,Volume
2017-08-21,14.4,14.4,14.4,14.4,7.31,100
2017-08-22,15.4,14.4,14.4,15.4,7.81,40200
2017-08-23,16.45,16.45,16.45,16.45,8.35,100
2017-08-24,17.6,17.6,17.6,17.6,8.93,100
2017-08-25,18.8,18.8,18.8,18.8,9.54,50100
2017-08-28,20.1,20.1,20.1,20.1,10.2,100
2017-08-29,21.5,21.5,21.5,21.5,10.91,100
2017-08-30,23.0,23.0,23.0,23.0,11.67,61100
2017-08-31,24.6,24.6,24.6,24.6,12.48,1640000
2017-09-01,26.3,26.3,26.3,26.3,13.34,387000
2017-09-05,27.9,27.0,27.9,27.8,14.1,261750
2017-09-06,27.8,25.9,27.8,25.9,13.14,226390
2017-09-07,27.3,25.15,25.15,25.9,13.14,119130
2017-09-08,26.0,24.95,26.0,24.95,12.66,762960
2017-09-11,24.95,23.4,24.3,23.8,12.07,114260
2017-09-12,25.45,24.0,24.0,25.45,12.91,102460
2017-09-13,26.9,26.0,26.8,26.9,13.65,104250
2017-09-14,27.5,26.0,27.5,26.8,13.6,204600
2017-09-15,28.65,26.2,26.2,28.5,14.46,414520
2017-09-18,30.45,28.5,28.5,30.4,15.42,446470
2017-09-19,32.0,29.8,31.0,29.8,15.12,281420
2017-09-20,30.9,29.2,29.6,30.4,15.42,277560
2017-09-21,31.0,29.8,31.0,30.3,15.37,106390
2017-09-22,30.5,30.0,30.1,30.0,15.22,123210
2017-09-25,29.95,27.9,29.8,28.0,14.2,243320
2017-09-26,28.0,27.05,27.1,28.0,14.2,120910
2017-09-27,29.4,27.5,28.0,29.0,14.71,154080
2017-09-28,29.2,28.2,29.0,28.2,14.31,72850
2017-09-29,28.6,27.4,28.2,27.5,13.95,74490
2017-10-02,28.2,27.3,27.3,27.85,14.13,144400
2017-10-03,27.85,26.8,27.65,26.9,13.65,57930
2017-10-04,27.45,26.9,26.9,27.45,13.93,116390
2017-10-05,28.4,27.45,27.5,27.55,13.98,169210
2017-10-06,28.15,27.55,27.55,27.8,14.1,58340
2017-10-09,28.4,27.8,27.9,28.35,14.38,320440
2017-10-10,30.0,28.3,28.35,30.0,15.22,369460
2017-10-11,30.5,29.1,30.0,29.3,14.86,201250
2017-10-12,29.65,28.7,29.4,29.1,14.76,658240
2017-10-13,29.2,28.7,29.1,29.0,14.71,70730
2017-10-16,29.55,29.0,29.2,29.1,14.76,106960
2017-10-17,29.6,29.2,29.25,29.25,14.84,157710
2017-10-18,29.3,28.7,29.2,28.7,14.56,157290
2017-10-19,28.8,28.45,28.7,28.6,14.51,197650
2017-10-20,29.0,28.6,28.6,29.0,14.71,192850
2017-10-23,29.3,27.0,27.0,27.0,13.7,143450
2017-10-24,28.3,27.4,27.5,27.6,14.0,100020
2017-10-25,27.6,27.0,27.6,27.4,13.9,121080
2017-10-26,27.6,25.5,25.5,27.6,14.0,292780
2017-10-27,28.4,26.5,26.5,27.9,14.15,209700
2017-10-30,28.1,26.5,28.1,26.5,13.44,28700
2017-10-31,26.5,25.2,26.5,25.9,13.14,86460
2017-11-01,26.3,25.8,26.3,25.9,13.14,45600
2017-11-02,26.75,25.2,26.75,25.2,12.78,37190
2017-11-03,25.5,23.45,25.0,23.45,11.9,297970
2017-11-06,25.05,23.45,23.45,25.05,12.71,275330
2017-11-07,25.5,24.8,25.15,25.2,12.78,18180
2017-11-08,25.0,23.7,25.0,24.3,12.33,51050
2017-11-09,24.3,23.75,24.3,23.9,12.12,90300
2017-11-10,24.8,23.9,24.0,24.4,12.38,43710
2017-11-13,24.7,24.1,24.1,24.7,12.53,40260
2017-11-14,24.8,24.3,24.3,24.7,12.53,30210
2017-11-15,24.7,24.4,24.5,24.5,12.43,25640
2017-11-16,25.3,24.5,24.5,25.0,12.68,126070
2017-11-17,25.3,24.5,25.0,24.5,12.43,59600
2017-11-20,24.6,24.45,24.6,24.5,12.43,25110
2017-11-21,24.8,24.4,24.8,24.6,12.48,66310
2017-11-22,24.9,24.25,24.6,24.55,12.45,40710
2017-11-23,25.0,24.4,24.55,25.0,12.68,36930
2017-11-24,25.15,24.4,24.6,24.4,12.38,89030
2017-11-27,24.6,24.05,24.5,24.05,12.2,100390
2017-11-28,24.8,24.1,24.5,24.5,12.43,31350
2017-11-29,26.2,24.5,24.5,26.2,13.29,175370
2017-11-30,27.3,26.1,27.3,26.1,13.24,59430
2017-12-01,26.2,25.5,26.05,25.9,13.14,42450
2017-12-04,26.0,24.9,26.0,24.9,12.63,88690
2017-12-05,25.5,24.7,25.5,25.3,12.83,110330
2017-12-06,25.4,24.4,24.7,24.7,12.53,55950
2017-12-07,24.95,24.4,24.9,24.5,12.43,40260
2017-12-08,24.9,24.0,24.5,24.6,12.48,108210
2017-12-11,24.8,23.8,24.8,24.2,12.28,147570
2017-12-12,24.2,22.55,24.0,23.7,12.02,112800
2017-12-13,23.8,23.0,23.8,23.5,11.92,94200
2017-12-14,23.8,22.8,23.5,23.7,12.02,79960
2017-12-15,23.7,23.0,23.7,23.0,11.67,94010
2017-12-18,23.5,22.7,23.5,22.7,11.52,136610
2017-12-19,22.7,22.0,22.5,22.2,11.26,117740
2017-12-20,23.0,22.1,22.2,22.45,11.39,56690
2017-12-21,22.7,21.45,22.7,21.45,10.88,143090
2017-12-22,21.5,19.95,21.45,19.95,10.12,232530
2017-12-25,20.5,19.95,20.4,20.5,10.4,74460
2017-12-26,21.5,20.85,21.2,21.5,10.91,77530
2017-12-27,21.6,20.8,21.6,21.0,10.65,51800
2017-12-28,21.1,20.4,20.4,21.1,10.7,46760
2017-12-29,21.1,20.3,21.1,20.7,10.5,52040
2018-01-02,20.8,20.0,20.7,20.5,10.4,39510
2018-01-03,20.45,19.9,20.45,20.3,10.3,90350
2018-01-04,20.3,19.8,20.3,20.2,10.25,72370
2018-01-05,20.2,20.0,20.2,20.0,10.15,32020
2018-01-08,20.2,19.5,19.5,20.2,10.25,26240
2018-01-09,21.3,20.0,20.2,21.1,10.7,126970
2018-01-10,21.3,20.25,21.1,20.9,10.6,35800
2018-01-11,20.8,20.2,20.2,20.6,10.45,29390
2018-01-12,20.7,20.0,20.7,20.1,10.2,54890
2018-01-15,20.8,20.1,20.1,20.4,10.35,56980
2018-01-16,20.85,20.3,20.85,20.4,10.35,18680
2018-01-17,20.8,20.3,20.4,20.4,10.35,19770
2018-01-18,20.6,20.0,20.6,20.4,10.35,55700
2018-01-19,20.8,20.4,20.8,20.55,10.43,39460
2018-01-22,20.6,20.1,20.6,20.3,10.3,31300
2018-01-25,20.3,18.9,20.3,19.7,9.99,70320
2018-01-26,19.8,18.75,19.8,19.0,9.64,96710
2018-01-29,19.0,18.3,19.0,18.5,9.39,70440
2018-01-30,18.9,18.0,18.9,18.0,9.13,62760
2018-01-31,19.0,18.1,18.1,18.65,9.46,43230
2018-02-01,19.95,18.65,18.8,19.95,10.12,142060
2018-02-02,20.6,19.9,20.5,20.2,10.25,41090
2018-02-05,20.0,18.8,20.0,18.8,9.54,24790
2018-02-06,18.1,17.5,18.0,18.0,9.13,90590
2018-02-07,19.2,18.3,19.0,18.5,9.39,30420
2018-02-08,19.1,18.3,19.1,18.45,9.36,19810
2018-02-09,18.9,17.65,17.65,18.75,9.51,13480
2018-02-12,19.8,18.9,18.9,19.6,9.94,40690
2018-02-13,20.95,19.5,20.0,20.95,10.63,55080
2018-02-21,22.4,21.0,21.0,22.4,11.36,111560
2018-02-22,23.95,22.95,23.2,23.4,11.87,236770
2018-02-23,25.0,22.5,23.7,23.95,12.15,100830
2018-02-26,24.75,23.4,24.75,23.9,12.12,111210
2018-02-27,24.0,22.9,23.6,23.0,11.67,75010
2018-02-28,23.1,22.2,23.0,22.2,11.26,73480
2018-03-01,23.5,21.2,22.0,22.3,11.31,38130
2018-03-02,23.2,22.4,22.4,23.1,11.72,38910
2018-03-05,23.2,22.8,23.0,22.8,11.57,48330
2018-03-06,23.0,22.5,22.7,23.0,11.67,27280
2018-03-07,23.05,22.3,23.0,22.8,11.57,108550
2018-03-08,22.8,22.1,22.6,22.75,11.54,27200
2018-03-09,22.8,22.3,22.6,22.6,11.47,10340
2018-03-12,22.7,22.1,22.3,22.3,11.31,25980
2018-03-13,22.5,22.3,22.3,22.5,11.41,4660
2018-03-14,23.5,22.4,22.7,23.0,11.67,35900
2018-03-15,23.0,22.2,22.9,22.8,11.57,8740
2018-03-16,22.85,22.1,22.8,22.8,11.57,11870
2018-03-19,23.0,22.05,22.05,22.05,11.19,26260
2018-03-20,22.75,20.7,22.75,22.25,11.29,8700
2018-03-21,22.65,21.6,22.65,22.4,11.36,11230
2018-03-22,22.55,21.45,22.55,21.45,10.88,5090
2018-03-23,21.0,19.95,20.0,20.7,10.5,86060
2018-03-26,21.0,19.5,19.75,20.1,10.2,14490
2018-03-27,20.85,20.1,20.85,20.3,10.3,12910
2018-03-28,20.65,20.0,20.65,20.45,10.37,18950
2018-03-29,20.45,20.1,20.45,20.4,10.35,5160
2018-03-30,20.7,19.75,19.75,20.7,10.5,8230
2018-04-02,20.95,20.2,20.95,20.4,10.35,36000
2018-04-03,20.5,20.1,20.1,20.3,10.3,16230
2018-04-04,21.7,20.35,20.6,21.7,11.01,86370
2018-04-05,22.95,21.1,22.95,22.0,11.16,35560
2018-04-06,21.7,21.1,21.7,21.5,10.91,15120
2018-04-09,21.4,20.65,21.1,21.0,10.65,32310
2018-04-10,21.0,20.2,20.4,20.7,10.5,28580
2018-04-11,20.7,20.15,20.3,20.45,10.37,27290
2018-04-12,20.6,20.05,20.4,20.45,10.37,9250
2018-04-13,20.45,20.0,20.45,20.3,10.3,13150
2018-04-16,20.45,20.25,20.45,20.3,10.3,12400
2018-04-17,20.7,19.75,20.7,19.9,10.1,44580
2018-04-18,20.9,19.6,20.9,19.7,9.99,21770
2018-04-19,19.8,19.3,19.4,19.65,9.97,21190
2018-04-20,19.8,19.0,19.6,19.6,9.94,12840
2018-04-23,19.7,18.25,18.25,18.25,9.26,89320
2018-04-24,17.0,17.0,17.0,17.0,8.62,16410
2018-04-26,15.85,15.85,15.85,15.85,8.04,4350
2018-04-27,16.9,14.75,14.75,15.4,7.81,229980
2018-05-02,15.8,14.35,14.35,14.35,7.28,26730
2018-05-03,13.35,13.35,13.35,13.35,6.77,58170
2018-05-04,13.5,12.45,13.2,12.7,6.44,108400
2018-05-07,13.2,12.8,12.8,13.2,6.7,22370
2018-05-08,14.1,13.4,13.85,14.1,7.15,53310
2018-05-09,14.2,13.6,14.2,13.6,6.9,36490
2018-05-10,14.05,13.5,13.9,13.95,7.08,29860
2018-05-11,14.2,13.4,13.5,14.0,7.1,64110
2018-05-15,14.1,13.8,14.0,14.0,7.1,35020
2018-05-16,14.0,13.8,14.0,14.0,7.1,31460
2018-05-17,14.0,13.75,14.0,13.95,7.08,13990
2018-05-18,13.95,13.45,13.95,13.9,7.05,20860
2018-05-21,13.95,13.3,13.95,13.7,6.95,19450
2018-05-22,13.7,13.0,13.7,13.6,6.9,33260
2018-05-23,13.45,12.65,12.7,13.1,6.65,51180
2018-05-24,13.55,13.1,13.55,13.3,6.75,33780
2018-05-25,13.55,12.9,13.45,13.35,6.77,45190
2018-05-28,13.45,12.45,13.3,12.65,6.42,60220
2018-05-29,13.2,12.7,13.0,13.2,6.7,57400
2018-05-30,13.2,12.8,13.2,13.2,6.7,17840
2018-05-31,13.3,13.0,13.3,13.0,6.6,40700
2018-06-01,13.2,12.9,13.2,13.1,6.65,60400
2018-06-04,13.5,12.8,13.1,13.5,6.85,189120
2018-06-05,14.4,13.2,13.7,14.4,7.31,108810
2018-06-06,15.4,15.0,15.4,15.4,7.81,93080
2018-06-07,16.45,16.0,16.45,16.0,8.12,150780
2018-06-08,16.0,14.9,16.0,14.9,7.56,109530
2018-06-11,14.9,14.0,14.0,14.3,7.25,76510
2018-06-12,14.7,13.9,14.7,14.4,7.31,33420
2018-06-13,14.7,13.9,14.0,14.5,7.36,44370
2018-06-14,14.5,13.85,14.5,13.85,7.03,48330
2018-06-15,14.35,13.4,14.0,13.4,6.8,46810
2018-06-18,13.85,13.0,13.4,13.4,6.8,51810
2018-06-19,13.95,12.7,13.95,13.2,6.7,49720
2018-06-20,13.65,13.2,13.6,13.25,6.72,30500
2018-06-21,13.35,12.9,13.25,13.3,6.75,29980
2018-06-22,13.6,12.8,12.95,13.4,6.8,56880
2018-06-25,13.55,13.4,13.4,13.55,6.87,16040
2018-06-26,13.4,13.0,13.4,13.4,6.8,14090
2018-06-27,13.4,13.0,13.4,13.3,6.75,14240
2018-06-28,13.3,12.9,13.3,13.0,6.6,43370
2018-06-29,13.5,13.05,13.2,13.3,6.75,8340
2018-07-02,13.5,12.7,13.5,13.0,6.6,46720
2018-07-03,13.0,12.6,12.9,12.8,6.49,62840
2018-07-04,13.0,12.6,12.8,13.0,6.6,18860
2018-07-05,13.2,12.4,13.2,12.7,6.44,22780
2018-07-06,13.0,12.3,12.3,12.8,6.49,27820
2018-07-09,13.0,12.7,13.0,13.0,6.6,21040
2018-07-10,13.4,12.7,13.0,13.3,6.75,37550
2018-07-11,13.4,12.8,13.4,12.8,6.49,19750
2018-07-12,13.4,12.85,12.85,12.85,6.52,10980
2018-07-13,13.3,12.9,13.2,12.9,6.54,16410
2018-07-16,13.2,12.85,13.15,13.0,6.6,27760
2018-07-17,13.1,12.85,13.1,12.9,6.54,23510
2018-07-18,13.1,12.8,12.9,12.85,6.52,93160
2018-07-19,13.3,12.85,13.0,12.95,6.57,55310
2018-07-20,13.2,12.85,13.1,13.1,6.65,48350
2018-07-23,14.0,13.5,14.0,14.0,7.1,203060
2018-07-24,14.9,13.5,14.9,13.8,7.0,147740
2018-07-25,14.4,13.5,13.5,13.8,7.0,52270
2018-07-26,13.95,13.35,13.7,13.45,6.82,55740
2018-07-27,13.7,13.3,13.45,13.3,6.75,39590
2018-07-30,13.5,12.95,13.2,12.95,6.57,81980
2018-07-31,13.55,12.9,12.95,13.25,6.72,60280
2018-08-01,13.95,13.3,13.55,13.85,7.03,48890
2018-08-02,13.85,13.4,13.85,13.5,6.85,54650
2018-08-03,13.6,13.35,13.6,13.35,6.77,24770
2018-08-06,13.5,12.9,12.9,13.15,6.67,57510
2018-08-07,13.3,12.95,13.05,13.15,6.67,27840
2018-08-08,13.5,13.2,13.3,13.3,6.75,29880
2018-08-09,13.6,13.3,13.5,13.3,6.75,44260
2018-08-10,13.85,13.3,13.3,13.75,6.98,45030
2018-08-13,13.85,13.4,13.75,13.4,6.8,25070
2018-08-14,13.7,13.35,13.4,13.35,6.77,37060
2018-08-15,13.6,13.35,13.4,13.4,6.8,35330
2018-08-16,13.6,13.1,13.4,13.6,6.9,49180
2018-08-17,13.95,13.5,13.7,13.95,7.08,74030
2018-08-20,14.9,13.95,13.95,14.85,7.53,129720
2018-08-21,15.85,15.0,15.0,15.85,8.04,163630
2018-08-22,16.95,15.85,15.85,16.95,8.6,117760
2018-08-23,18.1,16.0,18.1,16.2,8.22,301610
2018-08-24,16.9,15.3,16.1,16.8,8.52,115810
2018-08-27,16.95,16.3,16.3,16.45,8.35,63320
2018-08-28,17.3,16.5,16.65,17.0,8.62,144530
2018-08-29,17.35,16.75,17.35,17.0,8.62,33610
2018-08-30,17.0,16.0,16.8,16.7,8.47,53780
2018-08-31,16.85,16.2,16.7,16.2,8.22,78000
2018-09-04,16.5,15.7,16.2,15.7,7.96,69150
2018-09-05,15.8,15.5,15.7,15.7,7.96,67500
2018-09-06,15.7,15.0,15.7,15.05,7.64,35270
2018-09-07,15.5,14.65,14.65,15.4,7.81,37360
2018-09-10,16.45,15.3,15.75,16.45,8.35,45580
2018-09-11,17.1,16.5,16.5,16.8,8.52,49320
2018-09-12,16.85,15.9,16.6,16.55,8.4,61580
2018-09-13,17.2,15.4,16.55,16.35,8.29,73040
2018-09-14,16.35,16.0,16.1,16.25,8.24,40840
