Date,High,Low,Open,Close,adjust,Volume
2012-01-03,9.4,8.9,9.0,9.4,5.68,5540
2012-01-04,9.8,9.0,9.6,9.8,5.92,2570
2012-01-05,10.2,9.4,9.4,9.8,5.92,40
2012-01-06,9.9,9.5,9.6,9.9,5.98,2020
2012-01-09,10.1,10.1,10.1,10.1,6.1,20
2012-01-10,10.4,10.3,10.3,10.4,6.28,30
2012-01-11,10.5,9.9,10.5,10.5,6.34,11570
2012-01-12,10.3,10.0,10.3,10.0,6.04,120
2012-01-13,10.0,9.5,10.0,9.6,5.8,2100
2012-01-16,9.7,9.7,9.7,9.7,5.86,10
2012-01-17,10.1,9.3,9.3,9.9,5.98,740
2012-01-18,10.0,9.8,10.0,9.8,5.92,40
2012-01-19,10.0,10.0,10.0,10.0,6.04,2010
2012-01-20,10.5,10.0,10.3,10.0,6.04,3560
2012-01-30,10.4,10.2,10.4,10.2,6.16,7520
2012-01-31,10.5,9.7,10.5,10.4,6.28,90
2012-02-01,10.5,10.4,10.5,10.4,6.28,8860
2012-02-02,10.6,10.5,10.5,10.6,6.4,21750
2012-02-03,10.7,10.5,10.7,10.6,6.4,13060
2012-02-06,10.6,10.6,10.6,10.6,6.4,2210
2012-02-07,10.6,10.4,10.4,10.4,6.28,170
2012-02-08,10.6,10.5,10.6,10.5,6.34,10510
2012-02-09,10.5,10.4,10.5,10.4,6.28,1470
2012-02-10,10.5,10.5,10.5,10.5,6.34,2200
2012-02-13,10.3,10.0,10.2,10.0,6.04,1860
2012-02-14,10.4,9.6,10.4,10.0,6.04,1610
2012-02-15,10.4,10.3,10.3,10.3,6.22,2180
2012-02-16,10.8,10.1,10.8,10.1,6.1,78090
2012-02-17,10.6,10.2,10.6,10.6,6.4,91020
2012-02-20,11.1,11.1,11.1,11.1,6.7,89480
2012-02-21,11.6,11.6,11.6,11.6,7.0,20300
2012-02-22,12.1,12.1,12.1,12.1,7.31,86170
2012-02-23,12.7,12.7,12.7,12.7,7.67,80990
2012-02-24,13.3,13.3,13.3,13.3,8.03,123300
2012-02-27,13.9,13.5,13.5,13.7,8.27,198850
2012-02-28,13.7,13.1,13.7,13.1,7.91,77950
2012-02-29,13.7,13.1,13.1,13.7,8.27,112010
2012-03-01,14.3,14.3,14.3,14.3,8.63,38760
2012-03-02,15.0,14.4,15.0,14.9,9.0,87600
2012-03-05,15.6,15.3,15.3,15.6,9.42,102500
2012-03-06,16.1,14.9,16.1,15.4,9.3,153230
2012-03-07,13.7,13.4,13.4,13.6,9.1,30110
2012-03-08,13.6,13.0,13.6,13.0,8.7,65940
2012-03-09,13.0,12.4,13.0,12.4,8.29,19630
2012-03-12,12.8,11.8,11.9,11.9,7.96,48780
2012-03-13,12.4,11.9,11.9,12.4,8.29,23310
2012-03-14,13.0,12.1,13.0,12.1,8.09,14360
2012-03-15,12.7,11.8,12.1,12.7,8.5,6910
2012-03-16,13.1,12.3,13.1,12.3,8.23,17210
2012-03-19,12.5,11.8,12.3,12.5,8.36,17590
2012-03-20,12.5,12.3,12.5,12.3,8.23,3430
2012-03-21,12.8,12.5,12.8,12.6,8.43,27550
2012-03-22,12.8,12.3,12.6,12.8,8.56,26080
2012-03-23,12.9,12.5,12.8,12.8,8.56,57050
2012-03-26,13.0,12.5,12.5,13.0,8.7,34140
2012-03-27,13.0,12.5,13.0,12.5,8.36,22680
2012-03-28,12.8,12.2,12.8,12.6,8.43,12340
2012-03-29,12.5,12.3,12.4,12.3,8.23,14560
2012-03-30,12.3,11.9,12.3,12.3,8.23,14340
2012-04-03,12.3,12.0,12.3,12.1,8.09,27110
2012-04-04,12.3,11.9,11.9,12.0,8.03,56580
2012-04-05,12.3,12.0,12.0,12.3,8.23,11500
2012-04-06,12.5,12.1,12.3,12.2,8.16,25910
2012-04-09,12.4,11.9,12.4,12.2,8.16,54680
2012-04-10,12.7,12.4,12.7,12.4,8.29,85800
2012-04-11,13.0,13.0,13.0,13.0,8.7,118350
2012-04-12,13.6,13.6,13.6,13.6,9.1,83370
2012-04-13,14.2,13.5,13.6,14.0,9.36,198390
2012-04-16,14.7,14.1,14.5,14.6,9.77,163520
2012-04-17,15.0,14.0,15.0,14.2,9.5,107380
2012-04-18,14.2,13.7,14.2,13.9,9.3,91270
2012-04-19,14.0,13.4,13.7,13.4,8.96,122280
2012-04-20,13.6,13.1,13.6,13.1,8.76,80000
2012-04-23,13.7,13.7,13.7,13.7,9.16,54570
2012-04-24,14.3,14.3,14.3,14.3,9.57,61840
2012-04-25,15.0,15.0,15.0,15.0,10.03,11610
2012-04-26,15.7,15.7,15.7,15.7,10.5,73660
2012-04-27,16.4,15.7,16.4,16.4,10.97,467510
2012-05-02,17.2,15.6,17.2,15.6,10.43,237530
2012-05-03,15.7,14.9,15.4,15.6,10.43,109300
2012-05-04,16.3,16.3,16.3,16.3,10.9,116710
2012-05-07,17.1,16.8,17.1,17.1,11.44,229630
2012-05-08,17.2,16.3,17.1,16.5,11.04,135470
2012-05-09,16.7,16.0,16.7,16.0,10.7,84140
2012-05-10,16.8,16.0,16.5,16.8,11.24,158940
2012-05-11,17.0,16.1,17.0,16.1,10.77,69220
2012-05-14,16.1,15.3,15.4,15.3,10.23,76490
2012-05-15,15.1,14.6,14.6,14.6,9.77,153000
2012-05-16,14.6,13.9,14.1,14.0,9.36,75110
2012-05-17,14.4,13.4,14.4,13.4,8.96,58290
2012-05-18,13.9,12.8,13.0,13.0,8.7,92030
2012-05-21,13.6,13.0,13.0,13.6,9.1,48260
2012-05-22,14.1,13.3,14.0,13.6,9.1,34210
2012-05-23,13.5,13.0,13.4,13.0,8.7,78390
2012-05-24,13.2,12.8,13.0,13.0,8.7,84500
2012-05-25,13.6,13.0,13.0,13.6,9.1,27480
2012-05-28,14.2,13.7,14.2,13.8,9.23,44700
2012-05-29,13.8,13.2,13.8,13.5,9.03,40930
2012-05-30,14.0,13.1,13.1,13.3,8.9,16320
2012-05-31,13.4,13.1,13.3,13.3,8.9,18640
2012-06-01,13.7,13.0,13.0,13.6,9.1,8690
2012-06-04,13.6,13.0,13.6,13.0,8.7,60180
2012-06-05,13.5,12.8,13.2,13.0,8.7,29490
2012-06-06,13.5,13.1,13.4,13.5,9.03,10320
2012-06-07,13.9,13.5,13.9,13.6,9.1,50240
2012-06-08,14.2,13.6,14.0,13.6,9.1,80330
2012-06-11,13.7,13.2,13.2,13.6,9.1,37610
2012-06-12,13.6,13.1,13.6,13.6,9.1,12870
2012-06-13,13.6,13.2,13.3,13.6,9.1,8250
2012-06-14,13.7,13.3,13.6,13.6,9.1,8660
2012-06-15,13.7,13.1,13.6,13.5,9.03,39100
2012-06-18,13.9,13.5,13.5,13.8,9.23,31950
2012-06-19,13.9,13.6,13.8,13.7,9.16,37530
2012-06-20,14.0,13.6,13.7,13.7,9.16,3570
2012-06-21,13.7,13.5,13.7,13.5,9.03,11650
2012-06-22,13.5,13.3,13.5,13.5,9.03,20080
2012-06-25,13.6,13.2,13.5,13.2,8.83,39790
2012-06-26,13.1,12.7,12.8,13.0,8.7,20450
2012-06-27,13.3,13.0,13.0,13.1,8.76,13920
2012-06-28,13.1,13.0,13.0,13.0,8.7,5210
2012-06-29,13.0,12.6,13.0,13.0,8.7,5170
2012-07-02,13.6,13.0,13.6,13.4,8.96,45960
2012-07-03,13.4,13.0,13.4,13.1,8.76,17740
2012-07-04,13.0,13.0,13.0,13.0,8.7,10910
2012-07-05,13.1,12.9,13.0,13.1,8.76,7700
2012-07-06,13.5,13.1,13.5,13.5,9.03,230
2012-07-09,13.5,12.9,13.0,12.9,8.63,15870
2012-07-10,12.8,12.4,12.8,12.8,8.56,13500
2012-07-11,13.2,12.7,12.7,12.8,8.56,9960
2012-07-12,13.0,12.9,12.9,13.0,8.7,12050
