Date,High,Low,Open,Close,adjust,Volume
2012-01-03,7.0,6.8,6.8,6.8,2.38,133320
2012-01-04,6.8,6.7,6.8,6.7,2.35,35210
2012-01-05,6.8,6.6,6.7,6.6,2.31,87090
2012-01-06,6.7,6.5,6.6,6.6,2.31,197810
2012-01-09,6.8,6.6,6.8,6.8,2.38,151490
2012-01-10,6.9,6.7,6.7,6.8,2.38,806600
2012-01-11,6.9,6.8,6.8,6.8,2.38,282950
2012-01-12,6.9,6.7,6.7,6.9,2.42,57940
2012-01-13,7.0,6.9,7.0,7.0,2.45,86190
2012-01-16,7.1,6.9,6.9,7.0,2.45,379210
2012-01-17,7.1,7.0,7.0,7.1,2.49,109800
2012-01-18,7.2,7.1,7.1,7.2,2.52,102650
2012-01-19,7.4,7.2,7.3,7.4,2.59,206200
2012-01-20,7.5,7.1,7.5,7.1,2.49,121260
2012-01-30,7.4,7.3,7.4,7.4,2.59,98490
2012-01-31,7.6,7.4,7.4,7.4,2.59,305150
2012-02-01,7.6,7.5,7.6,7.6,2.66,232390
2012-02-02,7.9,7.6,7.6,7.8,2.73,215080
2012-02-03,7.9,7.8,7.9,7.8,2.73,431590
2012-02-06,7.9,7.6,7.9,7.7,2.7,194360
2012-02-07,8.0,7.7,7.7,8.0,2.8,306330
2012-02-08,8.4,7.9,7.9,8.4,2.94,184400
2012-02-09,8.8,8.4,8.4,8.8,3.08,344440
2012-02-10,8.9,8.4,8.9,8.4,2.94,387740
2012-02-13,8.1,8.0,8.1,8.0,2.8,288020
2012-02-14,8.3,7.8,8.0,8.3,2.91,192500
2012-02-15,8.2,8.0,8.1,8.1,2.84,110980
2012-02-16,8.3,8.1,8.1,8.3,2.91,302040
2012-02-17,8.6,8.4,8.5,8.6,3.01,129530
2012-02-20,8.9,8.8,8.8,8.9,3.12,168810
2012-02-21,9.0,8.7,8.9,8.7,3.05,321350
2012-02-22,9.0,8.6,8.7,8.9,3.12,127650
2012-02-23,9.2,8.7,8.9,9.2,3.22,255100
2012-02-24,9.3,8.8,9.3,8.8,3.08,284720
2012-02-27,9.2,8.9,9.1,9.2,3.22,305080
2012-02-28,9.2,8.8,9.2,8.8,3.08,328240
2012-02-29,9.0,8.6,8.6,9.0,3.15,251140
2012-03-01,9.1,8.7,8.7,9.1,3.19,344880
2012-03-02,9.3,9.0,9.0,9.2,3.22,295790
2012-03-05,9.6,9.4,9.4,9.6,3.36,546440
2012-03-06,10.0,9.4,10.0,9.4,3.29,837970
2012-03-07,9.8,9.2,9.5,9.8,3.43,916340
2012-03-08,9.7,9.4,9.5,9.4,3.29,347670
2012-03-09,9.5,9.3,9.4,9.3,3.26,505550
2012-03-12,9.5,9.2,9.2,9.3,3.26,301660
2012-03-13,9.4,9.3,9.3,9.3,3.26,522650
2012-03-14,9.4,8.9,9.3,8.9,3.12,572940
2012-03-15,9.3,8.8,8.9,9.3,3.26,812310
2012-03-16,9.6,9.0,9.4,9.0,3.15,2090390
2012-03-19,9.3,9.1,9.3,9.3,3.26,135930
2012-03-20,9.4,9.3,9.4,9.4,3.29,140680
2012-03-21,9.5,9.2,9.4,9.3,3.26,522450
2012-03-22,9.6,9.2,9.3,9.5,3.33,453920
2012-03-23,9.6,9.4,9.6,9.5,3.33,385500
2012-03-26,9.8,9.5,9.5,9.7,3.4,550920
2012-03-27,9.8,9.4,9.5,9.7,3.4,697370
2012-03-28,9.8,9.4,9.7,9.8,3.43,393010
2012-03-29,10.0,9.6,9.6,10.0,3.5,810530
2012-03-30,10.5,10.0,10.0,10.5,3.68,1056140
2012-04-03,10.8,10.3,10.4,10.5,3.68,415540
2012-04-04,10.5,10.3,10.5,10.3,3.61,449750
2012-04-05,10.3,9.9,9.9,10.3,3.61,228710
2012-04-06,10.2,9.9,10.2,9.9,3.47,283840
2012-04-09,10.0,9.8,9.8,9.8,3.43,238100
2012-04-10,9.9,9.7,9.7,9.7,3.4,301160
2012-04-11,9.8,9.6,9.8,9.7,3.4,341150
2012-04-12,10.1,9.6,9.7,10.1,3.54,1462790
2012-04-13,10.3,9.9,10.3,10.1,3.54,496520
2012-04-16,10.4,10.0,10.2,10.2,3.57,699700
2012-04-17,10.7,10.2,10.2,10.7,3.75,694160
2012-04-18,11.2,11.1,11.2,11.2,3.92,1463150
2012-04-19,11.5,11.0,11.5,11.0,3.85,1471560
2012-04-20,11.1,10.7,10.8,11.0,3.85,404770
2012-04-23,11.1,10.7,10.9,10.8,3.78,420240
2012-04-24,10.8,10.6,10.7,10.6,3.71,254890
