Date,High,Low,Open,Close,adjust,Volume
2012-01-03,32.2,31.7,32.2,32.0,14.26,40680
2012-01-04,31.7,30.5,31.7,30.5,13.59,97220
2012-01-05,30.5,30.0,30.5,30.4,13.54,66780
2012-01-06,30.5,30.0,30.5,30.4,13.54,15050
2012-01-09,30.2,29.8,29.8,30.0,13.36,31050
2012-01-10,30.9,29.3,29.3,30.9,13.77,77460
2012-01-11,32.0,30.9,30.9,32.0,14.26,163850
2012-01-12,32.2,31.5,32.0,32.1,14.3,30140
2012-01-13,32.9,32.0,32.2,32.9,14.66,102050
2012-01-16,32.9,32.7,32.9,32.8,14.61,30290
2012-01-17,32.8,31.8,31.8,32.8,14.61,30950
2012-01-18,33.3,33.0,33.0,33.3,14.84,21220
2012-01-19,34.8,32.6,32.6,34.8,15.5,126630
2012-01-20,35.0,34.0,35.0,34.8,15.5,55810
2012-01-30,36.5,35.0,35.5,36.5,16.26,94260
2012-01-31,38.3,37.0,38.2,38.0,16.93,292510
2012-02-01,38.7,37.8,38.5,38.7,17.24,282580
2012-02-02,39.2,38.6,39.1,39.0,17.37,189850
2012-02-03,40.0,38.9,40.0,39.4,17.55,313980
2012-02-06,39.0,38.1,38.2,38.1,16.97,41450
2012-02-07,39.9,38.0,38.0,39.9,17.78,176340
2012-02-08,40.5,38.7,39.4,40.5,18.04,198290
2012-02-09,40.5,39.6,40.0,40.5,18.04,299940
2012-02-10,40.5,39.6,40.5,39.9,17.78,305860
2012-02-13,39.9,39.0,39.9,39.0,17.37,170240
2012-02-14,39.0,38.0,38.0,39.0,17.37,117240
2012-02-15,40.0,38.7,40.0,38.9,17.33,113210
2012-02-16,39.3,38.9,39.0,39.3,17.51,152310
2012-02-17,40.0,39.3,40.0,39.3,17.51,145470
2012-02-20,40.0,38.8,39.3,40.0,17.82,489970
2012-02-21,40.7,39.9,40.0,40.0,17.82,261970
2012-02-22,40.0,39.7,40.0,39.9,17.78,151370
2012-02-23,40.6,39.6,39.7,40.1,17.86,371680
2012-02-24,42.1,40.4,40.8,42.1,18.76,451540
2012-02-27,43.2,42.5,42.5,42.8,19.07,331960
2012-02-28,43.4,40.7,43.4,40.7,18.13,108590
2012-02-29,42.0,39.0,42.0,39.0,17.37,386000
2012-03-01,40.0,38.9,40.0,40.0,17.82,143250
2012-03-02,40.2,39.1,39.1,40.0,17.82,87160
2012-03-05,42.0,41.0,41.0,42.0,18.71,441880
2012-03-06,42.0,40.0,42.0,40.2,17.91,224260
2012-03-07,41.0,39.6,40.2,41.0,18.27,246420
2012-03-08,41.1,39.1,41.0,39.1,17.42,287930
2012-03-09,39.6,39.0,39.1,39.2,17.46,139150
2012-03-12,39.2,37.3,37.3,38.0,16.93,287730
2012-03-13,38.9,37.9,38.0,38.0,16.93,121990
2012-03-14,38.1,37.0,38.0,37.1,16.53,306740
