Date,High,Low,Open,Close,adjust,Volume
2012-01-03,13.9,12.8,12.8,13.9,12.53,7020
2012-01-04,14.0,13.3,13.3,13.3,11.99,1380
2012-01-05,13.3,12.7,12.7,13.3,11.99,11020
2012-01-06,13.5,12.7,12.7,13.5,12.17,51160
2012-01-09,13.5,12.9,12.9,13.5,12.17,5190
2012-01-10,13.5,12.9,12.9,13.5,12.17,24830
2012-01-11,13.5,12.9,12.9,13.5,12.17,6630
2012-01-12,13.4,12.9,12.9,13.4,12.08,13210
2012-01-13,13.3,12.8,12.8,13.3,11.99,5940
2012-01-16,12.7,12.7,12.7,12.7,11.45,3340
2012-01-17,12.7,12.1,12.1,12.7,11.45,1169830
2012-01-18,12.9,12.7,12.7,12.9,11.63,5510
2012-01-19,12.7,12.7,12.7,12.7,11.45,530
2012-01-20,12.7,12.6,12.7,12.7,11.45,18000
2012-01-30,13.3,12.5,12.5,13.3,11.99,13260
2012-01-31,13.7,12.8,12.9,13.7,12.35,61200
2012-02-01,14.1,13.6,13.7,14.1,12.71,3260
2012-02-02,14.8,14.1,14.8,14.1,12.71,17180
2012-02-03,14.8,14.0,14.8,14.5,13.08,1670
2012-02-06,14.1,13.8,13.8,13.8,12.44,1620
2012-02-07,13.7,13.2,13.2,13.2,11.9,16620
2012-02-08,13.8,12.9,13.5,13.8,12.44,28870
2012-02-09,13.7,13.2,13.7,13.2,11.9,6230
2012-02-10,13.8,12.7,12.7,13.8,12.44,76970
2012-02-13,14.2,13.3,14.2,14.2,12.8,690
2012-02-14,14.4,13.8,14.0,14.4,12.99,27070
2012-02-15,14.2,13.8,14.2,14.2,12.8,5250
2012-02-16,14.2,13.5,13.5,14.2,12.8,5100
2012-02-17,14.2,14.2,14.2,14.2,12.8,1760
2012-02-20,14.5,13.8,14.2,14.5,13.08,19560
2012-02-21,14.5,13.9,13.9,14.5,13.08,33700
2012-02-22,15.0,14.0,14.0,15.0,13.53,14540
2012-02-23,15.7,15.1,15.6,15.7,14.16,62950
2012-02-24,16.4,15.5,16.4,16.0,14.43,45870
2012-02-27,16.5,15.9,16.0,16.0,14.43,23430
2012-02-28,16.0,15.2,15.9,15.7,14.16,13420
2012-02-29,15.5,15.0,15.0,15.5,13.98,10680
2012-03-01,15.7,14.8,15.5,14.8,13.35,40460
2012-03-02,14.8,14.1,14.8,14.1,12.71,110280
2012-03-05,14.7,13.6,14.5,14.4,12.99,403460
2012-03-06,14.6,13.7,14.6,13.7,12.35,85050
2012-03-07,13.7,13.3,13.5,13.4,12.08,19060
2012-03-08,13.5,12.8,13.5,12.8,11.54,29160
2012-03-09,12.7,12.2,12.3,12.2,11.0,209900
2012-03-12,12.0,11.6,11.6,11.6,10.46,55860
2012-03-13,11.2,11.1,11.2,11.1,10.01,217020
2012-03-14,10.6,10.6,10.6,10.6,9.56,228620
2012-03-15,10.9,10.1,10.1,10.1,9.11,1660630
2012-03-16,10.6,10.5,10.6,10.6,9.56,3092810
2012-03-19,11.1,11.1,11.1,11.1,10.01,250030
2012-03-20,11.6,11.6,11.6,11.6,10.46,565630
2012-03-21,12.1,12.0,12.1,12.1,10.91,2208950
2012-03-22,12.1,11.5,11.8,11.6,10.46,1166520
2012-03-23,12.1,11.6,11.6,12.0,10.82,1076810
2012-03-26,12.5,11.6,12.1,11.9,10.73,484700
2012-03-27,12.0,11.4,11.7,11.4,10.28,550730
2012-03-28,11.2,10.9,11.0,10.9,9.83,729710
2012-03-29,11.2,10.4,10.6,10.4,9.38,751180
2012-03-30,10.5,10.1,10.2,10.1,9.11,515800
2012-04-03,10.6,10.1,10.1,10.6,9.56,284050
2012-04-04,10.7,10.1,10.6,10.4,9.38,372290
2012-04-05,10.8,10.1,10.1,10.6,9.56,340580
2012-04-06,11.0,10.6,10.7,10.7,9.65,826720
2012-04-09,11.2,10.7,10.8,11.2,10.1,960720
2012-04-10,11.7,11.1,11.5,11.3,10.19,823860
2012-04-11,11.8,11.7,11.8,11.8,10.64,904370
2012-04-12,12.3,12.3,12.3,12.3,11.09,490540
2012-04-13,12.7,12.0,12.3,12.4,11.18,2103280
2012-04-16,13.0,12.2,12.4,13.0,11.72,1042890
2012-04-17,13.6,13.2,13.4,13.6,12.26,1430980
2012-04-18,13.7,13.0,13.6,13.0,11.72,759660
2012-04-19,12.8,12.4,12.5,12.4,11.18,452660
2012-04-20,12.3,11.8,12.0,12.0,10.82,1344800
2012-04-23,12.1,11.7,11.9,12.0,10.82,494750
2012-04-24,12.6,11.5,11.9,12.6,11.36,899370
