Date,High,Low,Open,Close,adjust,Volume
2012-01-03,9.0,9.0,9.0,9.0,1.76,4200
2012-01-04,9.1,9.1,9.1,9.1,1.78,500
2012-01-05,9.1,8.9,9.1,8.9,1.74,1110
2012-01-06,9.1,8.9,8.9,8.9,1.74,4920
2012-01-09,9.0,8.9,9.0,9.0,1.76,4000
2012-01-10,9.4,9.2,9.3,9.4,1.84,2110
2012-01-11,9.4,9.4,9.4,9.4,1.84,120
2012-01-12,9.6,9.1,9.6,9.1,1.78,2750
2012-01-13,9.5,9.3,9.5,9.4,1.84,2940
2012-01-16,9.7,9.4,9.7,9.7,1.9,1790
2012-01-17,8.8,8.3,8.8,8.3,1.81,1150
2012-01-18,8.3,7.9,7.9,8.3,1.81,60
2012-01-19,8.4,8.3,8.3,8.4,1.84,250
2012-01-20,8.6,8.4,8.6,8.4,1.84,70
2012-01-30,8.8,8.6,8.6,8.6,1.88,6520
2012-01-31,9.0,8.6,8.6,9.0,1.97,80
2012-02-01,9.0,9.0,9.0,9.0,1.97,0
2012-02-02,8.6,8.6,8.6,8.6,1.88,480
2012-02-03,8.8,8.6,8.6,8.8,1.92,1110
2012-02-06,8.5,8.5,8.5,8.5,1.86,200
2012-02-07,8.6,8.5,8.5,8.6,1.88,2510
2012-02-08,8.8,8.7,8.7,8.8,1.92,4760
2012-02-09,8.8,8.8,8.8,8.8,1.92,0
2012-02-10,8.8,8.8,8.8,8.8,1.92,0
2012-02-13,8.8,8.8,8.8,8.8,1.92,0
2012-02-14,8.8,8.8,8.8,8.8,1.92,0
2012-02-15,8.8,8.8,8.8,8.8,1.92,0
2012-02-16,8.8,8.8,8.8,8.8,1.92,0
2012-02-17,8.8,8.8,8.8,8.8,1.92,0
2012-02-20,8.8,8.8,8.8,8.8,1.92,4970
2012-02-21,8.8,8.6,8.6,8.8,1.92,1210
2012-02-22,8.8,8.8,8.8,8.8,1.92,10
2012-02-23,8.9,8.9,8.9,8.9,1.94,200
2012-02-24,9.2,9.0,9.1,9.0,1.97,6500
2012-02-27,9.0,9.0,9.0,9.0,1.97,1380
2012-02-28,9.0,9.0,9.0,9.0,1.97,1000
2012-02-29,9.1,9.1,9.1,9.1,1.99,640
2012-03-01,9.4,9.0,9.0,9.4,2.05,310
2012-03-02,9.8,9.0,9.0,9.8,2.14,40
2012-03-05,10.2,10.1,10.1,10.2,2.23,3760
2012-03-06,10.7,9.7,10.7,10.0,2.19,10080
2012-03-07,10.0,9.7,9.7,10.0,2.19,1010
2012-03-08,10.0,9.5,9.5,10.0,2.19,350
2012-03-09,10.3,9.8,10.3,10.2,2.23,2240
2012-03-12,10.6,9.8,9.8,10.6,2.32,11850
2012-03-13,10.6,10.1,10.5,10.6,2.32,15350
2012-03-14,10.5,10.2,10.2,10.5,2.29,1800
2012-03-15,10.5,10.3,10.3,10.5,2.29,2600
2012-03-16,10.5,10.2,10.4,10.3,2.25,2700
2012-03-19,10.3,10.2,10.3,10.3,2.25,20300
2012-03-20,10.3,10.2,10.3,10.3,2.25,1300
2012-03-21,10.3,10.3,10.3,10.3,2.25,0
2012-03-22,10.3,10.0,10.0,10.3,2.25,1910
2012-03-23,10.3,10.2,10.3,10.2,2.23,520
2012-03-26,10.3,9.7,10.3,10.0,2.19,20000
2012-03-27,10.3,10.1,10.3,10.1,2.21,350
2012-03-28,10.3,10.2,10.2,10.3,2.25,70
2012-03-29,10.3,10.3,10.3,10.3,2.25,0
2012-03-30,10.3,10.3,10.3,10.3,2.25,10
2012-04-03,10.5,10.5,10.5,10.5,2.29,10
2012-04-04,10.5,10.5,10.5,10.5,2.29,10
2012-04-05,10.4,10.2,10.4,10.2,2.23,160
