Date,High,Low,Open,Close,adjust,Volume
2012-01-03,11.5,11.3,11.4,11.3,4.22,259370
2012-01-04,11.8,11.5,11.8,11.6,4.33,1791980
2012-01-05,11.9,11.6,11.8,11.6,4.33,407690
2012-01-06,11.6,11.4,11.6,11.4,4.26,250620
2012-01-09,11.9,11.4,11.4,11.8,4.41,536720
2012-01-10,12.2,11.8,11.8,12.1,4.52,800980
2012-01-11,12.2,11.8,12.1,11.8,4.41,521590
2012-01-12,11.8,11.6,11.8,11.7,4.37,413730
2012-01-13,11.8,11.7,11.7,11.7,4.37,210580
2012-01-16,12.1,11.7,11.7,11.9,4.45,518830
2012-01-17,12.1,11.9,11.9,11.9,4.45,559120
2012-01-18,12.1,11.9,11.9,12.0,4.48,597470
2012-01-19,12.4,12.0,12.0,12.4,4.63,321940
2012-01-20,12.5,12.2,12.5,12.2,4.56,320080
2012-01-30,12.8,12.2,12.4,12.8,4.78,700660
2012-01-31,13.3,12.8,13.1,12.9,4.82,1197880
2012-02-01,13.0,12.7,13.0,13.0,4.86,1088410
2012-02-02,13.6,13.1,13.1,13.6,5.08,1057270
2012-02-03,14.2,13.4,13.6,13.5,5.04,2862990
2012-02-06,13.5,13.1,13.4,13.4,5.01,620360
2012-02-07,13.5,13.2,13.5,13.5,5.04,847290
2012-02-08,14.1,14.0,14.1,14.1,5.27,1893980
2012-02-09,14.6,14.1,14.5,14.2,5.3,1503280
2012-02-10,14.3,13.8,14.2,13.8,5.16,1387060
2012-02-13,14.0,13.6,13.9,14.0,5.23,807430
2012-02-14,14.3,13.9,13.9,14.1,5.27,944010
2012-02-15,14.2,13.9,14.1,13.9,5.19,1043090
2012-02-16,12.7,12.2,12.3,12.4,5.23,894510
2012-02-17,12.6,12.3,12.6,12.6,5.32,430760
2012-02-20,13.2,12.9,12.9,13.2,5.57,1518530
2012-02-21,13.8,13.1,13.8,13.3,5.61,1014820
2012-02-22,13.8,13.0,13.0,13.8,5.83,1161010
2012-02-23,14.1,13.6,13.8,14.0,5.91,2026730
2012-02-24,14.0,13.6,13.9,13.6,5.74,1922660
2012-02-27,13.8,13.4,13.6,13.7,5.78,1021940
2012-02-28,13.7,13.1,13.6,13.1,5.53,1589470
2012-02-29,13.2,12.7,13.0,13.0,5.49,1433860
2012-03-01,13.4,12.8,13.0,13.4,5.66,820460
2012-03-02,13.7,13.3,13.5,13.7,5.78,1360030
2012-03-05,14.3,14.0,14.1,14.3,6.04,1736980
2012-03-06,14.9,13.7,14.9,13.8,5.83,2159400
2012-03-07,14.0,13.5,13.7,14.0,5.91,1307610
2012-03-08,14.0,13.3,13.6,13.3,5.61,1353540
2012-03-09,13.6,12.9,13.3,13.3,5.61,1026680
2012-03-12,13.2,12.9,13.1,12.9,5.45,852580
2012-03-13,13.3,12.9,13.0,13.1,5.53,1312850
2012-03-14,13.3,13.0,13.3,13.1,5.53,755220
2012-03-15,13.7,12.9,13.0,13.7,5.78,1655850
2012-03-16,14.1,13.3,14.0,13.3,5.61,1847780
2012-03-19,13.4,13.1,13.2,13.3,5.61,439300
2012-03-20,13.5,13.1,13.1,13.4,5.66,699660
2012-03-21,14.0,13.6,13.6,13.6,5.74,1667880
2012-03-22,13.8,13.5,13.5,13.7,5.78,717000
2012-03-23,14.0,13.7,13.7,13.9,5.87,1043960
2012-03-26,14.5,13.9,14.1,14.5,6.12,3356950
2012-03-27,14.9,14.1,14.5,14.1,5.95,2310280
2012-03-28,14.4,13.8,14.2,14.2,5.99,1194800
2012-03-29,14.5,13.7,14.4,13.9,5.87,1672540
2012-03-30,14.0,13.6,13.9,13.9,5.87,1547330
2012-04-03,14.5,13.9,14.0,14.5,6.12,3205270
2012-04-04,14.9,14.5,14.7,14.7,6.21,2569250
2012-04-05,15.2,14.5,14.6,15.0,6.33,1763500
2012-04-06,15.6,14.8,15.0,15.3,6.46,2419480
2012-04-09,16.0,15.6,15.8,16.0,6.75,2207130
2012-04-10,16.8,16.0,16.7,16.3,6.88,5605760
2012-04-11,17.1,16.0,16.8,17.1,7.22,2958720
2012-04-12,17.4,16.5,16.8,16.8,7.09,2203500
2012-04-13,17.0,16.4,16.7,16.8,7.09,2532110
2012-04-16,17.6,16.5,16.8,17.3,7.3,2386410
2012-04-17,18.1,17.6,18.0,18.1,7.64,3617790
2012-04-18,18.6,17.8,18.1,17.8,7.51,2446640
2012-04-19,17.7,17.0,17.5,17.0,7.18,2230760
2012-04-20,17.2,16.5,16.8,16.7,7.05,2202390
2012-04-23,17.2,16.8,17.0,16.8,7.09,930520
2012-04-24,17.3,16.6,16.8,17.3,7.3,1244850
2012-04-25,17.9,17.4,17.6,17.9,7.56,1265280
2012-04-26,17.9,17.3,17.9,17.5,7.39,1317530
2012-04-27,17.8,17.3,17.4,17.7,7.47,1107510
2012-05-02,17.9,17.1,17.9,17.2,7.26,1072550
2012-05-03,17.3,16.8,17.1,17.0,7.18,923130
2012-05-04,17.8,17.2,17.4,17.8,7.51,6994020
2012-05-07,18.6,18.1,18.4,18.6,7.85,2121700
2012-05-08,18.7,18.2,18.6,18.2,7.68,2111300
2012-05-09,18.3,17.9,18.1,18.2,7.68,1004080
2012-05-10,18.4,17.7,18.3,17.8,7.51,1600910
2012-05-11,18.1,17.7,18.0,17.7,7.47,1498980
2012-05-14,17.7,16.9,17.6,17.0,7.18,1676420
2012-05-15,17.3,16.5,16.7,16.5,6.97,1424980
2012-05-16,16.8,16.2,16.7,16.5,6.97,960320
2012-05-17,17.0,16.6,16.7,16.6,7.01,850250
2012-05-18,16.4,15.8,16.3,16.1,6.8,1385060
2012-05-21,16.9,16.1,16.2,16.9,7.13,935160
2012-05-22,17.3,16.6,16.9,17.0,7.18,726070
2012-05-23,16.8,16.2,16.7,16.2,6.84,860090
2012-05-24,16.3,15.9,16.3,16.2,6.84,800320
2012-05-25,17.0,16.5,16.5,17.0,7.18,1035710
2012-05-28,17.6,16.9,17.6,17.2,7.26,857130
2012-05-29,17.2,16.8,16.8,17.0,7.18,569790
2012-05-30,17.2,16.9,17.2,16.9,7.13,504330
2012-05-31,16.9,16.4,16.8,16.4,6.92,486660
2012-06-01,16.7,16.2,16.7,16.2,6.84,586140
2012-06-04,16.1,15.5,16.1,15.5,6.54,1860210
2012-06-05,15.9,15.5,15.5,15.8,6.67,705910
2012-06-06,16.2,15.7,15.9,16.1,6.8,624710
2012-06-07,16.7,16.0,16.2,16.0,6.75,1562730
2012-06-08,16.4,16.0,16.4,16.2,6.84,1834300
2012-06-11,16.3,16.1,16.2,16.1,6.8,1065300
2012-06-12,16.1,15.9,16.1,16.0,6.75,1002240
2012-06-13,16.0,15.7,16.0,16.0,6.75,1460680
2012-06-14,15.7,15.3,15.7,15.3,6.46,2700610
2012-06-15,15.6,15.0,15.3,15.0,6.33,5462960
2012-06-18,15.7,15.3,15.5,15.7,6.63,2010590
2012-06-19,15.6,15.4,15.5,15.5,6.54,533180
2012-06-20,15.8,15.4,15.6,15.7,6.63,468470
2012-06-21,15.8,15.5,15.6,15.7,6.63,1108410
2012-06-22,15.9,15.4,15.7,15.7,6.63,1592700
2012-06-25,15.7,15.5,15.7,15.7,6.63,1627484
2012-06-26,15.7,15.5,15.6,15.7,6.63,1450690
2012-06-27,15.8,15.6,15.6,15.8,6.67,827850
2012-06-28,15.9,15.6,15.6,15.8,6.67,947260
2012-06-29,15.9,15.8,15.8,15.8,6.67,184290
2012-07-02,16.0,15.8,15.9,15.8,6.67,1036000
2012-07-03,15.9,15.6,15.8,15.8,6.67,2081590
2012-07-04,15.9,15.8,15.9,15.8,6.67,625250
2012-07-05,15.9,15.7,15.8,15.8,6.67,420360
2012-07-06,16.5,15.9,15.9,16.2,6.84,569320
2012-07-09,16.2,15.8,16.2,15.8,6.67,278330
2012-07-10,16.0,15.7,15.8,15.8,6.67,380920
2012-07-11,16.0,15.8,15.8,15.9,6.71,108780
2012-07-12,16.0,15.8,16.0,15.9,6.71,205260
2012-07-13,16.5,15.9,16.0,16.3,6.88,661470
2012-07-16,16.4,16.1,16.3,16.2,6.84,212210
2012-07-17,17.0,16.1,16.1,17.0,7.18,926250
2012-07-18,17.8,17.0,17.2,17.4,7.35,1855420
2012-07-19,17.7,17.1,17.4,17.7,7.47,998910
2012-07-20,17.8,17.1,17.7,17.1,7.22,508850
2012-07-23,17.4,16.9,17.2,17.0,7.18,438600
2012-07-24,16.9,16.7,16.8,16.7,7.05,559420
2012-07-25,16.8,16.5,16.6,16.5,6.97,277410
2012-07-26,16.8,16.5,16.5,16.8,7.09,119450
2012-07-27,16.9,16.5,16.9,16.5,6.97,210740
2012-07-30,16.6,16.4,16.6,16.6,7.01,205440
2012-07-31,16.8,16.6,16.7,16.6,7.01,88210
2012-08-01,16.6,16.3,16.5,16.5,6.97,159430
2012-08-02,16.6,16.4,16.5,16.5,6.97,99550
2012-08-03,16.7,16.4,16.5,16.4,6.92,158450
2012-08-06,17.2,16.6,16.7,16.9,7.13,530480
2012-08-07,16.9,16.7,16.9,16.7,7.05,424120
2012-08-08,16.9,16.6,16.8,16.8,7.09,117650
2012-08-09,17.2,16.9,16.9,17.0,7.18,427980
2012-08-10,17.0,16.7,17.0,16.9,7.13,158880
2012-08-13,16.9,16.7,16.9,16.8,7.09,130040
2012-08-14,17.0,16.7,16.7,16.8,7.09,234220
2012-08-15,17.0,16.8,16.8,16.8,7.09,145330
2012-08-16,17.0,16.8,16.8,16.8,7.09,222390
2012-08-17,17.0,16.8,16.9,17.0,7.18,420240
2012-08-20,17.4,17.0,17.0,17.2,7.26,915010
2012-08-21,17.0,16.4,17.0,16.4,6.92,1669480
2012-08-22,16.5,15.9,16.1,16.0,6.75,757390
2012-08-23,15.8,15.2,15.8,15.2,6.42,556320
2012-08-24,15.9,14.5,14.5,15.8,6.67,1265480
2012-08-27,15.8,15.1,15.8,15.1,6.37,590490
2012-08-28,15.5,14.8,15.1,15.5,6.54,551060
2012-08-29,16.0,15.7,15.7,15.9,6.71,329290
2012-08-30,16.1,15.7,15.9,15.8,6.67,311946
2012-08-31,15.8,15.6,15.8,15.7,6.63,194220
2012-09-04,15.9,15.7,15.7,15.8,6.67,252860
2012-09-05,15.8,15.5,15.8,15.6,6.59,301270
2012-09-06,15.6,15.3,15.4,15.3,6.46,395850
2012-09-07,15.4,15.2,15.4,15.3,6.46,355000
2012-09-10,15.3,14.7,15.3,14.7,6.21,484510
2012-09-11,14.7,14.5,14.7,14.6,6.16,326270
2012-09-12,14.9,14.5,14.6,14.6,6.16,253700
2012-09-13,15.3,14.6,14.6,15.3,6.46,573040
2012-09-14,15.7,15.3,15.5,15.4,6.5,516720
2012-09-17,15.6,15.3,15.4,15.4,6.5,230700
2012-09-18,15.3,14.7,15.2,14.7,6.21,411520
2012-09-19,15.0,14.5,14.6,14.9,6.29,397220
2012-09-20,14.7,14.5,14.7,14.6,6.16,263600
2012-09-21,14.9,14.7,14.9,14.9,6.29,168280
2012-09-24,14.9,14.6,14.9,14.7,6.21,181620
2012-09-25,14.9,14.6,14.7,14.7,6.21,113380
2012-09-26,14.9,14.7,14.8,14.8,6.25,86910
2012-09-27,14.9,14.7,14.9,14.7,6.21,113950
2012-09-28,14.7,14.6,14.6,14.7,6.21,101430
2012-10-01,14.7,14.4,14.7,14.4,6.08,254810
2012-10-02,14.6,14.4,14.6,14.5,6.12,189640
2012-10-03,14.9,14.5,14.6,14.7,6.21,211440
2012-10-04,14.7,14.5,14.6,14.6,6.16,127210
2012-10-05,14.9,14.5,14.5,14.8,6.25,334970
2012-10-08,15.3,14.7,14.7,15.3,6.46,357450
2012-10-09,15.4,15.1,15.3,15.1,6.37,231830
2012-10-10,15.3,14.9,15.2,15.2,6.42,348520
2012-10-11,15.5,15.1,15.3,15.1,6.37,520390
2012-10-12,15.2,15.0,15.1,15.1,6.37,116870
2012-10-15,15.2,14.8,15.2,14.9,6.29,131700
2012-10-16,15.6,14.9,14.9,15.6,6.59,508530
2012-10-17,15.7,15.3,15.7,15.3,6.46,276930
2012-10-18,15.4,15.1,15.1,15.3,6.46,128010
2012-10-19,15.3,14.7,15.2,15.0,6.33,330060
2012-10-22,15.0,14.7,15.0,14.8,6.25,176510
2012-10-23,15.0,14.8,14.9,14.9,6.29,71070
2012-10-24,14.9,14.8,14.9,14.9,6.29,67450
2012-10-25,14.9,14.7,14.8,14.8,6.25,97040
2012-10-26,15.0,14.8,14.8,14.8,6.25,112360
2012-10-29,14.9,14.7,14.9,14.8,6.25,71630
2012-10-30,14.9,14.8,14.8,14.8,6.25,45870
2012-10-31,14.9,14.6,14.8,14.7,6.21,180840
2012-11-01,14.8,14.6,14.6,14.8,6.25,84250
2012-11-02,14.4,14.1,14.1,14.1,5.95,755020
2012-11-05,14.3,13.8,14.1,14.0,5.91,147710
2012-11-06,14.1,13.8,14.0,14.0,5.91,196720
2012-11-07,14.4,14.0,14.1,14.2,5.99,195080
2012-11-08,14.3,14.0,14.2,14.0,5.91,120920
2012-11-09,14.3,14.0,14.0,14.3,6.04,123820
2012-11-12,14.6,14.3,14.4,14.5,6.12,303330
2012-11-13,14.7,14.4,14.4,14.5,6.12,492180
2012-11-14,14.7,14.4,14.5,14.6,6.16,169740
2012-11-15,14.7,14.5,14.6,14.5,6.12,173280
2012-11-16,14.6,14.4,14.6,14.5,6.12,101600
2012-11-19,14.6,14.4,14.4,14.4,6.08,97190
2012-11-20,15.1,14.6,14.7,15.0,6.33,687950
2012-11-21,15.1,14.8,15.0,14.9,6.29,266790
2012-11-22,14.9,14.8,14.8,14.8,6.25,155820
2012-11-23,15.3,14.9,14.9,14.9,6.29,440810
2012-11-26,15.0,14.6,15.0,14.7,6.21,193600
2012-11-27,14.8,14.6,14.6,14.7,6.21,184890
2012-11-28,14.8,14.6,14.6,14.6,6.16,754568
2012-11-29,14.8,14.6,14.6,14.7,6.21,61410
2012-11-30,14.8,14.6,14.8,14.6,6.16,130200
2012-12-03,14.7,14.6,14.6,14.7,6.21,128520
2012-12-04,14.8,14.6,14.7,14.8,6.25,178800
2012-12-05,15.1,14.8,14.8,14.9,6.29,348120
2012-12-06,15.0,14.8,14.9,14.9,6.29,208510
2012-12-07,15.0,14.9,14.9,14.9,6.29,196210
2012-12-10,15.4,14.9,15.0,15.2,6.42,406140
2012-12-11,15.3,15.0,15.2,15.0,6.33,321990
2012-12-12,15.3,14.9,15.0,15.3,6.46,281570
2012-12-13,15.4,15.1,15.2,15.1,6.37,527850
2012-12-14,15.3,15.1,15.2,15.1,6.37,736546
2012-12-17,15.4,15.1,15.1,15.4,6.5,244820
2012-12-18,15.4,15.2,15.4,15.2,6.42,274960
2012-12-19,15.9,15.3,15.3,15.9,6.71,1047680
2012-12-20,16.1,15.7,16.0,15.8,6.67,489280
2012-12-21,15.7,15.5,15.7,15.7,6.63,381020
2012-12-24,15.8,15.5,15.5,15.7,6.63,437290
2012-12-25,16.3,15.6,15.8,16.0,6.75,725910
2012-12-26,16.8,15.9,15.9,16.7,7.05,1366970
2012-12-27,17.0,16.5,16.7,16.5,6.97,586270
2012-12-28,16.7,16.5,16.5,16.6,7.01,396910
2013-01-02,17.1,16.8,16.8,17.0,7.18,421680
2013-01-03,17.1,16.7,16.9,16.8,7.09,674970
2013-01-04,17.1,16.7,16.8,17.0,7.18,314290
2013-01-07,17.4,17.0,17.0,17.1,7.22,497270
2013-01-08,17.9,17.0,17.0,17.9,7.56,1872200
2013-01-09,18.7,17.6,18.6,17.9,7.56,2694410
2013-01-10,18.3,17.5,17.9,18.2,7.68,1020800
2013-01-11,18.5,17.9,18.4,18.2,7.68,1327800
2013-01-14,18.2,17.8,17.8,18.2,7.68,1588780
2013-01-15,18.5,18.1,18.2,18.3,7.73,814130
2013-01-16,19.0,18.3,18.4,18.6,7.85,1065580
2013-01-17,18.6,18.2,18.4,18.2,7.68,849040
2013-01-18,18.2,17.7,18.0,17.9,7.56,665340
2013-01-21,18.8,18.0,18.0,18.6,7.85,1129830
2013-01-22,18.7,18.1,18.6,18.2,7.68,438760
2013-01-23,18.4,18.1,18.3,18.3,7.73,373610
2013-01-24,18.7,18.2,18.4,18.6,7.85,598530
2013-01-25,19.9,18.9,18.9,19.6,8.27,2048230
2013-01-28,20.9,19.8,19.8,20.9,8.82,2886880
2013-01-29,21.6,20.6,21.0,21.3,8.99,1308730
2013-01-30,21.5,20.8,21.5,20.9,8.82,1194240
2013-01-31,20.9,20.3,20.7,20.3,8.57,1225190
2013-02-01,21.0,19.9,20.0,21.0,8.86,1618960
2013-02-04,22.4,21.1,21.3,22.0,9.29,2982150
2013-02-05,21.9,21.4,21.6,21.4,9.03,1940200
2013-02-06,22.3,21.5,21.9,22.0,9.29,704730
2013-02-07,22.8,21.9,22.2,22.3,9.41,1629550
2013-02-08,22.7,22.2,22.3,22.5,9.5,719150
2013-02-18,23.4,22.5,22.9,23.3,9.84,1465260
2013-02-19,23.4,22.8,23.3,22.9,9.67,3177150
2013-02-20,22.2,21.5,21.7,21.6,9.8,1739890
2013-02-21,21.7,20.1,21.6,20.1,9.12,2151280
2013-02-22,20.6,18.8,20.2,19.6,8.9,2519960
2013-02-25,20.4,19.6,19.8,20.1,9.12,745640
2013-02-26,20.0,18.9,20.0,18.9,8.58,1730110
2013-02-27,19.1,18.1,19.0,18.8,8.53,1195410
2013-02-28,19.5,19.0,19.1,19.1,8.67,1073100
2013-03-01,19.3,18.9,19.1,19.0,8.62,501610
2013-03-04,18.9,17.8,18.8,17.8,8.08,2886040
2013-03-05,18.0,17.3,18.0,17.7,8.03,1310280
2013-03-06,18.6,17.9,18.0,18.6,8.44,862550
2013-03-07,19.1,18.3,18.6,18.5,8.4,1133580
2013-03-08,18.9,18.5,18.5,18.7,8.49,675120
2013-03-11,19.5,18.6,18.7,19.4,8.8,1046210
