Date,High,Low,Open,Close,adjust,Volume
2012-01-03,20.1,20.1,20.1,20.1,7.29,0
2012-01-04,21.0,21.0,21.0,21.0,7.62,10
2012-01-05,21.0,21.0,21.0,21.0,7.62,0
2012-01-06,21.0,21.0,21.0,21.0,7.62,10
2012-01-09,21.0,21.0,21.0,21.0,7.62,0
2012-01-10,21.0,21.0,21.0,21.0,7.62,10
2012-01-11,20.0,20.0,20.0,20.0,7.25,30
2012-01-12,20.0,20.0,20.0,20.0,7.25,0
2012-01-13,20.0,20.0,20.0,20.0,7.25,0
2012-01-16,20.0,20.0,20.0,20.0,7.25,0
2012-01-17,20.0,20.0,20.0,20.0,7.25,0
2012-01-18,20.0,20.0,20.0,20.0,7.25,0
2012-01-19,21.0,21.0,21.0,21.0,7.62,10
2012-01-20,21.0,21.0,21.0,21.0,7.62,0
2012-01-30,21.0,20.0,20.0,21.0,7.62,20
2012-01-31,20.0,20.0,20.0,20.0,7.25,10
2012-02-01,19.0,19.0,19.0,19.0,6.89,10
2012-02-02,18.1,18.1,18.1,18.1,6.57,40
2012-02-03,18.1,18.1,18.1,18.1,6.57,50
2012-02-06,18.1,18.1,18.1,18.1,6.57,20
2012-02-07,17.3,17.2,17.3,17.2,6.24,1210
2012-02-08,16.6,16.6,16.6,16.6,6.02,10
2012-02-09,16.6,16.6,16.6,16.6,6.02,0
2012-02-10,16.6,16.6,16.6,16.6,6.02,0
2012-02-13,16.6,16.6,16.6,16.6,6.02,0
2012-02-14,15.9,15.9,15.9,15.9,5.77,100
2012-02-15,15.9,15.9,15.9,15.9,5.77,0
2012-02-16,16.6,16.6,16.6,16.6,6.02,20
2012-02-17,16.6,15.8,15.8,16.6,6.02,460
2012-02-20,16.6,16.6,16.6,16.6,6.02,10
2012-02-21,17.4,15.9,15.9,17.4,6.31,130
2012-02-22,17.4,17.4,17.4,17.4,6.31,20
2012-02-23,18.2,16.7,18.2,16.7,6.06,330
2012-02-24,17.5,15.9,17.0,17.5,6.35,9550
2012-02-27,17.5,17.5,17.5,17.5,6.35,10
2012-02-28,16.9,16.7,16.9,16.7,6.06,310
2012-02-29,17.0,17.0,17.0,17.0,6.17,10
2012-03-01,16.2,16.2,16.2,16.2,5.88,230
2012-03-02,15.6,15.4,15.6,15.4,5.59,2480
2012-03-05,16.1,14.7,16.1,16.1,5.84,318170
2012-03-06,16.9,15.3,16.8,16.8,6.09,18050
2012-03-07,17.6,16.0,17.5,17.4,6.31,1680
2012-03-08,17.5,16.6,16.6,17.5,6.35,3070
2012-03-09,16.7,16.7,16.7,16.7,6.06,20550
2012-03-12,15.2,15.2,15.2,15.2,5.75,10
2012-03-13,15.1,14.5,14.5,14.5,5.49,35690
2012-03-14,14.2,13.8,14.2,13.8,5.22,59120
2012-03-15,13.3,13.2,13.3,13.2,5.0,40180
2012-03-16,13.2,12.6,13.2,12.6,4.77,73010
2012-03-19,12.9,12.1,12.9,12.5,4.73,13780
2012-03-20,13.1,11.9,12.3,12.7,4.81,75790
2012-03-21,12.8,12.1,12.7,12.1,4.58,197670
2012-03-22,12.4,12.1,12.1,12.3,4.66,31650
2012-03-23,12.9,12.5,12.5,12.7,4.81,24600
2012-03-26,13.0,12.1,12.7,12.7,4.81,99090
2012-03-27,12.7,12.1,12.7,12.1,4.58,145910
2012-03-28,12.1,11.5,11.7,12.0,4.54,47500
2012-03-29,12.4,11.4,12.2,11.4,4.32,22090
2012-03-30,11.7,10.9,11.0,10.9,4.13,71550
2012-04-03,10.7,10.4,10.4,10.5,3.98,46980
2012-04-04,10.5,10.0,10.5,10.0,3.79,133460
2012-04-05,10.0,9.7,9.7,9.8,3.71,41480
2012-04-06,10.2,9.8,9.8,10.2,3.86,81560
2012-04-09,10.7,10.3,10.4,10.7,4.05,71880
2012-04-10,11.2,10.9,11.2,11.1,4.2,146330
2012-04-11,11.6,11.2,11.3,11.6,4.39,60170
2012-04-12,12.1,11.7,11.8,11.7,4.43,130970
2012-04-13,11.8,11.2,11.7,11.2,4.24,95040
2012-04-16,11.4,10.8,11.2,11.3,4.28,68650
2012-04-17,11.8,11.3,11.7,11.8,4.47,107790
2012-04-18,11.8,11.3,11.8,11.3,4.28,60210
2012-04-19,11.5,11.2,11.3,11.3,4.28,23910
2012-04-20,11.5,11.1,11.3,11.5,4.35,58340
2012-04-23,11.7,11.2,11.5,11.5,4.35,22560
