Date,High,Low,Open,Close,adjust,Volume
2012-01-03,3.9,3.9,3.9,3.9,1.58,18620
2012-01-04,4.0,4.0,4.0,4.0,1.62,9990
2012-01-05,4.1,3.9,4.1,3.9,1.58,1490
2012-01-06,4.0,3.9,4.0,3.9,1.58,3640
2012-01-09,3.9,3.8,3.8,3.9,1.58,10280
2012-01-10,4.0,3.9,3.9,3.9,1.58,16520
2012-01-11,4.0,3.9,4.0,3.9,1.58,2720
2012-01-12,3.9,3.9,3.9,3.9,1.58,400
2012-01-13,4.0,3.9,3.9,4.0,1.62,3600
2012-01-16,4.0,3.9,3.9,4.0,1.62,8230
2012-01-17,4.0,3.9,4.0,4.0,1.62,14790
2012-01-18,4.0,4.0,4.0,4.0,1.62,4500
2012-01-19,4.1,4.0,4.0,4.1,1.66,5140
2012-01-20,4.1,3.9,4.1,4.1,1.66,13560
2012-01-30,4.3,4.1,4.1,4.3,1.74,11310
2012-01-31,4.3,4.3,4.3,4.3,1.74,5000
2012-02-01,4.3,4.1,4.3,4.2,1.7,5510
2012-02-02,4.3,4.2,4.2,4.3,1.74,9010
2012-02-03,4.5,4.3,4.4,4.4,1.78,31570
2012-02-06,4.4,4.2,4.4,4.3,1.74,2360
2012-02-07,4.3,4.3,4.3,4.3,1.74,3010
2012-02-08,4.3,4.1,4.3,4.1,1.66,18490
2012-02-09,4.3,4.1,4.3,4.1,1.66,19010
2012-02-10,4.2,4.0,4.1,4.2,1.7,12420
2012-02-13,4.2,4.0,4.2,4.0,1.62,12730
2012-02-14,4.2,4.0,4.0,4.2,1.7,7980
2012-02-15,4.2,4.0,4.1,4.2,1.7,17370
2012-02-16,4.2,4.0,4.1,4.2,1.7,6030
2012-02-17,4.2,4.1,4.2,4.2,1.7,42810
2012-02-20,4.2,4.0,4.2,4.0,1.62,47550
2012-02-21,4.2,4.0,4.2,4.2,1.7,59160
2012-02-22,4.3,4.2,4.3,4.2,1.7,39320
2012-02-23,4.3,4.2,4.2,4.3,1.74,56830
2012-02-24,4.5,4.5,4.5,4.5,1.82,139230
2012-02-27,4.7,4.7,4.7,4.7,1.9,7330
2012-02-28,4.9,4.6,4.9,4.6,1.86,62310
2012-02-29,4.7,4.5,4.7,4.7,1.9,29620
2012-03-01,4.7,4.6,4.7,4.6,1.86,16450
2012-03-02,4.7,4.6,4.6,4.7,1.9,56040
2012-03-05,4.4,4.0,4.0,4.4,1.99,25640
2012-03-06,4.6,4.2,4.6,4.4,1.99,44050
2012-03-07,4.4,4.2,4.4,4.4,1.99,24220
2012-03-08,4.3,4.2,4.2,4.2,1.9,44270
2012-03-09,4.4,4.1,4.1,4.3,1.94,18270
2012-03-12,4.2,4.1,4.2,4.1,1.85,78040
2012-03-13,4.2,4.0,4.2,4.2,1.9,18570
2012-03-14,4.3,4.1,4.3,4.3,1.94,130
2012-03-15,4.3,4.2,4.3,4.3,1.94,14030
2012-03-16,4.3,4.1,4.2,4.3,1.94,19730
2012-03-19,4.2,4.1,4.2,4.1,1.85,53930
2012-03-20,4.1,3.9,4.0,4.1,1.85,91920
2012-03-21,4.2,4.2,4.2,4.2,1.9,68670
2012-03-22,4.2,4.0,4.2,4.0,1.81,60070
2012-03-23,4.2,4.2,4.2,4.2,1.9,68250
2012-03-26,4.4,4.2,4.2,4.4,1.99,138470
2012-03-27,4.6,4.4,4.5,4.4,1.99,182880
2012-03-28,4.5,4.3,4.4,4.5,2.03,10120
2012-03-29,4.6,4.3,4.6,4.3,1.94,46550
2012-03-30,4.4,4.1,4.3,4.1,1.85,13770
2012-04-03,4.3,4.1,4.1,4.3,1.94,84940
2012-04-04,4.5,4.5,4.5,4.5,2.03,38830
2012-04-05,4.7,4.6,4.7,4.7,2.12,255770
2012-04-06,4.7,4.5,4.7,4.7,2.12,67540
2012-04-09,4.7,4.5,4.7,4.7,2.12,33010
2012-04-10,4.7,4.5,4.7,4.5,2.03,54400
2012-04-11,4.7,4.5,4.6,4.6,2.08,115740
2012-04-12,4.8,4.6,4.7,4.7,2.12,114290
2012-04-13,4.7,4.5,4.7,4.6,2.08,38790
2012-04-16,4.8,4.6,4.6,4.7,2.12,137680
2012-04-17,4.9,4.7,4.8,4.9,2.21,213770
2012-04-18,5.1,4.9,4.9,5.1,2.31,249910
2012-04-19,5.3,5.1,5.3,5.2,2.35,216170
2012-04-20,5.3,5.0,5.3,5.1,2.31,98080
2012-04-23,5.3,5.1,5.2,5.1,2.31,89920
2012-04-24,5.2,5.0,5.1,5.2,2.35,70310
2012-04-25,5.3,5.1,5.2,5.3,2.4,124890
2012-04-26,5.5,5.2,5.2,5.4,2.44,159740
2012-04-27,5.6,5.4,5.4,5.6,2.53,221130
2012-05-02,5.8,5.7,5.7,5.8,2.62,120730
2012-05-03,6.0,5.9,6.0,6.0,2.71,167730
2012-05-04,6.3,6.3,6.3,6.3,2.85,52060
2012-05-07,6.6,6.6,6.6,6.6,2.98,237800
2012-05-08,6.9,6.9,6.9,6.9,3.12,155260
2012-05-09,7.2,6.9,7.2,7.2,3.25,525910
2012-05-10,7.5,7.0,7.5,7.0,3.16,383210
2012-05-11,7.0,6.7,7.0,6.8,3.07,212110
2012-05-14,6.7,6.5,6.7,6.5,2.94,230480
2012-05-15,6.3,6.2,6.2,6.2,2.8,139000
2012-05-16,6.2,5.9,6.0,5.9,2.67,227950
2012-05-17,6.1,5.9,6.0,6.1,2.76,179510
2012-05-18,6.3,6.0,6.2,6.0,2.71,67780
2012-05-21,6.3,6.2,6.3,6.3,2.85,162050
2012-05-22,6.5,6.1,6.5,6.2,2.8,72180
2012-05-23,6.2,6.0,6.2,6.0,2.71,124470
2012-05-24,6.2,5.9,5.9,5.9,2.67,42980
2012-05-25,6.1,6.0,6.0,6.1,2.76,120780
2012-05-28,6.4,6.1,6.4,6.3,2.85,64840
2012-05-29,6.2,6.0,6.1,6.0,2.71,75850
2012-05-30,6.1,5.9,6.0,6.0,2.71,44640
2012-05-31,6.0,5.9,6.0,5.9,2.67,42240
2012-06-01,6.0,5.8,5.9,5.8,2.62,43970
2012-06-04,5.8,5.6,5.8,5.6,2.53,92050
2012-06-05,5.8,5.5,5.5,5.8,2.62,45520
2012-06-06,5.9,5.8,5.9,5.8,2.62,20150
2012-06-07,6.0,5.8,5.8,6.0,2.71,127080
2012-06-08,6.1,6.0,6.1,6.1,2.76,85420
2012-06-11,6.1,5.9,5.9,5.9,2.67,26990
2012-06-12,6.0,5.8,5.9,6.0,2.71,46350
2012-06-13,6.0,5.8,5.8,6.0,2.71,60610
