Date,High,Low,Open,Close,adjust,Volume
2012-01-03,6.1,5.9,6.0,6.0,2.37,225800
2012-01-04,6.1,5.9,5.9,6.0,2.37,334300
2012-01-05,6.1,5.9,6.0,6.0,2.37,246000
2012-01-06,6.4,5.8,5.8,6.3,2.49,579900
2012-01-09,6.3,6.1,6.3,6.2,2.45,103800
2012-01-10,6.5,6.2,6.2,6.4,2.53,71400
2012-01-11,6.5,6.1,6.5,6.1,2.41,154800
2012-01-12,6.5,5.9,6.1,6.5,2.57,352900
2012-01-13,6.7,6.4,6.4,6.7,2.64,320100
2012-01-16,6.9,6.2,6.2,6.8,2.68,274600
2012-01-17,6.7,6.5,6.7,6.5,2.57,185500
2012-01-18,6.5,6.4,6.5,6.4,2.53,126800
2012-01-19,6.6,6.3,6.3,6.6,2.61,144100
2012-01-20,6.6,6.4,6.6,6.5,2.57,81600
2012-01-30,6.8,6.4,6.5,6.6,2.61,65700
2012-01-31,7.0,6.5,6.6,6.8,2.68,114000
2012-02-01,6.8,6.6,6.7,6.8,2.68,110900
2012-02-02,7.1,6.8,6.8,7.1,2.8,294800
2012-02-03,7.1,6.7,7.1,6.7,2.64,541300
2012-02-06,7.0,6.6,6.9,6.7,2.64,191500
2012-02-07,6.9,6.6,6.8,6.7,2.64,147500
2012-02-08,7.0,6.8,6.8,6.9,2.72,144000
2012-02-09,7.0,6.7,6.9,6.7,2.64,197100
2012-02-10,6.8,6.4,6.8,6.4,2.53,298300
2012-02-13,6.4,6.2,6.4,6.2,2.45,168400
2012-02-14,6.4,6.2,6.3,6.4,2.53,255100
2012-02-15,6.3,6.1,6.3,6.2,2.45,236700
2012-02-16,6.2,6.0,6.1,6.1,2.41,247800
2012-02-17,6.4,6.1,6.1,6.3,2.49,180300
2012-02-20,6.6,6.5,6.5,6.6,2.61,713100
2012-02-21,7.0,6.4,6.8,6.5,2.57,493400
2012-02-22,6.7,6.3,6.6,6.4,2.53,354700
2012-02-23,6.9,6.5,6.5,6.8,2.68,613200
2012-02-24,7.1,6.7,7.0,6.9,2.72,1310800
2012-02-27,7.2,6.8,7.0,7.1,2.8,863800
2012-02-28,7.2,6.7,7.0,6.7,2.64,719500
2012-02-29,6.9,6.5,6.5,6.8,2.68,850000
2012-03-01,7.0,6.6,6.7,6.9,2.72,1265900
2012-03-02,7.1,6.9,6.9,7.1,2.8,1199200
2012-03-05,7.5,7.5,7.5,7.5,2.96,353700
2012-03-06,8.0,7.6,8.0,8.0,3.16,4704900
2012-03-07,8.5,7.8,8.2,8.5,3.36,2075000
2012-03-08,8.8,8.3,8.8,8.8,3.47,4278100
2012-03-09,9.4,8.5,9.0,8.8,3.47,3990500
2012-03-12,8.8,8.4,8.8,8.4,3.32,1377700
2012-03-13,8.2,7.9,7.9,7.9,3.12,2963900
2012-03-14,8.4,7.7,8.0,7.7,3.04,2479400
2012-03-15,8.5,7.5,7.9,8.5,3.36,3107500
2012-03-16,8.8,8.5,8.8,8.6,3.39,5131000
