Date,High,Low,Open,Close,adjust,Volume
2015-05-11,14.0,14.0,14.0,14.0,2.83,0
2015-05-12,14.0,14.0,14.0,14.0,2.83,0
2015-05-13,14.0,14.0,14.0,14.0,2.83,0
2015-05-14,14.0,14.0,14.0,14.0,2.83,0
2015-05-15,14.0,14.0,14.0,14.0,2.83,0
2015-05-18,14.0,14.0,14.0,14.0,2.83,0
2015-05-19,14.0,14.0,14.0,14.0,2.83,0
2015-05-20,14.0,14.0,14.0,14.0,2.83,0
2015-05-21,14.0,14.0,14.0,14.0,2.83,0
2015-05-22,13.5,13.5,13.5,13.5,2.73,500
2015-05-25,13.5,13.5,13.5,13.5,2.73,0
2015-05-26,13.7,13.7,13.7,13.7,2.77,325
2015-05-27,13.6,13.6,13.6,13.6,2.75,500
2015-05-28,13.6,13.5,13.5,13.5,2.73,600
2015-05-29,13.6,13.6,13.6,13.6,2.75,200
2015-06-01,13.7,13.6,13.6,13.7,2.77,400
2015-06-02,13.7,13.6,13.6,13.7,2.77,200
2015-06-03,13.8,13.6,13.8,13.6,2.75,300
2015-06-04,13.6,13.6,13.6,13.6,2.75,200
2015-06-05,13.6,13.6,13.6,13.6,2.75,200
2015-06-08,13.6,13.6,13.6,13.6,2.75,100
2015-06-09,14.8,14.8,14.8,14.8,2.99,100
2015-06-10,13.7,13.7,13.7,13.7,2.77,100
2015-06-11,13.7,13.7,13.7,13.7,2.77,0
2015-06-12,13.7,13.7,13.7,13.7,2.77,100
2015-06-15,13.7,13.7,13.7,13.7,2.77,100
2015-06-16,13.6,13.6,13.6,13.6,2.75,100
2015-06-17,13.6,13.6,13.6,13.6,2.75,100
2015-06-18,13.6,13.6,13.6,13.6,2.75,100
2015-06-19,13.6,13.6,13.6,13.6,2.75,0
2015-06-22,13.6,13.6,13.6,13.6,2.75,0
2015-06-23,13.6,12.3,13.6,13.6,2.75,55504
2015-06-24,13.6,13.6,13.6,13.6,2.75,0
2015-06-25,13.6,13.6,13.6,13.6,2.75,100
2015-06-26,13.6,13.6,13.6,13.6,2.75,100
2015-06-29,13.7,13.7,13.7,13.7,2.77,100
2015-06-30,13.6,13.6,13.6,13.6,2.75,200
2015-07-01,13.6,13.6,13.6,13.6,2.75,0
2015-07-02,13.6,13.6,13.6,13.6,2.75,0
2015-07-03,13.6,13.6,13.6,13.6,2.75,0
2015-07-06,13.6,13.6,13.6,13.6,2.75,200
2015-07-07,13.6,13.6,13.6,13.6,2.75,0
2015-07-08,13.6,13.6,13.6,13.6,2.75,0
2015-07-09,13.6,13.6,13.6,13.6,2.75,0
2015-07-10,13.6,13.6,13.6,13.6,2.75,0
2015-07-13,13.6,13.6,13.6,13.6,2.75,0
2015-07-14,13.6,13.6,13.6,13.6,2.75,0
2015-07-15,15.6,15.6,15.6,15.6,3.15,4000
2015-07-16,15.6,15.6,15.6,15.6,3.15,0
2015-07-17,15.6,15.6,15.6,15.6,3.15,0
2015-07-20,15.6,15.6,15.6,15.6,3.15,0
2015-07-21,15.6,15.6,15.6,15.6,3.15,0
2015-07-22,15.6,15.6,15.6,15.6,3.15,0
2015-07-23,14.0,14.0,14.0,14.0,2.83,100
2015-07-24,13.6,13.6,13.6,13.6,2.75,100
2015-07-27,13.6,13.6,13.6,13.6,2.75,0
2015-07-28,13.6,13.6,13.6,13.6,2.75,0
2015-07-29,13.6,13.6,13.6,13.6,2.75,0
2015-07-30,13.6,13.6,13.6,13.6,2.75,200
2015-07-31,13.6,13.6,13.6,13.6,2.75,0
2015-08-03,13.6,13.6,13.6,13.6,2.75,200
