Date,High,Low,Open,Close,adjust,Volume
2013-01-21,14.0,13.0,13.0,13.9,5.06,4000
2013-01-22,13.9,13.9,13.9,13.9,5.06,100
2013-01-23,13.8,13.8,13.8,13.8,5.03,100
2013-01-24,13.8,13.8,13.8,13.8,5.03,100
2013-01-25,13.9,13.9,13.9,13.9,5.06,100
2013-01-28,13.9,13.9,13.9,13.9,5.06,0
2013-01-29,13.9,13.9,13.9,13.9,5.06,100
2013-01-30,13.9,13.8,13.8,13.9,5.06,600
2013-01-31,13.8,12.5,13.8,13.7,4.99,3700
2013-02-01,13.7,12.4,12.4,13.7,4.99,900
2013-02-04,13.7,13.7,13.7,13.7,4.99,0
2013-02-05,13.7,13.7,13.7,13.7,4.99,0
2013-02-06,13.7,13.7,13.7,13.7,4.99,0
2013-02-07,13.7,13.7,13.7,13.7,4.99,0
2013-02-08,13.7,13.7,13.7,13.7,4.99,100
2013-02-18,13.5,13.5,13.5,13.5,4.92,200
2013-02-19,12.5,12.5,12.5,12.5,4.55,100
2013-02-20,11.5,11.3,11.5,11.3,4.12,600
2013-02-21,10.2,10.2,10.2,10.2,3.71,100
2013-02-22,10.2,10.2,10.2,10.2,3.71,0
2013-02-25,10.2,10.2,10.2,10.2,3.71,0
2013-02-26,10.2,10.2,10.2,10.2,3.71,0
2013-02-27,10.2,10.2,10.2,10.2,3.71,0
2013-02-28,10.2,10.2,10.2,10.2,3.71,0
2013-03-01,10.2,10.2,10.2,10.2,3.71,0
2013-03-04,10.2,10.2,10.2,10.2,3.71,0
2013-03-05,9.2,9.2,9.2,9.2,3.35,5500
2013-03-06,8.3,8.3,8.3,8.3,3.02,5000
2013-03-07,7.5,7.5,7.5,7.5,2.73,4500
2013-03-08,6.8,6.8,6.8,6.8,2.48,5500
2013-03-11,6.5,6.2,6.2,6.2,2.26,7400
2013-03-12,5.8,5.6,5.8,5.6,2.04,8300
2013-03-13,5.7,5.1,5.1,5.4,1.97,3700
2013-03-14,5.9,5.0,5.0,5.9,2.15,4000
2013-03-15,6.4,6.0,6.4,6.4,2.33,13550
2013-03-18,7.0,6.6,7.0,6.9,2.51,4700
2013-03-19,7.4,7.2,7.4,7.3,2.66,1400
2013-03-20,7.8,7.5,7.8,7.5,2.73,9500
2013-03-21,6.8,6.8,6.8,6.8,2.48,3050
2013-03-22,7.3,6.6,6.6,7.3,2.66,4800
2013-03-25,7.8,6.8,6.8,7.8,2.84,7700
2013-03-26,7.8,6.8,7.8,7.7,2.8,4350
