Date,High,Low,Open,Close,adjust,Volume
2012-01-03,4.0,4.0,4.0,4.0,1.6,1200
2012-01-04,4.0,4.0,4.0,4.0,1.6,900
2012-01-05,3.9,3.9,3.9,3.9,1.56,2100
2012-01-06,3.9,3.9,3.9,3.9,1.56,0
2012-01-09,3.9,3.7,3.7,3.9,1.56,2700
2012-01-10,4.0,3.9,3.9,4.0,1.6,2200
2012-01-11,3.9,3.9,3.9,3.9,1.56,0
2012-01-12,4.1,4.1,4.1,4.1,1.64,200
2012-01-13,4.3,4.0,4.3,4.0,1.6,1100
2012-01-16,4.2,4.2,4.2,4.2,1.68,100
2012-01-17,4.5,4.5,4.5,4.5,1.8,100
2012-01-18,4.4,4.1,4.4,4.1,1.64,400
2012-01-19,4.4,3.9,3.9,4.4,1.76,1100
2012-01-20,3.9,3.9,3.9,3.9,1.56,0
2012-01-30,4.2,4.2,4.2,4.2,1.68,1400
2012-01-31,4.3,4.3,4.3,4.3,1.72,500
2012-02-01,4.3,4.3,4.3,4.3,1.72,0
2012-02-02,4.6,4.4,4.4,4.6,1.84,1600
2012-02-03,4.1,4.1,4.1,4.1,1.64,500
2012-02-06,4.5,4.5,4.5,4.5,1.8,100
2012-02-07,4.3,4.1,4.3,4.1,1.64,5500
2012-02-08,4.3,4.3,4.3,4.3,1.72,100
2012-02-09,4.3,4.3,4.3,4.3,1.72,0
2012-02-10,4.3,4.3,4.3,4.3,1.72,0
2012-02-13,4.4,4.2,4.4,4.2,1.68,5000
2012-02-14,4.2,4.2,4.2,4.2,1.68,1000
2012-02-15,4.2,3.9,3.9,4.2,1.68,5100
2012-02-16,4.3,4.2,4.2,4.3,1.72,600
2012-02-17,4.3,4.2,4.2,4.2,1.68,3300
2012-02-20,4.4,4.4,4.4,4.4,1.76,100
2012-02-21,4.4,4.4,4.4,4.4,1.76,2100
2012-02-22,4.6,4.6,4.6,4.6,1.84,100
2012-02-23,4.3,4.3,4.3,4.3,1.72,1000
2012-02-24,4.6,3.9,4.6,4.4,1.76,16600
2012-02-27,4.3,4.3,4.3,4.3,1.72,900
2012-02-28,4.6,4.6,4.6,4.6,1.84,100
2012-02-29,4.2,4.2,4.2,4.2,1.68,5000
2012-03-01,4.5,4.2,4.2,4.5,1.8,13600
2012-03-02,4.2,4.2,4.2,4.2,1.68,18000
2012-03-05,4.6,4.6,4.6,4.6,1.84,22500
2012-03-06,4.9,4.2,4.9,4.2,1.68,23200
2012-03-07,4.0,3.9,3.9,4.0,1.6,1100
2012-03-08,4.0,4.0,4.0,4.0,1.6,0
2012-03-09,4.0,4.0,4.0,4.0,1.6,100
2012-03-12,4.4,4.1,4.4,4.1,1.64,18400
2012-03-13,4.2,4.2,4.2,4.2,1.68,0
2012-03-14,4.2,4.2,4.2,4.2,1.68,900
2012-03-15,4.2,4.2,4.2,4.2,1.68,0
2012-03-16,4.2,4.2,4.2,4.2,1.68,2000
2012-03-19,4.4,4.2,4.2,4.4,1.76,3100
2012-03-20,4.3,4.3,4.3,4.3,1.72,10000
2012-03-21,4.3,4.3,4.3,4.3,1.72,0
2012-03-22,4.3,4.2,4.3,4.2,1.68,14000
2012-03-23,4.3,4.3,4.3,4.3,1.72,0
2012-03-26,4.0,4.0,4.0,4.0,1.6,5000
2012-03-28,4.3,4.3,4.3,4.3,1.72,0
2012-03-29,4.3,4.3,4.3,4.3,1.72,0
2012-03-30,4.1,4.1,4.1,4.1,1.64,5000
2012-04-03,4.3,4.3,4.3,4.3,1.72,100000
2012-04-04,4.5,4.5,4.5,4.5,1.8,1000
2012-04-05,4.5,4.5,4.5,4.5,1.8,0
2012-04-06,4.8,4.2,4.8,4.2,1.68,500
2012-04-09,4.6,4.6,4.6,4.6,1.84,1300
2012-04-10,4.6,4.6,4.6,4.6,1.84,0
2012-04-11,4.9,4.3,4.9,4.3,1.72,6600
2012-04-12,4.3,4.0,4.2,4.0,1.6,23500
2012-04-13,4.1,4.1,4.1,4.1,1.64,500
2012-04-16,4.5,4.5,4.5,4.5,1.8,100
2012-04-17,4.5,4.5,4.5,4.5,1.8,0
2012-04-18,4.8,4.5,4.8,4.5,1.8,5100
2012-04-19,4.5,4.5,4.5,4.5,1.8,0
2012-04-20,4.9,4.4,4.5,4.9,1.96,12100
2012-04-23,4.4,4.4,4.4,4.4,1.76,0
2012-04-24,4.8,4.8,4.8,4.8,1.92,100
2012-04-25,5.2,4.8,5.2,4.8,1.92,300
2012-04-26,4.9,4.9,4.9,4.9,1.96,2000
2012-04-27,4.9,4.6,4.9,4.7,1.88,12700
2012-05-03,4.8,4.5,4.8,4.5,1.8,6500
2012-05-04,4.8,4.8,4.8,4.8,1.92,150300
2012-05-07,5.2,5.1,5.2,5.2,2.08,13200
2012-05-08,5.1,4.9,5.0,5.0,2.21,15800
2012-05-09,5.3,5.1,5.2,5.1,2.25,14100
2012-05-10,5.5,5.4,5.4,5.4,2.39,6500
2012-05-11,5.4,5.4,5.4,5.4,2.39,4000
2012-05-14,5.0,4.9,5.0,4.9,2.16,7000
2012-05-15,4.6,4.5,4.6,4.5,1.99,5500
2012-05-16,4.9,4.9,4.9,4.9,2.16,100
2012-05-17,4.9,4.5,4.5,4.9,2.16,12600
2012-05-18,4.9,4.9,4.9,4.9,2.16,22000
2012-05-21,5.3,5.1,5.1,5.3,2.34,2500
2012-05-22,5.4,5.1,5.4,5.1,2.25,62100
2012-05-23,5.3,5.3,5.3,5.3,2.34,25000
2012-05-24,5.3,5.0,5.0,5.0,2.21,6200
2012-05-25,5.0,4.9,5.0,4.9,2.16,7000
2012-05-28,4.9,4.9,4.9,4.9,2.16,0
2012-05-29,5.3,5.0,5.3,5.0,2.21,1900
2012-05-30,5.0,5.0,5.0,5.0,2.21,11100
2012-05-31,5.5,5.4,5.4,5.5,2.43,6500
2012-06-01,5.6,5.0,5.6,5.0,2.21,5000
2012-06-04,5.0,5.0,5.0,5.0,2.21,8600
2012-06-05,5.0,5.0,5.0,5.0,2.21,2100
2012-06-06,5.5,5.1,5.5,5.1,2.25,600
2012-06-07,5.5,4.9,4.9,5.0,2.21,2800
2012-06-08,5.0,5.0,5.0,5.0,2.21,100
2012-06-11,5.5,5.0,5.5,5.0,2.21,24700
2012-06-12,5.6,5.1,5.1,5.2,2.3,2600
2012-06-13,5.2,5.0,5.0,5.2,2.3,5100
2012-06-14,5.5,5.2,5.5,5.3,2.34,38800
2012-06-15,5.7,5.2,5.2,5.7,2.52,14500
2012-06-18,5.7,5.5,5.7,5.5,2.43,6500
2012-06-19,5.8,5.2,5.2,5.5,2.43,7700
