Date,High,Low,Open,Close,adjust,Volume
2012-01-03,7.8,7.6,7.7,7.7,2.39,5820
2012-01-04,7.7,7.7,7.7,7.7,2.39,15000
2012-01-05,7.7,7.6,7.7,7.7,2.39,7200
2012-01-06,7.6,7.4,7.6,7.6,2.36,49700
2012-01-09,7.6,7.5,7.6,7.6,2.36,9600
2012-01-10,7.9,7.7,7.7,7.9,2.45,10470
2012-01-11,8.2,7.9,7.9,8.2,2.55,31000
2012-01-12,8.3,8.2,8.2,8.2,2.55,12070
2012-01-13,8.4,8.2,8.4,8.2,2.55,23830
2012-01-16,8.5,8.2,8.2,8.5,2.64,30980
2012-01-17,8.5,8.4,8.5,8.5,2.64,20090
2012-01-18,8.7,8.6,8.7,8.7,2.7,17950
2012-01-19,9.0,8.5,8.5,9.0,2.79,43750
2012-01-20,9.3,9.1,9.3,9.3,2.89,36570
2012-01-30,9.6,9.5,9.6,9.5,2.95,31570
2012-01-31,9.7,9.1,9.5,9.4,2.92,81670
2012-02-01,9.5,9.1,9.5,9.5,2.95,36170
2012-02-02,9.7,9.5,9.5,9.7,3.01,39360
2012-02-03,9.7,9.3,9.7,9.6,2.98,91180
2012-02-06,9.6,9.2,9.2,9.6,2.98,14370
2012-02-07,9.6,9.3,9.6,9.5,2.95,23880
2012-02-08,9.6,9.5,9.5,9.6,2.98,56320
2012-02-09,9.7,9.4,9.7,9.7,3.01,21440
2012-02-10,9.7,9.5,9.7,9.7,3.01,55000
2012-02-13,9.7,9.4,9.4,9.7,3.01,27580
2012-02-14,9.8,9.5,9.5,9.7,3.01,13100
2012-02-15,9.7,9.5,9.7,9.6,2.98,11920
2012-02-16,9.7,9.5,9.5,9.7,3.01,28520
2012-02-17,9.7,9.4,9.6,9.5,2.95,23790
2012-02-20,9.4,9.3,9.4,9.4,3.08,42850
2012-02-21,9.8,9.6,9.7,9.7,3.18,14180
2012-02-22,9.8,9.6,9.8,9.7,3.18,10880
2012-02-23,9.9,9.7,9.8,9.9,3.24,20100
2012-02-24,10.0,9.6,9.9,9.9,3.24,88420
2012-02-27,10.0,9.6,9.7,9.9,3.24,41630
2012-02-28,9.9,9.5,9.9,9.5,3.11,32290
2012-02-29,9.7,9.5,9.5,9.7,3.18,10220
2012-03-01,9.8,9.6,9.6,9.7,3.18,14100
2012-03-02,9.7,9.6,9.7,9.7,3.18,51950
2012-03-05,10.1,9.7,9.7,10.1,3.31,128080
2012-03-06,10.5,10.0,10.5,10.2,3.34,95650
2012-03-07,10.4,9.8,10.4,10.4,3.41,20740
2012-03-08,10.5,10.0,10.1,10.3,3.37,43400
2012-03-09,10.3,9.9,10.0,10.2,3.34,52080
2012-03-12,10.2,9.7,10.0,10.2,3.34,52530
2012-03-13,10.3,10.2,10.2,10.2,3.34,37240
2012-03-14,10.2,9.9,10.0,10.1,3.31,54790
2012-03-15,10.2,9.9,9.9,10.1,3.31,97300
2012-03-16,10.2,10.0,10.2,10.2,3.34,41440
2012-03-19,10.2,10.0,10.0,10.2,3.34,17130
2012-03-20,10.3,9.9,9.9,10.2,3.34,30340
2012-03-21,10.1,9.9,10.1,10.1,3.31,95890
2012-03-22,10.1,9.9,9.9,10.1,3.31,41470
2012-03-23,10.1,9.9,10.0,10.1,3.31,116870
2012-03-26,10.3,9.9,9.9,10.1,3.31,65050
2012-03-27,10.2,9.9,10.1,10.2,3.34,74790
2012-03-28,10.2,10.0,10.0,10.2,3.34,29030
2012-03-29,10.2,10.0,10.1,10.0,3.28,14970
2012-03-30,10.1,9.9,9.9,10.1,3.31,30730
2012-04-03,10.2,10.0,10.2,10.1,3.31,42900
2012-04-04,10.1,10.0,10.1,10.1,3.31,22770
2012-04-05,10.1,9.9,9.9,10.1,3.31,11610
2012-04-06,10.2,10.0,10.1,10.2,3.34,21920
2012-04-09,10.2,10.0,10.0,10.1,3.31,34950
2012-04-10,10.2,10.1,10.2,10.1,3.31,12480
2012-04-11,10.6,10.5,10.5,10.6,3.47,75410
2012-04-12,11.1,11.1,11.1,11.1,3.64,77860
2012-04-13,11.5,10.9,11.5,11.1,3.64,40430
2012-04-16,11.6,11.2,11.4,11.6,3.8,50140
2012-04-17,12.1,11.5,11.6,12.1,3.96,74930
2012-04-18,12.7,11.8,11.9,12.7,4.16,128760
2012-04-19,13.1,12.2,13.0,12.7,4.16,27580
2012-04-20,12.7,12.2,12.2,12.7,4.16,11270
2012-04-23,12.7,12.3,12.7,12.5,4.1,35150
2012-04-24,12.7,12.4,12.5,12.7,4.16,65870
2012-04-25,12.8,12.4,12.6,12.7,4.16,140872
2012-04-26,12.9,12.3,12.8,12.8,4.19,39040
2012-04-27,13.0,12.8,13.0,12.9,4.23,5250
2012-05-02,13.0,12.6,13.0,12.8,4.19,12180
2012-05-03,12.7,12.2,12.5,12.7,4.16,49830
2012-05-04,13.0,12.5,13.0,12.8,4.19,57760
2012-05-07,13.4,13.1,13.4,13.3,4.36,29850
2012-05-08,13.8,13.4,13.8,13.5,4.42,32190
2012-05-09,13.7,13.4,13.5,13.6,4.46,17140
2012-05-10,14.0,13.2,13.2,13.9,4.55,53680
2012-05-11,13.9,13.6,13.7,13.9,4.55,25600
2012-05-14,13.9,13.3,13.7,13.3,4.36,27270
2012-05-15,13.3,12.7,12.8,12.7,4.16,38190
2012-05-16,12.7,12.5,12.7,12.7,4.16,19080
2012-05-17,13.1,12.4,12.5,12.4,4.06,21730
2012-05-18,12.4,11.8,12.4,12.3,4.03,32080
2012-05-21,12.9,12.4,12.5,12.9,4.23,25090
2012-05-22,13.2,12.4,12.4,13.2,4.32,8990
2012-05-23,13.2,13.0,13.0,13.2,4.32,7000
2012-05-24,13.1,12.8,13.0,12.8,4.19,7000
2012-05-25,13.0,12.9,13.0,13.0,4.26,9500
2012-05-28,13.3,12.8,13.2,13.2,4.32,27270
2012-05-29,13.0,12.8,13.0,13.0,4.26,7500
2012-05-30,13.1,12.6,12.6,13.0,4.26,9710
2012-05-31,13.0,12.8,13.0,13.0,4.26,3400
2012-06-01,13.0,13.0,13.0,13.0,4.26,4000
2012-06-04,13.0,12.5,13.0,12.9,4.23,22500
2012-06-05,12.9,12.5,12.5,12.9,4.23,4060
2012-06-06,13.0,12.9,12.9,13.0,4.26,8110
2012-06-07,13.2,13.0,13.0,13.2,4.32,5000
2012-06-08,13.3,13.0,13.0,13.3,4.36,10200
2012-06-11,13.8,13.0,13.8,13.4,4.39,7150
2012-06-12,13.4,13.3,13.4,13.4,4.39,9020
2012-06-13,13.4,13.2,13.4,13.4,4.39,14510
2012-06-14,13.7,13.0,13.7,13.4,4.39,8910
2012-06-15,13.4,13.4,13.4,13.4,4.39,7500
2012-06-18,13.4,12.9,12.9,13.4,4.39,3510
2012-06-19,13.5,13.0,13.0,13.4,4.39,26000
2012-06-20,13.4,13.4,13.4,13.4,4.39,9000
2012-06-21,13.4,13.4,13.4,13.4,4.39,6000
2012-06-22,13.4,13.0,13.4,13.3,4.36,31600
2012-06-25,13.3,12.9,12.9,12.9,4.23,17010
2012-06-26,12.9,12.8,12.9,12.9,4.23,7500
2012-06-27,13.0,12.9,13.0,12.9,4.23,9580
2012-06-28,13.0,12.9,13.0,13.0,4.26,30140
2012-06-29,13.2,13.0,13.2,13.2,4.32,4870
2012-07-02,13.3,13.2,13.2,13.3,4.36,913040
2012-07-03,13.3,13.1,13.1,13.3,4.36,6540
2012-07-04,13.4,13.3,13.3,13.4,4.39,17290
2012-07-05,13.5,13.4,13.4,13.5,4.42,3820
2012-07-06,13.6,13.3,13.5,13.5,4.42,1210225
2012-07-09,13.6,13.5,13.6,13.5,4.42,626223
2012-07-10,13.5,13.0,13.5,13.5,4.42,11500
2012-07-11,13.5,13.2,13.4,13.5,4.42,8000
2012-07-12,13.6,13.4,13.5,13.6,4.46,308885
2012-07-13,13.8,13.0,13.8,13.7,4.49,625203
2012-07-16,13.8,13.7,13.7,13.7,4.49,29700
2012-07-17,13.8,13.6,13.6,13.8,4.52,3150
2012-07-18,13.8,13.8,13.8,13.8,4.52,15000
2012-07-19,13.9,13.8,13.8,13.9,4.55,19100
2012-07-20,14.2,14.0,14.0,14.0,4.59,31990
2012-07-23,14.4,14.1,14.1,14.4,4.72,23150
2012-07-24,14.5,14.3,14.5,14.4,4.72,23700
2012-07-25,14.6,14.3,14.6,14.3,4.69,1470
2012-07-26,14.5,14.4,14.5,14.5,4.75,27080
2012-07-27,14.5,14.3,14.5,14.5,4.75,30980
2012-07-30,14.6,14.5,14.5,14.5,4.75,32000
2012-07-31,14.3,14.3,14.3,14.3,4.96,5100
2012-08-01,14.5,14.1,14.5,14.2,4.92,4920
2012-08-02,14.4,14.2,14.2,14.4,4.99,21000
2012-08-03,14.4,14.2,14.4,14.4,4.99,7000
2012-08-06,14.4,13.7,13.7,14.4,4.99,6210
2012-08-07,14.4,14.3,14.3,14.3,4.96,11070
2012-08-08,14.3,14.2,14.2,14.2,4.92,13000
2012-08-09,14.2,14.1,14.1,14.2,4.92,13440
2012-08-10,14.2,14.1,14.1,14.2,4.92,9220
2012-08-13,14.1,14.1,14.1,14.1,4.89,6000
2012-08-14,14.1,14.0,14.1,14.1,4.89,9920
2012-08-15,14.2,14.0,14.1,14.1,4.89,5400
2012-08-16,14.2,14.1,14.2,14.1,4.89,3810
2012-08-17,14.0,14.0,14.0,14.0,4.85,25580
2012-08-20,14.1,13.9,14.0,14.0,4.85,10000
2012-08-21,13.8,13.7,13.8,13.7,4.75,11200
2012-08-22,13.8,13.5,13.7,13.7,4.75,9790
2012-08-23,13.5,13.4,13.5,13.4,4.65,28100
2012-08-24,13.6,13.2,13.2,13.6,4.72,16080
2012-08-27,13.6,13.0,13.6,13.4,4.65,17480
2012-08-28,13.5,13.5,13.5,13.5,4.68,6660
2012-08-29,13.6,13.5,13.6,13.6,4.72,13000
2012-08-30,13.8,13.6,13.6,13.6,4.72,3030
2012-08-31,13.7,13.5,13.5,13.7,4.75,10080
2012-09-04,13.7,13.7,13.7,13.7,4.75,1200
2012-09-05,13.9,13.8,13.9,13.8,4.79,8010
2012-09-06,13.8,13.8,13.8,13.8,4.79,7000
2012-09-07,13.9,13.2,13.2,13.9,4.82,8100
2012-09-10,13.8,13.5,13.5,13.8,4.79,6000
2012-09-11,13.8,13.8,13.8,13.8,4.79,7000
2012-09-12,13.8,13.8,13.8,13.8,4.79,8000
2012-09-13,13.7,13.6,13.6,13.7,4.75,19350
2012-09-14,13.7,13.6,13.7,13.7,4.75,10500
2012-09-17,13.7,13.3,13.3,13.7,4.75,10530
2012-09-18,13.7,13.6,13.6,13.7,4.75,7060
2012-09-19,13.5,13.5,13.5,13.5,4.68,8100
2012-09-20,13.5,13.4,13.5,13.5,4.68,15980
2012-09-21,13.5,13.4,13.5,13.5,4.68,53000
2012-09-24,13.5,12.9,12.9,13.5,4.68,2130
2012-09-25,13.5,13.5,13.5,13.5,4.68,2000
2012-09-26,13.4,13.4,13.4,13.4,4.65,2010
2012-09-27,13.4,12.8,12.8,13.4,4.65,2720
2012-09-28,13.4,12.8,12.8,13.4,4.65,3010
2012-10-01,13.4,13.4,13.4,13.4,4.65,1000
2012-10-02,13.2,12.8,13.2,13.0,4.51,3000
2012-10-03,13.0,13.0,13.0,13.0,4.51,1500
2012-10-04,13.0,12.4,12.4,13.0,4.51,7510
2012-10-05,13.0,13.0,13.0,13.0,4.51,1300
2012-10-08,13.0,13.0,13.0,13.0,4.51,1700
2012-10-09,13.0,12.9,13.0,13.0,4.51,1940
2012-10-10,13.0,13.0,13.0,13.0,4.51,1650
2012-10-11,13.0,13.0,13.0,13.0,4.51,2270
2012-10-12,13.0,12.9,13.0,13.0,4.51,1560
2012-10-15,13.0,13.0,13.0,13.0,4.51,1200
2012-10-16,13.0,13.0,13.0,13.0,4.51,1200
2012-10-17,12.8,12.6,12.8,12.6,4.37,650
2012-10-18,13.2,13.2,13.2,13.2,4.58,30
2012-10-19,13.0,13.0,13.0,13.0,4.51,11000
2012-10-22,13.0,13.0,13.0,13.0,4.51,0
2012-10-23,13.0,12.5,12.8,13.0,4.51,780
2012-10-24,12.8,12.8,12.8,12.8,4.44,1200
2012-10-25,12.8,12.8,12.8,12.8,4.44,1500
2012-10-26,12.8,12.8,12.8,12.8,4.44,300
2012-10-29,12.8,12.2,12.2,12.4,4.3,3300
2012-10-30,12.8,12.4,12.8,12.4,4.3,1500
2012-10-31,12.4,12.4,12.4,12.4,4.3,900
2012-11-01,12.4,12.0,12.3,12.0,4.16,5400
2012-11-02,12.0,12.0,12.0,12.0,4.16,0
2012-11-05,12.0,12.0,12.0,12.0,4.16,2520
2012-11-06,12.0,12.0,12.0,12.0,4.16,1810
2012-11-07,12.0,12.0,12.0,12.0,4.16,1810
2012-11-08,12.0,12.0,12.0,12.0,4.16,1310
2012-11-09,12.0,11.4,11.4,12.0,4.16,1920
2012-11-12,12.6,12.6,12.6,12.6,4.37,10
2012-11-13,12.5,12.5,12.5,12.5,4.33,1500
2012-11-14,12.6,12.6,12.6,12.6,4.37,510
2012-11-15,12.6,12.6,12.6,12.6,4.37,0
2012-11-16,12.8,12.8,12.8,12.8,4.44,500
2012-11-19,12.8,12.8,12.8,12.8,4.44,2000
2012-11-20,12.8,12.8,12.8,12.8,4.44,1100
2012-11-21,12.8,12.8,12.8,12.8,4.44,1300
2012-11-22,12.8,12.5,12.5,12.8,4.44,1160
2012-11-23,12.8,12.8,12.8,12.8,4.44,1020
2012-11-26,12.8,12.2,12.2,12.8,4.44,1840
2012-11-27,12.7,12.2,12.5,12.7,4.4,3130
2012-11-28,12.7,12.7,12.7,12.7,4.4,0
2012-11-29,12.7,12.5,12.7,12.7,4.4,1500
2012-11-30,12.7,12.5,12.5,12.7,4.4,1270
2012-12-03,12.7,12.7,12.7,12.7,4.4,1120
2012-12-04,12.7,12.7,12.7,12.7,4.4,500
2012-12-05,12.6,12.5,12.6,12.6,4.37,3740
2012-12-06,12.6,12.6,12.6,12.6,4.37,0
2012-12-07,12.6,12.6,12.6,12.6,4.37,1000
2012-12-10,12.6,12.5,12.5,12.6,4.37,3110
2012-12-11,12.6,12.0,12.6,12.6,4.37,3860
2012-12-12,12.6,12.6,12.6,12.6,4.37,700
2012-12-13,12.6,12.0,12.1,12.6,4.37,4660
2012-12-14,12.6,12.0,12.1,12.6,4.37,2490
2012-12-17,12.6,12.6,12.6,12.6,4.37,1010
2012-12-18,12.6,12.0,12.0,12.6,4.37,4370
2012-12-19,12.6,12.4,12.5,12.6,4.37,3170
2012-12-20,12.6,12.6,12.6,12.6,4.37,2000
2012-12-21,12.5,12.5,12.5,12.5,4.33,1250
2012-12-24,12.5,12.1,12.1,12.5,4.33,1050
2012-12-25,12.5,12.1,12.1,12.5,4.33,1080
2012-12-26,12.5,12.2,12.4,12.5,4.33,2170
2012-12-27,12.5,12.1,12.4,12.5,4.33,3480
2012-12-28,12.5,12.1,12.1,12.5,4.33,1710
2013-01-02,12.6,12.6,12.6,12.6,4.37,3200
2013-01-03,12.6,12.5,12.6,12.6,4.37,1520
2013-01-04,12.6,12.5,12.6,12.6,4.37,9200
2013-01-07,12.6,12.2,12.2,12.6,4.37,5510
2013-01-08,13.2,12.4,12.4,13.2,4.58,3700
2013-01-09,13.2,12.7,12.7,13.0,4.51,14140
2013-01-10,13.0,12.7,13.0,13.0,4.51,1550
2013-01-11,12.8,12.7,12.8,12.7,4.4,8430
2013-01-14,12.7,12.1,12.1,12.7,4.4,4600
2013-01-15,12.7,12.6,12.6,12.6,4.37,2490
2013-01-16,12.6,12.2,12.2,12.6,4.37,1480
2013-01-17,12.8,12.5,12.6,12.8,4.44,2200
2013-01-18,12.9,12.9,12.9,12.9,4.47,1000
2013-01-21,13.0,13.0,13.0,13.0,4.51,2000
2013-01-22,13.0,12.5,12.5,13.0,4.51,2480
2013-01-23,13.1,12.6,12.6,13.0,4.51,5260
2013-01-24,13.0,12.9,13.0,13.0,4.51,2750
2013-01-25,13.1,12.6,12.8,13.1,4.54,1670
2013-01-28,13.5,13.0,13.5,13.2,4.58,4390
2013-01-29,13.2,12.4,12.4,13.2,4.58,7750
2013-01-30,13.2,13.1,13.1,13.2,4.58,3150
2013-01-31,13.2,12.5,12.5,13.2,4.83,4920
2013-02-01,13.2,12.5,12.5,13.2,4.83,4020
2013-02-04,13.2,13.2,13.2,13.2,4.83,9090
2013-02-05,13.5,12.7,12.7,13.5,4.94,1010
2013-02-06,13.4,12.8,13.3,12.8,4.69,1010
2013-02-07,13.2,12.8,12.8,13.2,4.83,1840
2013-02-08,14.0,13.6,13.6,14.0,5.13,2160
2013-02-18,14.3,13.1,14.0,14.3,5.24,7420
2013-02-19,15.0,14.0,14.1,15.0,5.49,4320
2013-02-20,15.9,14.2,14.2,15.9,5.82,3550
2013-02-21,15.7,14.9,15.3,15.7,5.75,3120
2013-02-22,15.6,14.8,14.8,15.6,5.71,6310
2013-02-25,15.6,15.0,15.6,15.5,5.68,10850
2013-02-26,15.4,14.6,15.0,15.2,5.57,5620
2013-02-27,15.2,15.0,15.2,15.2,5.57,1520
2013-02-28,15.2,14.8,15.2,15.0,5.49,12740
2013-03-01,15.3,14.9,15.0,15.0,5.49,5480
2013-03-04,15.0,14.5,14.5,15.0,5.49,1770
2013-03-05,15.0,15.0,15.0,15.0,5.49,2020
2013-03-06,15.0,15.0,15.0,15.0,5.49,2000
2013-03-07,14.9,14.5,14.9,14.5,5.31,1100
2013-03-08,14.5,14.5,14.5,14.5,5.31,1000
2013-03-11,14.8,14.5,14.5,14.8,5.42,6170
2013-03-12,14.8,14.5,14.5,14.7,5.38,23510
2013-03-13,14.8,14.0,14.0,14.8,5.42,1400
2013-03-14,14.8,14.6,14.7,14.8,5.42,2100
2013-03-15,14.8,14.0,14.0,14.8,5.42,1960
2013-03-18,14.6,14.0,14.0,14.6,5.35,3520
2013-03-19,14.6,14.2,14.6,14.6,5.35,2860
2013-03-20,14.4,13.8,13.8,14.4,5.27,2840
2013-03-21,14.4,13.5,13.5,14.4,5.27,5080
2013-03-22,14.4,14.3,14.4,14.4,5.27,650
2013-03-25,14.4,13.8,13.8,14.3,5.24,4540
2013-03-26,14.5,14.5,14.5,14.5,5.31,550
2013-03-27,14.5,14.0,14.0,14.5,5.31,1720
