Date,High,Low,Open,Close,adjust,Volume
2012-01-03,6.2,6.0,6.2,6.1,1.93,9380
2012-01-04,6.2,6.0,6.1,6.0,1.9,4110
2012-01-05,6.0,5.8,5.9,5.8,1.84,21830
2012-01-06,5.9,5.7,5.9,5.7,1.81,19690
2012-01-09,5.8,5.7,5.8,5.8,1.84,11890
2012-01-10,6.0,5.6,5.6,6.0,1.9,20390
2012-01-11,6.2,6.0,6.0,6.1,1.93,13620
2012-01-12,6.1,5.9,6.0,5.9,1.87,34960
2012-01-13,6.1,5.9,6.0,5.9,1.87,3670
2012-01-16,6.1,5.9,6.0,6.1,1.93,15990
2012-01-17,6.2,6.0,6.0,6.0,1.9,36840
2012-01-18,6.2,6.0,6.1,6.0,1.9,9890
2012-01-19,6.2,6.0,6.1,6.0,1.9,5700
2012-01-20,6.2,6.0,6.2,6.1,1.93,13520
2012-01-30,6.4,6.1,6.2,6.4,2.03,10980
2012-01-31,6.7,6.7,6.7,6.7,2.12,58760
2012-02-01,7.0,6.7,6.8,7.0,2.22,52900
2012-02-02,7.3,7.3,7.3,7.3,2.31,11270
2012-02-03,7.6,7.2,7.6,7.3,2.31,62020
2012-02-06,7.4,7.0,7.2,7.0,2.22,41270
2012-02-07,7.2,6.9,7.1,7.1,2.25,16910
2012-02-08,7.4,7.2,7.2,7.4,2.35,61790
2012-02-09,7.6,7.4,7.5,7.6,2.41,49350
2012-02-10,7.6,7.3,7.6,7.3,2.31,51990
2012-02-13,7.4,7.0,7.4,7.0,2.22,17910
2012-02-14,7.3,7.1,7.2,7.2,2.28,10670
2012-02-15,7.3,7.0,7.1,7.1,2.25,12490
2012-02-16,7.1,7.0,7.0,7.0,2.22,6010
2012-02-17,7.3,7.1,7.2,7.3,2.31,29530
2012-02-20,7.6,7.4,7.4,7.5,2.38,54300
2012-02-21,7.8,7.4,7.8,7.5,2.38,60080
2012-02-22,7.8,7.3,7.4,7.7,2.44,67200
2012-02-23,8.0,7.7,7.7,8.0,2.54,117730
2012-02-24,8.4,7.9,8.0,7.9,2.5,188900
2012-02-27,8.2,7.9,8.0,8.2,2.6,128650
2012-02-28,8.5,7.8,8.5,7.8,2.47,58440
2012-02-29,8.1,7.8,7.9,8.1,2.57,28400
2012-03-01,8.1,7.9,8.1,7.9,2.5,23870
2012-03-02,8.2,8.0,8.0,8.2,2.6,98750
2012-03-05,8.6,8.6,8.6,8.6,2.73,74690
2012-03-06,9.0,8.3,9.0,8.3,2.63,184300
2012-03-07,8.7,8.1,8.3,8.7,2.76,50490
2012-03-08,8.8,8.3,8.8,8.6,2.73,49010
2012-03-09,8.6,8.3,8.6,8.4,2.66,65050
2012-03-12,8.5,8.0,8.5,8.1,2.57,49520
2012-03-13,8.3,8.0,8.1,8.2,2.6,23700
2012-03-14,8.4,8.1,8.4,8.2,2.6,9680
2012-03-15,8.5,8.1,8.2,8.5,2.7,66500
2012-03-16,8.8,8.5,8.7,8.5,2.7,36780
2012-03-19,8.5,8.4,8.5,8.4,2.66,7700
2012-03-20,8.5,8.2,8.5,8.5,2.7,24370
2012-03-21,8.9,8.4,8.6,8.9,2.82,472950
2012-03-22,9.3,9.3,9.3,9.3,2.95,107150
2012-03-23,9.7,9.7,9.7,9.7,3.08,39360
2012-03-26,10.1,10.1,10.1,10.1,3.2,97930
2012-03-27,10.6,10.1,10.6,10.1,3.2,704250
2012-03-28,10.4,9.6,9.9,10.1,3.2,124020
2012-03-29,10.1,9.6,10.1,9.6,3.04,115490
2012-03-30,9.6,9.2,9.3,9.2,2.92,147440
2012-04-03,9.6,8.9,9.1,9.4,2.98,86800
2012-04-04,9.6,9.0,9.6,9.0,2.85,87650
2012-04-05,9.3,8.7,9.0,9.2,2.92,67440
2012-04-06,9.6,9.2,9.3,9.6,3.04,122870
2012-04-09,10.0,9.4,9.9,10.0,3.17,136720
2012-04-10,10.5,10.0,10.4,10.5,3.33,327190
2012-04-11,11.0,10.7,11.0,11.0,3.49,146950
2012-04-12,11.5,11.5,11.5,11.5,3.65,104360
2012-04-13,12.0,11.5,11.5,11.9,3.77,635710
2012-04-16,12.4,11.6,12.0,12.4,3.93,473980
2012-04-17,13.0,13.0,13.0,13.0,4.12,28240
2012-04-18,13.6,13.6,13.6,13.6,4.31,27690
2012-04-19,14.2,13.5,14.2,14.2,4.5,814500
2012-04-20,14.2,13.5,13.8,13.5,4.28,524940
2012-04-23,14.1,13.5,13.5,14.1,4.47,401210
2012-04-24,14.8,14.2,14.5,14.8,4.69,132110
2012-04-25,15.5,15.5,15.5,15.5,4.91,15670
2012-04-26,16.2,16.2,16.2,16.2,5.14,20230
2012-04-27,17.0,16.7,17.0,17.0,5.39,338450
2012-05-02,17.8,16.3,17.8,17.0,5.39,415960
2012-05-03,17.8,16.5,16.5,17.8,5.64,669890
2012-05-04,18.6,18.6,18.6,18.6,5.9,75840
2012-05-07,19.5,19.5,19.5,19.5,6.18,5460
2012-05-08,20.4,20.4,20.4,20.4,6.47,6160
2012-05-09,21.4,20.5,21.4,21.4,6.79,379700
2012-05-10,22.4,20.9,22.4,21.4,6.79,806050
2012-05-11,22.4,21.0,21.4,21.4,6.79,364330
2012-05-14,22.3,20.4,22.3,21.4,6.79,262850
2012-05-15,21.9,20.4,20.8,20.4,6.47,377210
2012-05-16,20.3,19.4,19.4,19.4,6.15,274080
2012-05-17,19.5,18.5,18.6,18.5,5.87,215780
2012-05-18,17.6,17.6,17.6,17.6,5.58,50180
2012-05-21,18.4,16.8,16.8,18.4,5.83,349520
2012-05-22,19.0,17.5,18.3,17.5,5.55,204750
2012-05-23,17.0,16.7,16.8,16.7,5.29,132190
2012-05-24,17.0,15.9,16.2,15.9,5.04,58350
2012-05-25,16.6,16.1,16.5,16.6,5.26,269390
2012-05-28,17.4,16.6,17.4,17.4,5.52,315930
2012-05-29,17.7,16.7,17.4,17.0,5.39,108570
2012-05-30,17.7,16.8,17.5,16.8,5.33,71670
2012-05-31,16.8,16.0,16.8,16.0,5.07,124040
2012-06-01,16.2,15.2,16.0,15.2,4.82,129020
2012-06-04,14.8,14.5,14.7,14.5,4.6,35480
2012-06-05,15.2,13.8,13.8,15.2,4.82,244630
2012-06-06,15.9,14.8,15.0,15.9,5.04,124220
2012-06-07,16.6,16.3,16.4,16.6,5.26,104690
2012-06-08,17.4,17.0,17.4,17.4,5.52,302300
2012-06-11,18.2,18.2,18.2,18.2,5.77,75050
2012-06-12,19.1,18.5,19.1,18.8,5.96,602580
2012-06-13,19.4,17.9,18.9,18.7,5.93,247070
2012-06-14,19.0,17.9,19.0,17.9,5.68,76990
2012-06-15,18.7,17.8,17.8,18.7,5.93,223860
2012-06-18,19.6,19.5,19.6,19.6,6.21,256600
2012-06-19,20.5,19.4,20.0,19.6,6.21,478330
2012-06-20,20.0,19.3,20.0,19.5,6.18,290140
2012-06-21,20.4,19.0,19.0,20.0,6.34,447980
2012-06-22,20.5,19.4,20.5,19.6,6.21,178320
2012-06-25,18.7,18.7,18.7,18.7,5.93,39840
2012-06-26,17.8,17.8,17.8,17.8,5.64,9010
2012-06-27,17.6,17.0,17.0,17.0,5.39,355590
2012-06-28,17.5,16.2,16.2,17.5,5.55,486300
2012-06-29,17.6,16.7,17.5,17.3,5.49,136820
2012-07-02,17.7,16.5,17.7,16.5,5.23,92150
2012-07-03,16.2,15.7,15.9,15.7,4.98,267160
2012-07-04,16.3,15.1,15.1,15.2,4.82,261950
2012-07-05,15.8,15.0,15.2,15.7,4.98,205230
2012-07-06,16.4,15.7,16.0,16.2,5.14,209560
2012-07-09,16.2,15.4,16.0,15.4,4.88,127930
2012-07-10,15.5,15.0,15.0,15.2,4.82,59720
2012-07-11,15.5,15.0,15.2,15.1,4.79,107780
2012-07-12,15.5,14.9,14.9,15.4,4.88,91720
2012-07-13,16.1,15.2,15.2,16.1,5.1,198470
2012-07-16,16.9,15.8,16.1,16.0,5.07,222590
2012-07-17,16.8,15.7,15.7,16.7,5.29,198570
2012-07-18,16.6,16.1,16.2,16.4,5.36,116880
2012-07-19,17.2,16.3,16.3,17.2,5.62,302750
2012-07-20,17.9,16.8,17.4,16.8,5.49,192280
2012-07-23,17.0,16.3,16.8,16.3,5.33,147270
2012-07-24,16.5,15.6,16.2,16.5,5.39,128760
2012-07-25,16.5,15.8,16.0,15.8,5.16,109730
2012-07-26,16.2,15.7,16.2,16.2,5.29,75130
2012-07-27,16.5,15.7,16.5,15.7,5.13,41880
2012-07-30,15.8,15.3,15.3,15.7,5.13,160650
2012-07-31,16.0,15.5,15.8,15.5,5.07,50690
2012-08-01,15.5,15.2,15.3,15.4,5.03,116570
2012-08-02,15.7,15.4,15.7,15.5,5.07,35830
2012-08-03,15.8,15.4,15.6,15.4,5.03,36010
2012-08-06,16.1,15.4,15.4,16.1,5.26,182960
2012-08-07,16.2,15.8,16.1,15.8,5.16,88910
2012-08-08,15.9,15.8,15.8,15.9,5.2,27090
2012-08-09,16.6,16.2,16.2,16.6,5.43,312840
2012-08-10,17.1,16.6,16.8,16.9,5.52,229810
2012-08-13,16.8,16.3,16.6,16.4,5.36,81400
2012-08-14,16.9,16.0,16.0,16.8,5.49,28120
2012-08-15,16.8,16.3,16.7,16.5,5.39,99480
2012-08-16,16.6,16.2,16.5,16.2,5.29,53880
2012-08-17,16.5,16.0,16.0,16.5,5.39,72220
2012-08-20,16.9,16.5,16.5,16.6,5.43,64090
2012-08-21,16.4,15.8,16.4,15.8,5.16,150040
2012-08-22,15.7,15.1,15.1,15.1,4.94,409380
2012-08-23,14.5,14.4,14.5,14.4,4.71,57500
2012-08-24,15.1,13.7,13.7,15.0,4.9,279840
2012-08-27,14.5,14.3,14.3,14.3,4.67,105430
2012-08-28,14.4,13.6,14.2,13.8,4.51,107230
2012-08-29,14.4,13.8,13.8,14.4,4.71,129370
2012-08-30,14.9,14.2,14.2,14.8,4.84,62490
2012-08-31,14.8,14.2,14.2,14.5,4.74,34700
2012-09-04,14.8,14.5,14.6,14.6,4.77,36690
2012-09-05,14.5,13.9,14.5,13.9,4.54,108090
2012-09-06,14.1,13.3,13.5,13.3,4.35,182550
2012-09-07,13.7,13.3,13.7,13.4,4.38,62940
2012-09-10,13.4,12.8,13.4,12.8,4.18,241920
2012-09-11,12.8,12.2,12.3,12.3,4.02,106890
2012-09-12,12.8,12.3,12.8,12.3,4.02,21080
2012-09-13,12.5,11.9,12.5,12.5,4.09,46770
2012-09-14,13.1,12.8,12.8,13.1,4.28,99150
2012-09-17,13.7,13.1,13.4,13.7,4.48,240700
2012-09-18,13.7,13.1,13.6,13.1,4.28,124580
2012-09-19,13.6,12.9,12.9,13.6,4.44,168100
2012-09-20,13.8,13.2,13.6,13.8,4.51,197170
2012-09-21,14.3,13.8,14.1,14.3,4.67,155000
2012-09-24,14.8,13.8,14.0,14.6,4.77,239150
2012-09-25,14.6,13.9,14.6,14.3,4.67,128160
2012-09-26,14.4,13.8,14.0,14.4,4.71,134900
2012-09-27,14.4,13.7,14.4,14.1,4.61,106460
2012-09-28,14.1,13.5,14.1,13.5,4.41,121080
2012-10-01,13.8,12.9,13.7,13.2,4.31,94690
2012-10-02,13.3,12.9,13.3,12.9,4.22,81440
2012-10-03,13.5,12.9,13.2,13.2,4.31,179510
2012-10-04,13.7,13.1,13.1,13.5,4.41,120050
2012-10-05,14.0,13.5,13.7,14.0,4.58,241140
2012-10-08,14.2,13.7,14.0,14.1,4.61,123230
2012-10-09,14.4,13.8,13.9,13.8,4.51,134720
2012-10-10,14.4,13.6,13.6,14.4,4.71,262330
2012-10-11,14.9,14.2,14.7,14.5,4.74,116050
2012-10-12,14.6,13.9,14.5,14.5,4.74,212540
