Date,High,Low,Open,Close,adjust,Volume
2012-01-03,28.3,27.2,27.2,28.3,17.34,5060
2012-01-04,28.3,28.0,28.0,28.3,17.34,217400
2012-01-05,28.4,27.8,28.4,28.3,17.34,179090
2012-01-06,28.0,28.0,28.0,28.0,17.16,10500
2012-01-09,28.2,27.0,28.0,28.0,17.16,25720
2012-01-10,28.0,28.0,28.0,28.0,17.16,0
2012-01-11,28.0,27.8,27.8,27.9,17.1,16620
2012-01-12,28.2,27.8,28.0,28.2,17.28,734760
2012-01-13,28.3,28.0,28.3,28.0,17.16,560
2012-01-16,28.2,28.1,28.2,28.1,17.22,7400
2012-01-17,28.2,28.2,28.2,28.2,17.28,1320
2012-01-18,28.3,28.2,28.3,28.3,17.34,2730
2012-01-19,28.3,28.3,28.3,28.3,17.34,160001
2012-01-20,28.3,28.3,28.3,28.3,17.34,0
2012-01-30,28.5,28.3,28.3,28.5,17.46,130
2012-01-31,29.0,27.8,28.6,28.2,17.28,72620
2012-02-01,28.2,26.9,28.2,28.1,17.22,101000
2012-02-02,28.1,26.9,28.1,28.0,17.16,333670
2012-02-03,28.0,27.9,28.0,28.0,17.16,2070
2012-02-06,28.0,28.0,28.0,28.0,17.16,0
2012-02-07,27.8,27.0,27.1,27.8,17.03,56550
2012-02-08,27.9,27.0,27.9,27.0,16.54,14220
2012-02-09,27.1,27.0,27.0,27.0,16.54,2310
2012-02-10,27.8,27.8,27.8,27.8,17.03,1000
2012-02-13,28.0,26.8,27.8,27.6,16.91,136180
2012-02-14,28.0,27.6,27.6,28.0,17.16,2510
2012-02-15,28.0,27.5,28.0,27.6,16.91,3910
2012-02-16,28.2,28.2,28.2,28.2,17.28,10
2012-02-17,28.2,28.2,28.2,28.2,17.28,600
2012-02-20,28.2,27.9,28.0,28.2,17.28,8380
2012-02-21,28.1,27.1,27.9,28.0,17.16,37100
2012-02-22,28.0,27.3,27.3,27.3,16.73,27020
2012-02-23,27.9,27.3,27.3,27.4,16.79,19510
2012-02-24,27.4,27.0,27.0,27.4,16.79,15010
2012-02-27,27.4,26.3,26.5,26.7,16.36,241140
2012-02-28,27.4,26.3,26.7,27.4,16.79,134020
2012-02-29,28.0,27.0,27.4,28.0,17.16,5040
2012-03-01,28.2,27.0,27.0,28.2,17.28,16510
2012-03-02,28.3,27.6,27.6,28.3,17.34,5750
2012-03-05,28.0,28.0,28.0,28.0,17.16,1780
2012-03-06,28.0,26.8,28.0,27.8,17.03,1610
2012-03-07,27.9,27.0,27.1,27.8,17.03,18130
2012-03-08,27.8,27.8,27.8,27.8,17.03,0
