Date,High,Low,Open,Close,adjust,Volume
2012-01-03,11.3,11.3,11.3,11.3,1.38,0
2012-01-04,11.5,11.3,11.5,11.5,1.4,2280
2012-01-05,10.5,10.5,10.5,10.5,1.4,0
2012-01-06,10.6,10.6,10.6,10.6,1.42,90
2012-01-09,10.5,10.1,10.1,10.5,1.4,2100
2012-01-10,11.0,11.0,11.0,11.0,1.47,280
2012-01-11,11.5,11.5,11.5,11.5,1.54,1040
2012-01-12,11.5,11.5,11.5,11.5,1.54,0
2012-01-13,11.3,11.1,11.3,11.1,1.48,1120
2012-01-16,11.1,11.1,11.1,11.1,1.48,0
2012-01-17,10.6,10.6,10.6,10.6,1.42,2000
2012-01-18,11.1,11.1,11.1,11.1,1.48,20
2012-01-19,11.5,10.7,11.4,10.9,1.46,5150
2012-01-20,11.4,10.7,11.4,10.7,1.43,290
2012-01-30,11.1,10.6,10.8,11.1,1.48,1200
2012-01-31,11.5,11.4,11.4,11.5,1.54,870
2012-02-01,11.5,11.5,11.5,11.5,1.54,0
2012-02-02,11.8,11.5,11.7,11.5,1.54,4090
2012-02-03,11.3,11.1,11.1,11.3,1.51,70
2012-02-06,11.3,11.1,11.1,11.3,1.51,60
2012-02-07,11.6,11.0,11.2,11.6,1.55,430
2012-02-08,12.0,11.6,11.6,12.0,1.61,480
2012-02-09,12.2,12.2,12.2,12.2,1.63,50
2012-02-10,12.1,11.7,12.1,11.8,1.58,610
2012-02-13,12.0,12.0,12.0,12.0,1.61,30
2012-02-14,12.0,12.0,12.0,12.0,1.61,0
2012-02-15,12.6,12.6,12.6,12.6,1.69,20
2012-02-16,12.6,12.6,12.6,12.6,1.69,0
2012-02-17,13.0,13.0,13.0,13.0,1.74,30
2012-02-20,13.0,12.5,12.5,13.0,1.74,1630
2012-02-21,13.3,12.4,12.4,12.4,1.66,730
2012-02-22,12.8,11.9,12.4,12.8,1.71,1280
2012-02-23,13.0,13.0,13.0,13.0,1.74,30
2012-02-24,13.0,13.0,13.0,13.0,1.74,30
2012-02-27,13.0,12.5,12.5,13.0,1.74,540
2012-02-28,13.2,12.5,13.2,13.0,1.74,3420
2012-02-29,13.0,12.5,12.5,13.0,1.74,620
2012-03-01,13.0,12.5,12.6,13.0,1.74,1620
2012-03-02,13.0,12.5,13.0,12.5,1.67,2520
2012-03-05,13.1,12.8,12.8,13.1,1.75,6820
2012-03-06,13.6,12.7,13.1,13.5,1.81,7120
2012-03-07,13.4,12.9,12.9,13.4,1.79,2320
2012-03-08,13.1,13.1,13.1,13.1,1.75,10
2012-03-09,13.1,12.7,12.7,13.1,1.75,50
2012-03-12,13.1,12.6,12.6,12.6,1.69,150
2012-03-13,12.8,12.6,12.8,12.7,1.7,3980
2012-03-14,12.7,12.6,12.7,12.6,1.69,830
2012-03-15,12.4,12.0,12.4,12.0,1.61,20230
2012-03-16,12.6,11.9,12.0,12.6,1.69,3070
2012-03-19,12.9,12.9,12.9,12.9,1.73,120
2012-03-20,12.6,12.3,12.4,12.3,1.65,14220
2012-03-21,12.4,11.8,12.0,12.0,1.61,30810
2012-03-22,12.3,12.0,12.0,12.3,1.65,2140
2012-03-23,12.5,12.3,12.3,12.5,1.67,2890
2012-03-26,12.5,12.4,12.5,12.4,1.66,110
2012-03-27,12.4,12.1,12.4,12.4,1.66,200
2012-03-28,12.3,11.8,11.8,12.3,1.65,620
2012-03-29,12.3,12.2,12.2,12.3,1.65,80
2012-03-30,12.2,12.2,12.2,12.2,1.63,20
2012-04-03,11.8,11.8,11.8,11.8,1.58,1730
2012-04-04,12.2,11.6,11.6,12.2,1.63,150
2012-04-05,11.9,11.9,11.9,11.9,1.59,100
2012-04-06,12.2,11.7,11.7,11.7,1.57,160
2012-04-09,12.1,12.0,12.0,12.1,1.62,710
2012-04-10,12.3,12.3,12.3,12.3,1.65,60
2012-04-11,12.5,12.5,12.5,12.5,1.67,250
2012-04-12,12.8,12.5,12.5,12.8,1.71,210
2012-04-13,12.8,12.2,12.8,12.2,1.63,120
2012-04-16,12.2,12.0,12.2,12.0,1.61,2370
2012-04-17,12.3,12.2,12.3,12.3,1.65,200
2012-04-18,12.3,12.0,12.0,12.3,1.65,3280
2012-04-19,12.3,12.0,12.3,12.3,1.65,3860
2012-04-20,12.4,12.3,12.4,12.3,1.65,2650
2012-04-23,12.3,12.0,12.3,12.1,1.62,3040
2012-04-24,12.3,12.1,12.1,12.3,1.65,5160
2012-04-25,12.9,12.5,12.6,12.9,1.73,4470
2012-04-26,12.9,12.7,12.8,12.9,1.73,1110
2012-04-27,12.9,12.3,12.7,12.9,1.73,3170
2012-05-02,12.9,12.9,12.9,12.9,1.73,6900
2012-05-03,13.3,12.4,13.3,13.2,1.77,19370
2012-05-04,13.2,13.1,13.1,13.2,1.77,10850
2012-05-07,13.5,13.5,13.5,13.5,1.81,30
2012-05-08,13.7,12.9,12.9,13.7,1.83,20150
2012-05-09,13.7,13.5,13.5,13.5,1.81,2780
2012-05-10,14.1,13.7,13.7,14.1,1.89,14680
2012-05-11,14.8,14.8,14.8,14.8,1.98,5680
2012-05-14,15.1,14.1,15.1,14.7,1.97,15630
2012-05-15,15.1,14.5,15.1,15.0,2.01,3460
2012-05-16,14.5,14.3,14.3,14.3,1.91,6010
2012-05-17,14.3,13.8,14.3,13.8,1.85,3110
2012-05-18,13.8,13.2,13.3,13.2,1.77,5820
2012-05-21,13.7,13.2,13.2,13.7,1.83,4270
2012-05-22,14.2,13.1,14.2,13.1,1.75,550
2012-05-23,13.5,12.6,12.6,12.7,1.7,2510
2012-05-24,13.3,13.3,13.3,13.3,1.78,50
2012-05-25,13.8,12.8,13.8,13.8,1.85,120
2012-05-28,14.0,13.2,13.8,13.2,1.77,2860
2012-05-29,13.1,13.0,13.0,13.1,1.75,20
2012-05-30,13.6,13.1,13.1,13.6,1.82,1520
2012-05-31,13.8,13.6,13.6,13.8,1.85,2770
2012-06-01,14.0,13.2,14.0,13.2,1.77,30
2012-06-04,13.8,13.8,13.8,13.8,1.85,10
2012-06-05,13.2,13.2,13.2,13.2,1.77,700
2012-06-06,12.6,12.6,12.6,12.6,1.82,10
2012-06-07,13.0,12.4,13.0,12.8,1.85,570
2012-06-08,12.8,12.8,12.8,12.8,1.85,0
2012-06-11,13.1,13.1,13.1,13.1,1.9,10
2012-06-12,12.9,12.8,12.9,12.8,1.85,610
2012-06-13,13.0,12.4,13.0,13.0,1.88,40
2012-06-14,13.0,13.0,13.0,13.0,1.88,0
2012-06-15,13.0,12.4,12.5,13.0,1.88,2020
2012-06-18,13.0,12.4,12.4,12.9,1.87,860
2012-06-19,12.9,12.9,12.9,12.9,1.87,130
2012-06-20,12.9,12.9,12.9,12.9,1.87,20
2012-06-21,12.9,12.9,12.9,12.9,1.87,0
2012-06-22,12.9,12.9,12.9,12.9,1.87,0
2012-06-25,13.0,12.3,12.9,12.3,1.78,6260
2012-06-26,12.0,12.0,12.0,12.0,1.74,20
2012-06-27,12.6,12.6,12.6,12.6,1.82,10
2012-06-28,12.0,12.0,12.0,12.0,1.74,1160
2012-06-29,12.0,11.8,11.8,12.0,1.74,680
2012-07-02,11.6,11.6,11.6,11.6,1.68,10
2012-07-03,11.1,11.1,11.1,11.1,1.61,1670
2012-07-04,11.6,11.6,11.6,11.6,1.68,20
2012-07-05,11.2,11.1,11.2,11.1,1.61,2000
2012-07-06,11.6,11.4,11.6,11.5,1.66,630
