Date,High,Low,Open,Close,adjust,Volume
2012-01-03,8.0,8.0,8.0,8.0,4.11,30
2012-01-04,8.2,7.6,8.2,7.6,3.9,40
2012-01-05,7.8,7.8,7.8,7.8,4.01,40
2012-01-06,7.5,7.5,7.5,7.5,3.85,10
2012-01-09,7.6,7.5,7.5,7.6,3.9,70
2012-01-10,7.7,7.5,7.6,7.7,3.96,190
2012-01-11,7.7,7.4,7.7,7.4,3.8,40
2012-01-12,7.5,7.4,7.4,7.5,3.85,50
2012-01-13,7.5,7.5,7.5,7.5,3.85,0
2012-01-16,7.5,7.5,7.5,7.5,3.85,0
2012-01-17,7.5,7.5,7.5,7.5,3.85,30
2012-01-18,7.5,7.5,7.5,7.5,3.85,30
2012-01-19,7.5,7.5,7.5,7.5,3.85,10
2012-01-20,7.5,7.5,7.5,7.5,3.85,0
2012-01-30,7.5,7.5,7.5,7.5,3.85,0
2012-01-31,7.5,7.5,7.5,7.5,3.85,1050
2012-02-01,7.5,7.5,7.5,7.5,3.85,30
2012-02-02,7.5,7.5,7.5,7.5,3.85,50
2012-02-03,7.5,7.5,7.5,7.5,3.85,40
2012-02-06,7.5,7.5,7.5,7.5,3.85,30
2012-02-07,7.5,7.5,7.5,7.5,3.85,450
2012-02-08,7.5,7.2,7.2,7.2,3.7,50
2012-02-09,7.2,6.9,6.9,7.2,3.7,20
2012-02-10,7.2,7.0,7.2,7.2,3.7,180
2012-02-13,7.2,7.1,7.1,7.2,3.7,580
2012-02-14,7.2,7.2,7.2,7.2,3.7,0
2012-02-15,7.2,7.2,7.2,7.2,3.7,0
2012-02-16,7.2,7.2,7.2,7.2,3.7,0
2012-02-17,7.1,7.1,7.1,7.1,3.65,60
2012-02-20,7.1,7.1,7.1,7.1,3.65,10
2012-02-21,7.1,7.1,7.1,7.1,3.65,0
2012-02-22,7.1,7.1,7.1,7.1,3.65,10
2012-02-23,7.1,7.1,7.1,7.1,3.65,0
2012-02-24,6.8,6.8,6.8,6.8,3.49,1320
2012-02-27,6.5,6.5,6.5,6.5,3.34,1150
2012-02-28,6.6,6.2,6.2,6.6,3.39,1140
2012-02-29,6.7,6.3,6.7,6.3,3.24,400
2012-03-01,6.3,6.1,6.1,6.3,3.24,260
2012-03-02,6.6,6.1,6.1,6.6,3.39,2020
2012-03-05,6.9,6.5,6.9,6.9,3.54,1130
2012-03-06,7.2,6.6,7.2,6.6,3.39,30
2012-03-07,6.9,6.9,6.9,6.9,3.54,730
2012-03-08,7.2,6.8,6.8,7.2,3.7,20
2012-03-09,7.4,6.9,6.9,7.4,3.8,240
2012-03-12,7.4,7.4,7.4,7.4,3.8,0
2012-03-13,7.7,7.4,7.7,7.4,3.8,70
2012-03-14,7.4,7.4,7.4,7.4,3.8,0
2012-03-15,7.4,7.4,7.4,7.4,3.8,0
2012-03-16,7.1,7.1,7.1,7.1,3.65,10
2012-03-19,7.0,6.8,6.8,7.0,3.6,1300
2012-03-20,7.2,6.7,6.7,7.2,3.7,20
2012-03-21,7.2,7.2,7.2,7.2,3.7,20
2012-03-22,7.2,7.2,7.2,7.2,3.7,0
2012-03-23,7.2,7.2,7.2,7.2,3.7,0
2012-03-26,7.2,7.2,7.2,7.2,3.7,30
2012-03-27,7.5,7.5,7.5,7.5,3.85,30
2012-03-28,7.8,7.8,7.8,7.8,4.01,170
2012-03-29,7.8,7.8,7.8,7.8,4.01,0
2012-03-30,7.8,7.8,7.8,7.8,4.01,0
2012-04-03,8.0,7.5,8.0,7.5,3.85,20
2012-04-04,7.8,7.2,7.2,7.8,4.01,40
2012-04-05,7.5,7.5,7.5,7.5,3.85,30
2012-04-06,7.5,7.5,7.5,7.5,3.85,0
2012-04-09,7.5,7.5,7.5,7.5,3.85,0
2012-04-10,7.7,7.7,7.7,7.7,3.96,10
2012-04-11,8.0,8.0,8.0,8.0,4.11,20
2012-04-12,8.0,8.0,8.0,8.0,4.11,0
2012-04-13,7.8,7.8,7.8,7.8,4.01,10
2012-04-16,8.1,8.1,8.1,8.1,4.16,10
2012-04-17,7.7,7.7,7.7,7.7,3.96,360
2012-04-18,7.4,7.4,7.4,7.4,3.8,30
2012-04-19,7.7,7.1,7.7,7.1,3.65,220
2012-04-20,7.4,7.4,7.4,7.4,3.8,10
2012-04-23,7.4,7.4,7.4,7.4,3.8,10
2012-04-24,7.4,7.4,7.4,7.4,3.8,20
2012-04-25,7.7,7.1,7.7,7.5,3.85,1440
2012-04-26,7.5,7.5,7.5,7.5,3.85,20
2012-04-27,7.2,7.2,7.2,7.2,3.7,1130
2012-05-02,7.5,6.9,7.5,6.9,3.54,230
2012-05-03,7.2,6.6,7.1,6.6,3.39,1040
