Date,High,Low,Open,Close,adjust,Volume
2019-01-15,15.0,11.0,15.0,11.0,10.23,109570
2019-01-16,11.75,11.0,11.0,11.75,10.92,27940
2019-01-17,12.55,12.55,12.55,12.55,11.67,119080
2019-01-18,13.2,12.55,13.1,12.55,11.67,50480
2019-01-21,12.55,11.9,12.55,11.9,11.06,13560
2019-01-22,11.6,11.2,11.6,11.2,10.41,44240
2019-01-23,11.2,11.0,11.0,11.0,10.23,32640
2019-01-24,11.5,10.9,11.0,10.9,10.13,25700
2019-01-25,11.0,10.7,10.8,10.9,10.13,49630
2019-01-28,11.0,10.5,11.0,10.5,9.76,14490
2019-01-29,10.5,10.3,10.5,10.3,9.57,17290
2019-01-30,11.0,10.5,10.5,11.0,10.23,13100
2019-01-31,11.6,10.3,10.3,11.6,10.78,13540
2019-02-01,12.2,11.8,11.8,12.0,11.15,26280
2019-02-11,12.15,11.2,11.9,11.9,11.06,19240
2019-02-12,12.2,11.6,12.2,12.0,11.15,6110
2019-02-13,12.0,11.35,11.45,11.35,10.55,12030
2019-02-14,11.9,11.4,11.4,11.9,11.06,44960
2019-02-15,12.0,11.75,12.0,11.95,11.11,710
2019-02-18,11.85,11.55,11.75,11.7,10.88,8130
2019-02-19,11.75,11.5,11.5,11.5,10.69,10110
2019-02-20,11.8,11.5,11.5,11.7,10.88,240
2019-02-21,11.8,11.4,11.4,11.7,10.88,11650
2019-02-22,11.65,11.2,11.2,11.35,10.55,4700
2019-02-25,11.75,11.3,11.75,11.45,10.64,6120
2019-02-26,11.6,11.3,11.35,11.4,10.6,26740
2019-02-27,11.4,11.35,11.4,11.35,10.55,9660
2019-02-28,11.3,11.1,11.3,11.1,10.32,28330
2019-03-01,11.4,11.2,11.4,11.35,10.55,6140
2019-03-04,11.35,11.2,11.3,11.35,10.55,54570
2019-03-05,11.5,11.1,11.35,11.5,10.69,56010
2019-03-06,11.8,11.3,11.3,11.6,10.78,33470
2019-03-07,12.4,11.35,12.4,12.4,11.53,267080
2019-03-08,13.1,12.75,12.75,12.9,11.99,111620
2019-03-11,13.8,12.9,12.9,13.8,12.83,278650
2019-03-12,14.75,14.0,14.1,14.75,13.71,641940
2019-03-13,15.0,14.2,15.0,14.8,13.76,142590
2019-03-14,15.0,14.35,14.6,14.9,13.85,137890
2019-03-15,15.1,14.5,14.9,14.7,13.66,267670
2019-03-18,14.8,14.2,14.75,14.5,13.48,182310
2019-03-19,14.65,14.3,14.3,14.6,13.57,134560
2019-03-20,15.4,14.4,14.7,15.4,14.32,220550
2019-03-21,16.45,15.4,15.6,16.45,15.29,561890
2019-03-22,17.6,16.4,16.4,17.5,16.27,594160
2019-03-25,17.5,16.3,17.5,16.3,15.15,305200
2019-03-26,15.9,15.2,15.2,15.3,14.22,268880
2019-03-27,16.35,15.05,15.05,16.35,15.2,154760
2019-03-28,16.4,15.7,16.4,15.8,14.69,146440
2019-03-29,16.4,15.4,15.4,16.2,15.06,75910
2019-04-01,16.75,15.8,16.2,16.7,15.52,123850
2019-04-02,17.4,16.3,17.4,16.45,15.29,93040
2019-04-03,16.65,16.1,16.1,16.1,14.97,46680
2019-04-04,16.8,16.1,16.4,16.4,15.24,151510
2019-04-05,16.6,16.2,16.4,16.25,15.11,81910
2019-04-08,16.8,16.0,16.25,16.2,15.06,86590
2019-04-09,16.2,15.75,16.1,15.75,14.64,80070
2019-04-10,16.2,15.35,16.1,16.0,14.87,55540
2019-04-11,16.0,15.5,15.6,15.55,14.45,31730
2019-04-12,15.9,15.1,15.35,15.6,14.5,99700
2019-04-16,15.8,15.0,15.7,15.25,14.18,20500
2019-04-17,15.4,15.0,15.05,15.0,13.94,131610
2019-04-18,15.0,14.6,15.0,14.6,13.57,109570
2019-04-19,15.0,14.5,14.9,14.9,13.85,42830
2019-04-22,15.0,14.5,14.5,14.6,13.57,71150
2019-04-23,14.9,14.55,14.55,14.6,13.57,70640
2019-04-24,15.0,14.6,14.6,14.65,13.62,74430
2019-04-25,15.65,14.65,14.65,15.0,13.94,174610
2019-04-26,15.6,15.0,15.4,15.15,14.08,7330
2019-05-02,15.9,15.0,15.15,15.55,14.45,109090
2019-05-03,15.8,15.1,15.8,15.4,14.32,75440
2019-05-06,15.4,14.8,15.4,15.2,14.13,56300
2019-05-07,15.4,14.95,15.0,15.4,14.32,84600
2019-05-08,15.4,15.1,15.25,15.4,14.32,17710
2019-05-09,15.4,15.0,15.4,15.0,13.94,34800
2019-05-10,15.1,14.65,14.65,15.05,13.99,121480
2019-05-13,16.0,14.8,15.05,15.95,14.83,187140
2019-05-14,16.85,15.45,15.95,16.75,15.57,521800
2019-05-15,16.95,16.3,16.5,16.7,15.52,193830
2019-05-16,17.5,16.6,16.7,16.7,15.52,410160
2019-05-17,16.85,16.35,16.5,16.45,15.29,220960
2019-05-20,17.6,16.3,16.3,17.6,16.36,883300
2019-05-21,18.4,17.6,17.6,17.8,16.55,373120
2019-05-22,18.3,17.8,17.9,17.9,16.64,375670
2019-05-23,17.95,17.55,17.6,17.6,16.36,395790
2019-05-24,18.7,17.5,17.55,18.3,17.01,623620
2019-05-27,19.2,18.3,18.3,19.2,17.85,308580
2019-05-28,20.0,19.2,19.4,19.75,18.36,504660
2019-05-29,19.6,19.15,19.6,19.35,17.99,272840
2019-05-30,19.3,18.7,19.1,18.8,17.48,365660
2019-05-31,19.4,18.2,18.7,18.2,16.92,369550
2019-06-03,18.9,18.0,18.2,18.2,16.92,175170
2019-06-04,18.8,18.3,18.65,18.8,17.48,160300
2019-06-05,19.8,18.85,19.1,18.85,17.52,293910
2019-06-06,19.5,18.85,18.85,19.2,17.85,243990
2019-06-07,20.5,19.25,19.25,20.5,19.06,1007580
2019-06-10,21.4,20.4,20.9,20.95,19.47,346910
2019-06-11,21.5,20.5,21.2,20.8,19.33,328710
2019-06-12,20.9,19.8,20.8,19.8,18.41,356370
2019-06-13,20.7,19.9,19.95,20.2,18.78,287650
2019-06-14,20.55,19.3,20.55,19.3,17.94,372210
2019-06-17,19.8,19.15,19.3,19.3,17.94,197970
2019-06-18,19.9,19.2,19.2,19.8,18.41,230990
2019-06-19,20.3,19.7,20.3,20.3,18.87,161740
2019-06-20,20.4,19.8,20.3,19.8,18.41,255020
2019-06-21,20.1,19.65,19.65,19.65,18.27,154830
2019-06-24,19.9,19.5,19.5,19.6,18.22,165280
2019-06-25,19.85,19.0,19.7,19.0,17.66,245610
2019-06-26,19.0,18.3,18.6,18.6,17.29,516810
2019-06-27,18.9,18.45,18.6,18.6,17.29,111790
2019-06-28,18.65,18.1,18.3,18.3,17.01,182890
2019-07-01,19.4,18.5,19.2,19.2,17.85,181060
2019-07-02,19.45,18.95,19.15,19.15,17.8,238240
2019-07-03,19.3,18.95,19.15,19.15,17.8,127700
2019-07-04,20.45,19.15,19.15,20.45,19.01,701070
2019-07-05,21.1,20.55,21.0,21.0,19.52,741210
2019-07-08,21.35,20.8,21.0,21.0,19.52,390280
2019-07-09,21.1,20.65,20.9,21.1,19.61,323330
2019-07-10,22.55,21.3,21.3,22.55,20.96,649580
2019-07-11,23.1,22.1,23.0,22.5,20.92,382990
2019-07-12,23.55,22.2,22.8,22.5,20.92,344230
2019-07-15,23.3,22.5,22.8,22.5,20.92,454610
2019-07-16,22.95,21.7,22.6,21.7,20.17,378030
2019-07-17,22.1,21.3,21.7,21.65,20.12,185740
