Date,High,Low,Open,Close,adjust,Volume
2017-05-26,16.9,12.8,12.8,15.5,5.07,4343680
2017-05-29,16.0,14.5,16.0,14.5,4.74,1043875
2017-05-30,15.5,14.2,14.2,15.5,5.07,3730020
2017-05-31,16.0,15.5,15.5,15.8,5.17,217970
2017-06-01,16.3,15.8,15.85,15.8,5.17,185790
2017-06-02,15.7,15.1,15.3,15.3,5.01,106380
2017-06-05,15.8,14.5,15.0,15.1,4.94,323430
2017-06-06,15.35,15.0,15.1,15.1,4.94,525100
2017-06-07,15.5,15.1,15.5,15.1,4.94,431010
2017-06-08,15.4,15.0,15.2,15.2,4.97,352290
2017-06-09,16.25,15.15,15.6,16.25,5.32,978270
2017-06-12,17.1,16.25,17.1,16.8,5.5,247680
2017-06-13,17.7,16.6,17.7,16.8,5.5,384320
2017-06-14,16.9,16.5,16.5,16.8,5.5,275460
2017-06-15,17.1,16.0,16.8,16.8,5.5,503990
2017-06-16,17.2,16.55,16.6,17.2,5.63,194300
2017-06-19,17.0,16.7,16.8,16.7,5.46,62890
2017-06-20,16.8,16.5,16.6,16.7,5.46,759926
2017-06-21,17.0,16.7,16.8,16.8,5.5,79650
2017-06-22,17.95,17.1,17.1,17.8,5.82,237730
2017-06-23,17.9,17.65,17.65,17.8,5.82,144270
2017-06-26,18.0,17.05,17.05,17.7,5.79,212320
2017-06-27,18.2,17.5,17.6,17.7,5.79,251940
2017-06-28,18.2,17.5,17.7,18.0,5.89,244480
2017-06-29,18.1,17.6,18.0,17.95,5.87,145810
2017-06-30,17.95,17.6,17.95,17.95,5.87,529220
2017-07-03,18.2,17.7,17.75,17.95,5.87,191870
2017-07-04,18.0,17.65,17.7,17.65,5.77,140600
2017-07-05,17.8,16.4,17.5,17.65,6.12,238610
2017-07-06,18.5,17.4,17.4,17.8,6.17,184470
2017-07-07,18.0,17.5,17.6,17.7,6.14,56910
2017-07-10,17.7,16.95,17.7,17.5,6.07,143180
2017-07-11,17.4,16.9,17.2,17.3,6.0,115030
2017-07-12,17.5,16.8,17.2,17.4,6.03,344820
2017-07-13,17.5,16.95,17.4,17.4,6.03,235920
2017-07-14,17.4,16.85,17.4,16.85,5.84,183620
2017-07-17,16.9,16.5,16.85,16.8,5.83,243970
2017-07-18,16.85,16.4,16.8,16.7,5.79,129150
2017-07-19,16.9,16.4,16.7,16.8,5.83,153530
2017-07-20,16.95,16.4,16.5,16.8,5.83,124950
2017-07-21,16.85,16.1,16.5,16.65,5.77,65060
2017-07-24,16.65,15.6,16.2,16.65,5.77,130450
2017-07-25,16.65,16.05,16.65,16.4,5.69,77200
2017-07-26,16.7,16.0,16.4,16.5,5.72,139690
2017-07-27,16.7,16.0,16.5,16.5,5.72,124780
2017-07-28,16.5,15.9,16.5,16.3,5.65,70250
2017-07-31,16.35,15.8,16.0,16.35,5.67,159740
2017-08-01,16.8,16.35,16.5,16.45,5.71,187260
2017-08-02,16.45,16.0,16.3,16.3,5.65,115820
2017-08-03,16.4,16.2,16.3,16.3,5.65,205020
2017-08-04,16.75,16.2,16.3,16.35,5.67,156120
2017-08-07,16.4,15.9,16.1,15.9,5.51,136710
2017-08-08,16.0,15.6,16.0,15.7,5.44,116440
2017-08-09,15.8,15.5,15.6,15.7,5.44,78190
2017-08-10,15.75,15.5,15.5,15.7,5.44,67230
2017-08-11,16.0,15.3,15.5,15.7,5.44,269580
2017-08-14,15.7,15.5,15.7,15.6,5.41,133400
2017-08-15,15.6,15.3,15.6,15.6,5.41,113600
2017-08-16,15.6,15.4,15.5,15.6,5.41,241600
2017-08-17,15.6,15.4,15.6,15.5,5.38,165200
2017-08-18,15.5,15.3,15.5,15.5,5.38,33300
2017-08-21,16.0,15.4,15.5,15.9,5.51,400820
2017-08-22,15.9,15.5,15.5,15.9,5.51,52600
2017-08-23,16.0,15.8,15.9,15.95,5.53,59110
2017-08-24,16.0,15.6,15.9,16.0,5.55,45270
2017-08-25,16.2,15.7,15.7,16.0,5.55,53920
2017-08-28,16.2,15.8,15.8,16.1,5.58,159220
2017-08-29,16.2,15.75,15.75,16.2,5.62,200860
2017-08-30,16.5,15.9,16.5,16.0,5.55,66470
2017-08-31,16.5,15.95,16.0,16.5,5.72,540540
2017-09-01,17.65,16.1,16.1,17.65,6.12,636400
2017-09-05,18.8,17.8,18.0,18.7,6.49,331550
2017-09-06,18.7,18.0,18.65,18.25,6.33,221100
2017-09-07,18.6,17.7,17.7,18.6,6.45,303450
2017-09-08,18.6,18.0,18.6,18.6,6.45,160350
2017-09-11,18.6,18.1,18.3,18.3,6.35,140070
2017-09-12,18.5,17.9,17.95,18.5,6.42,201290
2017-09-13,18.85,18.3,18.3,18.85,6.54,244930
2017-09-14,19.0,18.75,18.85,19.0,6.59,171930
2017-09-15,19.0,18.7,18.9,19.0,6.59,103200
2017-09-18,19.7,18.9,19.0,19.6,6.8,195420
2017-09-19,19.6,19.0,19.6,19.4,6.73,140570
2017-09-20,19.5,19.0,19.4,19.15,6.64,178270
2017-09-21,19.25,18.75,19.1,18.8,6.52,168340
2017-09-22,19.1,18.6,18.6,18.95,6.57,188530
2017-09-25,19.4,18.8,19.0,19.1,6.62,193910
2017-09-26,19.4,18.7,19.1,19.2,6.66,171250
2017-09-27,19.25,18.8,19.1,19.25,6.68,130720
2017-09-28,19.4,18.95,19.25,19.0,6.59,124140
2017-09-29,19.2,18.8,18.9,19.05,6.61,191910
2017-10-02,19.1,18.2,19.05,18.2,6.31,109090
2017-10-03,18.5,17.95,18.15,18.45,6.4,122690
2017-10-04,18.7,18.4,18.4,18.6,6.45,102630
2017-10-05,19.0,18.6,18.6,18.8,6.52,112380
2017-10-06,19.0,18.7,18.7,18.9,6.55,105100
2017-10-09,19.1,18.8,18.8,18.95,6.57,141260
2017-10-10,19.0,18.5,19.0,18.7,6.49,149310
2017-10-11,18.9,18.6,18.6,18.6,6.45,124800
2017-10-12,18.7,18.4,18.5,18.5,6.42,214470
2017-10-13,18.6,18.35,18.4,18.45,6.4,90880
2017-10-16,18.5,18.3,18.45,18.45,6.4,52260
2017-10-17,18.45,18.0,18.45,18.2,6.31,64310
2017-10-18,18.2,17.8,18.2,18.0,6.24,48320
2017-10-19,18.1,17.5,18.0,18.0,6.24,45410
2017-10-20,18.4,17.9,18.0,18.0,6.24,45890
2017-10-23,18.3,17.2,17.9,17.9,6.21,217740
2017-10-24,18.0,17.5,17.9,17.7,6.14,41020
2017-10-25,17.8,17.5,17.7,17.5,6.07,39250
2017-10-26,17.65,17.3,17.5,17.4,6.03,35960
2017-10-27,17.45,16.7,17.4,17.1,5.93,27720
2017-10-30,17.3,16.8,17.1,16.8,5.83,120450
2017-10-31,16.9,16.5,16.8,16.8,5.83,10960
2017-11-01,16.9,16.8,16.8,16.8,5.83,2670
2017-11-02,16.9,16.4,16.7,16.9,5.86,6730
2017-11-03,18.0,16.9,16.9,18.0,6.24,48560
2017-11-06,18.1,17.7,18.0,17.8,6.17,14310
2017-11-07,17.9,17.4,17.7,17.8,6.17,106540
2017-11-08,18.0,17.6,17.8,17.9,6.21,100730
2017-11-09,17.9,17.6,17.8,17.6,6.1,103280
2017-11-10,17.6,16.9,17.5,17.6,6.1,193030
2017-11-13,17.5,16.5,17.5,17.0,5.9,214400
2017-11-14,17.4,17.0,17.0,17.4,6.03,2350
2017-11-15,17.6,17.1,17.2,17.2,5.97,11690
2017-11-16,17.4,16.9,17.2,17.3,6.0,4400
2017-11-17,17.4,17.2,17.2,17.4,6.03,44560
2017-11-20,17.6,17.0,17.4,17.5,6.07,246630
2017-11-21,17.6,17.1,17.4,17.5,6.07,61210
2017-11-22,17.5,17.3,17.5,17.4,6.03,26240
2017-11-23,17.5,17.2,17.4,17.4,6.03,2019490
2017-11-24,17.4,17.0,17.4,17.0,5.9,148080
2017-11-27,17.4,17.0,17.0,17.4,6.03,25850
