Date,High,Low,Open,Close,adjust,Volume
2016-10-05,18.0,18.0,18.0,18.0,9.24,205890
2016-10-06,19.25,19.25,19.25,19.25,9.88,14250
2016-10-07,20.55,20.55,20.55,20.55,10.55,30910
2016-10-10,21.95,21.95,21.95,21.95,11.27,450360
2016-10-11,23.45,23.45,23.45,23.45,12.04,799790
2016-10-12,25.05,25.05,25.05,25.05,12.86,1130610
2016-10-13,26.8,26.75,26.8,26.8,13.76,3145880
2016-10-14,28.65,28.0,28.5,28.65,14.71,2242380
2016-10-17,30.65,30.4,30.6,30.65,15.74,1428260
2016-10-18,32.75,32.7,32.75,32.75,16.81,1439460
2016-10-19,34.95,30.5,34.95,30.5,15.66,1389260
2016-10-20,28.4,28.4,28.4,28.4,14.58,805310
2016-10-21,29.55,26.45,26.45,29.0,14.89,3892820
2016-10-24,29.85,29.05,29.1,29.65,15.22,1239320
2016-10-25,30.6,27.9,29.75,28.45,14.61,1387380
2016-10-26,28.5,26.55,27.0,28.5,14.63,2192960
2016-10-27,29.85,28.65,28.65,29.8,15.3,1137290
2016-10-28,30.4,28.1,28.1,30.2,15.51,1771130
2016-10-31,29.85,28.1,28.3,28.3,14.53,557560
2016-11-01,28.8,26.35,26.7,28.3,14.53,941280
2016-11-02,28.35,26.35,28.35,26.35,13.53,733570
2016-11-03,25.4,24.55,24.55,24.55,12.6,280160
2016-11-04,23.95,22.85,22.85,23.7,12.17,1020320
2016-11-07,24.0,22.05,23.0,22.05,11.32,179850
2016-11-08,23.55,20.55,20.55,23.55,12.09,1175430
2016-11-09,24.55,22.5,23.65,23.85,12.25,1376620
2016-11-10,25.5,23.9,23.95,23.9,12.27,617110
2016-11-11,23.9,22.25,22.5,22.25,11.42,610960
2016-11-14,22.1,21.0,22.0,21.85,11.22,910960
2016-11-15,22.35,21.9,21.9,22.3,11.45,717210
2016-11-16,22.95,22.4,22.4,22.6,11.6,1183670
2016-11-17,22.6,22.0,22.0,22.3,11.45,775880
2016-11-18,23.45,22.4,22.4,23.3,11.96,1545900
2016-11-21,24.8,23.35,23.5,23.35,11.99,265960
2016-11-22,23.85,23.35,23.35,23.45,12.04,1039110
2016-11-23,23.8,21.85,23.45,22.2,11.4,352320
2016-11-24,22.45,21.0,22.2,21.2,10.88,282950
2016-11-25,21.4,19.8,21.2,20.5,10.53,260410
2016-11-28,20.6,19.1,20.55,19.3,9.91,164100
2016-11-29,20.65,18.05,18.1,20.65,10.6,377890
