Date,High,Low,Open,Close,adjust,Volume
2012-01-03,16.0,16.0,16.0,16.0,3.88,580
2012-01-04,16.4,16.0,16.0,16.4,3.98,1350
2012-01-05,16.5,16.0,16.5,16.0,3.88,1010
2012-01-06,16.0,15.9,16.0,16.0,3.88,7910
2012-01-09,16.0,15.8,15.9,16.0,3.88,2260
2012-01-10,16.0,16.0,16.0,16.0,3.88,30
2012-01-11,16.0,16.0,16.0,16.0,3.88,10000
2012-01-12,16.0,16.0,16.0,16.0,3.88,5810
2012-01-13,16.5,16.0,16.0,16.5,4.0,3550
2012-01-16,17.3,16.0,16.0,17.2,4.17,13740
2012-01-17,17.2,17.2,17.2,17.2,4.17,100
2012-01-18,17.2,17.2,17.2,17.2,4.17,0
2012-01-19,17.4,17.2,17.2,17.4,4.22,2970
2012-01-20,17.4,17.3,17.3,17.4,4.22,40
2012-01-30,17.0,17.0,17.0,17.0,4.13,240
2012-01-31,17.0,16.9,17.0,16.9,4.1,3950
2012-02-01,16.8,16.8,16.8,16.8,4.08,1700
2012-02-02,17.4,17.0,17.0,17.0,4.13,4550
2012-02-03,17.5,17.0,17.3,17.0,4.13,42970
2012-02-06,17.0,17.0,17.0,17.0,4.13,10
2012-02-07,17.1,17.0,17.1,17.0,4.13,4450
2012-02-08,17.0,16.9,16.9,17.0,4.13,12540
2012-02-09,17.3,16.9,17.3,17.0,4.13,3770
2012-02-10,17.0,16.8,17.0,16.8,4.08,6200
2012-02-13,16.8,16.8,16.8,16.8,4.08,0
2012-02-14,17.5,17.0,17.0,17.5,4.25,226677
2012-02-15,17.8,17.5,17.8,17.6,4.27,32140
2012-02-16,17.8,17.5,17.6,17.8,4.32,25170
2012-02-17,18.1,17.5,18.0,18.0,4.37,31850
2012-02-20,18.9,18.0,18.0,18.6,4.51,47820
2012-02-21,19.3,18.0,18.5,18.0,4.37,3860
2012-02-22,18.7,18.0,18.1,18.7,4.54,46910
2012-02-23,19.5,18.6,18.6,18.9,4.59,114830
2012-02-24,17.7,17.0,17.6,17.5,4.69,38700
2012-02-27,18.0,17.0,18.0,17.5,4.69,4440
2012-02-28,17.4,17.0,17.4,17.3,4.64,12600
2012-02-29,17.3,17.0,17.3,17.0,4.56,21470
2012-03-01,17.4,16.6,16.6,17.1,4.59,34450
2012-03-02,17.3,16.9,16.9,17.3,4.64,20
2012-03-05,18.1,17.3,17.3,18.1,4.85,67450
2012-03-06,18.5,17.3,18.5,17.3,4.64,15470
2012-03-07,17.7,17.1,17.1,17.5,4.69,6010
2012-03-08,17.1,16.9,17.1,16.9,4.53,8480
2012-03-09,17.0,16.5,16.6,17.0,4.56,1810
2012-03-12,16.9,16.5,16.5,16.9,4.53,5220
2012-03-13,17.0,16.2,16.2,16.9,4.53,46840
2012-03-14,16.7,16.7,16.7,16.7,4.48,140
2012-03-15,16.9,16.9,16.9,16.9,4.53,500
2012-03-16,17.1,17.0,17.0,17.0,4.56,16630
2012-03-19,16.9,16.9,16.9,16.9,4.53,400
2012-03-20,17.0,16.7,16.7,17.0,4.56,1190
2012-03-21,17.2,16.9,17.0,17.0,4.56,15860
2012-03-22,17.5,16.9,17.0,17.2,4.61,14830
