Date,High,Low,Open,Close,adjust,Volume
2012-01-03,8.7,8.4,8.4,8.7,3.19,16010
2012-01-04,8.7,8.3,8.7,8.3,3.05,32770
2012-01-05,8.4,7.9,7.9,8.0,2.94,44690
2012-01-06,8.0,7.7,8.0,8.0,2.94,3090
2012-01-09,8.2,7.9,8.2,8.0,2.94,16540
2012-01-10,8.4,8.1,8.1,8.4,3.08,71160
2012-01-11,8.6,8.2,8.2,8.4,3.08,30790
2012-01-12,8.7,8.5,8.5,8.5,3.12,25300
2012-01-13,8.6,8.5,8.6,8.6,3.16,15090
2012-01-16,8.8,8.6,8.7,8.6,3.16,813290
2012-01-17,8.6,8.5,8.6,8.6,3.16,13430
2012-01-18,8.6,8.3,8.3,8.5,3.12,37580
2012-01-19,8.7,8.6,8.7,8.7,3.19,12820
2012-01-20,9.0,8.7,8.7,9.0,3.3,56420
2012-01-30,9.1,8.6,8.6,9.0,3.3,119270
2012-01-31,9.1,8.8,8.8,9.0,3.3,108160
2012-02-01,9.0,8.7,8.7,9.0,3.3,1500
2012-02-02,9.4,9.0,9.0,9.4,3.45,46920
2012-02-03,9.8,9.0,9.3,9.0,3.3,41580
2012-02-06,9.0,8.7,9.0,8.8,3.23,25530
2012-02-07,9.2,8.7,8.7,9.2,3.38,125580
2012-02-08,9.6,9.4,9.6,9.6,3.52,43860
2012-02-09,9.6,9.4,9.4,9.6,3.52,22880
2012-02-10,9.5,9.2,9.3,9.2,3.38,31170
2012-02-13,9.2,8.8,9.1,9.2,3.38,8580
2012-02-14,9.3,8.9,9.3,9.1,3.34,11960
2012-02-15,9.2,9.0,9.2,9.1,3.34,11780
2012-02-16,9.2,8.9,9.1,8.9,3.27,6820
2012-02-17,9.0,9.0,9.0,9.0,3.3,9420
2012-02-20,9.3,9.0,9.1,9.1,3.34,62250
2012-02-21,9.4,9.0,9.4,9.1,3.34,55420
2012-02-22,9.4,9.0,9.2,9.3,3.41,32530
2012-02-23,9.5,9.3,9.3,9.4,3.45,19160
2012-02-24,9.8,9.2,9.4,9.8,3.6,170720
2012-02-27,10.2,9.9,10.1,10.2,3.74,67640
2012-02-28,10.7,10.3,10.7,10.3,3.78,82980
2012-02-29,10.5,10.1,10.1,10.5,3.85,32580
2012-03-01,10.4,10.0,10.2,10.3,3.78,90060
2012-03-02,10.4,10.0,10.2,10.3,3.78,18290
2012-03-05,10.8,10.3,10.3,10.8,3.96,121990
2012-03-06,11.3,10.4,11.3,10.6,3.89,41440
2012-03-07,10.8,10.3,10.4,10.6,3.89,29410
2012-03-08,10.4,10.1,10.3,10.1,3.71,57880
2012-03-09,10.2,9.8,10.2,10.0,3.67,35960
2012-03-12,10.2,9.8,9.8,10.0,3.67,25580
2012-03-13,10.3,9.8,10.0,10.2,3.74,2160
2012-03-14,10.4,9.9,10.4,10.0,3.67,8160
2012-03-15,10.4,9.7,10.0,10.3,3.78,28920
2012-03-16,10.5,10.1,10.3,10.1,3.71,23000
2012-03-19,10.2,9.8,10.1,10.2,3.74,12890
2012-03-20,10.3,10.0,10.0,10.2,3.74,11490
2012-03-21,10.6,10.0,10.0,10.6,3.89,57060
2012-03-22,10.5,10.2,10.5,10.4,3.82,18780
2012-03-23,10.6,10.4,10.4,10.6,3.89,93490
2012-03-26,11.1,10.3,10.6,11.1,4.07,201570
2012-03-27,11.6,11.1,11.5,11.1,4.07,177060
2012-03-28,11.4,11.0,11.4,11.2,4.11,8970
2012-03-29,11.2,10.7,10.8,10.7,3.93,30970
2012-03-30,10.6,10.2,10.4,10.3,3.78,75980
2012-04-03,10.4,10.0,10.0,10.3,3.78,14440
2012-04-04,10.6,10.2,10.2,10.4,3.82,126110
2012-04-05,10.9,10.4,10.6,10.9,4.0,243890
2012-04-06,11.3,10.8,11.0,10.9,4.0,213920
2012-04-09,11.1,10.6,10.6,11.0,4.04,82210
2012-04-10,11.2,10.7,10.8,10.7,3.93,25090
2012-04-11,10.9,10.5,10.7,10.9,4.0,280040
2012-04-12,11.4,10.9,11.2,11.3,4.15,252710
2012-04-13,11.4,10.9,11.3,11.1,4.07,200350
2012-04-16,11.6,11.1,11.1,11.6,4.26,394470
2012-04-17,12.1,11.9,12.0,12.1,4.44,634640
2012-04-18,12.7,12.1,12.4,12.7,4.66,790800
2012-04-19,13.0,12.1,12.7,12.1,4.44,317130
2012-04-20,12.3,11.5,11.8,11.9,4.37,423880
2012-04-23,12.0,11.6,11.9,11.6,4.26,374930
2012-04-24,12.0,11.1,11.5,11.9,4.37,431840
2012-04-25,12.4,11.9,11.9,12.4,4.55,381850
2012-04-26,12.8,12.1,12.7,12.1,4.44,476950
2012-04-27,12.3,11.7,11.7,12.1,4.44,512220
2012-05-02,11.9,11.5,11.5,11.5,4.22,711290
2012-05-03,12.0,11.4,11.4,12.0,4.4,548520
2012-05-04,12.5,12.0,12.3,12.5,4.59,379390
2012-05-07,12.7,12.2,12.7,12.6,4.62,375440
2012-05-08,13.2,12.4,12.6,13.1,4.81,1158350
2012-05-09,13.7,13.1,13.4,13.7,5.03,645460
2012-05-10,14.2,13.6,14.2,13.6,4.99,609490
2012-05-11,13.6,13.0,13.4,13.0,4.77,453210
2012-05-14,12.9,12.4,12.8,12.4,4.55,337550
2012-05-15,12.2,11.8,11.9,11.8,4.33,366160
2012-05-16,11.9,11.3,11.8,11.3,4.15,424960
2012-05-17,11.7,11.0,11.7,11.0,4.04,334940
2012-05-18,10.8,10.5,10.6,10.5,3.85,345430
2012-05-21,11.0,10.3,10.3,11.0,4.04,262250
2012-05-22,11.0,10.5,11.0,10.5,3.85,238960
2012-05-23,10.1,10.0,10.1,10.0,3.67,283140
2012-05-24,10.2,9.5,10.2,9.5,3.49,202810
2012-05-25,9.9,9.7,9.8,9.9,3.63,146390
2012-05-28,10.3,10.1,10.3,10.3,3.78,366570
2012-05-29,10.5,10.0,10.3,10.5,3.85,128190
2012-05-30,10.8,10.4,10.5,10.4,3.82,131660
2012-05-31,10.3,10.0,10.3,10.0,3.67,173720
2012-06-01,10.4,9.8,10.3,10.0,3.67,88550
2012-06-04,9.8,9.6,9.8,9.6,3.52,214720
2012-06-05,10.0,9.6,9.6,10.0,3.67,101160
2012-06-06,10.5,10.0,10.1,10.5,3.85,136770
2012-06-07,11.0,10.7,10.7,10.9,4.0,142280
2012-06-08,11.0,10.5,11.0,10.5,3.85,227520
2012-06-11,10.9,10.5,10.8,10.6,3.89,95940
2012-06-12,10.2,9.6,10.2,9.6,3.81,118790
2012-06-13,9.8,9.6,9.8,9.7,3.85,46700
