Date,High,Low,Open,Close,adjust,Volume
2012-02-27,10.5,10.3,10.5,10.3,3.65,20000
2012-02-28,10.3,10.0,10.0,10.3,3.65,945060
2012-02-29,10.3,10.3,10.3,10.3,3.65,10
2012-03-01,10.3,10.3,10.3,10.3,3.65,0
2012-03-02,10.5,10.5,10.5,10.5,3.72,100
2012-03-05,10.3,10.0,10.0,10.0,3.55,36620
2012-03-06,10.0,10.0,10.0,10.0,3.55,0
2012-03-07,10.5,9.5,10.5,9.5,3.37,40
2012-03-08,9.9,9.5,9.9,9.5,3.37,540
2012-03-09,9.9,9.5,9.5,9.9,3.51,50
2012-03-12,10.2,10.2,10.2,10.2,3.62,20
2012-03-13,10.4,10.4,10.4,10.4,3.69,50
2012-03-14,10.6,10.1,10.4,10.1,3.58,90
2012-03-15,10.2,10.0,10.0,10.2,3.62,1853597
2012-03-16,10.2,9.7,9.7,10.2,3.62,15010
2012-03-19,10.0,10.0,10.0,10.0,3.55,36164
2012-03-20,10.0,9.5,9.5,9.9,3.51,120
2012-03-21,10.0,10.0,10.0,10.0,3.55,10
2012-03-22,10.0,9.5,9.5,10.0,3.55,1120
2012-03-23,10.0,9.5,9.5,10.0,3.55,470
2012-03-26,10.0,10.0,10.0,10.0,3.55,0
2012-03-27,10.0,10.0,10.0,10.0,3.55,0
2012-03-28,10.1,10.0,10.1,10.0,3.55,3000
2012-03-29,10.0,9.9,9.9,10.0,3.55,12470
2012-03-30,10.0,10.0,10.0,10.0,3.55,0
2012-04-03,10.0,9.5,9.5,10.0,3.55,32600
2012-04-04,9.5,9.5,9.5,9.5,3.55,0
2012-04-05,9.9,9.9,9.9,9.9,3.7,10
2012-04-06,10.3,10.1,10.3,10.1,3.77,220
2012-04-09,10.3,9.6,9.6,10.3,3.85,5230
2012-04-10,10.3,10.3,10.3,10.3,3.85,0
2012-04-11,10.3,10.3,10.3,10.3,3.85,250
2012-04-12,10.3,10.3,10.3,10.3,3.85,0
2012-04-13,10.4,10.4,10.4,10.4,3.88,10
2012-04-16,10.4,10.4,10.4,10.4,3.88,0
2012-04-17,10.2,10.2,10.2,10.2,3.81,17610
2012-04-18,10.0,10.0,10.0,10.0,3.73,3000
2012-04-19,10.0,9.5,9.5,10.0,3.73,5070
2012-04-20,10.0,10.0,10.0,10.0,3.73,0
2012-04-23,9.9,9.5,9.5,9.9,3.7,3010
2012-04-24,9.9,9.8,9.8,9.9,3.7,10010
2012-04-25,9.8,9.8,9.8,9.8,3.66,10
2012-04-26,10.2,10.2,10.2,10.2,3.81,10
2012-04-27,9.9,9.8,9.8,9.9,3.7,4930
2012-05-02,9.9,9.7,9.7,9.9,3.7,20
2012-05-03,10.3,10.0,10.0,10.3,3.85,16820
2012-05-04,10.0,10.0,10.0,10.0,3.73,3030
2012-05-07,9.9,9.7,9.9,9.9,3.7,8590
2012-05-08,9.8,9.5,9.6,9.6,3.58,5170
2012-05-09,10.0,9.2,9.6,9.2,3.44,4660
2012-05-10,9.6,9.2,9.6,9.6,3.58,3260
2012-05-11,10.0,9.6,9.6,10.0,3.73,5430
2012-05-14,10.0,9.5,10.0,9.9,3.7,24010
2012-05-15,9.8,9.8,9.8,9.8,3.66,5000
2012-05-16,9.8,9.4,9.4,9.8,3.66,6120
2012-05-17,9.8,9.5,9.8,9.8,3.66,4010
2012-05-18,9.8,9.8,9.8,9.8,3.66,5000
2012-05-21,9.8,9.4,9.4,9.8,3.66,5000
2012-05-22,9.8,9.8,9.8,9.8,3.66,5000
2012-05-23,9.8,9.8,9.8,9.8,3.66,5000
2012-05-24,9.8,9.4,9.8,9.4,3.51,5300
2012-05-25,9.4,9.1,9.1,9.4,3.51,6000
