Date,High,Low,Open,Close,adjust,Volume
2012-01-03,5.3,5.2,5.3,5.3,3.88,8510
2012-01-04,5.4,5.4,5.4,5.4,3.95,490
2012-01-05,5.4,5.2,5.4,5.2,3.81,23340
2012-01-06,5.3,5.1,5.1,5.3,3.88,7700
2012-01-09,5.4,5.1,5.4,5.1,3.73,1270
2012-01-10,5.3,5.1,5.2,5.1,3.73,860
2012-01-11,5.3,5.2,5.3,5.2,3.81,4040
2012-01-12,5.3,5.2,5.3,5.3,3.88,10110
2012-01-13,5.3,5.3,5.3,5.3,3.88,68960
2012-01-16,5.4,5.4,5.4,5.4,3.95,4130
2012-01-17,5.4,5.4,5.4,5.4,3.95,5170
2012-01-18,5.5,5.4,5.4,5.5,4.03,1420
2012-01-19,5.6,5.5,5.5,5.6,4.1,2010
2012-01-20,5.8,5.5,5.5,5.8,4.25,23420
2012-01-30,6.0,5.9,6.0,5.9,4.32,670
2012-01-31,6.1,5.9,5.9,6.1,4.47,16170
2012-02-01,6.0,5.8,6.0,5.8,4.25,38220
2012-02-02,5.9,5.7,5.8,5.9,4.32,13350
2012-02-03,6.1,5.8,6.1,6.0,4.39,14710
2012-02-06,6.0,5.8,6.0,6.0,4.39,3900
2012-02-07,6.0,5.7,5.8,5.7,4.17,27940
2012-02-08,5.9,5.6,5.7,5.9,4.32,69380
2012-02-09,6.0,5.8,5.8,5.9,4.32,1850
2012-02-10,5.9,5.7,5.8,5.7,4.17,15760
2012-02-13,5.7,5.6,5.7,5.6,4.1,9640
2012-02-14,5.6,5.5,5.5,5.6,4.1,730
2012-02-15,5.6,5.5,5.5,5.5,4.03,8420
2012-02-16,5.7,5.5,5.5,5.7,4.17,910
2012-02-17,5.8,5.7,5.8,5.8,4.25,200
2012-02-20,6.0,5.8,6.0,5.9,4.32,15650
2012-02-21,6.0,5.9,5.9,5.9,4.32,3760
2012-02-22,6.0,5.8,5.8,5.9,4.32,4890
2012-02-23,6.0,5.9,5.9,6.0,4.39,3130
2012-02-24,6.2,6.0,6.1,6.1,4.47,7120
2012-02-27,6.3,6.1,6.3,6.1,4.47,3150
2012-02-28,6.3,5.9,6.0,6.3,4.61,7340
2012-02-29,6.2,6.1,6.2,6.2,4.54,4720
2012-03-01,6.3,6.1,6.3,6.2,4.54,3680
2012-03-02,6.3,6.1,6.2,6.3,4.61,18070
2012-03-05,6.6,6.3,6.3,6.6,4.83,19910
2012-03-06,6.9,6.4,6.9,6.7,4.91,31770
2012-03-07,6.7,6.4,6.5,6.7,4.91,28220
2012-03-08,6.7,6.4,6.7,6.4,4.69,13260
2012-03-09,6.7,6.2,6.2,6.7,4.91,16510
2012-03-12,6.6,6.4,6.6,6.6,4.83,44730
2012-03-13,6.5,6.5,6.5,6.5,4.76,2880
