Date,High,Low,Open,Close,adjust,Volume
2012-01-03,45.0,45.0,45.0,45.0,6.91,0
2012-01-04,44.5,44.0,44.4,44.0,6.76,11500
2012-01-05,44.0,43.6,44.0,43.6,6.7,600
2012-01-06,43.7,43.5,43.7,43.5,6.68,10600
2012-01-09,43.4,43.4,43.4,43.4,6.67,100
2012-01-10,44.0,43.7,43.9,43.7,6.71,3800
2012-01-11,44.0,43.8,44.0,44.0,6.76,10400
2012-01-12,44.0,43.8,43.9,44.0,6.76,2600
2012-01-13,44.5,44.2,44.2,44.2,6.79,5700
2012-01-16,45.5,45.1,45.1,45.2,6.94,1600
2012-01-17,46.0,44.9,46.0,44.9,6.9,1300
2012-01-18,45.4,45.4,45.4,45.4,6.97,5300
2012-01-19,45.9,45.6,45.8,45.6,7.0,600
2012-01-20,47.8,46.0,46.0,47.8,7.34,700
2012-01-30,49.0,47.5,48.0,47.5,7.3,1600
2012-01-31,52.0,49.0,49.0,51.9,7.97,8800
2012-02-01,51.0,49.7,49.7,51.0,7.83,500
2012-02-02,50.2,48.0,49.1,50.2,7.71,2500
2012-02-03,51.8,51.8,51.8,51.8,7.96,100
2012-02-06,49.5,49.0,49.5,49.5,7.6,1000
2012-02-07,51.6,51.0,51.5,51.6,7.92,600
2012-02-08,55.1,51.9,52.2,51.9,7.97,700
2012-02-09,52.4,51.5,51.9,51.9,7.97,4800
2012-02-10,52.5,51.0,51.5,51.0,7.83,2800
2012-02-13,50.8,47.9,50.8,47.9,7.36,3800
2012-02-14,49.8,49.7,49.8,49.7,7.63,1400
2012-02-15,51.5,49.0,49.8,49.1,7.54,2600
2012-02-16,49.5,49.2,49.3,49.4,7.59,3600
2012-02-17,52.8,49.6,52.8,49.6,7.62,2700
2012-02-20,52.0,50.0,52.0,50.5,7.76,1500
2012-02-21,50.1,49.5,50.0,49.5,7.6,5400
2012-02-22,51.0,49.8,49.8,51.0,7.83,2100
2012-02-23,51.0,50.7,50.7,50.8,7.8,1300
2012-02-24,53.0,51.0,52.9,51.0,7.83,7600
2012-02-27,55.0,52.6,55.0,53.0,8.14,2800
2012-02-28,54.0,53.1,54.0,54.0,8.29,7400
2012-02-29,55.0,53.5,55.0,53.5,8.22,1800
2012-03-01,54.2,53.7,53.8,54.0,8.29,9500
2012-03-02,54.5,53.8,53.8,54.5,8.37,8600
2012-03-05,58.0,55.0,55.0,58.0,8.91,8800
2012-03-06,58.0,55.0,56.4,55.0,8.45,4000
2012-03-07,55.6,55.0,55.2,55.0,8.45,6200
2012-03-08,55.6,54.0,55.0,54.0,8.29,7600
2012-03-09,54.2,54.0,54.0,54.2,8.32,6700
2012-03-12,55.0,54.1,55.0,54.1,8.31,2100
2012-03-13,56.5,54.9,54.9,56.5,8.68,2500
2012-03-14,58.0,57.2,58.0,58.0,8.91,6500
2012-03-15,58.0,57.2,57.2,58.0,8.91,2500
2012-03-16,58.7,58.0,58.0,58.0,8.91,6000
2012-03-19,58.6,58.2,58.6,58.2,8.94,900
2012-03-20,59.0,58.8,59.0,59.0,9.06,1400
2012-03-21,59.0,58.2,59.0,58.3,8.95,3700
2012-03-22,58.6,58.2,58.2,58.2,8.94,7000
2012-03-23,58.7,58.2,58.3,58.2,8.94,3400
2012-03-26,58.8,58.4,58.8,58.5,8.98,3600
