Date,High,Low,Open,Close,adjust,Volume
2017-06-15,14.4,14.4,14.4,14.4,10.07,1541000
2017-06-16,15.4,15.4,15.4,15.4,10.77,708060
2017-06-19,16.0,14.35,16.0,14.35,10.03,335190
2017-06-20,13.35,13.35,13.35,13.35,9.34,35140
2017-06-21,12.45,12.45,12.45,12.45,8.71,29200
2017-06-22,11.6,11.6,11.6,11.6,8.11,6040
2017-06-23,10.8,10.8,10.8,10.8,7.55,1424080
2017-06-26,11.45,10.05,10.05,11.45,8.01,1471710
2017-06-27,11.7,10.65,11.45,10.65,7.45,1287780
2017-06-28,10.45,9.91,9.92,10.4,7.27,1799430
2017-06-29,11.0,10.35,10.4,10.95,7.66,747090
2017-06-30,10.8,10.45,10.7,10.55,7.38,635570
2017-07-03,10.5,10.25,10.5,10.3,7.2,432240
2017-07-04,10.6,10.0,10.3,10.3,7.2,695380
2017-07-05,10.5,10.0,10.3,10.25,7.17,801770
2017-07-06,10.3,10.0,10.25,10.05,7.03,510330
2017-07-07,10.25,9.95,10.05,10.05,7.03,459380
2017-07-10,10.1,10.0,10.05,10.1,7.06,404120
2017-07-11,10.2,10.0,10.1,10.15,7.1,345780
2017-07-12,10.15,10.05,10.1,10.05,7.03,407930
2017-07-13,10.6,10.0,10.0,10.5,7.34,1246500
2017-07-14,11.0,9.77,9.77,10.2,7.13,909290
2017-07-17,10.25,10.15,10.2,10.2,7.13,308780
2017-07-18,10.75,10.05,10.2,10.7,7.48,1787570
2017-07-19,10.75,10.6,10.7,10.65,7.45,161780
2017-07-20,10.65,10.6,10.65,10.6,7.41,202500
2017-07-21,10.65,10.55,10.55,10.6,7.41,384580
2017-07-24,10.6,10.5,10.6,10.55,7.38,142820
2017-07-25,10.6,10.5,10.55,10.55,7.38,130640
2017-07-26,10.55,10.2,10.55,10.25,7.17,160350
2017-07-27,10.25,9.6,10.25,9.6,6.71,109940
2017-07-28,10.25,8.93,9.0,8.94,6.25,119550
2017-07-31,9.56,9.0,9.55,9.3,6.5,237500
2017-08-01,9.95,9.0,9.95,9.95,6.96,247910
2017-08-02,10.5,9.4,10.5,10.25,7.17,140720
2017-08-03,10.4,9.56,9.56,10.2,7.13,185750
2017-08-04,10.2,9.6,10.2,10.2,7.13,200640
2017-08-07,10.85,9.5,9.9,10.85,7.59,830710
2017-08-08,11.6,10.2,10.2,11.6,8.11,386310
2017-08-09,12.4,12.0,12.35,12.4,8.67,1180170
2017-08-10,12.55,12.5,12.55,12.55,8.78,207280
2017-08-11,12.6,12.35,12.55,12.4,8.67,175140
2017-08-14,12.55,12.4,12.4,12.5,8.74,292320
2017-08-15,12.55,12.45,12.5,12.5,8.74,162550
2017-08-16,12.65,12.4,12.45,12.55,8.78,303860
2017-08-17,12.6,12.5,12.5,12.55,8.78,204010
2017-08-18,12.95,12.45,12.6,12.6,8.81,1083010
2017-08-21,13.45,12.5,12.6,13.45,9.41,1427730
2017-08-22,14.3,13.5,13.5,14.3,10.0,793050
2017-08-23,14.3,13.9,14.25,14.0,9.79,336920
2017-08-24,14.55,13.6,13.95,14.5,10.14,922330
2017-08-25,14.5,14.25,14.5,14.3,10.0,218600
2017-08-28,14.55,14.2,14.3,14.4,10.07,617310
2017-08-29,14.5,14.3,14.4,14.35,10.03,291750
2017-08-30,14.5,14.25,14.35,14.35,10.03,261630
2017-08-31,14.5,14.1,14.25,14.35,10.03,474620
2017-09-01,14.45,14.25,14.3,14.4,10.07,180660
2017-09-05,14.6,14.2,14.35,14.45,10.1,354950
