Date,High,Low,Open,Close,adjust,Volume
2012-01-03,7.6,7.6,7.6,7.6,3.84,0
2012-01-04,7.8,7.4,7.4,7.8,3.94,20
2012-01-05,7.9,7.9,7.9,7.9,3.99,40
2012-01-06,7.9,7.9,7.9,7.9,3.99,0
2012-01-09,7.9,7.9,7.9,7.9,3.99,10
2012-01-10,7.9,7.6,7.6,7.9,3.99,20
2012-01-11,7.7,7.7,7.7,7.7,3.89,10
2012-01-12,8.0,8.0,8.0,8.0,4.04,20
2012-01-13,7.7,7.7,7.7,7.7,3.89,10
2012-01-16,7.7,7.7,7.7,7.7,3.89,0
2012-01-17,7.5,7.5,7.5,7.5,3.79,10
2012-01-18,7.5,7.5,7.5,7.5,3.79,0
2012-01-19,7.5,7.5,7.5,7.5,3.79,0
2012-01-20,7.5,7.5,7.5,7.5,3.79,0
2012-01-30,7.8,7.8,7.8,7.8,3.94,140
2012-01-31,7.8,7.8,7.8,7.8,3.94,0
2012-02-01,8.1,8.1,8.1,8.1,4.09,10
2012-02-02,8.5,8.5,8.5,8.5,4.29,3750
2012-02-03,8.9,8.9,8.9,8.9,4.49,20
2012-02-06,9.3,9.3,9.3,9.3,4.69,1520
2012-02-07,9.7,9.7,9.7,9.7,4.9,10
2012-02-08,10.1,10.0,10.0,10.0,5.05,810
2012-02-09,10.5,10.5,10.5,10.5,5.3,10
2012-02-10,11.0,11.0,11.0,11.0,5.55,210
2012-02-13,11.0,11.0,11.0,11.0,5.55,150
2012-02-14,11.0,11.0,11.0,11.0,5.55,0
2012-02-15,10.5,10.5,10.5,10.5,5.3,9500
2012-02-16,10.1,10.1,10.1,10.1,5.1,10
2012-02-17,10.1,10.1,10.1,10.1,5.1,0
2012-02-20,9.7,9.7,9.7,9.7,4.9,10
2012-02-21,9.4,9.4,9.4,9.4,4.74,10
2012-02-22,9.8,9.8,9.8,9.8,4.95,20
2012-02-23,10.2,9.4,9.4,10.2,5.15,20
2012-02-24,10.7,10.7,10.7,10.7,5.4,1300
2012-02-27,11.2,10.2,10.2,11.2,5.65,30
2012-02-28,11.2,10.7,10.7,10.7,5.4,2140
2012-02-29,10.7,10.7,10.7,10.7,5.4,0
2012-03-01,10.7,10.7,10.7,10.7,5.4,0
2012-03-02,10.9,10.7,10.7,10.7,5.4,1010
2012-03-05,11.2,10.7,10.7,11.2,5.65,1010
2012-03-06,11.5,11.5,11.5,11.5,5.8,2000
2012-03-07,11.5,11.5,11.5,11.5,5.8,0
2012-03-08,11.6,11.6,11.6,11.6,5.86,700
2012-03-09,12.1,11.5,12.1,11.6,5.86,120
2012-03-12,12.1,12.1,12.1,12.1,6.11,1000
2012-03-13,12.7,12.2,12.7,12.2,6.16,60
2012-03-14,12.5,12.3,12.5,12.5,6.31,2320
2012-03-15,12.8,11.9,11.9,12.8,6.46,550
2012-03-16,12.9,12.8,12.8,12.9,6.51,1480
2012-03-19,13.3,13.3,13.3,13.3,6.71,50
2012-03-20,13.6,12.8,13.6,12.9,6.51,940
2012-03-21,13.1,12.3,12.3,13.1,6.61,90
2012-03-22,13.2,12.7,13.2,12.7,6.41,110
2012-03-23,12.8,12.5,12.5,12.8,6.46,210
2012-03-26,12.8,12.8,12.8,12.8,6.46,0
2012-03-27,12.8,12.8,12.8,12.8,6.46,0
2012-03-28,13.0,13.0,13.0,13.0,6.56,10
2012-03-29,13.0,13.0,13.0,13.0,6.56,880
2012-03-30,13.6,13.6,13.6,13.6,6.86,10
2012-04-03,13.8,13.8,13.8,13.8,6.97,10
2012-04-04,13.8,13.8,13.8,13.8,6.97,0
2012-04-05,13.8,13.8,13.8,13.8,6.97,0
2012-04-06,14.4,13.8,13.8,14.4,7.27,150
2012-04-09,15.1,14.4,14.4,14.5,7.32,1230
2012-04-10,14.7,14.7,14.7,14.7,7.42,2480
2012-04-11,14.3,14.2,14.3,14.2,7.17,5510
2012-04-12,14.2,14.2,14.2,14.2,7.17,0
2012-04-13,14.7,14.7,14.7,14.7,7.42,10
2012-04-16,15.2,14.0,14.0,15.2,7.67,4480
2012-04-17,15.5,15.5,15.5,15.5,7.82,10
2012-04-18,15.5,15.5,15.5,15.5,7.82,0
2012-04-19,15.5,15.5,15.5,15.5,7.82,0
2012-04-20,15.5,15.5,15.5,15.5,7.82,0
2012-04-23,15.5,15.5,15.5,15.5,7.82,0
2012-04-24,15.5,15.5,15.5,15.5,7.82,0
2012-04-25,15.5,15.5,15.5,15.5,7.82,0
2012-04-26,15.5,15.5,15.5,15.5,7.82,0
2012-04-27,16.0,16.0,16.0,16.0,8.08,10
2012-05-02,16.5,15.5,15.5,16.5,8.33,1620
2012-05-03,16.5,16.5,16.5,16.5,8.33,0
2012-05-04,15.3,15.3,15.3,15.3,8.33,0
2012-05-07,16.0,16.0,16.0,16.0,8.71,10
2012-05-08,16.0,16.0,16.0,16.0,8.71,0
2012-05-09,16.0,16.0,16.0,16.0,8.71,2100
2012-05-10,16.0,16.0,16.0,16.0,8.71,0
2012-05-11,16.5,16.5,16.5,16.5,8.98,10
2012-05-14,16.5,16.5,16.5,16.5,8.98,0
2012-05-15,16.4,15.7,15.7,16.4,8.93,20
2012-05-16,16.4,16.4,16.4,16.4,8.93,0
2012-05-17,16.4,16.4,16.4,16.4,8.93,10
2012-05-18,16.4,16.4,16.4,16.4,8.93,0
2012-05-21,16.4,16.4,16.4,16.4,8.93,0
2012-05-22,16.4,16.4,16.4,16.4,8.93,0
2012-05-23,16.4,16.4,16.4,16.4,8.93,0
2012-05-24,17.2,17.2,17.2,17.2,9.36,10
2012-05-25,17.2,17.2,17.2,17.2,9.36,0
2012-05-28,17.2,17.2,17.2,17.2,9.36,0
2012-05-29,17.2,17.2,17.2,17.2,9.36,0
2012-05-30,17.2,17.2,17.2,17.2,9.36,0
2012-05-31,16.4,16.4,16.4,16.4,8.93,10
2012-06-01,16.4,16.4,16.4,16.4,8.93,0
2012-06-04,16.4,16.4,16.4,16.4,8.93,0
2012-06-05,16.4,16.4,16.4,16.4,8.93,0
2012-06-06,16.4,16.4,16.4,16.4,8.93,0
2012-06-07,15.6,15.6,15.6,15.6,8.49,10
2012-06-08,15.0,15.0,15.0,15.0,8.16,20
2012-06-11,15.0,15.0,15.0,15.0,8.16,0
2012-06-12,14.3,14.3,14.3,14.3,7.78,10
2012-06-13,14.3,14.3,14.3,14.3,7.78,0
2012-06-14,14.3,14.3,14.3,14.3,7.78,0
2012-06-15,14.3,14.3,14.3,14.3,7.78,0
2012-06-18,14.9,14.9,14.9,14.9,8.11,10
2012-06-19,14.9,14.9,14.9,14.9,8.11,0
2012-06-20,14.9,14.9,14.9,14.9,8.11,0
2012-06-21,14.9,14.9,14.9,14.9,8.11,0
2012-06-22,14.9,14.9,14.9,14.9,8.11,100
2012-06-25,14.9,14.9,14.9,14.9,8.11,0
2012-06-26,14.9,14.9,14.9,14.9,8.11,0
2012-06-27,14.9,14.9,14.9,14.9,8.11,0
2012-06-28,14.9,14.9,14.9,14.9,8.11,0
2012-06-29,14.9,14.9,14.9,14.9,8.11,0
2012-07-02,15.6,15.6,15.6,15.6,8.49,20
2012-07-03,16.0,16.0,16.0,16.0,8.71,20
2012-07-04,16.5,16.5,16.5,16.5,8.98,10
2012-07-05,17.0,17.0,17.0,17.0,9.25,10
2012-07-06,16.2,16.2,16.2,16.2,8.82,40
2012-07-09,16.2,16.2,16.2,16.2,8.82,0
2012-07-10,17.0,17.0,17.0,17.0,9.25,200
2012-07-11,17.0,17.0,17.0,17.0,9.25,0
2012-07-12,17.0,17.0,17.0,17.0,9.25,0
2012-07-13,17.8,17.7,17.7,17.8,9.69,200
2012-07-16,18.6,18.6,18.6,18.6,10.12,120
2012-07-17,19.0,19.0,19.0,19.0,10.34,100
2012-07-18,19.5,19.5,19.5,19.5,10.61,10
2012-07-19,19.5,19.5,19.5,19.5,10.61,0
2012-07-20,19.5,19.5,19.5,19.5,10.61,0
2012-07-23,20.0,20.0,20.0,20.0,10.89,100
2012-07-24,20.0,20.0,20.0,20.0,10.89,0
2012-07-25,20.0,20.0,20.0,20.0,10.89,0
2012-07-26,20.0,20.0,20.0,20.0,10.89,0
2012-07-27,21.0,21.0,21.0,21.0,11.43,10
2012-07-30,21.0,21.0,21.0,21.0,11.43,0
2012-07-31,21.0,21.0,21.0,21.0,11.43,0
2012-08-01,21.0,21.0,21.0,21.0,11.43,0
2012-08-02,20.0,20.0,20.0,20.0,10.89,100
2012-08-03,20.0,20.0,20.0,20.0,10.89,0
2012-08-06,19.0,19.0,19.0,19.0,10.34,100
2012-08-07,19.0,19.0,19.0,19.0,10.34,0
2012-08-08,19.0,19.0,19.0,19.0,10.34,0
2012-08-09,18.1,18.1,18.1,18.1,9.85,1860
2012-08-10,18.1,18.1,18.1,18.1,9.85,0
2012-08-13,18.1,18.1,18.1,18.1,9.85,0
2012-08-14,18.1,18.1,18.1,18.1,9.85,0
2012-08-15,18.1,18.1,18.1,18.1,9.85,0
2012-08-16,18.1,18.1,18.1,18.1,9.85,0
2012-08-17,17.2,17.2,17.2,17.2,9.36,10
2012-08-20,17.2,17.2,17.2,17.2,9.36,0
2012-08-21,17.2,17.2,17.2,17.2,9.36,0
2012-08-22,17.2,17.2,17.2,17.2,9.36,0
2012-08-23,17.2,17.2,17.2,17.2,9.36,0
2012-08-24,16.4,16.4,16.4,16.4,8.93,2000
2012-08-27,16.4,15.6,16.4,15.6,8.49,3710
2012-08-28,14.9,14.9,14.9,14.9,8.11,210
2012-08-29,14.2,14.2,14.2,14.2,7.73,10
2012-08-30,14.0,13.5,13.5,13.5,7.35,7510
2012-08-31,13.0,13.0,13.0,13.0,7.08,60
2012-09-04,13.0,12.4,13.0,12.4,6.75,8880
2012-09-05,13.0,13.0,13.0,13.0,7.08,24000
2012-09-06,13.6,13.6,13.6,13.6,7.4,10
2012-09-07,13.7,13.7,13.7,13.7,7.46,50
2012-09-10,14.0,13.1,14.0,13.1,7.13,14020
2012-09-11,13.5,13.0,13.0,13.5,7.35,350
2012-09-12,14.0,12.9,14.0,12.9,7.02,20
2012-09-13,12.9,12.9,12.9,12.9,7.02,0
2012-09-14,12.9,12.9,12.9,12.9,7.02,0
2012-09-17,12.5,12.5,12.5,12.5,6.8,6700
2012-09-18,12.4,12.4,12.4,12.4,6.75,3300
2012-09-19,12.4,12.4,12.4,12.4,6.75,10
2012-09-20,12.4,12.4,12.4,12.4,6.75,2000
2012-09-21,12.4,12.4,12.4,12.4,6.75,1000
2012-09-24,12.4,12.4,12.4,12.4,6.75,0
2012-09-25,12.4,12.4,12.4,12.4,6.75,0
2012-09-26,12.4,12.4,12.4,12.4,6.75,1760
2012-09-27,12.4,12.4,12.4,12.4,6.75,0
2012-09-28,13.0,13.0,13.0,13.0,7.08,10
2012-10-01,13.0,13.0,13.0,13.0,7.08,0
2012-10-02,12.4,12.4,12.4,12.4,6.75,5000
2012-10-03,12.4,12.4,12.4,12.4,6.75,0
2012-10-04,12.4,12.4,12.4,12.4,6.75,0
2012-10-05,12.4,12.4,12.4,12.4,6.75,0
2012-10-08,12.4,12.4,12.4,12.4,6.75,0
2012-10-09,12.4,12.4,12.4,12.4,6.75,0
2012-10-10,13.0,13.0,13.0,13.0,7.08,10
2012-10-11,13.6,13.6,13.6,13.6,7.4,10
2012-10-12,14.2,13.0,13.0,14.2,7.73,110
2012-10-15,13.5,13.5,13.5,13.5,7.35,100
2012-10-16,13.5,13.5,13.5,13.5,7.35,10
2012-10-17,13.9,13.9,13.9,13.9,7.57,80
2012-10-18,14.5,14.5,14.5,14.5,7.89,10
2012-10-19,15.1,15.1,15.1,15.1,8.22,10
2012-10-22,15.7,14.4,14.4,15.7,8.55,20
