Date,High,Low,Open,Close,adjust,Volume
2017-06-15,49.9,49.0,49.9,49.9,34.68,144330
2017-06-16,53.3,50.0,52.9,53.3,37.05,98120
2017-06-19,54.0,53.3,54.0,53.4,37.12,66750
2017-06-20,53.4,53.0,53.3,53.3,37.05,77430
2017-06-21,53.2,50.0,50.0,51.8,36.0,37260
2017-06-22,51.0,50.0,50.5,50.2,34.89,8850
2017-06-23,49.5,46.7,49.5,46.7,32.46,34380
2017-06-26,48.0,45.0,48.0,46.2,32.11,14080
2017-06-27,47.8,44.7,47.5,47.8,33.22,12220
2017-06-28,47.7,44.6,45.5,46.0,31.97,17080
2017-06-29,49.2,45.0,49.2,48.2,33.5,140
2017-06-30,51.0,44.85,45.0,49.5,34.41,1340
2017-07-03,51.9,46.05,51.9,47.5,33.02,1140
2017-07-04,45.2,44.2,45.0,44.2,30.72,23210
2017-07-05,45.0,41.15,44.2,41.15,28.6,6850
2017-07-06,43.0,39.1,40.0,40.8,28.36,16430
2017-07-07,43.65,41.1,42.9,43.6,30.3,12500
2017-07-10,44.9,43.0,44.9,44.4,30.86,2530
2017-07-11,45.9,41.5,45.9,42.9,29.82,35550
2017-07-12,44.9,42.4,44.9,44.8,31.14,210
2017-07-13,44.8,42.0,44.8,44.7,31.07,10030
2017-07-14,44.5,42.0,43.0,44.5,30.93,4470
2017-07-17,43.5,41.4,43.5,41.4,28.78,13070
2017-07-18,42.0,41.0,42.0,42.0,29.19,5670
2017-07-19,44.0,41.3,41.3,44.0,30.58,470
2017-07-20,41.0,40.95,41.0,40.95,28.46,11780
2017-07-21,41.0,41.0,41.0,41.0,28.5,200
2017-07-24,43.5,41.0,43.5,41.0,28.5,20010
2017-07-25,42.0,41.0,42.0,41.0,28.5,2600
2017-07-26,41.0,40.1,41.0,41.0,28.5,920
2017-07-27,41.0,40.5,41.0,41.0,28.5,2160
2017-07-28,41.0,40.6,41.0,40.6,28.22,300710
2017-07-31,41.0,39.4,39.4,40.8,28.36,230
2017-08-01,41.5,39.0,41.5,39.0,27.11,4770
2017-08-02,41.0,41.0,41.0,41.0,28.5,10
2017-08-03,39.0,39.0,39.0,39.0,27.11,10
2017-08-04,40.0,39.4,40.0,39.4,27.39,550
2017-08-07,40.4,40.4,40.4,40.4,28.08,10
2017-08-08,40.5,39.0,39.0,40.5,28.15,1570
2017-08-09,40.5,39.9,40.5,39.9,27.73,1980
2017-08-10,39.9,39.9,39.9,39.9,27.73,21380
2017-08-11,39.9,38.8,39.5,39.9,27.73,8280
2017-08-14,40.0,40.0,40.0,40.0,27.8,10
2017-08-15,39.0,38.8,38.8,38.8,26.97,1500
2017-08-16,41.5,40.0,41.5,40.0,27.8,11010
2017-08-17,42.5,39.0,42.5,40.5,28.15,1660
2017-08-18,41.0,40.5,41.0,40.5,28.15,20
2017-08-21,40.0,38.8,38.8,40.0,27.8,1110
2017-08-22,42.5,38.8,42.5,39.0,27.11,640
2017-08-23,41.7,38.7,38.7,41.7,28.98,110
2017-08-24,41.7,38.8,41.7,38.8,26.97,2770
2017-08-25,39.0,36.5,39.0,39.0,27.11,7110
2017-08-28,41.7,40.0,41.7,40.0,27.8,530
2017-08-29,42.0,39.0,42.0,39.0,27.11,20
2017-08-30,39.8,38.6,39.0,39.8,27.66,1640
2017-08-31,40.9,38.6,38.6,40.9,28.43,72040
2017-09-01,40.0,40.0,40.0,40.0,27.8,10
2017-09-05,40.0,40.0,40.0,40.0,27.8,0
2017-09-06,40.0,40.0,40.0,40.0,27.8,0
2017-09-07,40.0,40.0,40.0,40.0,27.8,10
2017-09-08,40.0,39.0,39.0,40.0,27.8,160
2017-09-11,42.0,39.9,42.0,39.9,27.73,20
2017-09-12,39.0,38.6,39.0,38.6,26.83,800
2017-09-13,39.0,38.5,39.0,38.5,26.76,1120
2017-09-14,39.8,38.5,38.6,39.8,27.66,1780
2017-09-15,39.8,37.2,39.8,37.5,26.07,2450
2017-09-18,39.7,38.9,39.7,38.9,27.04,68060
