Date,High,Low,Open,Close,adjust,Volume
2017-12-07,14.4,12.0,12.3,14.4,11.87,2566650
2017-12-08,15.4,14.45,14.55,15.4,12.7,1260740
2017-12-11,16.1,15.5,15.6,15.8,13.03,643090
2017-12-12,15.0,14.7,15.0,14.7,12.12,646450
2017-12-13,13.7,13.7,13.7,13.7,11.29,522310
2017-12-14,12.75,12.75,12.75,12.75,10.51,443330
2017-12-15,12.7,11.9,11.9,12.6,10.39,1432860
2017-12-18,13.0,12.55,12.7,12.6,10.39,507270
2017-12-19,12.7,12.35,12.55,12.4,10.22,246780
2017-12-20,12.5,12.1,12.3,12.15,10.02,408080
2017-12-21,12.3,12.05,12.1,12.1,9.98,210900
2017-12-22,12.2,12.0,12.05,12.1,9.98,274450
2017-12-25,12.25,12.0,12.2,12.1,9.98,192340
2017-12-26,12.2,11.95,12.0,11.95,9.85,482240
2017-12-27,12.0,11.85,11.95,11.95,9.85,185500
2017-12-28,12.2,11.95,12.1,12.1,9.98,206790
2017-12-29,12.15,11.95,12.15,12.05,9.93,276930
2018-01-02,12.15,11.9,11.95,11.95,9.85,176650
2018-01-03,12.6,11.95,12.1,12.6,10.39,826360
2018-01-04,13.1,12.5,12.65,13.1,10.8,617570
2018-01-05,13.4,13.0,13.0,13.25,10.92,520330
2018-01-08,13.5,13.2,13.2,13.45,11.09,1334250
2018-01-09,13.5,13.3,13.35,13.35,11.01,320920
2018-01-10,13.5,13.25,13.4,13.3,10.97,203270
2018-01-11,13.3,13.15,13.25,13.25,10.92,265600
2018-01-12,13.35,13.0,13.0,13.3,10.97,462910
2018-01-15,13.5,13.2,13.3,13.35,11.01,170320
2018-01-16,13.5,13.3,13.35,13.35,11.01,211640
2018-01-17,14.0,13.35,13.4,13.95,11.5,839670
2018-01-18,14.3,13.9,14.0,14.3,11.79,593910
2018-01-19,14.45,14.2,14.4,14.2,11.71,287470
2018-01-22,14.2,14.0,14.1,14.1,11.62,169370
2018-01-25,14.25,14.05,14.1,14.1,11.62,169940
2018-01-26,14.25,14.1,14.15,14.2,11.71,284450
2018-01-29,14.25,14.15,14.2,14.2,11.71,235090
2018-01-30,14.35,14.25,14.25,14.3,11.79,140490
2018-01-31,15.3,14.3,14.35,15.3,12.61,2194850
2018-02-01,15.75,15.3,15.35,15.65,12.9,760650
2018-02-02,15.9,15.7,15.7,15.7,12.94,464150
2018-02-05,15.7,14.8,15.0,14.95,12.33,233270
2018-02-06,14.9,14.35,14.6,14.6,12.04,197700
2018-02-07,14.85,14.6,14.6,14.8,12.2,319310
2018-02-08,15.15,14.85,14.85,15.15,12.49,1084100
2018-02-09,15.25,15.0,15.2,15.05,12.41,168500
2018-02-12,15.1,14.9,15.1,14.95,12.33,403360
2018-02-13,14.9,14.75,14.85,14.75,12.16,290890
2018-02-21,14.85,14.6,14.65,14.75,12.16,192270
2018-02-22,15.0,14.75,14.85,15.0,12.37,312170
2018-02-23,15.3,15.0,15.0,15.25,12.57,236920
2018-02-26,15.65,15.3,15.35,15.5,12.78,620650
2018-02-27,15.55,15.3,15.55,15.35,12.66,182160
2018-02-28,15.35,15.1,15.2,15.3,12.61,202590
2018-03-01,15.35,15.2,15.25,15.25,12.57,108210
2018-03-02,15.2,15.0,15.1,15.1,12.45,154960
2018-03-05,16.15,15.1,15.1,16.15,13.31,1374000
2018-03-06,17.15,16.05,16.2,16.9,13.93,980110
2018-03-07,18.05,16.85,16.95,18.05,14.88,1265920
2018-03-08,19.3,16.8,18.05,19.3,15.91,1473520
2018-03-09,20.65,19.35,19.35,20.6,16.98,1512470
2018-03-12,22.0,20.65,22.0,22.0,18.14,1249580
2018-03-13,23.5,22.05,22.15,23.5,19.37,2007600
2018-03-14,25.1,21.9,23.65,25.1,20.69,1860630
2018-03-15,26.85,23.35,25.35,23.35,19.25,1639990
2018-03-16,23.35,21.75,23.35,21.75,17.93,452380
2018-03-19,20.25,20.25,21.75,20.25,16.69,499250
2018-03-20,18.85,18.85,18.85,18.85,15.54,940
2018-03-21,18.85,17.55,18.85,17.55,14.47,14970
2018-03-22,16.35,16.35,16.35,16.35,13.48,512700
2018-03-23,16.15,15.25,15.25,16.1,13.27,1682890
2018-03-26,17.1,15.0,16.15,17.05,14.06,1503250
2018-03-27,17.25,15.9,17.05,16.6,13.69,834600
2018-03-28,16.6,15.45,16.6,15.45,12.74,890440
2018-03-29,16.5,14.4,14.4,16.5,13.6,1875500
2018-03-30,17.0,15.35,16.5,16.3,13.44,1279240
2018-04-02,16.1,15.2,16.1,15.2,12.53,517340
2018-04-03,14.8,14.15,14.15,14.15,11.67,826130
2018-04-04,13.35,13.2,13.2,13.2,10.88,368930
2018-04-05,14.0,12.3,12.3,13.9,11.46,1629530
2018-04-06,14.1,12.95,13.95,13.15,10.84,848960
2018-04-09,13.15,12.25,12.25,12.25,10.1,350110
2018-04-10,12.25,11.4,12.25,11.4,9.4,904040
2018-04-11,11.3,10.65,10.65,10.65,8.78,1600090
2018-04-12,11.05,9.91,10.0,11.0,9.07,777390
2018-04-13,11.0,10.25,11.0,10.5,8.66,183020
2018-04-16,10.6,10.35,10.45,10.55,8.7,331810
2018-04-17,10.6,10.25,10.5,10.45,8.62,191070
2018-04-18,10.5,10.15,10.45,10.15,8.37,156420
2018-04-19,10.25,10.0,10.1,10.15,8.37,173040
2018-04-20,10.35,10.05,10.2,10.35,8.53,221920
2018-04-23,10.4,10.15,10.2,10.2,8.41,139710
2018-04-24,10.5,10.05,10.25,10.5,8.66,212770
2018-04-26,10.6,10.4,10.5,10.55,8.7,195570
2018-04-27,10.6,10.0,10.4,10.45,8.62,151390
2018-05-02,10.9,10.3,10.9,10.9,8.99,281410
2018-05-03,11.05,10.85,11.05,11.0,9.07,137940
2018-05-04,11.75,11.1,11.1,11.75,9.69,938870
2018-05-07,12.55,11.95,12.0,12.55,10.35,1576110
2018-05-08,13.4,12.65,12.75,13.35,11.01,1581910
2018-05-09,13.3,12.45,13.0,12.45,10.26,45730
2018-05-10,11.6,11.6,11.6,11.6,9.56,359860
2018-05-11,11.6,10.8,10.8,11.0,9.07,1060340
2018-05-14,11.0,10.25,10.7,10.4,8.57,240420
2018-05-15,10.45,9.81,10.3,9.9,8.16,171360
2018-05-16,10.0,9.85,9.9,10.0,8.24,335940
2018-05-17,10.15,9.9,10.1,10.0,8.24,174720
2018-05-18,10.05,9.81,9.81,10.0,8.24,115680
2018-05-21,10.3,9.94,10.0,10.3,8.49,158610
2018-05-22,10.3,9.98,10.3,10.05,8.29,146090
2018-05-23,10.05,9.97,10.0,10.05,8.29,229400
2018-05-24,10.15,9.93,10.0,10.1,8.33,98640
2018-05-25,10.35,9.96,10.2,10.05,8.29,133900
2018-05-28,10.3,10.0,10.15,10.25,8.45,276810
2018-05-29,10.75,10.1,10.25,10.75,8.86,158900
2018-05-30,10.8,10.3,10.8,10.45,8.62,420050
2018-05-31,11.0,10.35,10.35,11.0,9.07,287930
2018-06-01,11.75,11.2,11.2,11.75,9.69,1289500
2018-06-04,12.3,11.4,11.85,11.75,9.69,1081410
2018-06-05,11.75,10.95,11.75,11.1,9.15,129770
2018-06-06,11.0,10.55,10.75,10.85,8.95,445520
2018-06-07,10.85,10.55,10.75,10.85,8.95,356720
2018-06-08,10.95,10.75,10.9,10.75,8.86,203810
2018-06-11,11.15,10.75,10.95,11.15,9.19,267580
2018-06-12,11.3,11.0,11.25,11.2,9.23,245060
2018-06-13,11.85,11.05,11.25,11.8,9.73,589970
2018-06-14,12.5,11.8,11.9,12.3,10.14,710070
2018-06-15,12.3,12.1,12.1,12.1,9.98,236540
2018-06-18,12.9,12.1,12.2,12.9,10.64,556690
2018-06-19,13.2,12.85,13.2,13.2,10.88,241310
2018-06-20,13.85,13.2,13.25,13.8,11.38,816930
2018-06-21,14.2,13.7,13.9,14.1,11.62,672620
2018-06-22,14.1,13.15,13.8,13.6,11.21,436600
2018-06-25,13.85,13.6,13.6,13.7,11.29,501790
2018-06-26,13.8,13.6,13.7,13.7,11.29,221580
2018-06-27,14.0,13.6,13.8,13.75,11.34,210910
2018-06-28,14.7,13.7,13.75,14.7,12.12,1375960
2018-06-29,15.7,14.65,14.85,15.7,12.94,1389740
2018-07-02,16.75,14.65,15.75,15.5,12.78,1896490
2018-07-03,14.45,14.45,14.45,14.45,11.91,296950
2018-07-04,13.45,13.45,13.45,13.45,11.09,421710
2018-07-05,12.55,12.55,12.55,12.55,10.35,410
2018-07-06,11.7,11.7,11.7,11.7,9.65,89100
2018-07-09,11.8,10.9,10.9,10.9,8.99,1384460
2018-07-10,10.85,9.77,9.77,10.65,9.11,1622550
2018-07-11,10.95,10.6,10.7,10.7,9.16,474170
2018-07-12,11.0,10.55,10.55,10.55,9.03,645970
2018-07-13,10.55,9.82,10.55,10.4,8.9,1216390
2018-07-16,10.75,9.68,10.3,10.5,8.99,1748110
2018-07-17,10.6,9.77,10.5,10.0,8.56,867900
2018-07-18,9.99,9.3,9.5,9.3,7.96,977360
2018-07-19,9.3,8.65,8.65,9.05,7.75,1932280
2018-07-20,9.1,8.42,8.59,8.59,7.35,722270
2018-07-23,9.19,7.99,9.19,9.19,7.87,2236100
2018-07-24,9.61,8.55,9.32,8.68,7.43,1325410
2018-07-25,8.64,8.08,8.08,8.08,6.92,1035140
2018-07-26,8.0,7.52,8.0,8.0,6.85,801680
2018-07-27,8.56,7.44,7.95,8.56,7.33,3062970
2018-07-30,8.62,7.97,8.62,7.97,6.82,965720
2018-07-31,8.05,7.42,8.0,7.65,6.55,1816690
2018-08-01,7.6,7.15,7.51,7.15,6.12,190530
2018-08-02,7.4,7.0,7.0,7.23,6.19,675070
2018-08-03,7.49,7.15,7.15,7.16,6.13,732830
2018-08-06,7.45,7.01,7.3,7.01,6.0,766250
2018-08-07,7.16,7.02,7.02,7.05,6.03,352040
2018-08-08,7.14,7.03,7.04,7.04,6.03,141520
2018-08-09,7.25,7.01,7.05,7.1,6.08,176390
2018-08-10,7.15,7.01,7.04,7.01,6.0,139440
2018-08-13,7.1,7.0,7.01,7.02,6.01,115910
2018-08-14,7.24,7.06,7.1,7.08,6.06,132220
2018-08-15,7.4,7.15,7.2,7.2,6.16,250490
2018-08-16,7.3,7.1,7.3,7.22,6.18,37230
2018-08-17,7.24,7.1,7.24,7.11,6.09,83070
2018-08-20,7.2,7.0,7.02,7.0,5.99,148980
2018-08-21,7.1,7.0,7.0,7.0,5.99,122350
2018-08-22,7.09,7.0,7.0,7.09,6.07,281390
2018-08-23,7.1,7.0,7.08,7.05,6.03,214220
2018-08-24,7.08,7.01,7.01,7.01,6.0,245530
2018-08-27,7.44,7.0,7.01,7.44,6.37,617080
2018-08-28,7.94,7.2,7.55,7.21,6.17,1571940
2018-08-29,7.3,7.16,7.2,7.16,6.13,178480
2018-08-30,7.2,7.0,7.2,7.07,6.05,90120
2018-08-31,7.2,7.01,7.01,7.06,6.04,166830
2018-09-04,7.15,7.05,7.06,7.05,6.03,139310
2018-09-05,7.1,7.0,7.05,7.03,6.02,244510
2018-09-06,7.15,7.0,7.02,7.15,6.12,216820
2018-09-07,7.1,7.0,7.1,7.0,5.99,171320
2018-09-10,7.3,7.01,7.09,7.3,6.25,262910
2018-09-11,7.13,7.02,7.02,7.02,6.25,94950
2018-09-12,7.29,7.02,7.02,7.16,6.37,1010520
2018-09-13,7.2,7.16,7.2,7.17,6.38,789640
2018-09-14,7.2,7.09,7.2,7.15,6.36,91100
2018-09-17,7.15,7.02,7.15,7.06,6.28,74320
2018-09-18,7.06,7.01,7.02,7.03,6.26,121710
2018-09-19,7.04,7.0,7.03,7.02,6.25,541180
2018-09-20,7.03,6.7,7.02,7.02,6.25,196970
2018-09-21,7.05,6.8,7.01,7.02,6.25,158580
2018-09-24,7.04,7.01,7.02,7.01,6.24,387760
2018-09-25,7.03,7.01,7.01,7.01,6.24,489950
2018-09-26,7.1,7.01,7.03,7.05,6.28,91490
2018-09-27,7.06,7.0,7.05,7.05,6.28,181570
2018-09-28,7.08,7.02,7.08,7.06,6.28,341240
2018-10-01,7.15,7.02,7.1,7.02,6.25,194200
2018-10-02,7.15,7.01,7.01,7.05,6.28,236770
2018-10-03,7.4,7.02,7.05,7.4,6.59,416820
2018-10-04,7.8,7.4,7.62,7.74,6.89,849560
2018-10-05,7.7,7.51,7.65,7.6,6.76,377980
2018-10-08,8.05,7.6,7.65,7.9,7.03,2020720
2018-10-09,7.91,7.45,7.9,7.45,6.63,386530
2018-10-10,7.56,7.1,7.56,7.11,6.33,281790
2018-10-11,7.1,6.8,7.0,7.0,6.23,1045810
2018-10-12,7.1,7.0,7.0,7.01,6.24,400470
2018-10-15,7.1,7.0,7.01,7.0,6.23,157280
2018-10-16,7.09,7.0,7.0,7.01,6.24,146200
2018-10-17,7.1,7.02,7.05,7.05,6.28,112370
2018-10-18,7.05,7.01,7.02,7.05,6.28,173320
2018-10-19,7.1,7.03,7.03,7.1,6.32,121490
2018-10-22,7.57,7.02,7.02,7.5,6.68,548830
2018-10-23,7.9,7.2,7.55,7.88,7.01,364140
2018-10-24,7.99,7.6,7.99,7.9,7.03,332750
2018-10-25,7.9,7.35,7.9,7.42,6.6,301830
2018-10-26,7.49,6.95,7.35,7.3,6.5,578560
2018-10-29,7.3,7.0,7.01,7.25,6.45,79180
2018-10-30,7.25,6.98,7.24,7.0,6.23,80460
2018-10-31,7.18,6.97,7.0,7.0,6.23,105750
2018-11-01,7.1,6.97,7.0,7.01,6.24,59190
2018-11-02,7.1,6.9,7.0,7.0,6.23,165570
2018-11-05,7.04,6.9,7.0,7.0,6.23,127100
2018-11-06,7.08,6.91,7.0,7.0,6.23,66800
2018-11-07,7.15,7.0,7.0,7.1,6.32,174730
2018-11-08,7.42,7.1,7.15,7.24,6.44,835430
