Date,High,Low,Open,Close,adjust,Volume
2012-01-03,15.0,14.0,14.8,14.0,2.32,2010
2012-01-04,14.5,14.3,14.3,14.5,2.4,2200
2012-01-05,14.9,14.9,14.9,14.9,2.47,10
2012-01-06,14.9,14.9,14.9,14.9,2.47,0
2012-01-09,15.6,14.2,14.5,15.6,2.59,3700
2012-01-10,16.0,14.9,14.9,16.0,2.65,2550
2012-01-11,16.0,15.2,16.0,15.2,2.52,210
2012-01-12,15.9,15.9,15.9,15.9,2.63,10
2012-01-13,15.9,15.2,15.2,15.9,2.63,50
2012-01-16,15.8,15.5,15.5,15.8,2.62,550
2012-01-17,16.5,15.8,15.8,16.5,2.73,1380
2012-01-18,17.3,16.9,16.9,17.0,2.82,2690
2012-01-19,17.6,17.6,17.6,17.6,2.92,20
2012-01-20,17.8,17.8,17.8,17.8,2.95,310
2012-01-30,17.8,17.8,17.8,17.8,2.95,0
2012-01-31,17.5,17.5,17.5,17.5,2.9,1810
2012-02-01,17.4,17.4,17.4,17.4,2.88,120
2012-02-02,18.2,16.8,17.4,16.8,2.78,740
2012-02-03,17.5,17.5,17.5,17.5,2.9,100
2012-02-06,17.5,16.7,16.7,17.5,2.9,120
2012-02-07,17.5,17.5,17.5,17.5,2.9,3000
2012-02-08,17.5,17.5,17.5,17.5,2.9,0
2012-02-09,17.0,16.8,17.0,17.0,2.82,5750
2012-02-10,17.0,16.3,17.0,16.3,2.7,40
2012-02-13,17.1,16.3,16.3,17.1,2.83,900
2012-02-14,16.9,16.5,16.9,16.5,2.73,540
2012-02-15,16.5,16.5,16.5,16.5,2.73,0
2012-02-16,16.5,15.8,16.0,16.0,2.65,4500
2012-02-17,16.8,16.8,16.8,16.8,2.78,2950
2012-02-20,16.8,16.8,16.8,16.8,2.78,0
2012-02-21,17.0,16.3,17.0,16.3,2.7,2000
2012-02-22,16.5,16.5,16.5,16.5,2.73,300
2012-02-23,17.1,16.6,17.1,17.1,2.83,30
2012-02-24,17.1,17.1,17.1,17.1,2.83,0
2012-02-27,17.8,16.5,17.8,17.5,2.9,1650
2012-02-28,17.5,16.8,17.0,16.8,2.78,1700
2012-02-29,16.8,16.1,16.8,16.1,2.67,2700
2012-03-01,15.5,15.3,15.5,15.3,2.54,5400
2012-03-02,16.0,15.3,15.3,16.0,2.65,3230
2012-03-05,16.8,16.6,16.8,16.8,2.78,5060
2012-03-06,17.1,16.8,16.8,17.1,2.83,190
2012-03-07,17.1,17.1,17.1,17.1,2.83,0
2012-03-08,17.1,17.1,17.1,17.1,2.83,250
2012-03-09,16.4,16.4,16.4,16.4,2.72,20
2012-03-12,17.1,17.1,17.1,17.1,2.83,120
2012-03-13,17.1,16.5,17.0,16.5,2.73,840
2012-03-14,16.0,16.0,16.0,16.0,2.65,10
2012-03-15,16.8,16.3,16.3,16.8,2.78,220
2012-03-16,17.1,17.1,17.1,17.1,2.83,10
2012-03-19,16.5,16.5,16.5,16.5,2.73,20
2012-03-20,17.1,15.7,16.1,17.1,2.83,410
