Date,High,Low,Open,Close,adjust,Volume
2012-01-03,7.9,7.9,7.9,7.9,3.19,1050
2012-01-04,7.9,7.9,7.9,7.9,3.19,0
2012-01-05,7.9,7.9,7.9,7.9,3.19,500
2012-01-06,7.8,7.8,7.8,7.8,3.15,30
2012-01-09,7.8,7.8,7.8,7.8,3.15,0
2012-01-10,8.1,7.7,7.7,8.1,3.27,930
2012-01-11,8.4,8.4,8.4,8.4,3.4,10
2012-01-12,8.4,8.4,8.4,8.4,3.4,0
2012-01-13,8.4,8.4,8.4,8.4,3.4,0
2012-01-16,8.0,8.0,8.0,8.0,3.23,10
2012-01-17,8.0,8.0,8.0,8.0,3.23,0
2012-01-18,8.0,8.0,8.0,8.0,3.23,0
2012-01-19,8.4,8.4,8.4,8.4,3.4,10
2012-01-20,8.7,8.7,8.7,8.7,3.52,10
2012-01-30,8.3,8.3,8.3,8.3,3.36,10
2012-01-31,8.3,8.3,8.3,8.3,3.36,200
2012-02-01,8.3,8.3,8.3,8.3,3.36,1000
2012-02-02,8.5,8.5,8.5,8.5,3.44,10
2012-02-03,8.5,8.1,8.5,8.5,3.44,12430
2012-02-06,8.5,8.5,8.5,8.5,3.44,13770
2012-02-07,8.6,8.5,8.5,8.5,3.44,16800
2012-02-08,8.5,8.5,8.5,8.5,3.44,0
2012-02-09,8.5,8.5,8.5,8.5,3.44,4000
2012-02-10,8.6,8.5,8.5,8.5,3.44,10230
2012-02-13,8.5,8.5,8.5,8.5,3.44,3380
2012-02-14,8.6,8.6,8.6,8.6,3.48,40
2012-02-15,8.6,8.6,8.6,8.6,3.48,0
2012-02-16,8.5,8.5,8.5,8.5,3.44,17410
2012-02-17,8.5,8.5,8.5,8.5,3.44,100
2012-02-20,8.5,8.5,8.5,8.5,3.44,1620
2012-02-21,8.5,8.5,8.5,8.5,3.44,9010
2012-02-22,8.5,8.5,8.5,8.5,3.44,0
2012-02-23,8.5,8.5,8.5,8.5,3.44,0
2012-02-24,8.5,8.5,8.5,8.5,3.44,100
2012-02-27,8.6,8.5,8.6,8.5,3.44,1310
2012-02-28,8.6,8.1,8.1,8.5,3.44,10030
2012-02-29,8.5,8.5,8.5,8.5,3.44,550
2012-03-01,8.5,8.5,8.5,8.5,3.44,34400
2012-03-02,8.5,8.5,8.5,8.5,3.44,0
2012-03-05,8.9,8.6,8.6,8.9,3.6,3280
2012-03-06,8.9,8.9,8.9,8.9,3.6,9610
2012-03-07,9.0,9.0,9.0,9.0,3.64,13000
2012-03-08,8.9,8.9,8.9,8.9,3.6,620
2012-03-09,8.9,8.9,8.9,8.9,3.6,120000
2012-03-12,9.0,8.9,8.9,9.0,3.64,140510
2012-03-13,9.1,9.0,9.1,9.0,3.64,45330
2012-03-14,9.3,9.0,9.3,9.3,3.76,620
2012-03-15,9.6,9.0,9.0,9.6,3.88,2510
2012-03-16,9.8,9.6,9.8,9.6,3.88,12010
2012-03-19,9.6,9.6,9.6,9.6,3.88,1280
2012-03-20,9.6,9.6,9.6,9.6,3.88,3800
2012-03-21,9.8,9.7,9.8,9.7,3.92,16100
2012-03-22,9.7,9.7,9.7,9.7,3.92,7320
2012-03-23,10.0,9.8,9.8,10.0,4.04,4800
