Date,High,Low,Open,Close,adjust,Volume
2012-01-03,25.7,25.7,25.7,25.7,7.67,10
2012-01-04,25.6,24.5,24.5,25.6,7.64,1010
2012-01-05,24.4,24.4,24.4,24.4,7.28,10
2012-01-06,23.2,23.2,23.2,23.2,6.92,10
2012-01-09,22.2,22.1,22.2,22.1,6.59,120
2012-01-10,21.0,21.0,21.0,21.0,6.27,20
2012-01-11,21.0,20.0,20.0,20.0,5.97,90
2012-01-12,21.0,21.0,21.0,21.0,6.27,100
2012-01-13,22.0,20.0,22.0,20.0,5.97,1610
2012-01-16,20.0,19.0,20.0,19.0,5.67,14170
2012-01-17,19.9,19.9,19.9,19.9,5.94,10
2012-01-18,20.3,19.0,20.2,19.0,5.67,42000
2012-01-19,19.9,19.3,19.3,19.9,5.94,25150
2012-01-20,20.8,20.8,20.8,20.8,6.21,2020
2012-01-30,21.8,21.8,21.8,21.8,6.5,20
2012-01-31,22.8,22.8,22.8,22.8,6.8,20
2012-02-01,23.9,23.0,23.9,23.9,7.13,4920
2012-02-02,24.9,23.5,24.9,23.5,7.01,30
2012-02-03,24.1,23.5,23.5,23.5,7.01,8800
2012-02-06,24.6,22.4,22.5,24.6,7.34,4030
2012-02-07,25.6,24.5,24.5,25.6,7.64,1510
2012-02-08,25.6,25.6,25.6,25.6,7.64,1740
2012-02-09,26.7,25.6,25.6,26.7,7.97,25980
2012-02-10,26.0,26.0,26.0,26.0,7.76,22540
2012-02-13,27.2,25.9,25.9,27.2,8.12,29970
2012-02-14,27.8,27.0,27.0,27.8,8.29,25000
2012-02-15,29.1,28.5,29.1,28.6,8.53,11760
2012-02-16,28.0,28.0,28.0,28.0,8.35,10000
2012-02-17,29.0,28.0,28.0,28.5,8.5,9020
2012-02-20,28.5,28.5,28.5,28.5,8.5,10230
2012-02-21,29.0,27.1,27.1,29.0,8.65,3690
2012-02-22,29.5,27.6,27.6,29.5,8.8,8310
2012-02-23,29.5,28.1,28.1,29.5,8.8,10500
2012-02-24,29.4,28.1,28.1,29.4,8.77,6030
2012-02-27,29.4,29.4,29.4,29.4,8.77,0
2012-02-28,29.4,28.0,29.2,28.1,8.38,5000
2012-02-29,28.0,26.7,26.8,28.0,8.35,40
2012-03-01,28.0,28.0,28.0,28.0,8.35,0
2012-03-02,28.0,26.6,26.6,28.0,8.35,2180
2012-03-05,29.3,28.0,28.0,29.3,8.74,3590
2012-03-06,28.0,28.0,28.0,28.0,8.35,10
2012-03-07,26.6,26.6,26.6,26.6,7.94,10
2012-03-08,26.6,25.5,26.6,25.5,7.61,220
2012-03-09,25.8,24.3,24.3,25.8,7.7,7820
2012-03-12,25.8,25.8,25.8,25.8,7.7,0
2012-03-13,25.8,25.8,25.8,25.8,7.7,0
2012-03-14,25.8,24.6,24.6,25.8,7.7,340
2012-03-15,25.8,25.8,25.8,25.8,7.7,0
2012-03-16,24.6,24.6,24.6,24.6,7.34,10
2012-03-19,23.4,23.4,23.4,23.4,6.98,10
2012-03-20,24.0,22.3,23.4,22.3,6.65,510
2012-03-21,23.4,21.2,21.2,23.4,6.98,1200
2012-03-22,24.0,22.5,22.5,24.0,7.16,750
2012-03-23,25.0,25.0,25.0,25.0,7.46,1560
2012-03-26,26.0,26.0,26.0,26.0,7.76,30
2012-03-27,27.0,27.0,27.0,27.0,8.06,30
2012-03-28,27.0,27.0,27.0,27.0,8.06,20
2012-03-29,27.0,27.0,27.0,27.0,8.06,310
2012-03-30,27.0,27.0,27.0,27.0,8.06,0
2012-04-03,27.0,25.7,27.0,25.7,7.67,20
2012-04-04,25.2,24.5,24.6,25.2,7.52,3250
2012-04-05,26.4,26.4,26.4,26.4,7.88,50
2012-04-06,27.2,27.1,27.1,27.2,8.12,8000
2012-04-09,26.0,26.0,26.0,26.0,7.76,9010
2012-04-10,25.7,25.7,25.7,25.7,7.67,2110
2012-04-11,26.0,25.7,25.7,26.0,7.76,550
2012-04-12,26.0,26.0,26.0,26.0,7.76,2320
2012-04-13,26.0,26.0,26.0,26.0,7.76,21286
2012-04-16,26.0,26.0,26.0,26.0,7.76,0
