Date,High,Low,Open,Close,adjust,Volume
2012-01-03,20.0,20.0,20.0,20.0,2.37,0
2012-01-04,20.0,20.0,20.0,20.0,2.37,250
2012-01-05,20.0,19.0,19.0,20.0,2.37,1010
2012-01-06,20.0,19.5,20.0,19.5,2.31,1480
2012-01-09,20.0,20.0,20.0,20.0,2.37,140
2012-01-10,20.0,19.8,20.0,19.8,2.34,1250
2012-01-11,19.5,19.2,19.5,19.2,2.27,250
2012-01-12,19.7,19.7,19.7,19.7,2.33,20
2012-01-13,19.7,19.7,19.7,19.7,2.33,0
2012-01-16,19.9,19.0,19.9,19.6,2.32,2120
2012-01-17,20.0,19.6,19.6,20.0,2.37,300
2012-01-18,19.0,19.0,19.0,19.0,2.25,870
2012-01-19,19.9,19.9,19.9,19.9,2.35,10
2012-01-20,20.5,20.5,20.5,20.5,2.43,10
2012-01-30,20.4,19.5,19.5,20.4,2.41,1160
2012-01-31,20.3,19.4,19.5,20.3,2.4,350
2012-02-01,20.2,19.5,19.5,20.2,2.39,1750
2012-02-02,20.9,19.2,19.4,20.9,2.47,15420
2012-02-03,20.8,19.9,19.9,20.8,2.46,660
2012-02-06,20.8,20.8,20.8,20.8,2.46,0
2012-02-07,21.5,21.5,21.5,21.5,2.54,250
2012-02-08,20.9,20.5,20.5,20.9,2.47,330
2012-02-09,21.0,21.0,21.0,21.0,2.48,610
2012-02-10,21.0,21.0,21.0,21.0,2.48,210
2012-02-13,21.0,21.0,21.0,21.0,2.48,110
2012-02-14,21.0,21.0,21.0,21.0,2.48,100
2012-02-15,20.5,20.1,20.5,20.1,2.38,610
2012-02-16,20.1,19.6,20.1,19.6,2.32,660
2012-02-17,19.5,19.2,19.5,19.2,2.27,5760
2012-02-20,20.1,20.0,20.1,20.1,2.38,900
2012-02-21,20.5,20.2,20.5,20.2,2.39,2600
2012-02-22,19.5,18.4,18.4,19.5,2.43,290
2012-02-23,19.5,19.5,19.5,19.5,2.43,400
2012-02-24,19.5,19.0,19.5,19.0,2.37,500
2012-02-27,19.5,18.6,18.6,19.1,2.38,940
2012-02-28,19.0,18.6,18.6,18.7,2.33,1830
2012-02-29,19.6,18.7,18.7,19.6,2.44,200
2012-03-01,19.6,19.6,19.6,19.6,2.44,0
2012-03-02,19.7,19.0,19.6,19.4,2.41,470
2012-03-05,20.2,19.4,19.9,20.2,2.51,4890
2012-03-06,19.3,19.3,19.3,19.3,2.4,4200
2012-03-07,19.3,19.3,19.3,19.3,2.4,0
