Date,High,Low,Open,Close,adjust,Volume
2017-05-29,13.05,11.0,11.4,13.05,12.47,5124680
2017-05-30,13.95,13.05,13.25,13.45,12.86,4453270
2017-05-31,13.85,12.85,13.5,12.85,12.28,1562860
2017-06-01,12.0,12.0,12.0,12.0,11.47,743410
2017-06-02,11.2,11.2,11.2,11.2,10.71,924640
2017-06-05,10.65,10.45,10.45,10.45,9.99,2266580
2017-06-06,10.1,9.72,9.72,9.76,9.33,4493100
2017-06-07,10.25,9.7,9.78,9.82,9.39,1339010
2017-06-08,9.82,9.14,9.65,9.14,8.74,725280
2017-06-09,8.7,8.51,8.51,8.55,8.17,1217110
2017-06-12,8.5,8.1,8.3,8.25,7.89,474890
2017-06-13,8.38,8.1,8.25,8.25,7.89,441090
2017-06-14,8.67,8.2,8.26,8.65,8.27,714910
2017-06-15,8.8,8.5,8.6,8.78,8.39,552760
2017-06-16,9.2,8.61,8.78,9.02,8.62,1020660
2017-06-19,9.12,8.95,8.95,9.03,8.63,309490
2017-06-20,9.1,8.85,9.03,9.03,8.63,323580
2017-06-21,9.15,8.9,8.9,9.1,8.7,351730
2017-06-22,9.65,9.1,9.1,9.62,9.2,1053230
2017-06-23,10.25,9.5,9.62,10.2,9.75,1688050
2017-06-26,10.7,9.88,10.35,10.0,9.56,1083220
2017-06-27,10.3,9.78,10.1,9.9,9.46,639010
2017-06-28,10.0,9.68,9.85,9.9,9.46,560480
2017-06-29,10.55,9.8,9.88,10.55,10.08,2787380
2017-06-30,11.25,10.3,10.65,11.25,10.75,3403220
2017-07-03,11.5,10.9,11.35,11.1,10.61,1445620
2017-07-04,11.6,10.35,11.0,10.5,10.04,1766700
2017-07-05,10.5,9.78,10.2,9.85,9.42,444190
2017-07-06,10.3,9.6,9.85,9.92,9.48,679320
2017-07-07,10.2,9.85,9.92,9.98,9.54,561300
2017-07-10,10.25,9.8,9.9,10.25,9.8,456150
2017-07-11,10.35,9.9,10.25,10.1,9.65,392960
2017-07-12,10.2,9.85,10.0,9.9,9.46,230490
2017-07-13,10.2,9.8,9.8,9.9,9.46,405440
2017-07-14,9.9,9.36,9.9,9.9,9.46,366250
2017-07-17,10.3,9.9,9.95,10.15,9.7,2633310
2017-07-18,10.2,9.9,10.15,10.0,9.56,128910
2017-07-19,10.2,9.8,10.0,9.8,9.37,240410
2017-07-20,10.0,9.5,10.0,9.75,9.32,197230
2017-07-21,9.95,9.7,9.7,9.75,9.32,360270
2017-07-24,9.92,9.6,9.75,9.92,9.48,266380
2017-07-25,9.99,9.75,9.92,9.99,9.55,261490
2017-07-26,10.1,9.47,9.99,9.9,9.46,821370
2017-07-27,10.55,9.8,9.92,10.55,10.08,2351700
2017-07-28,11.25,10.45,10.65,10.55,10.08,2347610
2017-07-31,10.6,9.82,10.3,9.99,9.55,1838920
2017-08-01,9.99,9.3,9.99,9.3,8.89,2051260
2017-08-02,9.2,8.65,8.65,8.65,8.27,1631670
2017-08-03,8.3,8.05,8.05,8.23,7.87,2490530
2017-08-04,8.8,8.25,8.25,8.8,8.41,3140940
2017-08-07,8.92,8.19,8.92,8.6,8.22,1982240
2017-08-08,8.49,8.0,8.1,8.0,7.65,1967520
2017-08-09,8.0,7.44,7.5,7.44,7.11,2128050
2017-08-10,7.6,6.93,6.93,7.4,7.07,1396910
2017-08-11,7.45,7.15,7.2,7.4,7.07,933540
2017-08-14,7.72,7.12,7.4,7.65,7.31,1706900
2017-08-15,8.08,7.37,7.8,7.55,7.22,1541170
2017-08-16,7.5,7.14,7.3,7.5,7.17,787130
2017-08-17,7.4,7.08,7.4,7.08,6.77,770010
2017-08-18,7.0,6.76,7.0,6.9,6.6,921790
2017-08-21,6.99,6.8,6.95,6.94,6.63,267900
2017-08-22,6.98,6.81,6.81,6.95,6.64,456170
2017-08-23,7.08,6.8,6.8,6.99,6.68,317920
2017-08-24,7.1,6.83,6.99,7.08,6.77,452990
2017-08-25,7.27,7.05,7.1,7.15,6.83,741370
2017-08-28,7.23,6.9,7.15,6.95,6.64,537680
2017-08-29,7.1,6.9,7.0,6.91,6.61,538320
2017-08-30,7.18,6.87,6.9,6.99,6.68,818640
2017-08-31,7.12,6.91,7.0,6.94,6.63,378370
2017-09-01,7.1,6.9,6.94,7.0,6.69,1077600
2017-09-05,7.03,6.95,6.96,6.97,6.66,545020
2017-09-06,7.03,6.97,6.97,7.0,6.69,664750
2017-09-07,7.05,6.9,6.98,7.01,6.7,778610
2017-09-08,7.1,6.98,7.03,7.05,6.74,587130
2017-09-11,7.51,7.06,7.06,7.41,7.08,1592140
2017-09-12,7.5,7.18,7.4,7.18,6.86,704040
2017-09-13,7.35,7.09,7.2,7.23,6.91,646750
2017-09-14,7.25,7.1,7.21,7.15,6.83,264760
2017-09-15,7.15,7.06,7.06,7.1,6.79,355240
2017-09-18,7.14,7.05,7.08,7.12,6.81,346530
2017-09-19,7.27,7.11,7.11,7.13,6.82,448760
2017-09-20,7.18,7.05,7.14,7.07,6.76,492470
2017-09-21,7.19,7.05,7.1,7.19,6.87,427660
2017-09-22,7.25,7.11,7.19,7.11,6.8,591970
2017-09-25,7.13,7.05,7.13,7.05,6.74,284460
2017-09-26,7.11,7.03,7.08,7.08,6.77,312130
2017-09-27,7.08,7.01,7.08,7.05,6.74,192190
2017-09-28,7.19,7.0,7.06,7.1,6.79,791770
2017-09-29,7.1,6.99,7.1,7.05,6.74,943860
2017-10-02,7.05,6.9,7.05,7.0,6.69,135980
2017-10-03,7.05,6.81,7.0,6.9,6.6,176650
2017-10-04,6.95,6.8,6.93,6.93,6.62,673500
2017-10-05,6.97,6.85,6.86,6.95,6.64,676660
2017-10-06,6.96,6.9,6.93,6.93,6.62,286720
2017-10-09,6.95,6.9,6.95,6.9,6.6,161180
2017-10-10,6.95,6.85,6.95,6.85,6.55,139180
2017-10-11,6.9,6.81,6.83,6.83,6.53,350840
2017-10-12,6.86,6.8,6.85,6.82,6.52,207880
2017-10-13,6.83,6.79,6.83,6.81,6.51,259350
2017-10-16,6.83,6.59,6.81,6.69,6.4,177910
2017-10-17,6.69,6.55,6.65,6.65,6.36,353210
2017-10-18,6.9,6.6,6.63,6.8,6.5,782260
2017-10-19,6.88,6.75,6.8,6.85,6.55,706390
2017-10-20,6.85,6.65,6.85,6.65,6.36,173040
2017-10-23,6.73,6.29,6.5,6.5,6.21,275950
2017-10-24,6.6,6.45,6.5,6.48,6.19,309180
2017-10-25,6.55,6.4,6.5,6.5,6.21,158810
2017-10-26,6.55,6.3,6.5,6.5,6.21,365880
2017-10-27,6.55,6.4,6.5,6.55,6.26,804130
2017-10-30,6.63,6.5,6.55,6.57,6.28,1078720
2017-10-31,6.6,6.3,6.55,6.5,6.21,165350
2017-11-01,6.5,6.4,6.45,6.48,6.19,122650
2017-11-02,6.48,6.3,6.48,6.39,6.11,165320
2017-11-03,6.4,6.15,6.35,6.2,5.93,462560
2017-11-06,6.3,6.19,6.2,6.29,6.01,893890
2017-11-07,6.47,6.2,6.29,6.47,6.18,652880
2017-11-08,6.64,6.4,6.45,6.55,6.26,706400
2017-11-09,6.56,6.45,6.55,6.55,6.26,700320
2017-11-10,6.57,6.4,6.55,6.48,6.19,266590
2017-11-13,6.52,6.4,6.4,6.52,6.23,176490
2017-11-14,6.55,6.35,6.52,6.44,6.16,729560
2017-11-15,6.6,6.37,6.6,6.6,6.31,1409050
2017-11-16,6.72,6.55,6.61,6.7,6.4,788570
2017-11-17,6.75,6.58,6.71,6.65,6.36,385230
2017-11-20,6.68,6.54,6.65,6.6,6.31,698850
2017-11-21,6.76,6.47,6.6,6.6,6.31,682310
2017-11-22,6.67,6.45,6.6,6.6,6.31,333310
2017-11-23,6.64,6.5,6.61,6.6,6.31,185790
2017-11-24,6.65,6.4,6.6,6.65,6.36,562570
2017-11-27,6.75,6.45,6.61,6.7,6.4,1291510
2017-11-28,6.7,6.47,6.67,6.6,6.31,311040
2017-11-29,6.65,6.38,6.6,6.6,6.31,254850
2017-11-30,6.65,6.48,6.6,6.6,6.31,175640
2017-12-01,6.63,6.49,6.6,6.6,6.31,236730
2017-12-04,6.65,6.48,6.6,6.59,6.3,232820
2017-12-05,6.56,6.48,6.55,6.55,6.26,765440
2017-12-06,6.57,6.45,6.55,6.57,6.28,343450
2017-12-07,6.55,6.4,6.5,6.55,6.26,470150
2017-12-08,6.54,6.43,6.53,6.5,6.21,189510
2017-12-11,6.49,6.28,6.4,6.28,6.0,258870
2017-12-12,6.4,6.25,6.3,6.4,6.12,234120
2017-12-13,6.48,6.3,6.35,6.46,6.18,1645020
2017-12-14,6.46,6.36,6.4,6.45,6.17,345240
2017-12-15,6.6,6.37,6.42,6.59,6.3,1176560
2017-12-18,6.95,6.65,6.65,6.95,6.64,1798510
2017-12-19,7.28,7.0,7.0,7.23,6.91,2117640
2017-12-20,7.2,6.9,7.1,7.0,6.69,498190
2017-12-21,7.0,6.58,6.8,6.66,6.37,354790
2017-12-22,6.69,6.2,6.62,6.66,6.37,1473080
2017-12-25,6.7,6.39,6.66,6.5,6.21,263060
2017-12-26,6.65,6.3,6.5,6.5,6.21,581890
2017-12-27,6.52,6.3,6.47,6.45,6.17,498320
2017-12-28,6.53,6.27,6.4,6.47,6.18,555100
2017-12-29,6.55,6.3,6.47,6.47,6.18,369080
2018-01-02,6.55,6.3,6.47,6.38,6.1,408480
2018-01-03,6.42,6.23,6.38,6.38,6.1,1357170
2018-01-04,6.6,6.26,6.4,6.6,6.31,703780
2018-01-05,6.69,6.48,6.61,6.65,6.36,410620
2018-01-08,6.8,6.5,6.6,6.8,6.5,791920
2018-01-09,6.8,6.45,6.8,6.45,6.45,1343980
2018-01-10,6.46,6.28,6.35,6.46,6.46,309470
2018-01-11,6.46,6.01,6.4,6.4,6.4,593580
2018-01-12,6.41,6.22,6.4,6.39,6.39,202380
2018-01-15,6.39,6.3,6.35,6.35,6.35,295220
2018-01-16,6.35,6.25,6.3,6.27,6.27,656420
2018-01-17,6.4,6.2,6.21,6.37,6.37,921120
2018-01-18,6.45,6.2,6.35,6.4,6.4,853240
2018-01-19,6.41,6.25,6.4,6.25,6.25,291140
2018-01-22,6.4,6.25,6.3,6.31,6.31,178170
2018-01-25,6.34,6.2,6.25,6.34,6.34,260200
2018-01-26,6.39,6.25,6.3,6.39,6.39,280680
2018-01-29,6.42,6.32,6.4,6.4,6.4,593010
2018-01-30,6.37,6.3,6.35,6.35,6.35,298400
2018-01-31,6.35,6.27,6.32,6.28,6.28,164430
2018-02-01,6.28,6.18,6.28,6.23,6.23,185080
2018-02-02,6.25,6.15,6.2,6.2,6.2,281420
2018-02-05,6.2,6.06,6.2,6.06,6.06,295030
2018-02-06,6.2,5.64,6.2,6.2,6.2,1227620
2018-02-07,6.33,6.16,6.21,6.24,6.24,829350
2018-02-08,6.24,5.81,6.21,6.2,6.2,1036240
2018-02-09,6.2,5.77,5.77,6.2,6.2,1348810
2018-02-12,6.21,6.0,6.2,6.16,6.16,196980
2018-02-13,6.2,5.87,6.16,6.15,6.15,186990
2018-02-21,6.16,6.05,6.15,6.1,6.1,207340
2018-02-22,6.15,6.08,6.1,6.15,6.15,249660
2018-02-23,6.2,6.1,6.15,6.1,6.1,159590
2018-02-26,6.18,6.05,6.13,6.13,6.13,208720
2018-02-27,6.13,6.07,6.13,6.1,6.1,121890
2018-02-28,6.14,6.0,6.1,6.1,6.1,204920
2018-03-01,6.15,6.0,6.15,6.1,6.1,230340
2018-03-02,6.14,6.0,6.09,6.14,6.14,181420
2018-03-05,6.2,6.12,6.12,6.16,6.16,710130
2018-03-06,6.19,6.1,6.15,6.18,6.18,846650
2018-03-07,6.2,6.16,6.16,6.2,6.2,542510
2018-03-08,6.2,6.15,6.18,6.2,6.2,359260
2018-03-09,6.35,6.17,6.2,6.3,6.3,864790
2018-03-12,6.74,6.3,6.72,6.72,6.72,2189780
2018-03-13,6.75,6.5,6.72,6.6,6.6,515750
2018-03-14,6.59,6.4,6.59,6.49,6.49,408490
2018-03-15,6.47,6.04,6.4,6.2,6.2,903040
2018-03-16,6.13,5.8,6.0,6.0,6.0,382370
2018-03-19,6.0,5.85,5.87,5.87,5.87,426560
2018-03-20,5.91,5.83,5.87,5.91,5.91,377460
2018-03-21,6.1,5.87,5.87,5.9,5.9,263820
2018-03-22,6.05,5.89,5.9,6.05,6.05,1373980
2018-03-23,6.0,5.9,5.9,6.0,6.0,148820
2018-03-26,6.1,5.9,5.95,6.0,6.0,361440
2018-03-27,6.04,5.95,6.0,6.0,6.0,355500
2018-03-28,6.04,5.96,5.96,6.04,6.04,1022800
2018-03-29,6.05,5.95,6.04,6.0,6.0,157770
2018-03-30,6.07,5.9,6.0,6.0,6.0,108400
2018-04-02,6.02,5.95,5.95,6.02,6.02,37330
2018-04-03,6.02,5.85,6.02,5.99,5.99,133690
2018-04-04,6.0,5.9,5.99,6.0,6.0,122560
2018-04-05,6.0,5.92,6.0,6.0,6.0,159860
2018-04-06,6.05,5.91,5.95,6.0,6.0,74510
2018-04-09,6.04,5.92,6.0,6.0,6.0,122820
2018-04-10,6.0,5.9,6.0,5.99,5.99,249300
2018-04-11,6.1,5.85,5.95,6.1,6.1,194330
2018-04-12,6.18,5.95,6.1,6.1,6.1,105070
2018-04-13,6.15,5.9,6.1,6.09,6.09,110140
2018-04-16,6.1,5.9,5.95,6.07,6.07,121090
2018-04-17,6.08,5.96,6.08,6.07,6.07,104300
2018-04-18,6.07,5.95,6.07,6.05,6.05,64590
2018-04-19,6.06,5.9,6.05,6.06,6.06,217480
2018-04-20,6.06,5.95,5.95,6.04,6.04,66630
2018-04-23,6.05,5.9,6.04,6.04,6.04,55180
2018-04-24,6.04,5.9,6.04,6.0,6.0,110910
2018-04-26,6.0,5.8,6.0,5.98,5.98,63690
2018-04-27,5.98,5.57,5.95,5.97,5.97,106830
2018-05-02,6.1,5.86,6.1,6.1,6.1,115720
2018-05-03,6.1,5.9,6.1,5.9,5.9,38940
2018-05-04,6.1,5.91,5.99,6.1,6.1,320320
2018-05-07,6.15,5.99,6.15,6.05,6.05,55150
2018-05-08,6.1,6.01,6.1,6.1,6.1,553400
2018-05-09,6.2,6.0,6.05,6.05,6.05,1213070
2018-05-10,6.2,6.05,6.05,6.2,6.2,382480
2018-05-11,6.63,6.2,6.25,6.55,6.55,2107660
2018-05-14,6.55,6.1,6.55,6.35,6.35,893710
2018-05-15,6.35,6.12,6.2,6.24,6.24,665850
2018-05-16,6.2,6.01,6.2,6.05,6.05,676450
2018-05-17,6.23,5.95,6.05,6.23,6.23,1647460
2018-05-18,6.35,6.2,6.25,6.35,6.35,462440
2018-05-21,6.4,6.25,6.35,6.4,6.4,403000
2018-05-22,6.45,6.3,6.35,6.45,6.45,849130
2018-05-23,6.45,6.32,6.42,6.35,6.35,632060
2018-05-24,6.4,6.3,6.3,6.31,6.31,274670
2018-05-25,6.38,6.3,6.31,6.32,6.32,608370
2018-05-28,6.32,6.28,6.32,6.32,6.32,339450
2018-05-29,6.43,6.3,6.32,6.42,6.42,221420
2018-05-30,6.42,6.35,6.4,6.4,6.4,223200
2018-05-31,6.58,6.4,6.4,6.47,6.47,766700
2018-06-01,6.57,6.35,6.47,6.57,6.57,483780
2018-06-04,6.7,6.48,6.55,6.65,6.65,741080
2018-06-05,6.65,6.55,6.62,6.55,6.55,285960
2018-06-06,6.56,6.45,6.53,6.56,6.56,687990
2018-06-07,6.56,6.42,6.56,6.49,6.49,536760
2018-06-08,6.55,6.43,6.55,6.5,6.5,313150
2018-06-11,6.54,6.38,6.5,6.5,6.5,958550
2018-06-12,6.52,6.43,6.5,6.5,6.5,363500
2018-06-13,6.57,6.5,6.5,6.55,6.55,568980
2018-06-14,6.57,6.48,6.55,6.57,6.57,455700
2018-06-15,6.94,6.57,6.57,6.9,6.9,1290000
2018-06-18,7.3,6.8,6.96,7.25,7.25,966910
2018-06-19,7.6,7.2,7.6,7.6,7.6,1523260
2018-06-20,7.07,7.07,7.07,7.07,7.07,603100
2018-06-21,7.05,6.62,6.62,6.9,6.9,958940
2018-06-22,6.73,6.42,6.65,6.7,6.7,516680
2018-06-25,6.9,6.7,6.7,6.9,6.9,356870
2018-06-26,7.16,6.75,6.9,7.16,7.16,363980
2018-06-27,7.4,7.15,7.15,7.25,7.25,693540
2018-06-28,7.46,7.2,7.25,7.46,7.46,950060
2018-06-29,7.83,7.46,7.46,7.8,7.8,1556760
2018-07-02,7.83,7.62,7.73,7.83,7.83,900470
2018-07-03,7.92,7.71,7.83,7.75,7.75,732080
2018-07-04,8.25,7.71,7.75,8.25,8.25,1222220
2018-07-05,8.3,8.13,8.2,8.3,8.3,572030
2018-07-06,8.32,8.18,8.3,8.3,8.3,719870
2018-07-09,8.65,8.25,8.3,8.65,8.65,1355260
