Date,High,Low,Open,Close,adjust,Volume
2012-01-03,37.9,37.9,37.9,37.9,8.29,390
2012-01-04,39.7,39.7,39.7,39.7,8.69,17380
2012-01-05,41.6,41.6,41.6,41.6,9.1,400
2012-01-06,43.6,41.6,43.6,43.6,9.54,7930
2012-01-09,43.0,41.6,43.0,42.5,9.3,48950
2012-01-10,44.6,43.4,43.4,44.6,9.76,24520
2012-01-11,46.8,43.5,46.8,46.8,10.24,4890
2012-01-12,46.8,45.0,46.8,46.8,10.24,11300
2012-01-13,48.3,46.8,46.8,48.1,10.52,14330
2012-01-16,50.0,47.0,47.0,50.0,10.94,3470
2012-01-17,49.5,47.5,49.5,47.5,10.39,16210
2012-01-18,47.5,45.2,46.2,45.3,9.91,13670
2012-01-19,47.5,44.4,45.0,47.5,10.39,18850
2012-01-20,49.0,48.8,48.8,49.0,10.72,1000
2012-01-30,49.5,49.0,49.0,49.5,10.83,1980
2012-01-31,47.5,47.1,47.1,47.1,10.3,16900
2012-02-01,47.1,44.8,47.1,44.8,9.8,35050
2012-02-02,47.0,43.8,46.0,47.0,10.28,2080
2012-02-03,48.8,45.6,47.0,47.8,10.46,14300
2012-02-06,48.2,46.1,48.2,46.6,10.2,4010
2012-02-07,47.0,45.5,47.0,46.6,10.2,22650
2012-02-08,48.0,45.0,46.6,45.1,9.87,9380
2012-02-09,47.1,44.2,47.0,46.0,10.06,6340
2012-02-10,46.0,45.1,46.0,45.1,9.87,1010
2012-02-13,46.0,43.7,46.0,46.0,10.06,1630
2012-02-14,48.0,47.6,47.7,48.0,10.5,670
2012-02-15,48.3,46.0,46.0,48.0,10.5,2670
2012-02-16,49.3,46.9,47.9,46.9,10.26,10870
2012-02-17,48.2,46.1,47.0,47.9,10.48,11820
2012-02-20,48.9,47.0,48.9,47.4,10.37,540
2012-02-21,49.5,47.5,49.0,49.0,10.72,2850
2012-02-22,48.8,47.0,47.1,48.8,10.68,4140
2012-02-23,49.9,47.8,49.0,48.9,10.92,4270
2012-02-24,49.9,47.5,47.5,47.5,10.61,4340
2012-02-27,47.5,45.3,45.3,45.7,10.21,5620
2012-02-28,46.5,46.1,46.1,46.5,10.39,1120
2012-02-29,48.7,46.0,47.4,47.9,10.7,6620
2012-03-01,46.9,46.0,46.0,46.3,10.34,4030
2012-03-02,46.0,44.4,44.4,45.9,10.25,140
2012-03-05,48.1,46.1,47.8,46.5,10.39,12450
2012-03-06,48.0,45.0,48.0,46.9,10.48,2120
2012-03-07,48.4,45.1,48.4,45.1,10.07,5230
2012-03-08,45.5,44.6,44.6,45.5,10.16,71770
2012-03-09,45.5,45.5,45.5,45.5,10.16,3000
2012-03-12,45.5,43.4,43.4,45.5,10.16,13450
2012-03-13,45.6,45.6,45.6,45.6,10.19,100
2012-03-14,47.7,45.1,47.7,45.5,10.16,19140
2012-03-15,44.0,44.0,44.0,44.0,9.83,10
2012-03-16,46.2,45.3,46.2,46.2,10.32,17640
2012-03-19,47.0,44.6,44.6,47.0,10.5,10350
2012-03-20,45.5,44.9,44.9,45.5,10.16,4010
2012-03-21,45.5,45.1,45.1,45.5,10.16,210
2012-03-22,46.4,45.5,46.4,46.0,10.27,14090
2012-03-23,47.1,46.0,46.0,47.1,10.52,15680
2012-03-26,47.4,46.6,46.6,47.4,10.59,60
2012-03-27,47.8,47.3,47.3,47.8,10.68,12270
2012-03-28,50.0,47.8,49.0,50.0,11.17,19800
2012-03-29,52.5,51.0,52.0,52.5,11.73,74170
2012-03-30,55.0,54.0,55.0,55.0,12.28,115580
2012-04-03,55.5,54.5,55.0,55.0,12.28,21200
2012-04-04,56.5,55.0,55.0,56.0,12.51,16700
2012-04-05,56.5,55.0,55.5,55.5,12.4,45210
2012-04-06,57.0,55.0,55.0,57.0,12.73,48090
2012-04-09,58.0,57.0,57.0,58.0,12.96,31690
2012-04-10,60.5,57.0,58.0,60.5,13.51,68330
2012-04-11,63.5,60.0,60.5,60.5,13.51,13230
2012-04-12,59.5,57.5,59.5,57.5,12.84,20390
2012-04-13,59.0,55.0,55.0,59.0,13.18,15520
2012-04-16,60.5,56.5,56.5,60.5,13.51,3860
2012-04-17,61.0,58.0,60.5,60.0,13.4,8110
