Date,High,Low,Open,Close,adjust,Volume
2015-01-26,19.5,16.0,19.5,17.8,10.22,550000
2015-01-27,17.8,16.1,17.0,16.1,9.25,75800
2015-01-28,16.2,15.8,16.0,15.8,9.08,179400
2015-01-29,15.9,14.3,15.5,14.3,8.21,249200
2015-01-30,15.5,14.3,14.3,15.1,8.67,26300
2015-02-02,15.1,14.0,15.1,14.8,8.5,8700
2015-02-03,15.0,13.9,15.0,14.6,8.39,10300
2015-02-04,14.6,13.7,13.8,14.6,8.39,10200
2015-02-05,14.8,14.3,14.3,14.7,8.44,145900
2015-02-06,15.4,14.6,15.0,14.6,8.39,1100
2015-02-09,14.7,14.5,14.6,14.6,8.39,3900
2015-02-10,14.4,13.5,13.6,13.5,7.75,9100
2015-02-11,14.2,13.9,14.1,14.2,8.16,9000
2015-02-12,14.1,13.9,14.0,14.1,8.1,5700
2015-02-13,14.0,14.0,14.0,14.0,8.04,5300
2015-02-24,14.0,13.9,14.0,13.9,7.98,6100
2015-02-25,14.1,13.7,13.9,13.7,7.87,28800
2015-02-26,13.7,13.4,13.7,13.5,7.75,10800
2015-02-27,13.9,13.4,13.4,13.6,7.81,11400
2015-03-02,13.6,13.5,13.6,13.5,7.75,35200
2015-03-03,14.3,13.5,13.6,14.3,8.21,17600
2015-03-04,14.2,13.7,14.2,13.7,7.87,3200
2015-03-05,13.9,13.5,13.7,13.7,7.87,9800
2015-03-06,14.4,13.6,13.6,14.4,8.27,20700
2015-03-09,14.9,14.0,14.9,14.0,8.04,7500
2015-03-10,14.5,13.8,14.4,14.5,8.33,12700
2015-03-11,14.5,14.0,14.0,14.2,8.16,63000
2015-03-12,15.6,14.2,14.2,15.6,8.96,292000
2015-03-13,15.8,15.4,15.6,15.5,8.9,72200
2015-03-16,15.5,15.2,15.2,15.2,8.73,94700
2015-03-17,15.9,14.9,14.9,15.7,9.02,112000
2015-03-18,16.0,15.6,15.8,16.0,9.19,95600
2015-03-19,16.5,15.9,15.9,16.3,9.36,154700
2015-03-20,16.3,16.0,16.3,16.0,9.19,117800
2015-03-23,16.1,15.6,16.0,15.8,9.08,138000
2015-03-24,15.8,14.7,15.8,15.6,8.96,188900
2015-03-25,16.9,15.6,16.0,16.2,9.31,208800
2015-03-26,16.5,15.8,16.4,16.4,9.42,166800
2015-03-27,16.6,16.2,16.3,16.2,9.31,127200
2015-03-30,16.2,15.5,16.2,15.5,8.9,154000
2015-03-31,16.0,15.5,15.5,15.7,9.02,84100
