Date,High,Low,Open,Close,adjust,Volume
2017-07-17,39.0,32.5,39.0,32.5,16.51,75780
2017-07-18,33.5,31.0,33.5,31.0,15.75,7800
2017-07-19,30.2,29.5,30.0,29.5,14.99,13350
2017-07-20,28.5,27.45,28.5,27.45,13.95,35610
2017-07-21,27.55,25.9,25.9,27.55,14.0,11110
2017-07-24,29.45,27.4,27.4,29.45,14.96,11910
2017-07-25,31.0,29.5,30.0,29.5,14.99,29710
2017-07-26,30.8,29.0,30.8,29.0,14.74,28080
2017-07-27,29.0,28.5,28.6,28.7,14.58,25410
2017-07-28,28.0,27.5,28.0,27.5,13.97,13430
2017-07-31,27.8,27.3,27.5,27.3,13.87,4190
2017-08-01,27.5,27.2,27.3,27.3,13.87,20050
2017-08-02,27.5,27.3,27.3,27.5,13.97,4300
2017-08-03,28.0,27.5,27.8,27.5,13.97,6930
2017-08-04,27.5,27.3,27.3,27.5,13.97,1000
2017-08-07,27.0,26.6,27.0,26.7,13.57,13760
2017-08-08,26.7,26.05,26.05,26.05,13.24,6860
2017-08-09,26.05,25.3,26.05,25.3,12.86,10000
2017-08-10,26.0,25.9,26.0,25.9,13.16,240
2017-08-11,26.0,25.5,25.95,25.8,13.11,12470
2017-08-14,26.2,25.9,25.9,26.0,13.21,5000
2017-08-15,27.4,25.4,25.4,26.0,13.21,1220
2017-08-16,26.2,26.0,26.0,26.2,13.31,1900
2017-08-17,26.4,25.8,26.0,26.2,13.31,9910
2017-08-18,26.35,26.35,26.35,26.35,13.39,10
2017-08-21,25.8,25.4,25.8,25.5,12.96,19910
2017-08-22,25.2,25.1,25.1,25.1,12.75,3090
2017-08-23,25.2,25.0,25.1,25.0,12.7,6290
2017-08-24,25.5,24.7,25.5,24.9,12.65,13920
2017-08-25,24.6,24.3,24.6,24.3,12.35,7690
2017-08-28,24.4,24.0,24.05,24.4,12.4,13980
2017-08-29,24.4,24.4,24.4,24.4,12.4,0
2017-08-30,26.0,24.0,26.0,24.0,12.19,3330
2017-08-31,24.0,23.45,23.6,23.55,11.97,12510
2017-09-01,24.7,23.5,23.9,24.7,12.55,7850
2017-09-05,24.2,23.95,24.2,23.95,12.17,3200
2017-09-06,23.9,23.6,23.6,23.9,12.14,300
2017-09-07,23.9,23.9,23.9,23.9,12.14,0
2017-09-08,23.9,22.5,22.5,23.8,12.09,13860
2017-09-11,23.9,22.3,22.3,23.2,11.79,2430
2017-09-12,23.2,22.5,23.0,23.2,11.79,9770
2017-09-13,23.0,22.8,23.0,22.9,11.64,17780
2017-09-14,22.9,22.9,22.9,22.9,11.64,0
2017-09-15,22.8,22.5,22.7,22.8,11.59,9840
2017-09-18,22.7,22.4,22.7,22.7,11.53,8780
