Date,High,Low,Open,Close,adjust,Volume
2012-01-03,8.2,7.9,8.2,8.1,2.79,2530
2012-01-04,8.1,7.8,8.1,7.8,2.69,120
2012-01-05,8.1,7.8,8.1,7.8,2.69,12030
2012-01-06,7.9,7.5,7.5,7.7,2.65,570
2012-01-09,7.7,7.6,7.7,7.6,2.62,9820
2012-01-10,7.8,7.7,7.8,7.7,2.65,3080
2012-01-11,7.9,7.9,7.9,7.9,2.72,20
2012-01-12,8.0,8.0,8.0,8.0,2.76,1560
2012-01-13,8.0,7.8,8.0,7.8,2.69,210
2012-01-16,8.1,7.9,8.0,8.1,2.79,11200
2012-01-17,8.3,7.8,8.3,7.8,2.69,1050
2012-01-18,8.0,8.0,8.0,8.0,2.76,2250
2012-01-19,7.9,7.9,7.9,7.9,2.72,2270
2012-01-20,8.1,8.0,8.0,8.1,2.79,1450
2012-01-30,8.4,8.1,8.4,8.4,2.89,1030
2012-01-31,8.6,8.4,8.4,8.6,2.96,1010
2012-02-01,8.6,8.2,8.6,8.5,2.93,18230
2012-02-02,8.9,8.7,8.7,8.9,3.07,9780
2012-02-03,9.3,8.8,9.2,8.8,3.03,34410
2012-02-06,8.9,8.6,8.6,8.7,3.0,3100
2012-02-07,8.9,8.6,8.6,8.9,3.07,4440
2012-02-08,8.9,8.6,8.6,8.6,2.96,7380
2012-02-09,9.0,8.8,9.0,9.0,3.1,12340
2012-02-10,9.3,8.7,9.3,9.0,3.1,8920
2012-02-13,9.0,8.8,9.0,8.8,3.03,230
2012-02-14,8.8,8.5,8.5,8.8,3.03,1910
2012-02-15,8.7,8.4,8.7,8.6,2.96,3650
2012-02-16,8.6,8.4,8.4,8.5,2.93,11350
2012-02-17,8.6,8.4,8.4,8.6,2.96,17050
2012-02-20,9.0,8.8,8.9,9.0,3.1,29650
2012-02-21,9.1,8.9,9.0,8.9,3.07,7010
2012-02-22,9.0,8.9,9.0,9.0,3.1,4030
2012-02-23,9.4,9.1,9.1,9.4,3.24,16250
