Date,High,Low,Open,Close,adjust,Volume
2015-06-23,24.0,18.4,24.0,18.4,7.97,3510
2015-06-24,19.6,17.5,19.0,17.5,7.58,5060
2015-06-25,18.7,18.0,18.6,18.7,8.1,2810
2015-06-26,19.1,17.5,19.1,17.5,7.58,8080
2015-06-29,16.5,16.4,16.5,16.4,7.1,2930
2015-06-30,16.4,15.6,16.4,15.6,6.76,7580
2015-07-01,16.6,16.6,16.6,16.6,7.19,100
2015-07-02,17.1,17.1,17.1,17.1,7.41,10
2015-07-03,17.5,16.8,17.5,16.8,7.28,7080
2015-07-06,16.8,16.8,16.8,16.8,7.28,0
2015-07-07,16.8,16.6,16.6,16.6,7.19,6570
2015-07-08,17.0,17.0,17.0,17.0,7.36,1000
2015-07-09,16.5,16.5,16.5,16.5,7.15,10
2015-07-10,16.6,16.5,16.5,16.5,7.15,5110
2015-07-13,17.1,16.0,16.5,17.0,7.36,6930
2015-07-14,17.0,16.1,16.1,17.0,7.36,420
2015-07-15,17.0,15.9,16.2,17.0,7.36,22010
2015-07-16,17.0,17.0,17.0,17.0,7.36,10
2015-07-17,17.5,16.0,16.0,17.5,7.58,1910
2015-07-20,17.5,17.5,17.5,17.5,7.58,10
2015-07-21,18.0,17.0,18.0,17.5,7.58,3560
2015-07-22,17.4,17.0,17.0,17.4,7.54,100
2015-07-23,17.4,17.4,17.4,17.4,7.54,0
2015-07-24,17.4,17.4,17.4,17.4,7.54,0
2015-07-27,17.4,17.4,17.4,17.4,7.54,0
2015-07-28,17.0,17.0,17.0,17.0,7.36,140
2015-07-29,17.0,17.0,17.0,17.0,7.36,0
2015-07-30,17.0,16.2,17.0,17.0,7.36,2810
2015-07-31,18.0,17.1,17.2,17.5,7.58,3210
2015-08-03,16.4,16.4,16.4,16.4,7.1,10
2015-08-04,17.0,15.6,17.0,15.6,6.76,40
2015-08-05,16.6,16.1,16.2,16.2,7.02,5910
2015-08-06,16.2,16.2,16.2,16.2,7.02,2560
2015-08-07,17.0,16.0,17.0,16.0,6.93,20
2015-08-10,16.8,16.7,16.7,16.8,7.28,5490
2015-08-11,17.0,16.8,16.8,16.8,7.28,1220
2015-08-12,17.2,17.0,17.0,17.0,7.36,550
2015-08-13,17.5,16.8,17.4,16.9,7.32,4270
2015-08-14,16.9,16.9,16.9,16.9,7.32,0
2015-08-17,16.8,16.8,16.8,16.8,7.28,500
2015-08-18,16.8,16.8,16.8,16.8,7.28,0
2015-08-19,16.8,16.8,16.8,16.8,7.28,0
2015-08-20,16.8,16.5,16.5,16.8,7.28,1300
2015-08-21,16.8,16.5,16.8,16.5,7.15,2500
2015-08-24,16.6,16.4,16.6,16.4,7.1,600
2015-08-25,16.4,16.4,16.4,16.4,7.1,500
2015-08-26,17.0,16.3,16.3,17.0,7.36,8310
2015-08-27,17.0,17.0,17.0,17.0,7.36,0
2015-08-28,16.8,16.8,16.8,16.8,7.28,1000
2015-08-31,16.8,16.8,16.8,16.8,7.28,3500
2015-09-01,17.5,16.9,17.2,16.9,7.32,6090
2015-09-03,16.5,16.5,16.5,16.5,7.15,10
2015-09-04,17.0,16.0,16.4,17.0,7.36,20350
2015-09-07,17.3,17.3,17.3,17.3,7.49,20
2015-09-08,17.3,17.2,17.3,17.2,7.45,180
2015-09-09,17.3,16.6,16.6,16.9,7.32,25770
2015-09-10,16.9,16.6,16.6,16.9,7.32,13820
2015-09-11,17.3,16.5,16.5,16.8,7.28,14190
2015-09-14,16.9,16.6,16.6,16.9,7.32,7010
2015-09-15,17.2,16.4,16.8,17.2,7.45,6720
2015-09-16,17.2,17.1,17.2,17.1,7.41,5010
2015-09-17,17.0,16.7,17.0,16.9,7.32,2930
2015-09-18,16.7,16.6,16.7,16.6,7.19,5410
2015-09-21,17.0,16.6,16.9,16.9,7.32,4880
2015-09-22,17.0,17.0,17.0,17.0,7.36,980
2015-09-23,16.9,16.8,16.9,16.9,7.32,7250
2015-09-24,16.9,16.7,16.9,16.7,7.23,4610
2015-09-25,17.0,16.5,16.5,17.0,7.36,6340
2015-09-28,17.0,17.0,17.0,17.0,7.36,10
2015-09-29,17.0,17.0,17.0,17.0,7.36,0
2015-09-30,17.0,16.0,17.0,16.0,6.93,110
2015-10-01,17.0,17.0,17.0,17.0,7.36,10
2015-10-02,17.2,16.0,17.2,16.0,6.93,21020
2015-10-05,16.0,16.0,16.0,16.0,6.93,0
2015-10-06,16.5,15.6,16.0,16.5,7.15,14940
2015-10-07,16.7,16.7,16.7,16.7,7.23,30
