Date,High,Low,Open,Close,adjust,Volume
2017-08-15,33.95,33.95,33.95,33.95,25.34,410
2017-08-16,36.3,36.3,36.3,36.3,27.1,161000
2017-08-17,38.8,38.8,38.8,38.8,28.97,20000
2017-08-18,41.5,38.8,41.5,41.5,30.98,603140
2017-08-21,44.4,43.0,43.7,44.4,33.15,169100
2017-08-22,47.5,46.0,46.1,47.5,35.46,265440
2017-08-23,47.5,44.2,45.0,44.2,33.0,131540
2017-08-24,41.9,41.15,41.15,41.15,30.72,185460
2017-08-25,40.8,38.4,39.5,39.0,29.11,193110
2017-08-28,41.7,38.7,38.7,41.7,31.13,77270
2017-08-29,41.7,40.2,41.7,40.6,30.31,60010
2017-08-30,40.5,39.0,40.2,40.0,29.86,42610
2017-08-31,40.0,38.7,40.0,39.2,29.26,82220
2017-09-01,39.5,38.7,39.1,39.1,29.19,33480
2017-09-05,39.1,38.1,39.1,38.3,28.59,49780
2017-09-06,39.0,38.1,38.1,38.1,28.44,31980
2017-09-07,38.5,37.9,38.0,38.0,28.37,33610
2017-09-08,37.9,36.8,37.8,36.8,27.47,48740
2017-09-11,36.8,34.25,36.4,34.25,25.57,83100
2017-09-12,36.6,34.4,35.5,36.6,27.32,44660
2017-09-13,36.5,35.0,36.3,36.0,26.88,5590
2017-09-14,36.15,35.6,36.15,35.8,26.73,353530
2017-09-15,36.0,35.15,35.15,35.8,26.73,28320
2017-09-18,35.8,35.25,35.8,35.6,26.58,58670
2017-09-19,37.5,36.0,36.3,36.4,27.17,22830
2017-09-20,38.9,36.4,36.4,38.15,28.48,122380
2017-09-21,38.85,38.0,38.85,38.35,28.63,33790
2017-09-22,38.5,36.0,38.35,38.2,28.52,25060
2017-09-25,38.0,37.35,38.0,37.35,27.88,20260
2017-09-26,38.0,37.15,37.3,37.6,28.07,13760
2017-09-27,37.6,37.15,37.6,37.15,27.73,12120
2017-09-28,37.45,36.15,37.15,36.15,26.99,65130
2017-09-29,37.0,36.0,36.2,36.5,27.25,25780
2017-10-02,36.85,36.5,36.5,36.8,27.47,13360
2017-10-03,37.0,36.0,36.8,36.95,27.58,12610
2017-10-04,37.0,36.2,36.85,37.0,27.62,10140
2017-10-05,37.0,36.5,36.6,36.9,27.55,9570
2017-10-06,36.9,36.2,36.35,36.8,27.47,8110
2017-10-09,37.4,36.2,36.3,36.7,28.16,11910
2017-10-10,36.8,36.0,36.8,36.0,27.63,17590
2017-10-11,36.4,35.8,36.0,35.8,27.47,19170
2017-10-12,36.3,35.3,35.7,35.3,27.09,14060
2017-10-13,35.3,34.65,35.0,35.15,26.97,25160
2017-10-16,35.5,34.8,35.0,35.0,26.86,23970
2017-10-17,36.0,34.9,34.9,35.8,27.47,17490
2017-10-18,36.5,35.8,35.8,36.3,27.86,27580
2017-10-19,36.8,36.2,36.3,36.75,28.2,34790
2017-10-20,39.3,36.8,36.8,39.0,29.93,178170
2017-10-23,41.5,38.5,41.2,41.2,31.62,134040
2017-10-24,41.2,40.0,41.2,40.5,31.08,142630
2017-10-25,43.3,39.8,40.5,42.0,32.23,240190
2017-10-26,43.3,40.7,42.0,40.8,31.31,77710
2017-10-27,41.5,40.5,40.8,41.2,31.62,25970
2017-10-30,41.2,40.0,41.2,40.3,30.93,82790
2017-10-31,41.0,39.5,40.2,40.75,31.27,50170
2017-11-01,40.75,40.0,40.75,40.5,31.08,25220
2017-11-02,40.9,39.5,40.05,39.5,30.31,42900
2017-11-03,39.3,38.05,39.2,39.3,30.16,24270
2017-11-06,39.9,39.0,39.0,39.4,30.24,14540
2017-11-07,40.2,38.8,39.9,39.2,30.08,65060
2017-11-08,39.7,38.8,39.2,39.5,30.31,26140
2017-11-09,39.7,38.6,39.5,39.2,30.08,32810
2017-11-10,39.0,38.0,39.0,38.9,29.85,35380
2017-11-13,38.9,38.0,38.2,38.0,29.16,36980
2017-11-14,39.1,37.7,37.8,38.25,29.35,31030
2017-11-15,38.85,38.0,38.8,38.8,29.78,17690
2017-11-16,38.9,38.05,38.9,38.5,29.55,31630
2017-11-17,39.0,38.2,38.5,39.0,29.93,7750
2017-11-20,39.4,38.2,39.0,39.0,29.93,6210
2017-11-21,39.0,38.1,38.75,38.9,29.85,16900
2017-11-22,38.9,38.0,38.9,38.7,29.7,51090
2017-11-23,38.9,38.1,38.45,38.9,29.85,46860
2017-11-24,39.5,38.2,38.2,39.0,29.93,28140
2017-11-27,39.0,38.1,38.5,38.75,29.74,13270
2017-11-28,38.9,38.25,38.45,38.75,29.74,17240
2017-11-29,38.7,38.1,38.7,38.6,29.62,49270
2017-11-30,38.5,38.0,38.3,38.05,29.2,27780
2017-12-01,38.5,37.9,38.05,38.5,29.55,34520
2017-12-04,38.5,37.8,38.0,38.1,29.24,37260
2017-12-05,38.1,37.5,38.0,38.0,29.16,42190
2017-12-06,39.0,37.4,37.55,39.0,29.93,22570
2017-12-07,38.65,37.8,38.65,38.0,29.16,6690
2017-12-08,38.0,37.8,37.8,38.0,29.16,16520
2017-12-11,38.0,37.8,37.85,37.8,29.01,17350
2017-12-12,37.7,37.15,37.7,37.5,28.78,31620
2017-12-13,38.3,37.2,38.3,37.2,28.55,8240
2017-12-14,37.8,37.0,37.2,37.7,28.93,38780
2017-12-15,38.0,37.2,37.7,37.95,29.12,14710
2017-12-18,37.95,37.0,37.95,37.05,28.43,41920
2017-12-19,37.45,36.8,37.05,37.45,28.74,10640
2017-12-20,37.8,36.7,36.75,37.8,29.01,21350
2017-12-21,37.7,37.0,37.0,37.1,28.47,24670
2017-12-22,37.5,36.95,36.95,37.4,28.7,15240
2017-12-25,37.4,36.7,36.8,37.4,28.7,9790
2017-12-26,37.25,37.0,37.0,37.25,28.59,3470
2017-12-27,37.5,37.15,37.4,37.5,28.78,8290
2017-12-28,37.5,37.0,37.5,37.4,28.7,19150
2017-12-29,38.0,37.0,37.4,37.5,28.78,20560
2018-01-02,37.7,37.1,37.5,37.1,28.47,8980
2018-01-03,38.0,37.0,37.0,38.0,29.16,12400
2018-01-04,38.5,37.1,37.6,37.1,28.47,38070
2018-01-05,38.5,37.5,37.5,38.5,29.55,45970
2018-01-08,38.9,37.8,38.3,38.4,29.47,16040
