Date,High,Low,Open,Close,adjust,Volume
2012-01-03,3.5,3.5,3.5,3.5,1.69,0
2012-01-04,3.3,3.3,3.3,3.3,1.6,1000
2012-01-05,3.3,3.3,3.3,3.3,1.6,1500
2012-01-06,3.1,3.1,3.1,3.1,1.5,500
2012-01-09,3.1,2.9,3.1,2.9,1.4,2400
2012-01-10,3.0,3.0,3.0,3.0,1.45,0
2012-01-11,2.9,2.9,2.9,2.9,1.4,500
2012-01-12,2.9,2.9,2.9,2.9,1.4,0
2012-01-13,2.9,2.9,2.9,2.9,1.4,0
2012-01-16,3.0,3.0,3.0,3.0,1.45,200
2012-01-17,3.0,3.0,3.0,3.0,1.45,31800
2012-01-18,2.9,2.9,2.9,2.9,1.4,500
2012-01-19,2.8,2.8,2.8,2.8,1.35,1000
2012-01-20,2.8,2.8,2.8,2.8,1.35,0
2012-01-30,2.9,2.7,2.9,2.9,1.4,6200
2012-01-31,2.8,2.7,2.8,2.7,1.31,41800
2012-02-01,2.8,2.8,2.8,2.8,1.35,200
2012-02-02,2.8,2.8,2.8,2.8,1.35,2300
2012-02-03,2.8,2.7,2.8,2.7,1.31,9700
2012-02-06,2.7,2.7,2.7,2.7,1.31,1200
2012-02-07,2.8,2.7,2.8,2.7,1.31,600
2012-02-08,2.8,2.8,2.8,2.8,1.35,200
2012-02-09,2.9,2.9,2.9,2.9,1.4,1000
2012-02-10,3.1,2.9,3.1,3.0,1.45,7200
2012-02-13,3.0,2.9,3.0,3.0,1.45,15800
2012-02-14,3.1,3.0,3.0,3.1,1.5,4700
2012-02-15,3.2,3.1,3.2,3.1,1.5,11300
2012-02-16,3.1,3.1,3.1,3.1,1.5,5000
2012-02-17,3.3,3.1,3.3,3.1,1.5,18100
2012-02-20,3.3,3.2,3.3,3.3,1.6,7400
2012-02-21,3.5,3.3,3.4,3.5,1.69,22500
2012-02-22,3.7,3.5,3.6,3.7,1.79,5600
2012-02-23,3.9,3.9,3.9,3.9,1.89,10100
2012-02-24,4.1,4.1,4.1,4.1,1.98,3500
2012-02-27,4.3,4.3,4.3,4.3,2.08,5900
2012-02-28,4.6,4.4,4.5,4.6,2.22,31000
2012-02-29,4.9,4.9,4.9,4.9,2.37,5100
2012-03-01,5.2,5.2,5.2,5.2,2.51,419900
2012-03-02,5.5,5.5,5.5,5.5,2.66,226400
2012-03-05,5.8,5.8,5.8,5.8,2.8,2100
2012-03-06,6.2,6.1,6.2,6.1,2.95,123600
2012-03-07,6.6,6.0,6.6,6.5,3.14,152300
2012-03-08,6.7,5.9,6.7,5.9,2.85,64300
2012-03-09,5.7,5.5,5.7,5.5,2.66,74500
2012-03-12,5.3,5.2,5.2,5.2,2.51,46900
2012-03-13,5.5,5.2,5.2,5.5,2.66,25200
2012-03-14,5.7,5.3,5.7,5.3,2.56,21800
2012-03-15,5.7,5.1,5.2,5.7,2.76,68600
2012-03-16,5.9,5.6,5.9,5.8,2.8,52900
2012-03-19,6.0,5.7,6.0,5.7,2.76,11600
2012-03-20,5.9,5.5,5.6,5.8,2.8,65600
2012-03-21,6.0,5.7,5.7,6.0,2.9,121500
2012-03-22,6.4,5.8,6.3,6.3,3.05,120200
2012-03-23,6.7,6.0,6.0,6.6,3.19,30700
2012-03-26,6.7,6.4,6.4,6.4,3.09,52700
2012-03-27,6.3,6.1,6.2,6.1,2.95,60722
2012-03-28,6.1,5.7,5.7,6.1,2.95,29800
2012-03-29,6.3,5.7,6.3,5.9,2.85,25600
2012-03-30,5.9,5.5,5.5,5.9,2.85,44400
2012-04-03,5.9,5.7,5.7,5.8,2.8,36200
2012-04-04,6.0,5.4,5.8,5.4,2.61,54200
2012-04-05,5.8,5.2,5.7,5.8,2.8,52100
2012-04-06,5.9,5.6,5.9,5.8,2.8,13900
2012-04-09,5.8,5.5,5.8,5.8,2.8,47600
2012-04-10,5.8,5.4,5.8,5.5,2.66,67900
2012-04-11,5.8,5.6,5.6,5.8,2.8,53200
2012-04-12,6.1,5.7,5.8,6.1,2.95,28000
2012-04-13,6.0,5.8,6.0,5.8,2.8,32987
2012-04-16,6.1,5.8,5.9,6.0,2.9,47700
2012-04-17,6.2,5.9,6.2,5.9,2.85,34100
2012-04-18,6.3,5.9,5.9,6.1,2.95,104000
2012-04-19,6.0,5.8,6.0,5.8,2.8,10000
2012-04-20,6.0,5.5,6.0,5.9,2.85,42700
2012-04-23,6.0,5.5,6.0,5.9,2.85,21200
2012-04-24,5.9,5.7,5.9,5.9,2.85,50800
2012-04-25,5.9,5.7,5.7,5.9,2.85,29000
2012-04-26,5.7,5.6,5.7,5.6,2.71,10200
2012-04-27,5.7,5.5,5.7,5.5,2.66,26300
2012-05-02,5.6,5.2,5.4,5.4,2.61,76700
