Date,High,Low,Open,Close,adjust,Volume
2015-10-15,10.8,10.2,10.6,10.2,7.1,10100
2015-10-16,10.3,9.9,10.2,10.2,7.1,34900
2015-10-19,10.3,10.2,10.2,10.2,7.1,33400
2015-10-20,10.3,10.2,10.2,10.3,7.17,38000
2015-10-21,10.2,10.1,10.2,10.1,7.03,14200
2015-10-22,10.1,10.0,10.1,10.0,6.96,16500
2015-10-23,10.0,9.9,10.0,9.9,6.89,2100
2015-10-26,9.8,9.8,9.8,9.8,6.82,7100
2015-10-27,9.7,9.7,9.7,9.7,6.75,4800
2015-10-28,9.8,9.0,9.5,9.8,6.82,31500
2015-10-29,9.3,9.1,9.1,9.3,6.48,8100
2015-10-30,9.2,8.9,9.2,8.9,6.2,5700
2015-11-02,9.0,8.5,9.0,8.5,5.92,38700
2015-11-03,8.8,8.8,8.8,8.8,6.13,600
2015-11-04,8.8,8.0,8.5,8.8,6.13,12000
2015-11-05,8.9,8.6,8.6,8.9,6.2,4200
2015-11-06,9.0,8.8,9.0,8.9,6.2,30300
2015-11-09,8.8,8.5,8.8,8.9,6.2,10600
2015-11-10,8.7,8.6,8.7,8.6,5.99,3300
2015-11-11,8.6,8.6,8.6,8.6,5.99,2900
2015-11-12,8.7,8.6,8.6,8.7,6.06,2700
2015-11-13,9.0,8.8,9.0,9.0,6.27,500
2015-11-16,8.9,8.9,8.9,9.0,6.27,0
2015-11-17,9.0,8.8,9.0,8.8,6.13,10300
2015-11-18,8.8,7.5,8.8,8.8,6.13,5200
2015-11-19,8.8,8.8,8.8,8.8,6.13,2000
2015-11-20,8.8,8.8,8.8,8.8,6.13,18900
2015-11-23,8.7,8.6,8.6,8.6,5.99,11000
2015-11-24,8.6,8.5,8.6,8.5,5.92,2100
2015-11-25,8.3,8.2,8.2,8.2,5.71,2300
2015-11-26,8.5,7.7,8.5,7.7,5.36,6600
2015-11-27,8.5,7.8,8.5,7.8,5.43,11000
2015-11-30,8.6,8.6,8.6,8.6,5.99,100
2015-12-01,8.2,8.2,8.2,8.2,5.71,100
2015-12-02,8.1,7.6,7.6,7.8,5.43,10300
2015-12-03,8.4,7.8,8.4,7.8,5.43,15900
2015-12-04,8.3,7.8,7.8,7.8,5.43,137900
2015-12-07,8.9,7.8,8.2,7.8,5.43,30400
2015-12-08,8.0,8.0,8.0,8.0,5.57,100
2015-12-09,8.2,7.7,7.7,7.8,5.43,11300
2015-12-10,7.9,7.8,7.9,7.8,5.43,18200
2015-12-11,7.8,7.7,7.8,7.8,5.43,5700
2015-12-14,7.9,7.9,7.9,7.9,5.5,2000
2015-12-15,8.0,7.6,7.6,8.0,5.57,2500
2015-12-16,8.2,7.6,8.0,7.6,5.29,7700
2015-12-17,8.2,8.2,8.2,8.2,5.71,100
2015-12-18,8.2,8.2,8.2,8.2,5.71,0
2015-12-21,8.0,8.0,8.0,8.0,5.57,1000
2015-12-22,8.0,8.0,8.0,8.0,5.57,0
2015-12-23,8.0,8.0,8.0,8.0,5.57,11100
2015-12-24,8.1,8.0,8.0,8.1,5.64,4100
2015-12-25,8.0,8.0,8.0,8.0,5.57,1000
2015-12-28,7.8,7.8,7.8,7.8,5.43,1000
2015-12-29,8.0,8.0,8.0,8.0,5.57,100
2015-12-30,8.8,8.8,8.8,8.8,6.13,100
2015-12-31,8.0,8.0,8.0,8.0,5.57,6400
2016-01-04,9.2,8.9,9.2,8.9,6.2,1100
2016-01-05,8.0,8.0,8.0,8.0,5.57,100
2016-01-06,8.0,7.9,7.9,8.0,5.57,7700
2016-01-07,8.8,7.8,8.8,7.8,5.43,1500
2016-01-08,7.8,7.5,7.8,7.5,5.22,21800
2016-01-11,7.6,7.6,7.6,7.5,5.22,0
2016-01-12,8.4,8.4,8.4,8.4,5.85,100
2016-01-13,7.9,7.5,7.9,7.5,5.22,10100
2016-01-14,7.9,7.9,7.9,7.9,5.5,100
2016-01-15,7.9,7.9,7.9,7.9,5.5,0
2016-01-18,7.9,7.9,7.9,7.9,5.5,0
2016-01-19,8.0,7.0,8.0,7.0,4.87,8500
2016-01-20,7.7,7.7,7.7,7.0,4.87,0
2016-01-21,7.7,7.7,7.7,7.0,4.87,0
2016-01-22,7.7,7.7,7.7,7.0,4.87,0
2016-01-25,7.5,7.5,7.5,7.5,5.22,1000
2016-01-26,7.9,7.9,7.9,7.9,5.5,100
2016-01-27,7.9,7.9,7.9,7.9,5.5,0
2016-01-28,7.9,7.7,7.9,7.7,5.36,1200
2016-01-29,7.7,7.7,7.7,7.7,5.36,2000
2016-02-01,7.9,7.6,7.6,7.9,5.5,17000
2016-02-02,7.7,7.6,7.7,7.7,5.36,17700
2016-02-03,7.9,7.7,7.7,7.9,5.5,13800
2016-02-04,8.0,7.9,7.9,8.0,5.57,3000
2016-02-05,9.0,8.9,8.9,9.0,6.27,300
2016-02-15,8.3,8.0,8.3,8.0,5.57,1300
2016-02-16,8.1,8.1,8.1,8.0,5.57,0
2016-02-17,8.2,8.2,8.2,8.2,5.71,7000
2016-02-18,8.2,8.2,8.2,8.2,5.71,0
2016-02-19,8.4,8.1,8.1,8.4,5.85,6800
2016-02-22,8.2,8.2,8.2,8.2,5.71,1000
2016-02-23,8.2,8.2,8.2,8.2,5.71,39500
2016-02-24,8.2,8.2,8.2,8.2,5.71,0
2016-02-25,7.8,7.5,7.8,7.6,5.29,12300
2016-02-26,7.6,7.6,7.6,7.6,5.29,0
2016-02-29,7.6,7.6,7.6,7.6,5.29,0
2016-03-01,7.5,7.5,7.5,7.5,5.22,2900
2016-03-02,8.2,8.0,8.2,8.0,5.57,10800
2016-03-03,8.3,8.1,8.1,8.3,5.78,7900
2016-03-04,9.4,8.3,8.3,9.4,6.54,28300
2016-03-07,9.9,9.2,9.5,9.2,6.41,7500
2016-03-08,9.5,9.2,9.4,9.4,6.54,19700
2016-03-09,9.4,9.0,9.4,9.4,6.54,10600
2016-03-10,9.5,9.2,9.2,9.5,6.61,28700
2016-03-11,9.9,9.4,9.5,9.4,6.54,13000
2016-03-14,9.7,9.7,9.7,9.7,6.75,21800
2016-03-15,9.7,9.3,9.7,9.6,6.68,37600
2016-03-16,9.5,9.4,9.5,9.5,6.61,15400
2016-03-17,10.1,9.6,10.0,10.0,6.96,40800
2016-03-18,10.3,10.1,10.1,10.3,7.17,6600
2016-03-21,10.4,10.0,10.2,10.3,7.17,24400
2016-03-22,10.3,10.0,10.3,10.2,7.1,23500
2016-03-23,11.6,10.3,10.3,11.6,8.08,188400
2016-03-24,13.1,13.0,13.0,13.1,9.12,341300
2016-03-25,15.0,14.4,14.4,15.0,10.44,566700
2016-03-28,16.5,13.5,15.2,16.0,11.14,239300
2016-03-29,16.5,16.0,16.3,16.5,11.49,264290
2016-03-30,18.7,16.6,16.6,16.8,11.7,304900
2016-03-31,17.5,15.3,16.7,15.3,10.65,348500
2016-04-01,14.8,13.6,13.6,13.8,9.61,366800
